,year,quarter,date,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswa,statementData.incomeStatement.sga,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,2,2020-11-29 00:00:00+00:00,13964400000.0,0.0,0.0,25899400000.0,0.0,21167900000.0,-2867600000.0,3398600000.0,8550000000.0,16374200000.0,0.0,1939400000.0,3529800000.0,3011900000.0,2582800000.0,32307600000.0,0.0,1784300000.0,1712500000.0,8464200000.0,22867300000.0,0.0,10952500000.0,6408200000.0,14403100000.0,611333854.0,12100000.0,1000000.0,18800000.0,149000000.0,-314900000.0,19100000.0,0.0,843200000.0,337500000.0,786100000.0,20400000.0,-109100000.0,-88300000.0,734100000.0,7500000.0,0.0,0.0,1.12,100600000.0,2998300000.0,804500000.0,695900000.0,688400000.0,4719400000.0,916600000.0,0.0,189400000.0,611333854.0,804100000.0,1.11,1127400000.0,877800000.0,688400000.0,1721100000.0,978400000.0,0.0772588529446693,0.0675443358668115,9440300000.0,0.757094586611848,0.166666666666667,0.364686188922321,7.71984075333083,1.28099415204678,0.364686188922321,15.4421351577889,8.0,0.295094427519753
1,2021,1,2020-08-30 00:00:00+00:00,13621300000.0,0.0,0.0,25907400000.0,0.0,21160500000.0,-2908700000.0,3184400000.0,8444600000.0,16312500000.0,0.0,1924500000.0,3557000000.0,2788400000.0,1796700000.0,31262200000.0,0.0,1633000000.0,1605100000.0,7612700000.0,21919400000.0,0.0,10832900000.0,5354800000.0,14306700000.0,609869264.0,31000000.0,30000000.0,-700000.0,146100000.0,-302800000.0,-372700000.0,0.0,583600000.0,-80800000.0,118900000.0,28300000.0,-116700000.0,-123000000.0,466900000.0,7500000.0,0.0,0.0,1.04,111100000.0,2773600000.0,736700000.0,646400000.0,638900000.0,4364000000.0,853700000.0,0.0,170800000.0,609869264.0,736200000.0,1.03,1066900000.0,809700000.0,638900000.0,1590400000.0,920800000.0,0.0749205832043659,0.0903185509056839,9342800000.0,0.70340352306015,0.209302325581395,0.364436296975252,7.15563196508293,1.28281979016176,0.364436296975252,15.3193488367041,6.0,0.289331718595178
2,2020,4,2020-05-31 00:00:00+00:00,13539500000.0,0.0,0.0,25685400000.0,0.0,21019000000.0,-2914400000.0,3247700000.0,8058500000.0,15982100000.0,0.0,1947100000.0,3580600000.0,2610500000.0,1677800000.0,30806700000.0,0.0,1615100000.0,1426300000.0,7491500000.0,21912600000.0,0.0,10929000000.0,5121300000.0,14421100000.0,606138918.0,-13800000.0,153400000.0,-7100000.0,138300000.0,-300400000.0,-250100000.0,0.0,1516400000.0,-105600000.0,1070900000.0,28900000.0,-190600000.0,-181600000.0,1325800000.0,1300000.0,0.0,0.0,1.03,118600000.0,3254900000.0,938600000.0,627000000.0,625700000.0,5023000000.0,829500000.0,0.0,139600000.0,606138918.0,927100000.0,1.02,1022200000.0,765300000.0,625700000.0,1768100000.0,883900000.0,0.0716198356605183,0.206958694764159,8894100000.0,0.683614763398518,0.0842105263157895,0.35200079633685,8.28687921338851,1.3562077309673,0.35200079633685,14.6733689850286,7.0,0.283930006801459
4,2020,3,2020-02-23 00:00:00+00:00,13627900000.0,0.0,0.0,25940200000.0,0.0,21059200000.0,-2584500000.0,2931500000.0,7575100000.0,15360000000.0,0.0,2027200000.0,3535000000.0,2038300000.0,606900000.0,30248700000.0,0.0,1731100000.0,1542100000.0,6696600000.0,21850000000.0,0.0,11589600000.0,4308500000.0,15153400000.0,604816813.0,-3000000.0,38100000.0,-26600000.0,148700000.0,-299100000.0,-511600000.0,0.0,703200000.0,-182600000.0,46700000.0,18200000.0,-110600000.0,-141900000.0,592600000.0,9800000.0,0.0,0.0,0.75,109800000.0,2777100000.0,752400000.0,463900000.0,454100000.0,4180300000.0,650800000.0,0.0,118200000.0,604816813.0,746600000.0,0.74,830800000.0,572300000.0,454100000.0,1403200000.0,682100000.0,0.0701982654354368,-0.00428744968201411,8398700000.0,0.64338619598005,0.0135135135135136,0.335669688778317,6.91167955345845,1.52996000052805,0.335669688778317,13.8863533874678,5.0,0.286051667468469
5,2020,2,2019-11-24 00:00:00+00:00,13835400000.0,0.0,0.0,25973500000.0,0.0,21106900000.0,-2589800000.0,3063000000.0,7712300000.0,15501800000.0,0.0,2015900000.0,3588500000.0,2882300000.0,560200000.0,30452400000.0,0.0,1772700000.0,1719500000.0,7362300000.0,21886700000.0,0.0,10953100000.0,4478900000.0,14524400000.0,604393769.0,1100000.0,12700000.0,-1800000.0,153600000.0,-297800000.0,-751200000.0,0.0,884500000.0,-458900000.0,55400000.0,19000000.0,-88400000.0,-79000000.0,796100000.0,10600000.0,0.0,0.0,0.96,119400000.0,2851700000.0,757900000.0,591400000.0,580800000.0,4420800000.0,811200000.0,0.0,155500000.0,604393769.0,759000000.0,0.95,1009300000.0,736300000.0,580800000.0,1569100000.0,855700000.0,0.0699357722597567,0.0021762785636561,8565700000.0,0.608356084375806,0.68421052631579,0.354935758233804,7.31443675753712,1.42021186935156,0.354935758233804,14.1723830379198,6.0,0.291389270976616
6,2020,1,2019-08-25 00:00:00+00:00,14307700000.0,0.0,0.0,26051800000.0,0.0,21135000000.0,-2600600000.0,2786700000.0,7382800000.0,15218800000.0,0.0,1991700000.0,3668300000.0,2687900000.0,504800000.0,30313200000.0,0.0,1710500000.0,1700100000.0,6903400000.0,22069800000.0,0.0,11619800000.0,4261400000.0,15166400000.0,601959611.0,-5000000.0,55800000.0,-12500000.0,154100000.0,-298500000.0,-428600000.0,0.0,572100000.0,-170100000.0,54800000.0,28800000.0,-69500000.0,-83700000.0,502600000.0,7900000.0,0.0,0.0,0.86,118700000.0,2613000000.0,727100000.0,528500000.0,520600000.0,4002500000.0,662400000.0,0.0,67200000.0,601959611.0,718900000.0,0.85,860600000.0,587800000.0,520600000.0,1389500000.0,706500000.0,0.0621334465234503,-0.0223497801660967,8243400000.0,0.617290030999218,0.303030303030303,0.347158026233604,6.64911719467504,1.57390150078561,0.347158026233604,13.6942742492403,6.0,0.268527275647317
7,2019,4,2019-05-26 00:00:00+00:00,14490000000.0,0.0,0.0,25924700000.0,0.0,21162600000.0,-2625400000.0,2854100000.0,7054500000.0,14996700000.0,0.0,2031000000.0,3787200000.0,2865200000.0,450000000.0,30111200000.0,0.0,1679700000.0,1559300000.0,7087100000.0,22191800000.0,0.0,11624800000.0,4186500000.0,15104700000.0,598790681.0,-9300000.0,100300000.0,27800000.0,155500000.0,-298000000.0,-718400000.0,0.0,779400000.0,-497500000.0,-97100000.0,19000000.0,-166300000.0,-148800000.0,613100000.0,11000000.0,0.0,0.0,0.95,124800000.0,2700400000.0,715200000.0,581200000.0,570200000.0,4161700000.0,746100000.0,0.0,54700000.0,598790681.0,743200000.0,0.94,905200000.0,624900000.0,570200000.0,1461300000.0,749700000.0,0.0577801440300389,0.0697907562593183,7919400000.0,0.590721169448717,0.610169491525424,0.351130547612754,6.95017496439628,1.64785597845347,0.351130547612754,13.2256567299517,6.0,0.26099516785919
9,2019,3,2019-02-24 00:00:00+00:00,15021100000.0,0.0,0.0,26116000000.0,0.0,21221500000.0,-2360300000.0,2750500000.0,6930400000.0,14724500000.0,0.0,2046900000.0,3822900000.0,3378500000.0,547100000.0,30285800000.0,0.0,1704100000.0,1544500000.0,7516600000.0,22487500000.0,0.0,11642600000.0,4169800000.0,14970900000.0,596748917.0,6300000.0,53000000.0,200000.0,154500000.0,-294500000.0,-510700000.0,0.0,631100000.0,-241000000.0,14400000.0,21400000.0,-114500000.0,-112300000.0,516600000.0,11100000.0,0.0,0.0,0.74,130800000.0,2755300000.0,791700000.0,457900000.0,446800000.0,4198300000.0,651300000.0,0.0,95800000.0,596748917.0,696600000.0,0.74,827900000.0,542600000.0,446800000.0,1443000000.0,673400000.0,0.0504527750011079,0.0813950493264302,7798300000.0,0.554745496634117,-0.548780487804878,0.343710549508134,7.03528717086888,1.67993189426296,0.343710549508134,13.0679751195929,5.0,0.236916341662684
10,2019,2,2018-11-25 00:00:00+00:00,15255500000.0,0.0,0.0,26150200000.0,0.0,21221000000.0,-2419200000.0,2823900000.0,6651800000.0,14572200000.0,0.0,2036900000.0,3897400000.0,3046900000.0,532700000.0,30384000000.0,0.0,1716800000.0,1639200000.0,7298100000.0,22857000000.0,0.0,12208600000.0,4233800000.0,15558900000.0,596229932.0,-9200000.0,13800000.0,-1600000.0,154900000.0,-295000000.0,-524300000.0,0.0,789100000.0,-292500000.0,99800000.0,18400000.0,-129900000.0,-155800000.0,659200000.0,7800000.0,0.0,0.0,0.57,132700000.0,2901500000.0,962700000.0,351200000.0,343400000.0,4411200000.0,547000000.0,0.0,106600000.0,596229932.0,753300000.0,0.57,737600000.0,450000000.0,343400000.0,1509700000.0,582700000.0,0.0714038420644726,0.0506109033748541,7527000000.0,0.580123593812088,-0.24,0.342242473703301,7.39848800479208,1.83538290387564,0.342242473703301,12.6243242682422,4.0,0.338814856818826
11,2019,1,2018-08-26 00:00:00+00:00,15613700000.0,0.0,0.0,26369300000.0,0.0,21451200000.0,-2499200000.0,2723800000.0,6225100000.0,14523800000.0,0.0,2028700000.0,3955100000.0,2948600000.0,432900000.0,30554800000.0,0.0,1709100000.0,1685500000.0,7187800000.0,23207400000.0,0.0,12665100000.0,4185500000.0,16019600000.0,593367848.0,-10900000.0,73200000.0,100000.0,155200000.0,-294200000.0,-423000000.0,0.0,607400000.0,-190000000.0,33900000.0,26100000.0,-112600000.0,-139600000.0,494800000.0,3600000.0,0.0,0.0,0.66,133500000.0,2751200000.0,741300000.0,395900000.0,392300000.0,4094000000.0,601500000.0,0.0,110700000.0,593367848.0,742700000.0,0.65,791700000.0,503000000.0,392300000.0,1342800000.0,636500000.0,0.080241717474238,0.0861721320174043,7347400000.0,0.582306129831103,-0.0571428571428571,0.327992183683439,6.89959864492017,2.03452153379062,0.327992183683439,12.3825381249845,4.0,0.393015652173913
