,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,3849000000.0,1176000000.0,17410000000.0,0.0,2514000000.0,256000000.0,30267000000.0,2581000000.0,1173000000.0,16065000000.0,13561000000.0,22209000000.0,761776310.0,354000000.0,2099000000.0,0.0,3759000000.0,15449000000.0,8078000000.0,7822000000.0,0.0,-1134000000.0,8058000000.0,354000000.0,12660000000.0,0.0,-204000000.0,-153000000.0,356000000.0,36000000.0,608000000.0,39000000.0,62000000.0,-143000000.0,455000000.0,-148000000.0,0.0,3000000.0,394000000.0,0.0,231000000.0,480000000.0,0.0,3001000000.0,450000000.0,70000000.0,427000000.0,427000000.0,0.0,0.53,520000000.0,23000000.0,195000000.0,806000000.0,0.48,914000000.0,427000000.0,1001000000.0,2000000000.0,761776310.0,0.0,6.0,0.0228357191547375,0.333555481506165,2.09353078721746,12857000000.0,0.333555481506165,3.93947666868244,0.325,0.617851500789889,0.0234472236720601,16.8776579570977,0.0101946408309331
1,2020-06-30 00:00:00+00:00,2,2020,3020000000.0,1109000000.0,15413000000.0,0.0,2158000000.0,12000000.0,27546000000.0,2235000000.0,1266000000.0,15847000000.0,12393000000.0,20700000000.0,760947974.0,329000000.0,1712000000.0,0.0,2997000000.0,14691000000.0,7809000000.0,7797000000.0,0.0,-1432000000.0,6846000000.0,329000000.0,12049000000.0,0.0,-191000000.0,-288000000.0,133000000.0,13000000.0,550000000.0,6000000.0,65000000.0,-178000000.0,262000000.0,-245000000.0,0.0,9000000.0,352000000.0,27000000.0,430000000.0,401000000.0,0.0,2561000000.0,-49000000.0,67000000.0,-71000000.0,-71000000.0,0.0,-0.13,18000000.0,22000000.0,-101000000.0,857000000.0,-0.13,370000000.0,-71000000.0,756000000.0,1805000000.0,760947974.0,0.0,5.0,-0.12891156462585,0.295197188598204,2.26688741721854,12133000000.0,0.295197188598204,3.36553889031052,-2.44444444444444,0.647107643787866,0.0160994660078106,15.944585457297,0.00723806793750896
2,2020-03-31 00:00:00+00:00,1,2020,3191000000.0,1250000000.0,15572000000.0,0.0,2025000000.0,12000000.0,27859000000.0,2347000000.0,1181000000.0,16114000000.0,12381000000.0,20913000000.0,763628266.0,320000000.0,1708000000.0,0.0,3067000000.0,14932000000.0,7827000000.0,7815000000.0,0.0,-1497000000.0,6946000000.0,320000000.0,12198000000.0,0.0,-192000000.0,-545000000.0,-409000000.0,-105000000.0,248000000.0,-24000000.0,0.0,-94000000.0,-297000000.0,-539000000.0,0.0,200000000.0,382000000.0,0.0,261000000.0,395000000.0,0.0,2391000000.0,-108000000.0,64000000.0,-96000000.0,-96000000.0,0.0,-0.16,-44000000.0,-12000000.0,-132000000.0,693000000.0,-0.16,338000000.0,-96000000.0,561000000.0,1830000000.0,763628266.0,0.0,5.0,-0.149715504978663,0.234629861982434,2.17674710122219,12287000000.0,0.234629861982434,3.13110463095404,-1.26229508196721,0.640678799803246,0.0283143278256148,16.0902896698169,0.0130752903878704
3,2019-12-31 00:00:00+00:00,4,2019,3521000000.0,1587000000.0,15901000000.0,0.0,2434000000.0,11000000.0,28898000000.0,2320000000.0,1157000000.0,16408000000.0,12380000000.0,21435000000.0,769109777.0,334000000.0,1836000000.0,0.0,3120000000.0,15337000000.0,7740000000.0,7729000000.0,0.0,-1171000000.0,7463000000.0,334000000.0,12907000000.0,0.0,-188000000.0,-360000000.0,1463000000.0,-217000000.0,1018000000.0,16000000.0,56000000.0,786000000.0,658000000.0,-357000000.0,0.0,1182000000.0,392000000.0,0.0,278000000.0,401000000.0,0.0,2817000000.0,17000000.0,60000000.0,32000000.0,32000000.0,0.0,0.01,77000000.0,-15000000.0,51000000.0,803000000.0,0.04,469000000.0,32000000.0,854000000.0,1963000000.0,769109777.0,0.0,4.0,-0.071828665568369,0.30315938942137,2.11956830445896,12997000000.0,0.30315938942137,3.66267610195781,-0.970588235294118,0.598822344464244,0.0724897589337965,16.8987580039566,0.0345563024756351
5,2019-09-30 00:00:00+00:00,3,2019,3600000000.0,1447000000.0,14195000000.0,0.0,971000000.0,305000000.0,27329000000.0,2337000000.0,1109000000.0,16555000000.0,10595000000.0,21173000000.0,780866098.0,339000000.0,2024000000.0,0.0,3130000000.0,15083000000.0,6530000000.0,6225000000.0,0.0,-1387000000.0,6156000000.0,339000000.0,13034000000.0,0.0,-192000000.0,-446000000.0,-207000000.0,-294000000.0,889000000.0,-25000000.0,13000000.0,-571000000.0,443000000.0,-500000000.0,0.0,-97000000.0,396000000.0,0.0,255000000.0,369000000.0,0.0,2934000000.0,408000000.0,55000000.0,337000000.0,337000000.0,0.0,0.4,463000000.0,71000000.0,350000000.0,667000000.0,0.38,859000000.0,337000000.0,1017000000.0,1917000000.0,780866098.0,0.0,5.0,-0.0246010638297872,0.346625766871166,1.71,13134000000.0,0.346625766871166,3.75736634938401,-0.466666666666667,0.477597053859138,0.0906086375283152,16.8197851509235,0.0444727968650324
6,2019-06-30 00:00:00+00:00,2,2019,3416000000.0,1297000000.0,14054000000.0,0.0,1178000000.0,455000000.0,27575000000.0,2291000000.0,1053000000.0,16399000000.0,10638000000.0,21264000000.0,784754231.0,344000000.0,2103000000.0,0.0,3178000000.0,15137000000.0,6535000000.0,6080000000.0,0.0,-1130000000.0,6311000000.0,344000000.0,13425000000.0,0.0,-181000000.0,-570000000.0,-278000000.0,-114000000.0,153000000.0,-11000000.0,30000000.0,131000000.0,-417000000.0,-551000000.0,0.0,446000000.0,380000000.0,0.0,249000000.0,414000000.0,0.0,2940000000.0,216000000.0,54000000.0,92000000.0,92000000.0,0.0,0.09,270000000.0,124000000.0,339000000.0,726000000.0,0.09,650000000.0,92000000.0,1065000000.0,1875000000.0,784754231.0,0.0,5.0,0.0702584637786676,0.362244897959184,1.84748243559719,13521000000.0,0.362244897959184,3.74639585727828,-0.896551724137931,0.452886405959032,0.110246006506561,17.2295980905645,0.0554447436875534
7,2019-03-31 00:00:00+00:00,1,2019,3059000000.0,1278000000.0,13615000000.0,0.0,1456000000.0,7000000.0,27321000000.0,2190000000.0,1051000000.0,16489000000.0,10556000000.0,20972000000.0,786761073.0,346000000.0,1974000000.0,0.0,3195000000.0,14878000000.0,6025000000.0,6018000000.0,0.0,-1166000000.0,6349000000.0,346000000.0,13607000000.0,0.0,-181000000.0,-524000000.0,-899000000.0,-257000000.0,-29000000.0,6000000.0,0.0,-393000000.0,-553000000.0,-483000000.0,0.0,0.0,335000000.0,0.0,249000000.0,401000000.0,0.0,2812000000.0,575000000.0,52000000.0,499000000.0,499000000.0,0.0,0.61,627000000.0,76000000.0,411000000.0,688000000.0,0.55,962000000.0,499000000.0,1099000000.0,1713000000.0,786761073.0,0.0,3.0,0.1248,0.390825035561878,2.07551487414188,13706000000.0,0.390825035561878,3.57414734473016,-1.84722222222222,0.442272359814801,0.156183156291919,17.4207907207936,0.0802548482646845
8,2018-12-31 00:00:00+00:00,4,2018,3311000000.0,1456000000.0,13619000000.0,0.0,2355000000.0,4000000.0,27505000000.0,2037000000.0,951000000.0,16303000000.0,10308000000.0,20471000000.0,800399090.0,376000000.0,1940000000.0,0.0,3228000000.0,14895000000.0,5998000000.0,5994000000.0,0.0,-1010000000.0,7034000000.0,376000000.0,13792000000.0,0.0,-168000000.0,-599000000.0,452000000.0,-340000000.0,941000000.0,11000000.0,51000000.0,121000000.0,342000000.0,-621000000.0,0.0,635000000.0,330000000.0,-38000000.0,265000000.0,447000000.0,0.0,3035000000.0,346000000.0,51000000.0,292000000.0,292000000.0,0.0,0.34,397000000.0,54000000.0,259000000.0,943000000.0,0.31,727000000.0,292000000.0,1202000000.0,1833000000.0,800399090.0,0.0,7.0,0.15092908608267,0.396046128500824,2.12443370582905,13886000000.0,0.396046128500824,3.79185838404689,-1.21383647798742,0.434599767981439,0.0761809476166655,17.3488453116557,0.0398985693031786
10,2018-09-30 00:00:00+00:00,3,2018,3112000000.0,1092000000.0,12414000000.0,0.0,1903000000.0,252000000.0,26392000000.0,1921000000.0,831000000.0,16186000000.0,9302000000.0,19760000000.0,810015005.0,322000000.0,1973000000.0,0.0,3239000000.0,14345000000.0,5308000000.0,5056000000.0,0.0,-1136000000.0,6632000000.0,322000000.0,13890000000.0,0.0,-169000000.0,-515000000.0,-120000000.0,-366000000.0,943000000.0,-14000000.0,0.0,-538000000.0,428000000.0,-511000000.0,0.0,0.0,318000000.0,-10000000.0,244000000.0,439000000.0,0.0,3008000000.0,758000000.0,45000000.0,625000000.0,625000000.0,0.0,0.75,803000000.0,133000000.0,534000000.0,698000000.0,0.67,1121000000.0,625000000.0,1232000000.0,1776000000.0,810015005.0,0.0,5.0,0.153816647487534,0.409574468085106,2.13110539845758,13978000000.0,0.409574468085106,3.71351145526002,0.829268292682927,0.364002879769618,-0.0440927468122603,17.2564704526677,-0.0238817143926633
11,2018-06-30 00:00:00+00:00,2,2018,2908000000.0,1111000000.0,12189000000.0,0.0,2023000000.0,252000000.0,26140000000.0,1896000000.0,859000000.0,15731000000.0,9281000000.0,19656000000.0,830348853.0,339000000.0,1842000000.0,0.0,3250000000.0,14201000000.0,5351000000.0,5099000000.0,0.0,-1035000000.0,6484000000.0,339000000.0,13877000000.0,0.0,-171000000.0,-522000000.0,-1073000000.0,-661000000.0,715000000.0,-58000000.0,0.0,-619000000.0,193000000.0,-1111000000.0,0.0,221000000.0,322000000.0,-598000000.0,243000000.0,412000000.0,0.0,2747000000.0,864000000.0,43000000.0,738000000.0,738000000.0,0.0,0.87,907000000.0,126000000.0,409000000.0,663000000.0,0.78,1229000000.0,738000000.0,1072000000.0,1675000000.0,830348853.0,0.0,3.0,0.100120144173008,0.390243902439024,2.22971114167813,13951000000.0,0.390243902439024,3.3082480816048,0.891304347826087,0.36744253080637,-0.0569610961585515,16.801372037302,-0.0321659512536615
