,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-26 00:00:00+00:00,6550669000.0,1446328000.0,5104341000.0,658000000.0,3208799000.0,0.0,430164000.0,3341870000.0,323372000.0,821377000.0,3421159000.0,247502000.0,888510000.0,58416000.0,1488267000.0,248274000.0,235467000.0,1223809000.0,140757000.0,191237445.0,1058103000.0,818781000.0,118978000.0,1122956000.0,58416000.0,0.0,22031000.0,0.0,-1191000.0,-117716000.0,-131398000.0,-38753000.0,-114492000.0,-140755000.0,274338000.0,-294269000.0,235585000.0,32578000.0,6249000.0,-116525000.0,317101000.0,1.64,0.0,176000000.0,313417000.0,336717000.0,1109194000.0,191234000.0,1.63,0.0,313417000.0,0.0,369295000.0,174882000.0,0.0,441211000.0,313417000.0,667983000.0,191998000.0,350882000.0,23300000.0,336717000.0,5.0,0.187087093836253,0.602223776904671,2.9759580963101,5104341000.0,0.602223776904671,5.8000879482572,0.366666666666667,0.0114443764630929,0.208361088265128,26.6911168992035,0.163186343774522
1,2020,2,2020-06-27 00:00:00+00:00,6220042000.0,1479181000.0,4740861000.0,523901000.0,2961603000.0,0.0,380880000.0,3258439000.0,315254000.0,813243000.0,3107768000.0,254202000.0,867389000.0,60000000.0,1373901000.0,250597000.0,193216000.0,1355207000.0,142587000.0,191017846.0,993021000.0,656898000.0,89729000.0,1163927000.0,60000000.0,0.0,15925000.0,0.0,14899000.0,-93980000.0,306320000.0,-56900000.0,252966000.0,-1835000.0,199237000.0,193810000.0,142337000.0,29328000.0,7253000.0,-108879000.0,188389000.0,0.96,0.0,161301000.0,184180000.0,197592000.0,869867000.0,191024000.0,0.96,0.0,184180000.0,0.0,226920000.0,165740000.0,0.0,354437000.0,184180000.0,515430000.0,191597000.0,327041000.0,13412000.0,197592000.0,5.0,-0.0889918729839554,0.592538859388849,2.79952179131509,4740861000.0,0.592538859388849,4.55385199977598,-0.186440677966102,0.0126559289546772,0.198203563556694,24.8189428332262,0.154408886549102
2,2020,1,2020-03-28 00:00:00+00:00,6053993000.0,1119593000.0,4934400000.0,500242000.0,3125107000.0,0.0,391646000.0,2928886000.0,337721000.0,790180000.0,3390053000.0,263687000.0,821046000.0,52834000.0,1591259000.0,277111000.0,200281000.0,1048887000.0,151809000.0,190687357.0,1199613000.0,658777000.0,31807000.0,781872000.0,52834000.0,0.0,15559000.0,0.0,-11580000.0,-120151000.0,21249000.0,-39454000.0,-32407000.0,-6058000.0,225874000.0,-78872000.0,186420000.0,28204000.0,-5602000.0,-108571000.0,177482000.0,0.84,0.0,164066000.0,161180000.0,177635000.0,856108000.0,190803000.0,0.84,0.0,161180000.0,0.0,205839000.0,165392000.0,0.0,349168000.0,161180000.0,506940000.0,191684000.0,329458000.0,16455000.0,177635000.0,6.0,0.117561516872267,0.592144916295608,3.745991671271,4934400000.0,0.592144916295608,4.48958973195061,0.135135135135135,0.0107072795071336,0.213254328261561,25.8769122275894,0.165696141558457
3,2019,4,2019-12-28 00:00:00+00:00,6166799000.0,1373303000.0,4793496000.0,706763000.0,3108949000.0,0.0,376463000.0,3057850000.0,337370000.0,752908000.0,3229061000.0,268518000.0,792510000.0,49238000.0,1581938000.0,277438000.0,240831000.0,1027638000.0,161891000.0,204238255.0,1205475000.0,659629000.0,55874000.0,1035933000.0,49238000.0,0.0,15847000.0,0.0,1226000.0,-107133000.0,50200000.0,-26403000.0,-31041000.0,-24979000.0,234379000.0,-82938000.0,207976000.0,28560000.0,5892000.0,-108359000.0,276523000.0,1.89,0.0,200927000.0,360791000.0,287412000.0,1102232000.0,204238255.0,1.89,0.0,360791000.0,0.0,315972000.0,162005000.0,0.0,462777000.0,360791000.0,639455000.0,191684000.0,362932000.0,-73379000.0,287412000.0,5.0,0.18251533084149,0.58014555919262,2.95178356129209,4793496000.0,0.58014555919262,5.39679503235082,0.871287128712871,0.0102718350030959,0.215975359626934,23.4701182694692,0.167640786890139
5,2019,3,2019-09-28 00:00:00+00:00,5755105000.0,1374211000.0,4380894000.0,558299000.0,2997262000.0,0.0,300542000.0,2757843000.0,331256000.0,749825000.0,2868816000.0,158963000.0,765990000.0,42855000.0,1552761000.0,279262000.0,235548000.0,977438000.0,165172000.0,198077418.0,1252219000.0,637716000.0,20590000.0,1042955000.0,42855000.0,0.0,16592000.0,0.0,-18000.0,-18000.0,157184000.0,-30875000.0,9771000.0,704000.0,188952000.0,-21409000.0,158077000.0,26881000.0,-10341000.0,0.0,261460000.0,1.2,0.0,157437000.0,227866000.0,257767000.0,934383000.0,190102000.0,1.19,0.0,227866000.0,0.0,284648000.0,148561000.0,0.0,366925000.0,227866000.0,567458000.0,190962000.0,305998000.0,29901000.0,257767000.0,5.0,0.153543593852429,0.607307710007566,2.64425886064116,4380894000.0,0.607307710007566,4.71726161131604,0.224489795918367,0.00978224992433051,0.183854082158151,22.1170794946449,0.142523608215526
6,2019,2,2019-06-29 00:00:00+00:00,5524783000.0,1373817000.0,4150966000.0,583913000.0,3064205000.0,0.0,239765000.0,2460578000.0,346116000.0,648140000.0,2641371000.0,162739000.0,761274000.0,46281000.0,1558791000.0,267741000.0,214763000.0,820254000.0,166680000.0,198077418.0,1319026000.0,653014000.0,34681000.0,1027701000.0,46281000.0,0.0,15832000.0,0.0,12722000.0,-95496000.0,-295845000.0,-30177000.0,-7147000.0,-276014000.0,110636000.0,-313778000.0,80459000.0,26723000.0,2793000.0,-108218000.0,256221000.0,1.18,0.0,170261000.0,223656000.0,275778000.0,954840000.0,189855000.0,1.17,0.0,223656000.0,0.0,302501000.0,148883000.0,0.0,379475000.0,223656000.0,575365000.0,190714000.0,319144000.0,52122000.0,275778000.0,5.0,0.0675139638571998,0.602577395165682,2.39425474919262,4150966000.0,0.602577395165682,4.82053941151434,0.168316831683168,0.0111494529225245,0.17807162903917,20.9562808416657,0.138733615260429
7,2019,1,2019-03-30 00:00:00+00:00,5280145000.0,964859000.0,4315286000.0,453069000.0,2768008000.0,0.0,197385000.0,2512137000.0,342333000.0,598387000.0,2850588000.0,170935000.0,727277000.0,43277000.0,1535156000.0,282227000.0,170474000.0,1116099000.0,166184000.0,198077418.0,1337771000.0,411162000.0,18338000.0,622526000.0,43277000.0,0.0,15129000.0,0.0,-12694000.0,-213381000.0,-85706000.0,-30047000.0,-2161000.0,0.0,164582000.0,-32621000.0,134535000.0,24011000.0,-4286000.0,-200687000.0,151383000.0,0.74,0.0,154396000.0,140173000.0,166265000.0,766050000.0,189601000.0,0.74,0.0,140173000.0,0.0,190276000.0,145919000.0,0.0,314352000.0,140173000.0,451698000.0,190599000.0,300315000.0,26092000.0,166265000.0,6.0,0.0776201622795665,0.589645584491874,4.0353928992524,4315286000.0,0.589645584491874,3.86742722989251,0.0724637681159421,0.0100287675023162,0.174153322862987,21.7858554678858,0.13589541775494
8,2018,4,2018-12-29 00:00:00+00:00,5382858000.0,1219884000.0,4162974000.0,569833000.0,2717490000.0,0.0,182989000.0,2665368000.0,298571000.0,561840000.0,2710619000.0,176959000.0,663527000.0,0.0,1513112000.0,271797000.0,204985000.0,1201805000.0,172938000.0,198077418.0,1330123000.0,417080000.0,8430000.0,921313000.0,0.0,0.0,14297000.0,0.0,2372000.0,2373000.0,145263000.0,-32605000.0,-34465000.0,0.0,217738000.0,-68688000.0,185133000.0,24718000.0,-6160000.0,1000.0,222673000.0,1.01,0.0,181337000.0,190150000.0,231872000.0,932108000.0,198077418.0,1.0,0.0,190150000.0,0.0,256590000.0,145156000.0,0.0,382942000.0,190150000.0,549166000.0,190599000.0,326493000.0,41722000.0,231872000.0,5.0,0.0387699357753486,0.589165633166972,2.89301030160217,4162974000.0,0.589165633166972,4.70577620312074,0.328947368421053,0.0,0.174922043912469,21.0169036028125,0.136611318724463
10,2018,3,2018-09-29 00:00:00+00:00,5095967000.0,1143259000.0,3952708000.0,467784000.0,2695348000.0,0.0,173697000.0,2400619000.0,289233000.0,556640000.0,2520828000.0,186445000.0,650805000.0,0.0,1474808000.0,253258000.0,197069000.0,1056542000.0,175238000.0,198077418.0,1301111000.0,424776000.0,4624000.0,854026000.0,0.0,0.0,14347000.0,0.0,373000.0,-99690000.0,109675000.0,-29760000.0,-2878000.0,-19753000.0,263719000.0,-52921000.0,233959000.0,23256000.0,-1433000.0,-100063000.0,195959000.0,0.98,0.0,145809000.0,184214000.0,201327000.0,810011000.0,188799000.0,0.97,0.0,184214000.0,0.0,224583000.0,138979000.0,0.0,329264000.0,184214000.0,480747000.0,190005000.0,284788000.0,17113000.0,201327000.0,5.0,0.0782262487287753,0.593506754846539,2.81094369492264,3952708000.0,0.593506754846539,4.0893657044742,0.209876543209876,0.0,0.166177661994084,19.9553691678271,0.130023041806
11,2018,2,2018-06-30 00:00:00+00:00,4988720000.0,1229839000.0,3758881000.0,533076000.0,2665138000.0,0.0,173318000.0,2323582000.0,300692000.0,501490000.0,2336614000.0,188101000.0,637245000.0,0.0,1475765000.0,254692000.0,166499000.0,946867000.0,182682000.0,198077418.0,1302447000.0,409459000.0,9732000.0,929147000.0,0.0,0.0,14307000.0,0.0,11878000.0,-88062000.0,47607000.0,-65575000.0,-6865000.0,0.0,223873000.0,-73270000.0,158298000.0,25074000.0,-14934000.0,-99940000.0,217508000.0,1.01,0.0,164049000.0,190342000.0,236068000.0,894452000.0,188542000.0,1.0,0.0,190342000.0,0.0,261142000.0,141713000.0,0.0,371182000.0,190342000.0,523270000.0,189461000.0,305762000.0,45726000.0,236068000.0,5.0,0.0757270717727057,0.585017418486403,2.50076898488614,3758881000.0,0.585017418486403,4.51566871696601,0.074468085106383,0.0,0.160895550930741,18.9768275351812,0.124995478311127
