,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,32.32,32.49,31.93,32.42,2793782,30.0611159609,30.2192344545,29.6983735344,30.1541268395,2793782,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,31.86,32.4,31.66,32.39,3322463,29.6332659193,30.1355246637,29.4472441622,30.1262235759,3322463,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,32.58,32.62,31.87,31.95,4868450,30.3029442452,30.3401485966,29.6425670072,29.7169757101,4868450,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,32.84,32.91,32.37,32.69,3757267,30.5447725295,30.6098801446,30.1076214002,30.4052562117,3757267,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,33.13,33.2,32.7,32.83,2177267,30.8145040775,30.8796116925,30.4145572995,30.5354714417,2177267,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,33.89,34.2901,33.27,33.35,2813214,31.5213867548,31.89352328,30.9447193075,31.0191280104,2813214,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,33.47,33.875,33.415,33.83,2251910,31.1307410647,31.507435123,31.0795850814,31.4655802276,2251910,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,33.59,33.88,33.49,33.58,1968539,31.242354119,31.5120856669,31.1493432404,31.2330530311,1968539,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,33.91,34.08,33.53,33.53,4279763,31.5399889305,31.6981074241,31.1865475918,31.1865475918,4279763,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,33.5,34.17,33.31,34.0,2819212,31.1586443282,31.7818172148,30.9819236589,31.6236987212,2819212,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,34.37,35.29,33.27,33.41,6112142,31.967838972,32.823539055,30.9447193075,31.0749345375,6112142,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,34.08,34.52,33.8,34.28,2300573,31.6981074241,32.1073552899,31.437676964,31.8841291813,2300573,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,34.99,35.0,33.95,34.23,2934329,32.5445064193,32.5538075071,31.5771932819,31.837623742,2934329,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,35.62,35.67,34.92,35.0,3085715,33.1304749544,33.1769803937,32.4793988042,32.5538075071,3085715,0.0,1.0,,,,,
14,2018-01-23 00:00:00+00:00,35.2,35.59,35.09,35.52,2220515,32.7398292643,33.1025716908,32.6375172979,33.0374640758,2220515,0.0,1.0,,,,,
15,2018-01-24 00:00:00+00:00,35.37,36.0,35.16,35.3,3144160,32.8979477579,33.483916293,32.7026249129,32.8328401429,3144160,0.0,1.0,,,,,
16,2018-01-25 00:00:00+00:00,35.47,35.675,35.14,35.51,1376567,32.9909586365,33.1816309376,32.6840227372,33.0281629879,1376567,0.0,1.0,,,,,
17,2018-01-26 00:00:00+00:00,35.76,35.91,35.47,35.64,1671979,33.2606901844,33.4002065023,32.9909586365,33.1490771301,1671979,0.0,1.0,,,,,
18,2018-01-29 00:00:00+00:00,35.66,36.07,35.64,35.67,1821710,33.1676793058,33.5490239081,33.1490771301,33.1769803937,1821710,0.0,1.0,8170098456.14068,12856098456.1407,25.654676259,1.8111390928,-0.2188791824
19,2018-01-30 00:00:00+00:00,35.44,35.55,34.94,35.41,2039091,32.9630553729,33.0653673394,32.49800098,32.9351521093,2039091,0.0,1.0,8119694034.93061,12805694034.9306,25.4964028777,1.7999654921,-0.2175288341
20,2018-01-31 00:00:00+00:00,34.82,35.45,34.76,35.35,2506892,32.5166031557,33.1049276815,32.4605722485,33.0115428361,2506892,0.14,1.0,8009720752.29048,12695720752.2905,25.0503597122,1.7684762538,-0.2137233071
21,2018-02-01 00:00:00+00:00,34.51,34.73,34.25,34.64,2378892,32.2271101351,32.4325567949,31.9843095371,32.348510434,2378892,0.0,1.0,7938410774.31201,12624410774.312,24.8273381295,1.7527316347,-0.2118205436
22,2018-02-02 00:00:00+00:00,34.35,34.76,34.27,34.51,2253616,32.0776943825,32.4605722485,32.0029865062,32.2271101351,2253616,0.0,1.0,7901605624.38765,12587605624.3876,24.7122302158,1.7446053796,-0.2108384721
23,2018-02-05 00:00:00+00:00,32.8,34.66,32.72,34.17,2708587,30.6302292793,32.3671874031,30.555521403,31.9096016608,2708587,0.0,1.0,7545055734.49533,12231055734.4953,23.5971223022,1.6658822839,-0.2013246546
24,2018-02-06 00:00:00+00:00,33.38,33.67,32.1,32.57,3909509,31.1718613824,31.442677434,29.9765353618,30.415444135,3909509,0.0,1.0,7678474402.97116,12364474402.9712,24.0143884892,1.6953399584,-0.2048846637
25,2018-02-07 00:00:00+00:00,33.47,33.88,33.01,33.14,4021696,31.2559077433,31.6387856093,30.8263374546,30.9477377536,4021696,0.0,1.0,7699177299.80363,12385177299.8036,24.0791366906,1.6999109769,-0.2054370789
26,2018-02-08 00:00:00+00:00,30.75,33.47,30.57,33.47,6024745,28.7158399494,31.2559077433,28.5477472277,31.2559077433,6024745,0.0,1.0,6901321750.26904,11587321750.269,22.1223021583,1.5617646411,-0.1887418637
27,2018-02-09 00:00:00+00:00,29.99,31.79,29.39,30.98,7258393,28.0061151246,29.6870423412,27.4458060524,28.9306250937,7258393,0.0,1.0,6730752497.25426,11416752497.2543,21.5755395683,1.5231649297,-0.1840770241
28,2018-02-12 00:00:00+00:00,30.11,30.73,29.965,30.25,7085822,28.118176939,28.6971629803,27.9827689133,28.2489157226,7085822,0.0,1.0,6757684484.57239,11443684484.5724,21.6618705036,1.529259621,-0.1848135777
29,2018-02-13 00:00:00+00:00,29.34,30.205,29.05,29.94,5353057,27.3991136297,28.2068925421,27.1282975782,27.9594227019,5353057,0.0,1.0,6584870899.28109,11270870899.2811,21.1079136691,1.4901520186,-0.1800873587
30,2018-02-14 00:00:00+00:00,29.58,29.67,28.81,29.0,4647254,27.6232372586,27.7072836194,26.9041739493,27.0816051555,4647254,0.0,1.0,6638734873.91734,11324734873.9173,21.2805755396,1.5023414011,-0.1815604659
31,2018-02-15 00:00:00+00:00,29.96,30.07,29.56,29.79,3385295,27.978099671,28.0808230009,27.6045602895,27.8193454339,3385295,0.0,1.0,6724019500.42472,11410019500.4247,21.5539568345,1.5216412569,-0.1838928857
32,2018-02-16 00:00:00+00:00,29.66,30.005,29.6065,30.0,2855804,27.6979451349,28.0201228514,27.6479842426,28.0154536091,2855804,0.0,1.0,6656689532.12943,11342689532.1294,21.3381294964,1.5064045287,-0.1820515017
33,2018-02-20 00:00:00+00:00,29.48,29.78,29.2248,29.56,2910474,27.5298524133,27.8100069493,27.2915342879,27.6045602895,2910474,0.0,1.0,6616291551.15225,11302291551.1523,21.2086330935,1.4972624917,-0.1809466712
34,2018-02-21 00:00:00+00:00,29.15,29.63,29.12,29.45,2561518,27.2216824236,27.6699296813,27.1936669699,27.5018369596,2561518,0.0,1.0,6542228586.02739,11228228586.0274,20.9712230216,1.4805020907,-0.1789211488
35,2018-02-22 00:00:00+00:00,29.13,29.42,28.915,29.35,2565794,27.2030054545,27.473821506,27.002228037,27.4084521143,2565794,0.0,1.0,6537739921.47439,11223739921.4744,20.9568345324,1.4794863088,-0.1787983899
36,2018-02-23 00:00:00+00:00,29.52,29.66,29.2,29.2,1921461,27.5672063514,27.6979451349,27.2683748462,27.2683748462,1921461,0.0,1.0,6625268880.25828,11311268880.2583,21.2374100719,1.4992940555,-0.1811921891
37,2018-02-26 00:00:00+00:00,29.82,29.9,29.46,29.7,1863103,27.8473608875,27.9220687638,27.5111754442,27.7352990731,1863103,0.0,1.0,6692598848.55359,11378598848.5536,21.4532374101,1.5145307837,-0.1830335731
38,2018-02-27 00:00:00+00:00,29.49,30.005,29.47,29.87,2594321,27.5391908978,28.0201228514,27.5205139287,27.8940533102,2594321,0.0,1.0,6618535883.42874,11304535883.4287,21.2158273381,1.4977703827,-0.1810080507
