,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,14.6,14.75,14.49,14.71,13244660,12.7632538431,12.8943831634,12.6670923415,12.8594153446,13244660,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,14.72,14.79,14.56,14.64,15094128,12.8681572993,12.9293509821,12.7282860243,12.7982216618,15094128,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,14.85,14.91,14.75,14.88,14923525,12.9818027102,13.0342544384,12.8943831634,13.0080285743,14923525,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,14.98,15.01,14.86,14.91,9867835,13.0954481212,13.1216739852,12.9905446649,13.0342544384,9867835,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,14.95,15.01,14.85,14.91,11193869,13.0692222571,13.1216739852,12.9818027102,13.0342544384,11193869,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,15.23,15.39,14.97,15.02,6913521,13.3139969883,13.4538682633,13.0867061665,13.1304159399,6913521,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,15.48,15.69,15.3,15.38,8910926,13.5325458555,13.7161269039,13.3751906711,13.4451263086,8910926,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,15.63,15.66,15.47,15.55,6819504,13.6636751758,13.6899010399,13.5238039008,13.5937395383,6819504,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,15.85,15.85,15.65,15.7,7939600,13.8559981789,13.8559981789,13.6811590852,13.7248688586,7939600,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,15.68,16.0,15.59,16.0,10492104,13.7073849493,13.9871274992,13.6287073571,13.9871274992,10492104,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,15.76,15.8,15.54,15.75,9957143,13.7773205868,13.8122884055,13.5849975836,13.7685786321,9957143,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,15.51,15.855,15.5,15.81,9742469,13.5587717196,13.8603691563,13.5500297649,13.8210303602,9742469,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,15.81,15.81,15.52,15.54,8499705,13.8210303602,13.8210303602,13.5675136743,13.5849975836,8499705,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,16.03,16.05,15.75,15.83,10918374,14.0133533633,14.0308372727,13.7685786321,13.8385142696,10918374,0.0,1.0,15147682678.8544,27842682678.8544,15.7156862745,1.6023274856,0.1941349481
14,2018-01-23 00:00:00+00:00,16.04,16.33,15.88,16.05,24400004,14.022095318,14.2756120039,13.882224043,14.0308372727,24400004,0.0,1.0,15157132262.5592,27852132262.5592,15.7254901961,1.6033270661,0.1942560554
15,2018-01-24 00:00:00+00:00,16.11,16.23,15.93,16.13,12880616,14.0832890008,14.188192457,13.9259338164,14.1007729102,12880616,0.0,1.0,15223279348.4931,27918279348.4931,15.7941176471,1.6103241293,0.1951038062
16,2018-01-25 00:00:00+00:00,16.05,16.23,16.02,16.18,12020909,14.0308372727,14.188192457,14.0046114086,14.1444826836,12020909,0.0,1.0,15166581846.264,27861581846.264,15.7352941176,1.6043266465,0.1943771626
17,2018-01-26 00:00:00+00:00,16.21,16.21,16.08,16.14,8260125,14.1707085477,14.1707085477,14.0570631367,14.1095148649,8260125,0.0,1.0,15317775185.5415,28012775185.5415,15.8921568627,1.620319934,0.1963148789
18,2018-01-29 00:00:00+00:00,16.23,16.3,16.17,16.22,6965681,14.188192457,14.2493861399,14.1357407289,14.1794505024,6965681,0.0,1.0,15336674352.9511,28031674352.9511,15.9117647059,1.6223190949,0.1965570934
19,2018-01-30 00:00:00+00:00,16.1,16.26,16.06,16.1,7724322,14.0745470461,14.2144183211,14.0395792274,14.0745470461,7724322,0.0,1.0,15213829764.7883,27908829764.7883,15.7843137255,1.6093245489,0.194982699
20,2018-01-31 00:00:00+00:00,16.18,16.25,16.1,16.13,9847025,14.1444826836,14.2056763664,14.0745470461,14.1007729102,9847025,0.0,1.0,15289426434.4269,27984426434.4269,15.862745098,1.6173211926,0.1959515571
21,2018-02-01 00:00:00+00:00,16.34,16.35,16.14,16.14,12738654,14.2843539586,14.2930959133,14.1095148649,14.1095148649,12738654,0.0,1.0,15440619773.7043,28135619773.7043,16.0196078431,1.63331448,0.1978892734
22,2018-02-02 00:00:00+00:00,16.08,16.53,16.03,16.31,12313350,14.0570631367,14.4504510977,14.0133533633,14.2581280945,12313350,0.0,1.0,15194930597.3785,27889930597.3785,15.7647058824,1.6073253879,0.1947404844
23,2018-02-05 00:00:00+00:00,15.43,16.17,15.42,15.91,18233850,13.4888360821,14.1357407289,13.4800941274,13.9084499071,18233850,0.0,1.0,14580707656.5642,27275707656.5642,15.1274509804,1.5423526577,0.1868685121
24,2018-02-06 00:00:00+00:00,15.53,15.66,15.09,15.16,29603454,13.576255629,13.6899010399,13.1916096227,13.2528033055,29603454,0.0,1.0,14675203493.6125,27370203493.6125,15.2254901961,1.5523484624,0.1880795848
25,2018-02-07 00:00:00+00:00,15.64,15.77,15.45,15.47,14041373,13.6724171305,13.7860625414,13.5063199915,13.5238039008,14041373,0.0,1.0,14779148914.3657,27474148914.3657,15.3333333333,1.5633438475,0.1894117647
26,2018-02-08 00:00:00+00:00,15.1,15.72,15.1,15.72,17016022,13.2003515774,13.742352768,13.2003515774,13.742352768,17016022,0.0,1.0,14268871394.3045,26963871394.3045,14.8039215686,1.5093665024,0.1828719723
27,2018-02-09 00:00:00+00:00,15.41,15.53,14.97,15.36,11671849,13.4713521727,13.576255629,13.0867061665,13.4276423993,11671849,0.0,1.0,14561808489.1544,27256808489.1544,15.1078431373,1.5403534968,0.1866262976
28,2018-02-12 00:00:00+00:00,15.48,15.66,15.32,15.52,10474189,13.5325458555,13.6899010399,13.3926745805,13.5675136743,10474189,0.0,1.0,14627955575.0883,27322955575.0883,15.1764705882,1.54735056,0.1874740484
29,2018-02-13 00:00:00+00:00,15.52,15.61,15.38,15.41,9449297,13.5675136743,13.6461912664,13.4451263086,13.4713521727,9449297,0.0,1.0,14665753909.9077,27360753909.9077,15.2156862745,1.5513488819,0.1879584775
30,2018-02-14 00:00:00+00:00,15.89,15.9,15.41,15.49,13617553,13.8909659977,13.8997079524,13.4713521727,13.5412878102,13617553,0.0,1.0,15015388506.9866,27710388506.9866,15.5784313725,1.5883333591,0.1924394464
31,2018-02-15 00:00:00+00:00,15.86,15.98,15.77,15.95,10445250,13.8647401336,13.9696435899,13.7860625414,13.9434177258,10445250,0.0,1.0,14987039755.8722,27682039755.8722,15.5490196078,1.5853346177,0.1920761246
32,2018-02-16 00:00:00+00:00,15.83,15.91,15.73,15.79,13689669,13.8385142696,13.9084499071,13.7510947227,13.8035464508,13689669,0.0,1.0,14835256522.3694,27530256522.3694,15.5196078431,1.5823358763,0.1917128028
33,2018-02-20 00:00:00+00:00,15.9,15.97,15.76,15.83,7564437,13.8997079524,13.9609016352,13.7773205868,13.8385142696,7564437,0.0,1.0,14900857783.0495,27595857783.0495,15.5882352941,1.5893329396,0.1925605536
34,2018-02-21 00:00:00+00:00,16.05,16.29,15.85,15.93,10103711,14.0308372727,14.2406441852,13.8559981789,13.9259338164,10103711,0.0,1.0,15041431913.0782,27736431913.0782,15.7352941176,1.6043266465,0.1943771626
35,2018-02-22 00:00:00+00:00,15.73,16.2,15.7,16.14,7796642,13.7510947227,14.161966593,13.7248688586,14.1095148649,7796642,0.0,1.0,14741540435.6835,27436540435.6835,15.4215686275,1.5723400717,0.1905017301
36,2018-02-23 00:00:00+00:00,15.99,15.99,15.77,15.8,5414020,13.9783855446,13.9783855446,13.7860625414,13.8122884055,5414020,0.0,1.0,14985202261.0667,27680202261.0667,15.6764705882,1.5983291638,0.193650519
37,2018-02-26 00:00:00+00:00,16.03,16.15,15.93,16.01,9494086,14.0133533633,14.1182568195,13.9259338164,13.9958694539,9494086,0.0,1.0,15022688695.741,27717688695.741,15.7156862745,1.6023274856,0.1941349481
38,2018-02-27 00:00:00+00:00,15.82,16.24,15.82,15.97,9788415,13.8297723149,14.1969344117,13.8297723149,13.9609016352,9788415,0.0,1.0,14825884913.7008,27520884913.7008,15.5098039216,1.5813362958,0.1915916955
39,2018-02-28 00:00:00+00:00,15.7,16.06,15.7,15.88,7037856,13.7248688586,14.0395792274,13.7248688586,13.882224043,7037856,0.0,1.0,14713425609.6777,27408425609.6777,15.3921568627,1.5693413303,0.1901384083
40,2018-03-01 00:00:00+00:00,15.61,15.81,15.53,15.72,8245783,13.6461912664,13.8210303602,13.576255629,13.742352768,8245783,0.0,1.0,14629081131.6605,27324081131.6605,15.3039215686,1.5603451061,0.1890484429
41,2018-03-02 00:00:00+00:00,15.8,15.82,15.3,15.53,6811917,13.8122884055,13.8297723149,13.3751906711,13.576255629,6811917,0.0,1.0,14807141696.3636,27502141696.3636,15.4901960784,1.5793371349,0.191349481
42,2018-03-05 00:00:00+00:00,16.01,16.06,15.57,15.63,6382166,13.9958694539,14.0395792274,13.6112234477,13.6636751758,6382166,0.0,1.0,15003945478.4038,27698945478.4038,15.6960784314,1.6003283247,0.1938927336
43,2018-03-06 00:00:00+00:00,16.2,16.26,15.89,16.1,8213378,14.161966593,14.2144183211,13.8909659977,14.0745470461,8213378,0.0,1.0,15182006043.1069,27877006043.1069,15.8823529412,1.6193203535,0.1961937716
44,2018-03-07 00:00:00+00:00,16.28,16.31,16.0,16.0,7066192,14.2319022305,14.2581280945,13.9871274992,13.9871274992,7066192,0.0,1.0,15256978912.4556,27951978912.4556,15.9607843137,1.6273169972,0.1971626298
45,2018-03-08 00:00:00+00:00,16.16,16.35,16.0,16.29,5258164,14.1269987742,14.2930959133,13.9871274992,14.2406441852,5258164,0.0,1.0,15144519608.4326,27839519608.4326,15.8431372549,1.6153220317,0.1957093426
46,2018-03-09 00:00:00+00:00,16.5,16.5,16.15,16.28,7123636,14.4242252336,14.4242252336,14.1182568195,14.2319022305,7123636,0.0,1.0,15463154303.1645,28158154303.1645,16.1764705882,1.6493077675,0.1998269896
47,2018-03-12 00:00:00+00:00,16.48,16.6,16.45,16.51,8363473,14.4067413242,14.5116447805,14.3805154602,14.4329671883,8363473,0.0,1.0,15444411085.8274,28139411085.8274,16.1568627451,1.6473086065,0.1995847751
48,2018-03-13 00:00:00+00:00,16.29,16.58,16.2,16.54,7597926,14.2406441852,14.4941608711,14.161966593,14.4591930523,7597926,0.0,1.0,15266350521.1243,27961350521.1243,15.9705882353,1.6283165777,0.197283737
49,2018-03-14 00:00:00+00:00,16.05,16.36,16.0,16.33,6926347,14.0308372727,14.301837868,13.9871274992,14.2756120039,6926347,0.0,1.0,15041431913.0782,27736431913.0782,15.7352941176,1.6043266465,0.1943771626
50,2018-03-15 00:00:00+00:00,16.04,16.15,15.92,16.12,8264207,14.022095318,14.1182568195,13.9171918617,14.0920309555,8264207,0.0,1.0,15032060304.4096,27727060304.4096,15.7254901961,1.6033270661,0.1942560554
51,2018-03-16 00:00:00+00:00,16.07,16.17,15.95,15.95,16821578,14.1444826836,14.2325006219,14.0388611577,14.0388611577,16821578,0.11,1.0,15163262825.7698,27858262825.7698,15.7549019608,1.6063258075,0.1946193772
52,2018-03-19 00:00:00+00:00,15.92,16.12,15.73,16.07,7835232,14.0124557762,14.1884916528,13.8452216934,14.1444826836,7835232,0.0,1.0,15021726458.3855,27716726458.3855,15.6078431373,1.5913321005,0.1928027682
53,2018-03-20 00:00:00+00:00,15.83,16.06,15.8,15.98,5721148,13.9332396317,14.1356808898,13.9068342502,14.0652665391,5721148,0.0,1.0,14936804637.9549,27631804637.9549,15.5196078431,1.5823358763,0.1917128028
54,2018-03-21 00:00:00+00:00,15.88,16.07,15.73,15.88,5656815,13.9772486009,14.1444826836,13.8452216934,13.9772486009,5656815,0.0,1.0,14983983427.083,27678983427.083,15.568627451,1.5873337786,0.1923183391
55,2018-03-22 00:00:00+00:00,15.31,15.83,15.3,15.75,9703392,13.4755463526,13.9332396317,13.4667445588,13.8628252811,9703392,0.0,1.0,14446145231.0227,27141145231.0227,15.0098039216,1.5303576921,0.1854152249
56,2018-03-23 00:00:00+00:00,14.7,15.37,14.68,15.37,8949705,12.938636929,13.5283571156,12.9210333413,13.5283571156,8949705,0.0,1.0,13870564003.66,26565564003.66,14.4117647059,1.4693832838,0.1780276817
57,2018-03-26 00:00:00+00:00,15.28,15.3,14.9,14.97,7266564,13.4491409711,13.4667445588,13.1146728056,13.1762853624,7266564,0.0,1.0,14417837957.5459,27112837957.5459,14.9803921569,1.5273589507,0.1850519031
58,2018-03-27 00:00:00+00:00,14.93,15.37,14.81,15.31,8816188,13.1410781871,13.5283571156,13.0354566611,13.4755463526,8816188,0.0,1.0,14087586433.6493,26782586433.6493,14.637254902,1.4923736345,0.1808131488
59,2018-03-28 00:00:00+00:00,15.02,15.13,14.81,15.05,9831721,13.2202943315,13.3171140637,13.0354566611,13.246699713,9831721,0.0,1.0,14172508254.0798,26867508254.0798,14.7254901961,1.5013698586,0.1819031142
60,2018-03-29 00:00:00+00:00,15.1,15.18,14.91,15.08,7864827,13.2907086822,13.3611230328,13.1234745994,13.2731050945,7864827,0.0,1.0,14247994316.6848,26942994316.6848,14.8039215686,1.5093665024,0.1828719723
61,2018-04-02 00:00:00+00:00,14.67,15.14,14.51,15.07,8458795,12.9122315475,13.3259158575,12.7714028462,13.2643033007,8458795,0.0,1.0,13842256730.1831,24199256730.1831,12.8684210526,1.3907526893,0.1823026316
62,2018-04-03 00:00:00+00:00,14.83,14.87,14.55,14.77,10744230,13.0530602488,13.0882674241,12.8066100216,13.0002494858,10744230,0.0,1.0,13993228855.3931,24350228855.3931,13.0087719298,1.4059210894,0.1842909357
63,2018-04-04 00:00:00+00:00,15.02,15.07,14.55,14.61,6571202,13.2202943315,13.2643033007,12.8066100216,12.8594207845,6571202,0.0,1.0,14172508254.0798,24529508254.0798,13.1754385965,1.4239335646,0.1866520468
64,2018-04-05 00:00:00+00:00,15.07,15.15,14.93,15.09,7539126,13.2643033007,13.3347176513,13.1410781871,13.2819068883,7539126,0.0,1.0,14219687043.2079,24576687043.2079,13.2192982456,1.4286736897,0.1872733918
65,2018-04-06 00:00:00+00:00,14.56,14.92,14.39,14.9,8954936,12.8154118154,13.1322763932,12.6657813203,13.1146728056,8954936,0.0,1.0,13738463394.1014,24095463394.1014,12.7719298246,1.3803244142,0.1809356725
66,2018-04-09 00:00:00+00:00,14.62,14.98,14.6,14.66,7858664,12.8682225784,13.1850871562,12.8506189907,12.9034297537,7858664,0.0,1.0,13795077941.0551,24152077941.0551,12.8245614035,1.3860125642,0.1816812865
67,2018-04-10 00:00:00+00:00,14.87,14.95,14.72,14.85,8883150,13.0882674241,13.1586817747,12.9562405167,13.0706638364,8883150,0.0,1.0,14030971886.6956,24387971886.6956,13.0438596491,1.4097131895,0.1847880117
68,2018-04-11 00:00:00+00:00,14.65,14.84,14.63,14.78,6976518,12.8946279599,13.0618620426,12.8770243722,13.0090512796,6976518,0.0,1.0,13823385214.5319,24180385214.5319,12.850877193,1.3888566393,0.1820540936
69,2018-04-12 00:00:00+00:00,14.99,15.08,14.75,14.79,8687751,13.19388895,13.2731050945,12.9826458981,13.0178530735,8687751,0.0,1.0,14144200980.603,24501200980.603,13.149122807,1.4210894896,0.1862792398
70,2018-04-13 00:00:00+00:00,14.66,15.17,14.63,15.15,8693520,12.9034297537,13.352321239,12.8770243722,13.3347176513,8693520,0.0,1.0,13832820972.3575,24189820972.3575,12.8596491228,1.3898046643,0.1821783626
71,2018-04-16 00:00:00+00:00,14.67,14.8,14.54,14.77,8275102,12.9122315475,13.0266548673,12.7978082277,13.0002494858,8275102,0.0,1.0,13842256730.1831,24199256730.1831,12.8684210526,1.3907526893,0.1823026316
72,2018-04-17 00:00:00+00:00,14.48,14.76,14.39,14.76,8358054,12.7449974648,12.991447692,12.6657813203,12.991447692,8358054,0.0,1.0,13662977331.4964,24019977331.4964,12.701754386,1.3727402141,0.1799415205
73,2018-04-18 00:00:00+00:00,14.49,14.63,14.38,14.49,8137564,12.7537992586,12.8770243722,12.6569795265,12.7537992586,8137564,0.0,1.0,13672413089.322,24029413089.322,12.7105263158,1.3736882391,0.1800657895
74,2018-04-19 00:00:00+00:00,14.68,14.71,14.49,14.49,7123901,12.9210333413,12.9474387228,12.7537992586,12.7537992586,7123901,0.0,1.0,13851692488.0088,24208692488.0088,12.8771929825,1.3917007143,0.1824269006
75,2018-04-20 00:00:00+00:00,14.75,14.87,14.64,14.71,7565260,12.9826458981,13.0882674241,12.885826166,12.9474387228,7565260,0.0,1.0,13917742792.788,24274742792.788,12.9385964912,1.3983368893,0.1832967836
76,2018-04-23 00:00:00+00:00,15.01,15.02,14.74,14.82,12391852,13.2114925377,13.2202943315,12.9738441043,13.044258455,12391852,0.0,1.0,14163072496.2542,24520072496.2542,13.1666666667,1.4229855396,0.1865277778
77,2018-04-24 00:00:00+00:00,14.85,15.1,14.65,15.04,11395309,13.0706638364,13.2907086822,12.8946279599,13.2378979192,11395309,0.0,1.0,14012100371.0443,24369100371.0443,13.0263157895,1.4078171394,0.1845394737
78,2018-04-25 00:00:00+00:00,15.06,15.15,14.76,14.88,8844001,13.2555015069,13.3347176513,12.991447692,13.0970692179,8844001,0.0,1.0,14210251285.3823,24567251285.3823,13.2105263158,1.4277256646,0.1871491228
79,2018-04-26 00:00:00+00:00,15.03,15.15,14.98,15.07,7904287,13.2290961254,13.3347176513,13.1850871562,13.2643033007,7904287,0.0,1.0,14181944011.9054,24538944011.9054,13.1842105263,1.4248815896,0.1867763158
80,2018-04-27 00:00:00+00:00,15.14,15.15,14.98,15.02,5594178,13.3259158575,13.3347176513,13.1850871562,13.2202943315,5594178,0.0,1.0,14285737347.9873,24642737347.9873,13.2807017544,1.4353098647,0.1881432749
81,2018-04-30 00:00:00+00:00,14.91,15.25,14.91,15.16,6172937,13.1234745994,13.4227355896,13.1234745994,13.3435194451,6172937,0.0,1.0,14459388775.0903,24816388775.0903,13.0789473684,1.4135052895,0.1852850877
82,2018-05-01 00:00:00+00:00,14.81,14.9,14.68,14.83,6804587,13.0354566611,13.1146728056,12.9210333413,13.0530602488,6804587,0.0,1.0,14362410983.1715,24719410983.1715,12.9912280702,1.4040250394,0.1840423977
83,2018-05-02 00:00:00+00:00,14.66,14.85,14.63,14.76,8852291,12.9034297537,13.0706638364,12.8770243722,12.991447692,8852291,0.0,1.0,14216944295.2933,24573944295.2933,12.8596491228,1.3898046643,0.1821783626
84,2018-05-03 00:00:00+00:00,14.46,14.61,14.26,14.59,7605478,12.7273938771,12.8594207845,12.5513580005,12.8418171969,7605478,0.0,1.0,14022988711.4557,24379988711.4557,12.6842105263,1.3708441641,0.1796929825
85,2018-05-04 00:00:00+00:00,14.7,14.8,14.26,14.52,5924426,12.938636929,13.0266548673,12.5513580005,12.7802046401,5924426,0.0,1.0,14255735412.0608,24612735412.0608,12.8947368421,1.3935967643,0.1826754386
86,2018-05-07 00:00:00+00:00,14.73,14.84,14.6,14.74,4953113,12.9650423105,13.0618620426,12.8506189907,12.9738441043,4953113,0.0,1.0,14284828749.6364,24641828749.6364,12.9210526316,1.3964408393,0.1830482456
87,2018-05-08 00:00:00+00:00,14.86,15.02,14.69,14.72,8858171,13.0794656303,13.2202943315,12.9298351352,12.9562405167,8858171,0.0,1.0,14410899879.1308,24767899879.1308,13.0350877193,1.4087651645,0.1846637427
88,2018-05-09 00:00:00+00:00,15.09,15.18,14.88,14.94,7661056,13.2819068883,13.3611230328,13.0970692179,13.1498799809,7661056,0.0,1.0,14633948800.5441,24990948800.5441,13.2368421053,1.4305697397,0.1875219298
89,2018-05-10 00:00:00+00:00,15.14,15.23,14.97,15.07,6562550,13.3259158575,13.405132002,13.1762853624,13.2643033007,6562550,0.0,1.0,14682437696.5035,25039437696.5035,13.2807017544,1.4353098647,0.1881432749
90,2018-05-11 00:00:00+00:00,15.13,15.23,15.08,15.16,5570003,13.3171140637,13.405132002,13.2731050945,13.3435194451,5570003,0.0,1.0,14672739917.3116,25029739917.3116,13.2719298246,1.4343618397,0.1880190058
91,2018-05-14 00:00:00+00:00,15.11,15.2,15.04,15.17,5670797,13.299510476,13.3787266205,13.2378979192,13.352321239,5670797,0.0,1.0,14653344358.9278,25010344358.9278,13.2543859649,1.4324657897,0.1877704678
92,2018-05-15 00:00:00+00:00,15.15,15.3,15.05,15.09,8096383,13.3347176513,13.4667445588,13.246699713,13.2819068883,8096383,0.0,1.0,14692135475.6953,25049135475.6953,13.2894736842,1.4362578897,0.1882675439
93,2018-05-16 00:00:00+00:00,15.1,15.23,15.06,15.12,9524260,13.2907086822,13.405132002,13.2555015069,13.3083122698,9524260,0.0,1.0,14643646579.736,25000646579.736,13.2456140351,1.4315177647,0.1876461988
94,2018-05-17 00:00:00+00:00,15.35,15.36,15.02,15.1,8798733,13.5107535279,13.5195553217,13.2202943315,13.2907086822,8798733,0.0,1.0,14886091059.5329,25243091059.5329,13.4649122807,1.4552183899,0.190752924
95,2018-05-18 00:00:00+00:00,15.12,15.34,15.12,15.28,8085455,13.3083122698,13.5019517341,13.3083122698,13.4491409711,8085455,0.0,1.0,14663042138.1197,25020042138.1197,13.2631578947,1.4334138147,0.1878947368
96,2018-05-21 00:00:00+00:00,15.22,15.36,15.08,15.08,8424545,13.3963302081,13.5195553217,13.2731050945,13.2731050945,8424545,0.0,1.0,14760019930.0385,25117019930.0385,13.350877193,1.4428940648,0.1891374269
97,2018-05-22 00:00:00+00:00,15.36,15.51,15.22,15.22,7810918,13.5195553217,13.6515822292,13.3963302081,13.3963302081,7810918,0.0,1.0,14895788838.7248,25252788838.7248,13.4736842105,1.4561664149,0.190877193
98,2018-05-23 00:00:00+00:00,15.18,15.38,15.08,15.32,5839175,13.3611230328,13.5371589094,13.2731050945,13.4843481464,5839175,0.0,1.0,14721228813.271,25078228813.271,13.3157894737,1.4391019648,0.1886403509
99,2018-05-24 00:00:00+00:00,15.15,15.19,14.87,15.18,6443491,13.3347176513,13.3699248266,13.0882674241,13.3611230328,6443491,0.0,1.0,14692135475.6953,25049135475.6953,13.2894736842,1.4362578897,0.1882675439
100,2018-05-25 00:00:00+00:00,15.1,15.17,15.02,15.06,5852038,13.2907086822,13.352321239,13.2202943315,13.2555015069,5852038,0.0,1.0,14643646579.736,25000646579.736,13.2456140351,1.4315177647,0.1876461988
101,2018-05-29 00:00:00+00:00,14.44,14.95,14.39,14.88,11540770,12.7097902894,13.1586817747,12.6657813203,13.0970692179,11540770,0.0,1.0,14003593153.0719,24360593153.0719,12.6666666667,1.368948114,0.1794444444
