,date,quarter,year,statementData.balanceSheet.acctPay,statementData.balanceSheet.debt,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.deferredRev,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.incomeStatement.taxExp,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.costRev,statementData.incomeStatement.intexp,statementData.incomeStatement.epsDil,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebit,statementData.incomeStatement.opex,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,834518000.0,6554897000.0,-3923150000.0,712139000.0,-3236000.0,0.0,501583000.0,538319339.0,6840055000.0,0.0,0.0,0.0,8345513000.0,63216000.0,11225062000.0,299538000.0,15751821000.0,755021000.0,-11387000.0,219901000.0,-6631000.0,-226532000.0,-318855000.0,0.0,236000.0,-231208000.0,-525796000.0,4420000.0,3762000.0,-199546000.0,-537103000.0,173630000.0,24174000.0,0.0,597739000.0,538333000.0,314292000.0,56235000.0,-0.12,-63417000.0,-63768000.0,351000.0,283447000.0,3836000.0,16992000.0,232427000.0,51020000.0,538333000.0,-0.12,-39243000.0,-59581000.0,0.0,190622000.0,21661000.0,0.0198171478286419,5.0,7406308000.0,0.333333333333333,1.1103799486572,0.474198605076798,0.95831056914016,0.11109892540676,13.7582053317241,0.474198605076798,0.0451978984525992
1,2020-06-30 00:00:00+00:00,2,2020,847080000.0,6905816000.0,-3660187000.0,758866000.0,-2186000.0,0.0,537555000.0,538270263.0,7098673000.0,0.0,0.0,0.0,8647719000.0,73432000.0,12980728000.0,836641000.0,16316440000.0,751443000.0,5492000.0,224781000.0,-127271000.0,-352052000.0,312069000.0,-143000.0,506000.0,-384259000.0,106163000.0,4140000.0,-38311000.0,-199550000.0,-53458000.0,178488000.0,-7346000.0,0.0,588440000.0,538262000.0,315841000.0,57550000.0,0.09,51506000.0,51131000.0,375000.0,272599000.0,3543000.0,101710000.0,226885000.0,45714000.0,538517000.0,0.09,44160000.0,55049000.0,0.0,280198000.0,23720000.0,0.0215478431869622,6.0,7668721000.0,-4.0,1.09320547771,0.463257086533886,0.972831964509423,0.197069778890772,14.2469713211707,0.463257086533886,0.0494124224629614
2,2020-03-31 00:00:00+00:00,1,2020,856031000.0,6545912000.0,-3512143000.0,745258000.0,-2495000.0,0.0,550348000.0,505411840.0,7236508000.0,0.0,0.0,0.0,8259236000.0,85037000.0,12753689000.0,890099000.0,16072679000.0,753432000.0,-398074000.0,95042000.0,263196000.0,168154000.0,-98338000.0,-10000.0,1056691000.0,-151011000.0,761421000.0,4832000.0,76270000.0,-188500000.0,705442000.0,189276000.0,-33044000.0,0.0,585150000.0,506476000.0,376013000.0,58376000.0,0.54,279080000.0,277464000.0,1616000.0,209137000.0,3460000.0,304412000.0,265596000.0,-56459000.0,515045000.0,0.55,246036000.0,282540000.0,0.0,493688000.0,22349000.0,0.0180134238479799,5.0,7813443000.0,3.23076923076923,1.1577686822691,0.357407502349825,0.904567783245731,0.341613283381558,15.4595567052802,0.357407502349825,0.0411589442281323
3,2019-12-31 00:00:00+00:00,4,2019,540924000.0,6423453000.0,-3601199000.0,1100698000.0,-2857000.0,0.0,331693000.0,494934190.0,6085058000.0,0.0,0.0,0.0,7365417000.0,59417000.0,11205541000.0,184657000.0,14032891000.0,289680000.0,443753000.0,217472000.0,-238365000.0,-455837000.0,-271734000.0,322000.0,284797000.0,-7264000.0,-180977000.0,3633000.0,-6086000.0,-183463000.0,29553000.0,190798000.0,-5679000.0,0.0,531691000.0,497235000.0,248381000.0,58120000.0,0.09,43520000.0,43200000.0,320000.0,283310000.0,3839000.0,95961000.0,324172000.0,-40862000.0,502964000.0,0.09,37841000.0,47359000.0,0.0,286759000.0,21521000.0,0.00321935344523567,4.0,6667474000.0,-0.948863636363636,1.07426605545275,0.532847085995437,1.05561080929713,0.203141299649936,13.4714354649858,0.532847085995437,0.00735925727864071
5,2019-09-30 00:00:00+00:00,3,2019,431493000.0,6756729000.0,-3461256000.0,727468000.0,-5223000.0,0.0,303722000.0,491110300.0,5933134000.0,0.0,0.0,0.0,7486851000.0,56991000.0,11708069000.0,155104000.0,14010210000.0,208653000.0,-5526000.0,248041000.0,-364132000.0,-612173000.0,160602000.0,-42000.0,103296000.0,-352537000.0,103590000.0,4171000.0,260608000.0,-182110000.0,-948000.0,171944000.0,-6261000.0,0.0,537971000.0,491203000.0,248069000.0,61230000.0,-0.09,-45863000.0,-46249000.0,386000.0,289902000.0,3555000.0,9106000.0,234490000.0,55412000.0,491203000.0,-0.09,-52124000.0,-42308000.0,0.0,181050000.0,22970000.0,0.0623115756128964,4.0,6523359000.0,-1.42857142857143,1.09541787252273,0.538880348568975,1.13881280955394,0.179704049366039,13.2828796300953,0.538880348568975,0.139837759986712
6,2019-06-30 00:00:00+00:00,2,2019,371235000.0,6445436000.0,-3233283000.0,999696000.0,-4459000.0,0.0,317960000.0,477983011.0,6054404000.0,0.0,0.0,0.0,7093821000.0,53840000.0,11406328000.0,156052000.0,13713093000.0,193286000.0,-4671000.0,221978000.0,-680096000.0,-902074000.0,491621000.0,-15000.0,403791000.0,-928700000.0,716137000.0,6247000.0,-37429000.0,-177264000.0,9400000.0,165296000.0,-1864000.0,0.0,491567000.0,478739000.0,213993000.0,56942000.0,-0.03,-13597000.0,-13991000.0,394000.0,277574000.0,3617000.0,41481000.0,262291000.0,15283000.0,478739000.0,-0.03,-15461000.0,-9980000.0,0.0,206777000.0,27120000.0,0.0744931065195806,4.0,6619272000.0,-1.15789473684211,1.02841939710698,0.564671753799584,1.06458637381978,0.0468873455705556,13.8483415679391,0.564671753799584,0.170453670866669
7,2019-03-31 00:00:00+00:00,1,2019,352642000.0,5916707000.0,-3042422000.0,981500000.0,-3883000.0,0.0,275565000.0,477771756.0,5836882000.0,0.0,0.0,0.0,6500436000.0,48555000.0,10792931000.0,146652000.0,12899501000.0,181467000.0,-3870000.0,158582000.0,19088000.0,-139494000.0,192563000.0,-20000.0,-1341000.0,-160277000.0,8521000.0,4111000.0,-22410000.0,-177286000.0,6806000.0,131951000.0,-3458000.0,0.0,436154000.0,477766000.0,168927000.0,49327000.0,0.13,61470000.0,61029000.0,441000.0,267227000.0,3520000.0,107339000.0,166682000.0,100545000.0,479131000.0,0.13,58012000.0,64990000.0,0.0,239290000.0,21355000.0,0.0828028869220969,6.0,6399065000.0,0.625,0.91289197095192,0.612689554606859,1.01367596603803,-0.0898231833671747,13.3935606691661,0.612689554606859,0.196329120639891
8,2018-12-31 00:00:00+00:00,4,2018,391583000.0,5567908000.0,-2927196000.0,1316904000.0,-4708000.0,0.0,305079000.0,469918837.0,5944439000.0,0.0,0.0,0.0,6205962000.0,48171000.0,10209450000.0,139846000.0,12718553000.0,190683000.0,-1388000.0,215791000.0,1265665000.0,1049874000.0,-1231157000.0,-54000.0,212880000.0,1011745000.0,-1196377000.0,3465000.0,-43582000.0,-174347000.0,31105000.0,130759000.0,-2935000.0,0.0,441919000.0,473008000.0,177413000.0,54717000.0,1.75,831548000.0,830157000.0,1391000.0,264506000.0,2835000.0,883330000.0,190033000.0,74473000.0,491920000.0,1.76,828613000.0,834383000.0,0.0,1014089000.0,21510000.0,0.0793995379234582,6.0,6512591000.0,-14.5384615384615,0.940415589256321,0.598539551365748,0.936658278434685,-0.00302306326549484,13.858969862917,0.598539551365748,0.198156907207694
10,2018-09-30 00:00:00+00:00,3,2018,410804000.0,6798253000.0,-3584397000.0,1379266000.0,-4297000.0,0.0,305805000.0,469832569.0,5071168000.0,0.0,0.0,0.0,7443583000.0,48701000.0,10235700000.0,108741000.0,13083958000.0,174509000.0,389235000.0,193244000.0,131216000.0,-62028000.0,-650482000.0,221000.0,689000.0,325766000.0,-532419000.0,2880000.0,-5728000.0,-174127000.0,-13188000.0,132198000.0,-4929000.0,0.0,456022000.0,469867000.0,181207000.0,63486000.0,0.21,99371000.0,98946000.0,425000.0,274815000.0,3555000.0,157928000.0,165458000.0,109357000.0,470118000.0,0.21,94442000.0,102926000.0,0.0,290126000.0,23503000.0,0.0123580724617703,6.0,5640375000.0,-11.5,0.970605339196909,0.602635399169338,1.34056947038631,0.00440286064802886,12.0050745141085,0.602635399169338,0.0326166089131153
11,2018-06-30 00:00:00+00:00,2,2018,398920000.0,7403042000.0,-3509641000.0,1379868000.0,-4080000.0,0.0,294056000.0,469755917.0,5143494000.0,0.0,0.0,0.0,8034664000.0,43965000.0,9962020000.0,121929000.0,13451387000.0,172369000.0,333344000.0,243510000.0,388848000.0,145338000.0,-541848000.0,-87000.0,25000.0,481040000.0,-720502000.0,4299000.0,-5729000.0,-174290000.0,3961000.0,143292000.0,-4654000.0,0.0,469551000.0,469769000.0,173866000.0,73038000.0,0.19,89942000.0,89481000.0,461000.0,295685000.0,2986000.0,158326000.0,182122000.0,113563000.0,469941000.0,0.19,85288000.0,92928000.0,0.0,301618000.0,22514000.0,0.00448454824675968,6.0,5416723000.0,3.75,0.999563779842713,0.629718603516977,1.43930215530532,0.0231474218178014,11.5309308599938,0.629718603516977,0.0117524964211735
