,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,188.03,190.72,188.01,190.21,4475920,174.8659100278,177.3675815588,174.8473102394,176.8932869562,4475920,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,189.01,189.36,187.82,188.0,4527396,175.7772996562,176.102795952,174.6706122503,174.8380103453,4527396,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,190.51,190.87,188.47,189.87,4029021,177.1722837813,177.5070799713,175.2751053711,176.5770905546,4029021,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,192.5,192.54,190.51,190.93,4214521,179.0229627206,179.0601622972,177.1722837813,177.5628793363,4214521,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,192.04,193.72,191.6,191.72,3490089,178.5951675889,180.157549809,178.1859722455,178.2975709755,3490089,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,193.1,193.47,191.64,192.7,3006571,179.5809563706,179.9250524548,178.2231718222,179.2089606039,3006571,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,191.8,193.22,191.65,192.76,3110852,178.3719701288,179.6925551006,178.2324717163,179.2647599689,3110852,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,194.68,194.73,191.4,191.68,3326194,181.050339649,181.0968391199,177.9999743622,178.2603713988,3326194,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,196.42,199.42,194.82,195.5,6726295,182.6685212341,185.4584894843,181.1805381674,181.8129309707,6726295,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,196.31,198.95,195.7,197.86,5653697,182.5662223983,185.0213944585,181.9989288541,184.0077059942,5653697,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,199.82,199.82,196.84,197.5,3988075,185.830485251,185.830485251,183.0591167892,183.6729098042,3988075,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,198.33,200.24,197.66,199.78,4313752,184.4448010201,186.221080806,183.8217081109,185.7932856743,4313752,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,201.33,201.33,199.13,199.81,5786379,187.2347692703,187.2347692703,185.1887925535,185.8211853569,5786379,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,204.46,204.47,201.51,201.6,4450374,190.1456361446,190.1549360388,187.4021673653,187.4858664128,4450374,0.0,1.0,222042304016.788,244082304016.788,28.2793914246,94.7782317045,1.8970758414
14,2018-01-23 00:00:00+00:00,204.9,206.35,204.15,204.89,3552418,190.554831488,191.9033161423,189.8573394255,190.5455315938,3552418,0.0,1.0,222520141313.899,244560141313.899,28.3402489627,94.9821954234,1.9011583679
15,2018-01-24 00:00:00+00:00,206.22,207.1,204.55,205.2,4065050,191.7824175181,192.6008082048,190.2293351922,190.833828313,4065050,0.0,1.0,223953653205.233,245993653205.233,28.5228215768,95.5940865798,1.9134059474
16,2018-01-25 00:00:00+00:00,205.37,206.83,203.84,206.8,3533782,190.9919265139,192.3497110623,189.5690427063,192.3218113798,3533782,0.0,1.0,223030558426.722,245070558426.722,28.4052558783,95.2000657594,1.9055192485
17,2018-01-26 00:00:00+00:00,207.23,207.31,204.44,205.6,3655333,192.721706829,192.7961059823,190.1270363563,191.2058240797,3655333,0.0,1.0,225050507000.875,247090507000.875,28.6625172891,96.0622760253,1.9227772015
18,2018-01-29 00:00:00+00:00,204.92,207.61,204.71,207.23,2999591,190.5734312763,193.0751028073,190.3781334988,192.721706829,2999591,0.0,1.0,222541861191.041,245974861191.041,27.9563437926,164.5770612142,4.0257135061
19,2018-01-30 00:00:00+00:00,201.81,203.15,191.57,201.47,5923556,187.6811641903,188.9273500087,178.158072563,187.3649677886,5923556,0.0,1.0,219164420295.549,242597420295.549,27.5320600273,162.0793320498,3.9646166439
20,2018-01-31 00:00:00+00:00,200.9,205.08,200.23,203.22,4487502,186.8348738211,190.722229583,186.2117809119,188.9924492679,4487502,0.0,1.0,218176165885.614,241609165885.614,27.4079126876,161.3484852525,3.946739427
21,2018-02-01 00:00:00+00:00,199.9,202.25,198.28,199.34,3552226,185.9048844044,188.0903595337,184.3983015493,185.384090331,3552226,0.0,1.0,217090172028.543,240523172028.543,27.2714870396,160.5453569038,3.9270941337
22,2018-02-02 00:00:00+00:00,193.97,199.3,193.44,199.25,5995623,180.3900471631,185.3468907543,179.8971527723,185.3003912835,5995623,0.0,1.0,210650228456.11,234083228456.11,26.4624829468,155.782805796,3.8105975443
23,2018-02-05 00:00:00+00:00,183.11,194.3,180.38,190.07,10331341,170.2903620975,180.6969436707,167.7514909898,176.7630884379,10331341,0.0,1.0,198856335168.317,222289335168.317,24.9809004093,147.0608319292,3.5972496589
24,2018-02-06 00:00:00+00:00,191.04,191.96,175.42,178.62,11647438,177.6651781721,178.5207684355,163.1387434828,166.1147096163,11647438,0.0,1.0,207468266454.891,230901266454.891,26.0627557981,153.4296397344,3.7530368349
25,2018-02-07 00:00:00+00:00,191.29,194.52,189.72,190.73,5957101,177.8976755263,180.9015413423,176.437592142,177.3768814529,5957101,0.0,1.0,207739764919.16,231172764919.16,26.0968622101,153.6304218215,3.7579481583
26,2018-02-08 00:00:00+00:00,181.22,191.14,180.93,191.14,7207421,168.5326820998,177.7581771138,168.262985169,177.7581771138,7207421,0.0,1.0,196803806778.452,220236806778.452,24.7230559345,145.5429193502,3.5601200546
27,2018-02-09 00:00:00+00:00,184.12,186.0,175.79,183.25,9029210,171.2296514084,172.9780315118,163.482839567,170.4205606158,9029210,0.0,1.0,199953188963.958,223386188963.958,25.1186903138,147.8719915614,3.6170914052
28,2018-02-12 00:00:00+00:00,184.06,187.01,183.41,186.55,6741208,171.1738520434,173.9173208227,170.5693589225,173.489525691,6741208,0.0,1.0,199888029332.535,223321029332.535,25.1105047749,147.8238038605,3.6159126876
29,2018-02-13 00:00:00+00:00,183.72,183.99,180.89,183.23,4259241,170.8576556417,171.1087527842,168.2257855923,170.4019608275,4259241,0.0,1.0,199518791421.13,222951791421.13,25.0641200546,147.5507402219,3.6092332879
30,2018-02-14 00:00:00+00:00,184.69,185.06,181.05,181.88,6506394,171.7597453759,172.1038414601,168.374583899,169.1464751149,6506394,0.0,1.0,200572205462.49,224005205462.49,25.1964529332,148.3297747202,3.6282892224
31,2018-02-15 00:00:00+00:00,185.27,187.19,183.26,186.74,5078846,172.2991392376,174.0847189177,170.42986051,173.6662236802,5078846,0.0,1.0,201202081899.59,224635081899.59,25.275579809,148.7955891624,3.6396834925
32,2018-02-16 00:00:00+00:00,186.97,187.99,184.86,185.06,7565848,173.880121246,174.8287104511,171.9178435767,172.1038414601,7565848,0.0,1.0,203048271456.611,226481271456.611,25.5075034106,150.1609073552,3.6730804911
33,2018-02-20 00:00:00+00:00,186.71,191.44,186.31,189.9,8746130,173.6383239977,178.0371739388,173.266328231,176.6049902371,8746130,0.0,1.0,202765913053.774,226198913053.774,25.4720327422,149.9520939845,3.6679727149
34,2018-02-21 00:00:00+00:00,183.06,187.98,182.86,187.21,7508615,170.2438626266,174.8194105569,170.0578647433,174.1033187061,7508615,0.0,1.0,198802035475.462,222235035475.462,24.9740791269,147.0206755118,3.5962673943
35,2018-02-22 00:00:00+00:00,185.47,186.22,182.91,183.72,5553659,172.4851371209,173.1826291835,170.1043642141,170.8576556417,5553659,0.0,1.0,201419280671.004,224852280671.004,25.3028649386,148.9562148321,3.6436125512
36,2018-02-23 00:00:00+00:00,188.35,188.41,185.62,186.2,4219309,175.1635066411,175.2193060061,172.6246355335,173.1640293952,4219309,0.0,1.0,204546942979.37,227979942979.37,25.6957708049,151.2692244764,3.7001909959
37,2018-02-26 00:00:00+00:00,188.46,189.79,187.86,189.17,4384908,175.265805477,176.5026914012,174.7078118269,175.9260979628,4384908,0.0,1.0,204666402303.647,228099402303.647,25.7107776262,151.3575685947,3.7023519782
38,2018-02-27 00:00:00+00:00,184.98,189.25,184.96,188.87,4587554,172.0294423067,176.0004971162,172.0108425184,175.6471011378,4587554,0.0,1.0,200887143681.039,224320143681.039,25.2360163711,148.5626819413,3.6339863574
39,2018-02-28 00:00:00+00:00,182.27,186.65,182.27,184.41,6313166,169.5091709874,173.5825246327,169.5091709874,171.4993483392,6313166,0.0,1.0,197944100328.377,221377100328.377,24.8663028649,146.3862041163,3.5807476126
40,2018-03-01 00:00:00+00:00,179.64,184.4,178.25,182.75,6123863,167.0632988214,171.490048445,165.7706135321,169.9555659074,6123863,0.0,1.0,195087936484.279,218520936484.279,24.5075034106,144.2739765593,3.5290804911
41,2018-03-02 00:00:00+00:00,178.46,179.19,176.34,177.72,5671038,165.9659113097,166.6448035839,163.9943337462,165.2777191413,5671038,0.0,1.0,193806463732.935,217239463732.935,24.346521146,143.3262851078,3.505899045
42,2018-03-05 00:00:00+00:00,181.74,182.26,177.7,177.86,5748553,169.0162765965,169.4998710932,165.2591193529,165.4079176596,5748553,0.0,1.0,197368523584.129,220801523584.129,24.7939972715,145.9605460915,3.5703356071
43,2018-03-06 00:00:00+00:00,181.64,183.0,179.51,182.75,5306777,168.9232776549,170.1880632616,166.9424001972,169.9555659074,5306777,0.0,1.0,197259924198.422,220692924198.422,24.7803547067,145.8802332566,3.5683710778
44,2018-03-07 00:00:00+00:00,178.58,180.0,176.82,178.82,4799246,167.0353991389,168.3636008792,165.3891772636,167.2598839401,4799246,1.03,1.0,195055356668.567,218488356668.567,24.3628922237,143.4226605096,3.5082564802
45,2018-03-08 00:00:00+00:00,177.94,179.98,176.73,179.44,4219789,166.4367730024,168.3448938124,165.3049954632,167.8398030098,4219789,0.0,1.0,194356311824.419,217789311824.419,24.275579809,142.9086583665,3.4956834925
46,2018-03-09 00:00:00+00:00,182.16,182.24,177.92,179.0,4412928,170.3839640897,170.4587923568,166.4180659357,167.428247541,4412928,0.0,1.0,198965638765.518,222398638765.518,24.8512960437,146.297859998,3.5785866303
47,2018-03-12 00:00:00+00:00,179.71,183.06,179.55,182.43,4951429,168.0923484111,171.2257820941,167.942691877,170.636509491,4951429,0.0,1.0,196289607721.515,219722607721.515,24.517053206,144.3301955437,3.5304556617
48,2018-03-13 00:00:00+00:00,178.35,180.95,177.86,179.59,6089272,166.8202678711,169.2521865505,166.3619447354,167.9801060105,6089272,0.0,1.0,194804137427.701,218237137427.701,24.3315143247,143.2379409894,3.5037380628
49,2018-03-14 00:00:00+00:00,177.41,179.66,175.89,179.1,4520695,165.9410357332,168.0455807442,164.5192986591,167.5217828748,4520695,0.0,1.0,193777415312.86,217210415312.86,24.2032742156,142.4830003417,3.485271487
50,2018-03-15 00:00:00+00:00,178.07,179.86,176.72,177.69,3747456,166.5583689364,168.2326514118,165.2956419298,166.2029346679,3747456,0.0,1.0,194498305308.386,217931305308.386,24.2933151432,143.0130650518,3.4982373806
51,2018-03-16 00:00:00+00:00,178.96,180.4,177.97,178.43,7939123,167.3908334074,168.7377422145,166.4648336026,166.8950961382,7939123,0.0,1.0,195470414544.78,218903414544.78,24.41473397,143.7278492821,3.5157216917
52,2018-03-19 00:00:00+00:00,177.1,179.32,176.0,178.65,4501096,165.6510761983,167.7275606092,164.6221875263,167.1008738726,4501096,0.0,1.0,193438815466.475,216871815466.475,24.1609822647,142.2340305536,3.4791814461
53,2018-03-20 00:00:00+00:00,178.16,178.89,177.16,177.64,4103461,166.6425507369,167.3253586738,165.7071973986,166.156167001,4103461,0.0,1.0,194596608489.595,218029608489.595,24.3055934516,143.0853466032,3.500005457
54,2018-03-21 00:00:00+00:00,178.02,180.14,177.68,178.35,3472629,166.5116012695,168.4945503465,166.1935811345,166.8202678711,3472629,0.0,1.0,194443692429.938,217876692429.938,24.2864938608,142.9729086344,3.497255116
55,2018-03-22 00:00:00+00:00,175.29,178.56,175.08,177.42,5049280,163.9580866562,167.0166920721,163.7616624551,165.9503892666,5049280,0.0,1.0,189743696572.616,213176696572.616,23.9140518417,140.7803682424,3.4436234652
56,2018-03-23 00:00:00+00:00,171.8,177.06,171.56,176.24,5851950,160.6937035058,165.6136620648,160.4692187046,164.8466723275,5851950,0.0,1.0,185965925444.552,209398925444.552,23.4379263302,137.9774503055,3.3750613915
57,2018-03-26 00:00:00+00:00,176.38,176.8,173.52,174.11,7123755,164.9776217948,165.3704701969,162.3025112475,162.8543697171,7123755,0.0,1.0,190923573515.193,214356573515.193,24.0627557981,141.6557781425,3.4650368349
