,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,2299000000.0,1387000000.0,18448000000.0,0.0,3468000000.0,51000000.0,17129000000.0,0.0,120000000.0,-6508000000.0,16149000000.0,12545000000.0,277309352.0,0.0,890000000.0,1655000000.0,10992000000.0,1118000000.0,11444000000.0,11393000000.0,658000000.0,-853000000.0,4584000000.0,0.0,-1324000000.0,0.0,0.0,-13000000.0,-107000000.0,0.0,-100000000.0,1000000.0,25000000.0,5000000.0,-113000000.0,-13000000.0,0.0,-1000000.0,90000000.0,0.0,0.0,66000000.0,0.0,933000000.0,-112000000.0,116000000.0,-79000000.0,-79000000.0,-2000000.0,-0.29,4000000.0,-33000000.0,11000000.0,778000000.0,-0.28,94000000.0,-81000000.0,789000000.0,144000000.0,277309352.0,0.0,2.0,-0.610438413361169,0.845659163987138,1.99391039582427,-1319000000.0,0.845659163987138,3.36447362222389,-1.28712871287129,-8.60498489425982,0.314506096043792,-4.75642090858876,-0.0194461538461538
1,2020-06-30 00:00:00+00:00,2,2020,2306000000.0,1372000000.0,18417000000.0,0.0,3575000000.0,45000000.0,17126000000.0,0.0,118000000.0,-6429000000.0,16111000000.0,12549000000.0,277261486.0,0.0,827000000.0,1687000000.0,11032000000.0,1095000000.0,11408000000.0,11363000000.0,669000000.0,-881000000.0,4577000000.0,0.0,-1299000000.0,0.0,0.0,-34000000.0,1770000000.0,0.0,817000000.0,0.0,24000000.0,982000000.0,783000000.0,-29000000.0,0.0,978000000.0,88000000.0,0.0,0.0,63000000.0,0.0,564000000.0,-442000000.0,106000000.0,-430000000.0,-430000000.0,-2000000.0,-1.55,-336000000.0,-12000000.0,-302000000.0,771000000.0,-1.55,-248000000.0,-432000000.0,469000000.0,95000000.0,277261486.0,0.0,5.0,-0.772946859903382,0.831560283687943,1.98482220294883,-1291000000.0,0.831560283687943,2.03418083101524,-2.72222222222222,-8.74749807544265,-0.0702721322769549,-4.65625434900829,0.00324128507420001
2,2020-03-31 00:00:00+00:00,1,2020,2220000000.0,1460000000.0,16692000000.0,0.0,1805000000.0,41000000.0,15788000000.0,0.0,116000000.0,-5999000000.0,14472000000.0,12639000000.0,277447716.0,0.0,1111000000.0,1171000000.0,11100000000.0,1126000000.0,10462000000.0,10421000000.0,750000000.0,-899000000.0,3149000000.0,0.0,-914000000.0,0.0,-42000000.0,-29000000.0,1175000000.0,-296000000.0,129000000.0,-7000000.0,-12000000.0,1100000000.0,100000000.0,-47000000.0,0.0,1485000000.0,91000000.0,0.0,0.0,60000000.0,0.0,1920000000.0,-17000000.0,94000000.0,18000000.0,18000000.0,0.0,0.06,77000000.0,-35000000.0,68000000.0,1613000000.0,0.06,168000000.0,18000000.0,1681000000.0,239000000.0,277447716.0,0.0,6.0,-0.128856624319419,0.875520833333333,1.41846846846847,-904000000.0,0.875520833333333,6.92022276370082,-0.888888888888889,-11.4015317286652,-1.81395348837209,-3.25827155124247,0.0486284289276808
3,2019-12-31 00:00:00+00:00,4,2019,2871000000.0,1703000000.0,15429000000.0,0.0,630000000.0,37000000.0,14957000000.0,0.0,100000000.0,-5965000000.0,12558000000.0,12864000000.0,282162971.0,0.0,1261000000.0,1159000000.0,11237000000.0,1247000000.0,9030000000.0,8993000000.0,795000000.0,-840000000.0,2093000000.0,0.0,-482000000.0,0.0,-42000000.0,-60000000.0,-179000000.0,-452000000.0,202000000.0,0.0,31000000.0,-305000000.0,142000000.0,-76000000.0,3000000.0,214000000.0,90000000.0,0.0,0.0,114000000.0,0.0,2369000000.0,242000000.0,110000000.0,175000000.0,175000000.0,1000000.0,0.63,352000000.0,67000000.0,348000000.0,1709000000.0,0.62,442000000.0,176000000.0,2057000000.0,312000000.0,282162971.0,0.0,7.0,0.0354020979020979,0.868298860278599,0.729014280738419,-472000000.0,0.868298860278599,8.39585715873399,-0.171052631578947,-18.6576763485477,-5.68387096774194,-1.67279213968866,0.0587166969358682
5,2019-09-30 00:00:00+00:00,3,2019,2900000000.0,1784000000.0,15266000000.0,0.0,809000000.0,38000000.0,15067000000.0,0.0,146000000.0,-6097000000.0,12366000000.0,12812000000.0,286854529.0,0.0,1193000000.0,1124000000.0,11199000000.0,1219000000.0,8809000000.0,8771000000.0,873000000.0,-848000000.0,2255000000.0,0.0,-208000000.0,0.0,-43000000.0,-55000000.0,91000000.0,-433000000.0,532000000.0,-4000000.0,42000000.0,-485000000.0,477000000.0,48000000.0,0.0,-12000000.0,86000000.0,120000000.0,0.0,107000000.0,0.0,2395000000.0,419000000.0,105000000.0,288000000.0,288000000.0,2000000.0,1.01,524000000.0,131000000.0,519000000.0,1566000000.0,1.0,610000000.0,290000000.0,2085000000.0,310000000.0,286854529.0,0.0,8.0,0.0630270750110964,0.870563674321503,0.777586206896552,-199000000.0,0.870563674321503,8.34917966381489,0.836363636363636,-42.1682692307692,9.00726392251816,-0.693731420918231,0.062992125984252
6,2019-06-30 00:00:00+00:00,2,2019,2780000000.0,1657000000.0,15163000000.0,0.0,718000000.0,37000000.0,15140000000.0,0.0,146000000.0,-6342000000.0,12383000000.0,12925000000.0,291062641.0,0.0,1190000000.0,1120000000.0,11248000000.0,1309000000.0,8875000000.0,8838000000.0,861000000.0,-806000000.0,2215000000.0,0.0,-30000000.0,0.0,-43000000.0,-48000000.0,257000000.0,-357000000.0,286000000.0,2000000.0,47000000.0,20000000.0,238000000.0,-51000000.0,0.0,412000000.0,86000000.0,0.0,0.0,113000000.0,0.0,2484000000.0,361000000.0,101000000.0,260000000.0,260000000.0,1000000.0,0.9,462000000.0,101000000.0,478000000.0,1672000000.0,0.89,548000000.0,261000000.0,2150000000.0,334000000.0,291062641.0,0.0,9.0,0.0842426887821912,0.865539452495974,0.796762589928058,-23000000.0,0.865539452495974,8.53424538259446,0.25,-294.6,2.69121338912134,-0.0790207905795784,0.0553233214635909
7,2019-03-31 00:00:00+00:00,1,2019,2794000000.0,1679000000.0,14745000000.0,0.0,461000000.0,35000000.0,14853000000.0,0.0,146000000.0,-6558000000.0,11951000000.0,12977000000.0,292847337.0,0.0,1102000000.0,1153000000.0,11283000000.0,1328000000.0,8468000000.0,8433000000.0,850000000.0,-798000000.0,1876000000.0,0.0,100000000.0,0.0,-44000000.0,-42000000.0,-23000000.0,-296000000.0,364000000.0,0.0,34000000.0,-343000000.0,322000000.0,-44000000.0,0.0,39000000.0,84000000.0,0.0,0.0,107000000.0,0.0,2204000000.0,217000000.0,98000000.0,158000000.0,158000000.0,1000000.0,0.54,315000000.0,59000000.0,312000000.0,1594000000.0,0.54,399000000.0,159000000.0,1906000000.0,298000000.0,292847337.0,0.0,5.0,0.0626808100289296,0.864791288566243,0.671438797423049,108000000.0,0.864791288566243,7.52610565825292,0.0588235294117647,84.33,1.71011235955056,0.368792836248328,0.0534250662548046
8,2018-12-31 00:00:00+00:00,4,2018,2615000000.0,1549000000.0,13437000000.0,0.0,484000000.0,16000000.0,13995000000.0,0.0,90000000.0,-6417000000.0,10822000000.0,12012000000.0,296569995.0,0.0,1150000000.0,1176000000.0,11316000000.0,367000000.0,7282000000.0,7266000000.0,898000000.0,-782000000.0,1983000000.0,0.0,551000000.0,0.0,-44000000.0,-46000000.0,-216000000.0,-160000000.0,341000000.0,4000000.0,24000000.0,-510000000.0,295000000.0,-51000000.0,1000000.0,-283000000.0,83000000.0,0.0,0.0,115000000.0,0.0,2288000000.0,265000000.0,94000000.0,224000000.0,224000000.0,1000000.0,0.76,359000000.0,41000000.0,362000000.0,1597000000.0,0.74,442000000.0,225000000.0,1959000000.0,329000000.0,296569995.0,0.0,6.0,0.106382978723404,0.856206293706294,0.758317399617591,558000000.0,0.856206293706294,7.71487351577829,-0.662222222222222,13.1869328493648,0.893045002922268,1.88151198505432,0.054199772985244
10,2018-09-30 00:00:00+00:00,3,2018,2413000000.0,1358000000.0,13563000000.0,0.0,700000000.0,15000000.0,14143000000.0,0.0,150000000.0,-6580000000.0,11150000000.0,12108000000.0,298186104.0,0.0,1051000000.0,1113000000.0,11355000000.0,361000000.0,7574000000.0,7559000000.0,998000000.0,-746000000.0,2035000000.0,0.0,574000000.0,0.0,-45000000.0,-47000000.0,195000000.0,-122000000.0,382000000.0,-8000000.0,35000000.0,-174000000.0,335000000.0,-5000000.0,49000000.0,-3000000.0,81000000.0,0.0,0.0,109000000.0,0.0,2253000000.0,291000000.0,99000000.0,162000000.0,162000000.0,2000000.0,0.55,390000000.0,129000000.0,385000000.0,1537000000.0,0.54,471000000.0,164000000.0,1922000000.0,331000000.0,298186104.0,0.0,8.0,0.0774748923959827,0.853084775854416,0.843348528802321,580000000.0,0.853084775854416,7.5556840837895,0.122448979591837,13.1689895470383,1.11340206185567,1.94509399405145,0.0896550506031757
11,2018-06-30 00:00:00+00:00,2,2018,2378000000.0,1312000000.0,13426000000.0,0.0,505000000.0,11000000.0,13986000000.0,0.0,122000000.0,-6697000000.0,11048000000.0,12142000000.0,300416906.0,0.0,1041000000.0,1127000000.0,11364000000.0,351000000.0,7575000000.0,7564000000.0,930000000.0,-742000000.0,1844000000.0,0.0,555000000.0,0.0,-45000000.0,-41000000.0,-178000000.0,-1329000000.0,289000000.0,-13000000.0,40000000.0,-405000000.0,248000000.0,-49000000.0,0.0,971000000.0,79000000.0,0.0,0.0,115000000.0,0.0,2291000000.0,298000000.0,95000000.0,217000000.0,217000000.0,0.0,0.72,393000000.0,81000000.0,406000000.0,1533000000.0,0.71,472000000.0,217000000.0,1939000000.0,352000000.0,300416906.0,0.0,7.0,0.103564547206166,0.846355303360978,0.775441547518923,560000000.0,0.846355303360978,7.62606882050772,0.565217391304348,13.6288288288288,0.931516936671576,1.86407618484693,0.0892463446037709
