,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,4,2020-09-26 00:00:00+00:00,7195800000.0,3249200000.0,701000000.0,3058100000.0,2705200000.0,199000000.0,395100000.0,4973500000.0,38800000.0,2222300000.0,258985242.0,2731300000.0,0.0,1239300000.0,201800000.0,4488500000.0,1028900000.0,491500000.0,3965400000.0,0.0,-49700000.0,-1573200000.0,326800000.0,0.0,0.0,178800000.0,383700000.0,-350900000.0,-259900000.0,94300000.0,3600000.0,-58300000.0,0.0,29600000.0,-137900000.0,-79600000.0,0.0,-89300000.0,442000000.0,-43200000.0,415100000.0,221300000.0,643400000.0,259907000.0,25000000.0,123500000.0,1346900000.0,57000000.0,299000000.0,494900000.0,632800000.0,263176000.0,0.0,494900000.0,1.89,618400000.0,493600000.0,1.87,0.0,931800000.0,737700000.0,-1300000.0,8.0,0.555491396235131,0.691810824857079,1.79318970386509,2707300000.0,0.691810824857079,5.20068243888584,-5.10869565217391,1.0096480851693,0.479800370003872,10.4534914001007,0.164407391845971
2,2020,3,2020-06-27 00:00:00+00:00,6803100000.0,3198800000.0,744200000.0,3316500000.0,2255100000.0,187700000.0,413600000.0,4820300000.0,45500000.0,1982800000.0,258205678.0,2749200000.0,0.0,1345700000.0,214100000.0,4544500000.0,728000000.0,456200000.0,3845400000.0,0.0,-61900000.0,-2068100000.0,567300000.0,0.0,0.0,127300000.0,188000000.0,-241700000.0,-259700000.0,93600000.0,-600000.0,-35000000.0,0.0,19900000.0,-36300000.0,0.0,0.0,18200000.0,223000000.0,-55600000.0,356800000.0,208800000.0,197300000.0,259870000.0,27400000.0,32000000.0,822900000.0,55100000.0,275100000.0,137900000.0,191000000.0,261047000.0,0.0,137900000.0,0.53,169900000.0,136400000.0,0.53,0.0,466100000.0,290900000.0,-1500000.0,7.0,-0.0346081651806663,0.566411471624742,1.47343390057219,2258600000.0,0.566411471624742,3.18699420699804,0.514285714285714,1.2191033657044,0.228211812533735,8.74729021257232,0.075332936551562
3,2020,2,2020-03-28 00:00:00+00:00,6821800000.0,3249700000.0,799800000.0,3575600000.0,2086100000.0,187600000.0,401300000.0,4885200000.0,62600000.0,1936600000.0,263302012.0,2767700000.0,0.0,1480900000.0,235900000.0,4730600000.0,597200000.0,445300000.0,3920800000.0,0.0,-58900000.0,-2206000000.0,807900000.0,0.0,0.0,134400000.0,86100000.0,222600000.0,481900000.0,93700000.0,-300000.0,-31600000.0,0.0,15700000.0,78300000.0,111300000.0,0.0,-249700000.0,117700000.0,418300000.0,360300000.0,177100000.0,151700000.0,263238000.0,31300000.0,24100000.0,756100000.0,49300000.0,239400000.0,96300000.0,156400000.0,264506000.0,0.0,96300000.0,0.37,120400000.0,94800000.0,0.36,0.0,395800000.0,245400000.0,-1500000.0,6.0,-0.0761241446725318,0.523475730723449,1.30771827942467,2091200000.0,0.523475730723449,2.87160737685514,-1.36633663366337,1.32673409711903,0.208925955404829,7.94221048337451,0.0693994221823727
4,2020,1,2019-12-28 00:00:00+00:00,6311900000.0,3010900000.0,370800000.0,3092200000.0,2250800000.0,171500000.0,380800000.0,4674300000.0,30900000.0,1637600000.0,268145411.0,2788200000.0,0.0,1043300000.0,5700000.0,4054200000.0,581800000.0,452000000.0,3961200000.0,0.0,-28700000.0,-2302300000.0,304000000.0,0.0,0.0,123700000.0,82400000.0,-289900000.0,6200000.0,94400000.0,1400000.0,-31500000.0,0.0,18100000.0,-45700000.0,-11800000.0,0.0,-267200000.0,113900000.0,-220300000.0,416700000.0,233400000.0,130500000.0,267893000.0,32800000.0,-288400000.0,850500000.0,61200000.0,309000000.0,386100000.0,124800000.0,269721000.0,0.0,386100000.0,1.44,97700000.0,385800000.0,1.43,0.0,433800000.0,224900000.0,-300000.0,6.0,0.0238353196099674,0.51005291005291,1.56963481261382,2257700000.0,0.51005291005291,3.17178651996398,3.0,1.23875955215923,0.0383858718030837,8.41968539226651,0.0130068948945225
5,2019,4,2019-09-28 00:00:00+00:00,6442100000.0,3256300000.0,601800000.0,3076000000.0,2115700000.0,195300000.0,444900000.0,4649000000.0,34900000.0,1793100000.0,267306101.0,2802800000.0,0.0,1070100000.0,275300000.0,4326400000.0,648700000.0,470900000.0,4023500000.0,0.0,-42300000.0,-2688700000.0,273200000.0,0.0,0.0,186500000.0,216300000.0,9200000.0,-400000.0,113400000.0,-2200000.0,-31400000.0,0.0,13500000.0,-80800000.0,-47800000.0,0.0,13900000.0,247700000.0,173900000.0,616400000.0,225600000.0,-87900000.0,268894000.0,34800000.0,800000.0,865900000.0,60400000.0,336000000.0,-123500000.0,-86500000.0,268894000.0,0.0,-123500000.0,-0.46,-122700000.0,-123500000.0,-0.46,0.0,249500000.0,25500000.0,0.0,6.0,0.0645438898450947,0.288139508026331,1.67563779086067,2115700000.0,0.288139508026331,3.23935741369405,-3.42105263157895,1.32476248995604,-0.0916456607850198,7.91489603897967,-0.0308236157948322
7,2019,3,2019-06-29 00:00:00+00:00,6522400000.0,3290700000.0,427900000.0,3075000000.0,2216500000.0,186500000.0,467900000.0,4930600000.0,43200000.0,1591800000.0,268050138.0,2811200000.0,0.0,1015200000.0,312700000.0,4305900000.0,586800000.0,469800000.0,4354300000.0,0.0,-34200000.0,-2565200000.0,263800000.0,0.0,0.0,161500000.0,133400000.0,-104500000.0,-58500000.0,113300000.0,500000.0,-30300000.0,0.0,13900000.0,-32800000.0,-800000.0,0.0,-42900000.0,163700000.0,26900000.0,407600000.0,223500000.0,149400000.0,268932000.0,35100000.0,20400000.0,852400000.0,61400000.0,299500000.0,93900000.0,145300000.0,270789000.0,0.0,93900000.0,0.35,114300000.0,93900000.0,0.35,0.0,444800000.0,262700000.0,0.0,6.0,0.0344660194174757,0.521820741435946,1.56796690307329,2216500000.0,0.521820741435946,3.18000209348894,-0.146341463414634,1.26830588766073,-0.0128702646882983,8.26897541086138,-0.00435132542695543
8,2019,2,2019-03-30 00:00:00+00:00,6525300000.0,3320300000.0,401000000.0,3132200000.0,2159800000.0,190500000.0,443400000.0,5014300000.0,40000000.0,1511000000.0,291314767.0,2819800000.0,0.0,1045200000.0,335400000.0,4365500000.0,557500000.0,469700000.0,4439400000.0,0.0,-30500000.0,-2659100000.0,312400000.0,0.0,0.0,165200000.0,104200000.0,-8000000.0,-18400000.0,117600000.0,800000.0,-29300000.0,-3000000.0,17500000.0,-36400000.0,-2000000.0,0.0,12200000.0,133500000.0,89900000.0,776000000.0,223400000.0,-318900000.0,269235000.0,34800000.0,-81100000.0,818400000.0,57300000.0,365600000.0,-272600000.0,-323200000.0,269235000.0,0.0,-272600000.0,-1.01,-353700000.0,-272600000.0,-1.01,0.0,42400000.0,-201300000.0,0.0,6.0,0.0368681109844167,0.0518084066471163,1.44565633371604,2159800000.0,0.0518084066471163,2.80933235355007,-0.589430894308943,1.30558385035651,-0.0044950967399947,7.41397362805161,-0.00152632734681829
9,2019,1,2018-12-29 00:00:00+00:00,6931500000.0,3459400000.0,311100000.0,3149500000.0,2394400000.0,185200000.0,418600000.0,5529600000.0,29700000.0,1401900000.0,289212857.0,2828400000.0,0.0,1077700000.0,456500000.0,4537100000.0,578600000.0,472600000.0,4965100000.0,0.0,-31900000.0,-2386500000.0,321100000.0,0.0,0.0,176300000.0,82000000.0,-328200000.0,-183100000.0,118800000.0,-1300000.0,-22600000.0,0.0,17100000.0,-130700000.0,-106600000.0,0.0,-133500000.0,104600000.0,-355600000.0,396600000.0,224600000.0,140400000.0,270590000.0,36100000.0,5700000.0,830700000.0,53200000.0,293600000.0,98600000.0,140500000.0,272372000.0,0.0,98600000.0,0.36,104300000.0,98600000.0,0.36,0.0,434100000.0,259200000.0,0.0,5.0,0.0500568828213879,0.522571325388227,1.30082583279206,2394400000.0,0.522571325388227,2.87227894574549,-0.755102040816326,1.18125626461744,-0.172622783820215,8.27902336305886,-0.0588875394022788
10,2018,4,2018-09-29 00:00:00+00:00,7230900000.0,3399500000.0,666700000.0,3326900000.0,2428800000.0,191100000.0,384100000.0,5507700000.0,31700000.0,1723200000.0,272122768.0,2725500000.0,0.0,1402600000.0,498200000.0,4802100000.0,579200000.0,478200000.0,4931800000.0,0.0,-25500000.0,-2494000000.0,601400000.0,0.0,0.0,192200000.0,200300000.0,-27900000.0,52100000.0,119100000.0,-5700000.0,-32100000.0,0.0,11900000.0,-107500000.0,-72100000.0,0.0,-79400000.0,232400000.0,91300000.0,392400000.0,251600000.0,105600000.0,272720000.0,34300000.0,20800000.0,813400000.0,52700000.0,322000000.0,50500000.0,99000000.0,272720000.0,0.0,50500000.0,0.19,71300000.0,50500000.0,0.19,0.0,421000000.0,224700000.0,0.0,4.0,0.013077593722755,0.517580526186378,1.22857550263796,2428800000.0,0.517580526186378,2.98909204098644,-0.366666666666667,1.12215909090909,-0.0423278411089666,8.92538326671732,-0.0150380003377808
12,2018,3,2018-06-30 00:00:00+00:00,7091400000.0,3406700000.0,575400000.0,3270200000.0,2449500000.0,195000000.0,370500000.0,5496000000.0,44200000.0,1595400000.0,273010940.0,2743300000.0,0.0,1235200000.0,494900000.0,4641900000.0,551700000.0,461500000.0,4942400000.0,0.0,-18600000.0,-2544500000.0,526900000.0,0.0,0.0,167300000.0,209300000.0,-241500000.0,-148500000.0,120500000.0,-4900000.0,-24700000.0,0.0,17200000.0,-26400000.0,0.0,0.0,-88800000.0,234000000.0,-38800000.0,388000000.0,227400000.0,139800000.0,273729000.0,34500000.0,-7600000.0,824000000.0,54400000.0,302900000.0,112900000.0,133100000.0,275569000.0,0.0,112900000.0,0.41,105300000.0,112900000.0,0.41,0.0,436000000.0,260300000.0,0.0,5.0,0.0222056816772112,0.529126213592233,1.29161269430052,2449500000.0,0.529126213592233,3.01819406943912,0.952380952380952,1.11994284547867,-0.0290974636281705,8.97216792850865,-0.0104237704134916
