,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,4,2020,4829621000.0,1291971000.0,487884000.0,480727000.0,3318514000.0,0.0,104180000.0,3866294000.0,0.0,963327000.0,107478166.0,480727000.0,0.0,219136000.0,650675000.0,1511107000.0,192623000.0,3690924000.0,126680000.0,120920000.0,-26188000.0,3010012000.0,0.0,31585000.0,89335000.0,36468000.0,72793000.0,-31244000.0,0.0,109587000.0,0.0,-19835000.0,-27725000.0,4270000.0,-861000.0,0.0,-27211000.0,-1000.0,92628000.0,60523000.0,162518000.0,32619000.0,-69840000.0,107481000.0,6154000.0,-17031000.0,208267000.0,4915000.0,121179000.0,-58963000.0,-75430000.0,107481000.0,0.0,-58963000.0,-0.55,-75994000.0,-58963000.0,-0.55,-1683000.0,45749000.0,39747000.0,0.0,4.0,-0.679120252676989,0.219665141381016,4.39602347400701,3318514000.0,0.219665141381016,1.9377610146418,-2.48648648648649,0.14486212804888,-0.139776133525601,30.8761688397251,-0.0950489161306437
2,2020-06-30 00:00:00+00:00,3,2020,4962326000.0,1324102000.0,426245000.0,480269000.0,3396057000.0,0.0,113034000.0,3971782000.0,0.0,990544000.0,107418296.0,480269000.0,0.0,242167000.0,685589000.0,1566269000.0,302194000.0,3801740000.0,128393000.0,91067000.0,-27082000.0,3096168000.0,0.0,25280000.0,65787000.0,36181000.0,186963000.0,-77532000.0,0.0,110161000.0,0.0,-26648000.0,-19828000.0,11107000.0,-40074000.0,0.0,-77234000.0,0.0,213611000.0,96005000.0,205198000.0,43108000.0,-48309000.0,107439000.0,6125000.0,-8835000.0,317364000.0,3638000.0,169750000.0,-45599000.0,-57584000.0,107439000.0,0.0,-45599000.0,-0.43,-54434000.0,-45599000.0,-0.43,-408000.0,112166000.0,61852000.0,0.0,4.0,-0.538697683342684,0.353430130701655,4.09033435604356,3396057000.0,0.353430130701655,2.9544687620068,-0.697183098591549,0.141419593369605,-0.106261152456988,31.615256678434,-0.0722924110585169
3,2020-03-31 00:00:00+00:00,2,2020,5176754000.0,1338329000.0,336089000.0,479811000.0,3461006000.0,0.0,112474000.0,4056638000.0,0.0,1120116000.0,108877646.0,479811000.0,0.0,377419000.0,700360000.0,1715748000.0,531556000.0,3888943000.0,130186000.0,65955000.0,-27603000.0,3168966000.0,0.0,20300000.0,45655000.0,144794000.0,72570000.0,-111042000.0,0.0,132006000.0,0.0,-48291000.0,11506000.0,10751000.0,-23915000.0,0.0,-78288000.0,-28504000.0,120861000.0,-14096000.0,417743000.0,41978000.0,-521719000.0,108557000.0,6095000.0,-107274000.0,633639000.0,6214000.0,734437000.0,-420540000.0,-518541000.0,108557000.0,0.0,-420540000.0,-3.88,-527814000.0,-420540000.0,-3.88,72000.0,215896000.0,-389713000.0,0.0,4.0,-0.121005510024027,0.340723976901674,2.96783150821766,3461006000.0,0.340723976901674,5.81973456700194,-8.05454545454545,0.138633391563031,-0.129553996379268,31.7880311262424,-0.0884970343866652
4,2019-12-31 00:00:00+00:00,1,2020,5841510000.0,1446626000.0,355010000.0,479355000.0,3975537000.0,0.0,148688000.0,4686866000.0,0.0,1154644000.0,108446592.0,479355000.0,0.0,419347000.0,798802000.0,1865973000.0,500947000.0,4464549000.0,169115000.0,92193000.0,-28119000.0,3666260000.0,0.0,35149000.0,57044000.0,122609000.0,65760000.0,-77402000.0,0.0,130131000.0,0.0,-46021000.0,-3948000.0,10201000.0,-23035000.0,15056000.0,-77602000.0,4100000.0,111781000.0,11344000.0,389206000.0,49808000.0,58424000.0,108555000.0,6100000.0,21719000.0,614657000.0,6878000.0,194083000.0,30605000.0,31368000.0,108724000.0,0.0,30605000.0,0.27,52324000.0,30605000.0,0.27,124000.0,225451000.0,188555000.0,0.0,5.0,-0.170053119236077,0.366791560170957,2.75343331417657,3975537000.0,0.366791560170957,5.66783140589609,0.588235294117647,0.120576163672983,-0.00536782332569213,36.6589389918311,-0.00371117169750191
5,2019-09-30 00:00:00+00:00,4,2019,5839515000.0,1417054000.0,347943000.0,479356000.0,4012223000.0,0.0,149653000.0,4724429000.0,0.0,1115086000.0,109433698.0,479356000.0,0.0,410238000.0,806611000.0,1827292000.0,495602000.0,4502084000.0,169502000.0,84951000.0,-28635000.0,3714307000.0,0.0,31991000.0,52960000.0,45383000.0,141548000.0,-133840000.0,-12852000.0,134886000.0,0.0,-54832000.0,4949000.0,8825000.0,-48675000.0,-13382000.0,-78363000.0,-42627000.0,196380000.0,13865000.0,430778000.0,49812000.0,46873000.0,108892000.0,8043000.0,-2347000.0,649050000.0,6120000.0,179251000.0,41177000.0,39021000.0,108892000.0,0.0,41177000.0,0.37,38830000.0,41177000.0,0.37,713000.0,218272000.0,181759000.0,0.0,4.0,-0.0685609729846087,0.336294584392574,2.71814410171656,4012223000.0,0.336294584392574,5.93098846024558,17.5,0.119473917576366,-0.00803622941195257,36.6635056050103,-0.00560331047498653
7,2019-06-30 00:00:00+00:00,3,2019,5897379000.0,1411799000.0,334775000.0,491651000.0,4095054000.0,0.0,150126000.0,4781141000.0,0.0,1116238000.0,109414675.0,491651000.0,0.0,390526000.0,827027000.0,1802325000.0,508183000.0,4583673000.0,136995000.0,94039000.0,-16085000.0,3750785000.0,0.0,48291000.0,45748000.0,134077000.0,176763000.0,-77986000.0,0.0,143297000.0,0.0,-73590000.0,-19446000.0,8878000.0,-81368000.0,0.0,-78478000.0,644000.0,250353000.0,90999000.0,443114000.0,46590000.0,-173151000.0,109425000.0,6257000.0,-24725000.0,687974000.0,7066000.0,412734000.0,-154683000.0,-167874000.0,109425000.0,0.0,-154683000.0,-1.42,-179408000.0,-154683000.0,-1.42,62000.0,244860000.0,-29854000.0,0.0,4.0,0.0602614999568483,0.355914613052237,2.85829368595177,4095054000.0,0.355914613052237,6.28776715737628,16.75,0.120059711056313,-0.0169086006386746,37.4269173673458,-0.0118650150449883
8,2019-03-31 00:00:00+00:00,2,2019,6144562000.0,1452235000.0,243912000.0,491227000.0,4318620000.0,0.0,161526000.0,5096558000.0,0.0,1048004000.0,109405326.0,491227000.0,0.0,373707000.0,861440000.0,1825942000.0,552737000.0,4886948000.0,138433000.0,86365000.0,-12072000.0,3979708000.0,0.0,60247000.0,26118000.0,130721000.0,65650000.0,-78156000.0,0.0,143160000.0,0.0,-133886000.0,15073000.0,9431000.0,-105863000.0,0.0,-78458000.0,303000.0,199536000.0,15517000.0,441719000.0,43506000.0,105991000.0,109406000.0,6167000.0,38933000.0,720868000.0,7262000.0,184003000.0,60891000.0,95146000.0,109503000.0,0.0,60891000.0,0.55,99824000.0,60891000.0,0.55,10966000.0,279149000.0,249151000.0,0.0,6.0,0.248290861738161,0.387240104984546,2.80434672082674,4318620000.0,0.387240104984546,6.58896624465979,-5.58333333333333,0.113746289323904,0.0170107939950375,39.4735810210922,0.0119977511180824
9,2018-12-31 00:00:00+00:00,1,2019,6144341000.0,1432190000.0,228462000.0,490805000.0,4326238000.0,0.0,159992000.0,5101594000.0,0.0,1042747000.0,109038462.0,490805000.0,0.0,385913000.0,853187000.0,1818103000.0,545731000.0,4900339000.0,139871000.0,95803000.0,-12296000.0,3997283000.0,0.0,54731000.0,41072000.0,141406000.0,13388000.0,-86347000.0,-3912000.0,141460000.0,0.0,-196094000.0,536000.0,7158000.0,-186730000.0,-2781000.0,-78122000.0,1954000.0,209482000.0,-63595000.0,487593000.0,54508000.0,27101000.0,109142000.0,4720000.0,3422000.0,740598000.0,7019000.0,198716000.0,18959000.0,54289000.0,109425000.0,0.0,18959000.0,0.17,22381000.0,18959000.0,0.17,-10595000.0,253005000.0,168561000.0,0.0,5.0,0.31291449723181,0.341622580671295,2.70202610432921,4326238000.0,0.341622580671295,6.79208039453088,-0.962800875273523,0.113448451056091,0.000345518682166824,39.6762566221816,0.000245109148309197
10,2018-09-30 00:00:00+00:00,4,2018,6214867000.0,1454964000.0,284355000.0,493968000.0,4382735000.0,0.0,158134000.0,5099317000.0,0.0,1115550000.0,108943754.0,493968000.0,0.0,377168000.0,853136000.0,1832132000.0,565202000.0,4857382000.0,137984000.0,140157000.0,16550000.0,4027779000.0,0.0,98696000.0,41461000.0,132664000.0,42498000.0,-78003000.0,0.0,150281000.0,0.0,-143926000.0,-2584000.0,8215000.0,-130178000.0,0.0,-78062000.0,1195000.0,186424000.0,-21757000.0,444407000.0,52252000.0,39767000.0,108950000.0,6471000.0,30843000.0,696825000.0,5018000.0,228205000.0,2453000.0,24213000.0,109534000.0,0.0,2453000.0,0.02,33296000.0,2453000.0,0.02,-278000.0,252418000.0,190048000.0,0.0,6.0,0.309073386636208,0.362240160729021,2.95770054723624,4382735000.0,0.362240160729021,6.39619045989548,-1.0952380952381,0.112707704207533,0.107746927809445,40.2293370577261,0.0769056636451918
12,2018-06-30 00:00:00+00:00,3,2018,6265872000.0,1441713000.0,306426000.0,493700000.0,4442491000.0,0.0,152109000.0,5132394000.0,0.0,1133478000.0,108881688.0,493700000.0,0.0,381668000.0,833738000.0,1823381000.0,565321000.0,4883378000.0,145060000.0,136981000.0,8942000.0,4103418000.0,0.0,92702000.0,44279000.0,143732000.0,32321000.0,-79732000.0,0.0,144579000.0,0.0,-131456000.0,5075000.0,7926000.0,-116158000.0,0.0,-76935000.0,3515000.0,163777000.0,-32113000.0,444511000.0,52310000.0,16737000.0,108905000.0,5993000.0,18752000.0,648872000.0,5479000.0,198055000.0,-8008000.0,6306000.0,108905000.0,0.0,-8008000.0,-0.08,10744000.0,-8008000.0,-0.08,-166000.0,204361000.0,161316000.0,0.0,5.0,0.301481855890116,0.314948094539447,2.96980097886121,4442491000.0,0.314948094539447,5.95942267169848,-0.619047619047619,0.111131345004413,0.10342867199022,40.8010849354209,0.0722765974616092
