,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020,4,2020-10-31 00:00:00+00:00,34681000000.0,0.0,20648000000.0,0.0,0.0,5381000000.0,0.0,36909000000.0,-1961000000.0,10689000000.0,0.0,4864000000.0,14033000000.0,6217000000.0,6380000000.0,-1243000000.0,2627000000.0,5963000000.0,0.0,14704000000.0,26220000000.0,1373496735.0,0.0,5543000000.0,-2228000000.0,674000000.0,-116000000.0,-85000000.0,1758000000.0,-1604000000.0,1874000000.0,-46000000.0,-23000000.0,-238000000.0,57000000.0,0.0,185000000.0,-1343000000.0,0.0,196000000.0,992000000.0,668000000.0,1347000000.0,1357000000.0,216000000.0,381000000.0,668000000.0,2679000000.0,0.49,0.0,992000000.0,0.0,108000000.0,1687000000.0,0.0,668000000.0,15258000000.0,0.49,1188000000.0,776000000.0,1244000000.0,12579000000.0,0.0846718370870983,-0.00967092879859799,-2228000000.0,0.787490465293669,0.814814814814815,0.17558002359418,11.1088724211638,-2.48788150807899,0.17558002359418,-1.62213709230259,4.0,-1.72598998634502
2,2020,3,2020-07-31 00:00:00+00:00,34244000000.0,0.0,20269000000.0,0.0,0.0,5269000000.0,0.0,36230000000.0,-1353000000.0,11204000000.0,0.0,4679000000.0,13975000000.0,6257000000.0,6386000000.0,-1605000000.0,2658000000.0,5896000000.0,0.0,14276000000.0,25026000000.0,1429956853.0,0.0,5981000000.0,-1986000000.0,276000000.0,-117000000.0,-551000000.0,1550000000.0,-491000000.0,1667000000.0,-230000000.0,726000000.0,-251000000.0,49000000.0,36000000.0,625000000.0,-1078000000.0,0.0,197000000.0,779000000.0,734000000.0,1417000000.0,1423000000.0,28000000.0,359000000.0,734000000.0,2393000000.0,0.52,0.0,779000000.0,0.0,17000000.0,1614000000.0,0.0,734000000.0,14294000000.0,0.52,976000000.0,751000000.0,1156000000.0,11901000000.0,0.0770316959591408,-0.0211600356091214,-1986000000.0,0.809917685606969,-0.341772151898734,0.1674129005177,9.99610580557846,-3.01158106747231,0.1674129005177,-1.38885309429682,5.0,-1.84593232541397
3,2020,2,2020-04-30 00:00:00+00:00,33773000000.0,0.0,19660000000.0,0.0,0.0,5146000000.0,0.0,34516000000.0,-633000000.0,9240000000.0,0.0,4054000000.0,14113000000.0,5492000000.0,6370000000.0,-1050000000.0,2714000000.0,6354000000.0,0.0,14195000000.0,25276000000.0,1433345730.0,0.0,3941000000.0,-743000000.0,1551000000.0,-146000000.0,118000000.0,-656000000.0,241000000.0,-510000000.0,300000000.0,612000000.0,-252000000.0,63000000.0,-36000000.0,-151000000.0,-123000000.0,0.0,198000000.0,826000000.0,764000000.0,1435000000.0,1440000000.0,0.0,338000000.0,764000000.0,2493000000.0,0.53,0.0,826000000.0,0.0,62000000.0,1667000000.0,0.0,764000000.0,12469000000.0,0.53,1024000000.0,826000000.0,1216000000.0,9976000000.0,0.0916672378732835,-0.111641493302935,-743000000.0,0.777812945086248,0.0392156862745099,0.199935840885396,8.69922708738247,-5.30417227456258,0.199935840885396,-0.518367609746185,4.0,-2.56030631780472
4,2020,1,2020-01-31 00:00:00+00:00,31656000000.0,0.0,17477000000.0,0.0,0.0,4857000000.0,0.0,33290000000.0,-1306000000.0,9423000000.0,0.0,4205000000.0,14179000000.0,4855000000.0,6387000000.0,-1208000000.0,2756000000.0,4946000000.0,0.0,12808000000.0,23867000000.0,1453187484.0,0.0,3932000000.0,-1634000000.0,923000000.0,-198000000.0,-498000000.0,1087000000.0,-1119000000.0,1285000000.0,-300000000.0,-56000000.0,-256000000.0,109000000.0,0.0,-332000000.0,-691000000.0,0.0,198000000.0,865000000.0,678000000.0,1454000000.0,1460000000.0,-13000000.0,400000000.0,678000000.0,2872000000.0,0.47,0.0,865000000.0,0.0,200000000.0,2007000000.0,0.0,678000000.0,14618000000.0,0.46,1063000000.0,878000000.0,1290000000.0,11746000000.0,0.0935168450808657,-0.0062542488103331,-1634000000.0,0.732266309129761,-0.0961538461538463,0.196470105349569,10.0592663788728,-2.40636474908201,0.196470105349569,-1.12442476830471,5.0,-2.2236914600551
5,2019,4,2019-10-31 00:00:00+00:00,33467000000.0,0.0,20177000000.0,0.0,0.0,6031000000.0,0.0,34660000000.0,-818000000.0,9367000000.0,0.0,4537000000.0,13290000000.0,5137000000.0,6372000000.0,-1225000000.0,2794000000.0,5734000000.0,0.0,14793000000.0,25293000000.0,1481913639.0,0.0,4780000000.0,-1193000000.0,357000000.0,-196000000.0,-227000000.0,392000000.0,-743000000.0,588000000.0,0.0,-43000000.0,-236000000.0,64000000.0,-31000000.0,-382000000.0,-464000000.0,0.0,205000000.0,944000000.0,388000000.0,1476000000.0,1485000000.0,452000000.0,389000000.0,388000000.0,2924000000.0,0.27,0.0,944000000.0,0.0,104000000.0,1980000000.0,0.0,388000000.0,15407000000.0,0.27,1149000000.0,492000000.0,1405000000.0,12483000000.0,0.0967553795622679,0.00266822855655335,-1193000000.0,0.79773059739849,-0.706521739130435,0.189783864477186,10.3966922191206,-4.00670578373847,0.189783864477186,-0.80504016469208,6.0,-2.23229461756374
7,2019,3,2019-07-31 00:00:00+00:00,32405000000.0,0.0,19683000000.0,0.0,0.0,5295000000.0,0.0,33536000000.0,-1068000000.0,8957000000.0,144000000.0,4919000000.0,12722000000.0,5058000000.0,6330000000.0,-863000000.0,2462000000.0,5716000000.0,0.0,14648000000.0,24579000000.0,1506291734.0,0.0,4730000000.0,-1131000000.0,328000000.0,-172000000.0,-189000000.0,2171000000.0,-791000000.0,2343000000.0,6000000.0,-36000000.0,-240000000.0,60000000.0,-23000000.0,1363000000.0,-591000000.0,0.0,190000000.0,1079000000.0,1179000000.0,1499000000.0,1508000000.0,831000000.0,413000000.0,1179000000.0,2905000000.0,0.79,0.0,1079000000.0,0.0,-931000000.0,1826000000.0,0.0,1179000000.0,14603000000.0,0.78,1269000000.0,248000000.0,1376000000.0,11698000000.0,0.128249013030282,0.00116550116550118,-1131000000.0,0.80080556572684,0.436363636363636,0.198931726357598,9.69466914700602,-4.18213969938108,0.198931726357598,-0.750850565312868,5.0,-3.30977620730271
8,2019,2,2019-04-30 00:00:00+00:00,31946000000.0,0.0,18285000000.0,0.0,0.0,5414000000.0,0.0,33433000000.0,-1325000000.0,10230000000.0,206000000.0,3556000000.0,13661000000.0,5039000000.0,6349000000.0,-900000000.0,2412000000.0,5394000000.0,0.0,13839000000.0,23203000000.0,1539371597.0,0.0,4749000000.0,-1487000000.0,290000000.0,-114000000.0,296000000.0,747000000.0,-968000000.0,861000000.0,410000000.0,-39000000.0,-245000000.0,66000000.0,0.0,189000000.0,-691000000.0,0.0,181000000.0,928000000.0,782000000.0,1529000000.0,1536000000.0,45000000.0,353000000.0,782000000.0,2729000000.0,0.51,0.0,928000000.0,0.0,101000000.0,1801000000.0,0.0,782000000.0,14036000000.0,0.51,1109000000.0,883000000.0,1339000000.0,11307000000.0,0.117498799807969,0.00235663786331508,-1487000000.0,0.788044649398785,-0.215384615384615,0.194428612140211,9.11800635230247,-3.19367854741089,0.194428612140211,-0.965978586910357,5.0,-2.73368237347295
9,2019,1,2019-01-31 00:00:00+00:00,32490000000.0,0.0,18936000000.0,0.0,0.0,5113000000.0,0.0,34327000000.0,-1431000000.0,10128000000.0,268000000.0,3367000000.0,13554000000.0,5003000000.0,6343000000.0,-1087000000.0,2312000000.0,5649000000.0,0.0,14572000000.0,24199000000.0,1553494507.0,0.0,4706000000.0,-1837000000.0,297000000.0,-189000000.0,-318000000.0,673000000.0,-2343000000.0,862000000.0,275000000.0,-1291000000.0,-249000000.0,107000000.0,-404000000.0,-1799000000.0,-720000000.0,0.0,168000000.0,926000000.0,803000000.0,1556000000.0,1567000000.0,26000000.0,344000000.0,803000000.0,2612000000.0,0.52,0.0,926000000.0,0.0,97000000.0,1686000000.0,0.0,803000000.0,14710000000.0,0.51,1094000000.0,900000000.0,1248000000.0,12098000000.0,0.12564723160963,0.0132947578700833,-1837000000.0,0.782511674036117,-0.555555555555556,0.177566281441196,9.46897458196162,-2.56178551986935,0.177566281441196,-1.18249533018787,5.0,-2.74615132656404
10,2018,4,2018-10-31 00:00:00+00:00,34622000000.0,0.0,21387000000.0,0.0,0.0,5113000000.0,0.0,35261000000.0,-473000000.0,10130000000.0,0.0,5166000000.0,13235000000.0,5987000000.0,5968000000.0,-845000000.0,2198000000.0,6062000000.0,0.0,14816000000.0,25131000000.0,1582408508.0,0.0,4524000000.0,-639000000.0,1463000000.0,-125000000.0,87000000.0,843000000.0,-2084000000.0,968000000.0,212000000.0,-1285000000.0,-219000000.0,65000000.0,0.0,-1029000000.0,-546000000.0,0.0,140000000.0,994000000.0,1451000000.0,1579000000.0,1601000000.0,-13000000.0,354000000.0,1451000000.0,2697000000.0,0.92,0.0,994000000.0,0.0,-444000000.0,1703000000.0,0.0,1451000000.0,15366000000.0,0.9,1134000000.0,1007000000.0,1263000000.0,12669000000.0,0.156437213673206,0.103324477633374,-639000000.0,0.851020651784648,1.3,0.17551737602499,9.71051401854571,-7.07981220657277,0.17551737602499,-0.403814815687278,5.0,-3.03922407645129
12,2018,3,2018-07-31 00:00:00+00:00,34254000000.0,0.0,21776000000.0,0.0,1099000000.0,4615000000.0,0.0,36021000000.0,-1039000000.0,10515000000.0,265000000.0,6195000000.0,12478000000.0,7184000000.0,5930000000.0,-1330000000.0,2112000000.0,6091000000.0,0.0,14245000000.0,25506000000.0,1610512633.0,0.0,4503000000.0,-1767000000.0,2681000000.0,-117000000.0,299000000.0,1397000000.0,135000000.0,1514000000.0,227000000.0,1022000000.0,-223000000.0,55000000.0,-16000000.0,1948000000.0,-696000000.0,0.0,132000000.0,1018000000.0,880000000.0,1601000000.0,1618000000.0,0.0,347000000.0,880000000.0,2688000000.0,0.55,0.0,1018000000.0,0.0,138000000.0,1670000000.0,0.0,880000000.0,14586000000.0,0.54,1150000000.0,1018000000.0,1289000000.0,11898000000.0,0.134900631231459,0.116845329249617,-1767000000.0,0.853759899631459,0.341463414634146,0.184286301933361,9.05674361139892,-2.54838709677419,0.184286301933361,-1.09716618410406,7.0,-1.85521472392638
13,2018,2,2018-04-30 00:00:00+00:00,32087000000.0,0.0,19433000000.0,0.0,1062000000.0,4605000000.0,0.0,33950000000.0,-1075000000.0,10823000000.0,300000000.0,4247000000.0,12654000000.0,6111000000.0,5941000000.0,-1314000000.0,2061000000.0,5557000000.0,0.0,13054000000.0,23127000000.0,1641373766.0,0.0,4494000000.0,-1863000000.0,1617000000.0,-113000000.0,621000000.0,937000000.0,-2899000000.0,1050000000.0,170000000.0,-1911000000.0,-227000000.0,63000000.0,0.0,-1228000000.0,-763000000.0,0.0,127000000.0,906000000.0,1058000000.0,1630000000.0,1646000000.0,823000000.0,356000000.0,1058000000.0,2702000000.0,0.65,0.0,906000000.0,0.0,-975000000.0,1796000000.0,0.0,1058000000.0,14003000000.0,0.64,1033000000.0,83000000.0,1318000000.0,11301000000.0,0.131700194433306,0.130641905530884,-1863000000.0,0.840273273662818,0.96969696969697,0.192958651717489,8.53126831320393,-2.4122383252818,0.192958651717489,-1.13502484235513,6.0,-1.40932642487047
14,2018,1,2018-01-31 00:00:00+00:00,35245000000.0,0.0,21217000000.0,0.0,1039000000.0,4396000000.0,0.0,37987000000.0,-1346000000.0,14638000000.0,213000000.0,5475000000.0,14028000000.0,7869000000.0,5935000000.0,-1829000000.0,2026000000.0,5655000000.0,0.0,12848000000.0,23349000000.0,1645228387.0,0.0,6340000000.0,-2742000000.0,1529000000.0,-19000000.0,-1723000000.0,977000000.0,-795000000.0,996000000.0,-129000000.0,-65000000.0,-230000000.0,85000000.0,-1020000000.0,-1522000000.0,-500000000.0,0.0,129000000.0,913000000.0,1938000000.0,1650000000.0,1669000000.0,8000000.0,347000000.0,1938000000.0,2582000000.0,1.17,0.0,913000000.0,0.0,-1033000000.0,1669000000.0,0.0,1938000000.0,14517000000.0,1.16,1042000000.0,905000000.0,1229000000.0,11935000000.0,0.119678827128857,0.144512771996216,-2742000000.0,0.908689879652233,2.25,0.177860439484742,8.82369895554203,-2.31218088986141,0.177860439484742,-1.6666379097676,5.0,-1.06701744669067
