,date,quarter,year,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswa,statementData.incomeStatement.sga,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,2,2021,2018519000.0,284536000.0,0.0,1963516000.0,172842000.0,1117854000.0,-31707000.0,108805000.0,-279966000.0,-335617000.0,0.0,362413000.0,610469000.0,191114000.0,387324000.0,2556429000.0,0.0,71253000.0,0.0,552603000.0,2836395000.0,0.0,1827405000.0,592913000.0,2283792000.0,192898471.0,15000.0,-150255000.0,510000.0,37799000.0,-50154000.0,-2149225000.0,-11794000.0,-242239000.0,-1932035000.0,-2419261000.0,7338000.0,-18273000.0,-27812000.0,-260512000.0,0.0,0.0,0.0,-1.18,30861000.0,245055000.0,136842000.0,-223726000.0,-223726000.0,176550000.0,-205347000.0,1246000.0,-14547000.0,192898471.0,136842000.0,-1.18,-169613000.0,-238273000.0,-223726000.0,-68505000.0,-207412000.0,0.0491993531344601,0.0979409332031518,-279966000.0,1.07294567709549,0.242105263157895,-0.388020390824129,0.915248312154843,-6.52723902188123,-0.388020390824129,-1.45136453673601,4.0,-2.02285046693212
1,2020-07-31 00:00:00+00:00,1,2021,4002992000.0,318887000.0,0.0,2000091000.0,153274000.0,1124313000.0,-34037000.0,128690000.0,135277000.0,82933000.0,0.0,342244000.0,661025000.0,209556000.0,2806585000.0,4997436000.0,0.0,97222000.0,0.0,765958000.0,4862159000.0,0.0,3793436000.0,2997345000.0,4096201000.0,192475308.0,6405000.0,-1766000.0,14137000.0,39508000.0,-50044000.0,-56720000.0,-128000.0,-20500000.0,0.0,-66435000.0,7597000.0,-8311000.0,4380000.0,-28811000.0,0.0,0.0,0.0,0.47,32125000.0,315036000.0,133038000.0,91259000.0,91259000.0,601030000.0,152956000.0,2297000.0,30486000.0,192475308.0,133038000.0,0.47,193378000.0,121745000.0,91259000.0,285994000.0,153870000.0,0.0573527694134578,2.99722004229792,135277000.0,3.91319759046841,-1.63513513513514,0.475839808329035,3.12263430694185,28.0419879210804,0.475839808329035,0.70282781415266,5.0,-4.98338728914636
2,2020-04-30 00:00:00+00:00,4,2020,4003360000.0,325911000.0,0.0,2025311000.0,151195000.0,1127114000.0,-51576000.0,203103000.0,71041000.0,42965000.0,0.0,392257000.0,679155000.0,844921000.0,2873020000.0,5112047000.0,0.0,133197000.0,0.0,1575616000.0,5041006000.0,0.0,3158439000.0,3086736000.0,3465390000.0,192475284.0,-4926000.0,-14000.0,25355000.0,44127000.0,-50043000.0,919936000.0,-2374000.0,1576752000.0,965000000.0,2511233000.0,5346000.0,-15175000.0,19471000.0,1561577000.0,0.0,0.0,0.0,2.32,27412000.0,767157000.0,374603000.0,460403000.0,460403000.0,1809352000.0,667592000.0,3057000.0,178616000.0,192475284.0,268603000.0,2.32,710558000.0,639019000.0,460403000.0,1042195000.0,666431000.0,-0.00208603320939369,-0.224267431186957,71041000.0,1.95906616840652,-0.455399061032864,0.576004558538084,9.40043813625442,44.4593826100421,0.576004558538084,0.369091545281211,6.0,0.932560949165144
4,2020-01-31 00:00:00+00:00,3,2020,3006800000.0,280588000.0,0.0,2150468000.0,134901000.0,1271904000.0,-25391000.0,156766000.0,-318379000.0,-367218000.0,0.0,209196000.0,661346000.0,836912000.0,361787000.0,3452430000.0,0.0,819946000.0,0.0,1337621000.0,3770809000.0,0.0,2169888000.0,1301962000.0,2433188000.0,195246026.0,-1412000.0,-64971000.0,-26655000.0,44147000.0,-50764000.0,788673000.0,-16869000.0,-774475000.0,900000000.0,-59857000.0,6605000.0,-23656000.0,-72643000.0,-798131000.0,0.0,0.0,0.0,-0.67,26305000.0,462521000.0,209288000.0,-129683000.0,-129683000.0,519205000.0,-152604000.0,1657000.0,-49004000.0,195246026.0,209288000.0,-0.67,-108235000.0,-178687000.0,-129683000.0,56684000.0,-152382000.0,0.129955220318127,0.108502852360456,-318379000.0,0.973341477144871,0.0806451612903227,0.109174603480321,2.65923466222047,-6.81542438414594,0.109174603480321,-1.63065546850106,5.0,3.74235802877649
5,2019-10-31 00:00:00+00:00,2,2020,2118538000.0,258422000.0,0.0,2155329000.0,145807000.0,1240708000.0,-21817000.0,111439000.0,-75747000.0,-122535000.0,0.0,286487000.0,682185000.0,811548000.0,421644000.0,2756741000.0,0.0,74710000.0,0.0,1263957000.0,2832488000.0,0.0,1306990000.0,601412000.0,1568531000.0,200720054.0,497000.0,-153904000.0,-17259000.0,42657000.0,-51551000.0,-76568000.0,-13215000.0,-209487000.0,135000000.0,-343810000.0,9420000.0,-27673000.0,-58252000.0,-237160000.0,0.0,0.0,0.0,-0.95,21306000.0,253206000.0,150334000.0,-187999000.0,-187999000.0,160801000.0,-242739000.0,4445000.0,-77752000.0,200720054.0,150334000.0,-0.95,-201788000.0,-265751000.0,-187999000.0,-92405000.0,-244445000.0,0.140840793040462,0.0801364940115938,-75747000.0,0.475816819717759,0.104651162790698,-0.574654386477696,0.801120749000994,-17.2546767528747,-0.574654386477696,-0.377376343272606,3.0,3.04393610967361
6,2019-07-31 00:00:00+00:00,1,2020,1972462000.0,293770000.0,0.0,2163295000.0,142416000.0,1240669000.0,-22736000.0,122156000.0,290804000.0,250740000.0,0.0,382642000.0,685826000.0,186355000.0,765454000.0,3110000000.0,0.0,76128000.0,0.0,732969000.0,2819196000.0,0.0,1786107000.0,946705000.0,2086227000.0,201960249.0,556000.0,-35250000.0,-391764000.0,38605000.0,-52512000.0,-100193000.0,-2806000.0,-483829000.0,0.0,-942273000.0,6674000.0,-15181000.0,-358807000.0,-499010000.0,0.0,0.0,0.0,-0.74,21071000.0,229392000.0,116136000.0,-150247000.0,-150247000.0,150362000.0,-195166000.0,4523000.0,-61390000.0,201960249.0,116136000.0,-0.74,-151961000.0,-211637000.0,-150247000.0,-79030000.0,-190566000.0,0.151598365579452,0.0356722205767892,290804000.0,1.29160305551804,0.0,-0.525598222955268,0.74451284717915,6.1419615961266,-0.525598222955268,1.43990711756352,3.0,2.89357268711218
7,2019-04-30 00:00:00+00:00,4,2019,1492629000.0,349858000.0,0.0,1306586000.0,141979000.0,862430000.0,-20416000.0,249525000.0,541527000.0,499386000.0,0.0,469879000.0,212092000.0,0.0,1707727000.0,3299945000.0,0.0,138965000.0,0.0,923001000.0,2758418000.0,0.0,1492629000.0,1993359000.0,1835417000.0,203293118.0,-1446000.0,-87755000.0,16313000.0,40682000.0,-50595000.0,-514078000.0,-3047000.0,1953994000.0,-385000000.0,1402598000.0,5758000.0,-15508000.0,-35872000.0,1938486000.0,0.0,0.0,0.0,4.26,21837000.0,863521000.0,317650000.0,877909000.0,877909000.0,2332443000.0,1151272000.0,6860000.0,249810000.0,203293118.0,317650000.0,4.25,1190238000.0,1127719000.0,877909000.0,1468922000.0,1149556000.0,0.157842774200448,-0.0252443844137261,541527000.0,2.15964988120273,-0.221206581352834,0.629778305407678,11.4733003406441,2.7563334792171,0.629778305407678,2.66377438315448,7.0,3.45879415496705
9,2019-01-31 00:00:00+00:00,3,2019,1876989000.0,299179000.0,0.0,1334154000.0,141366000.0,876957000.0,-17642000.0,202101000.0,-213591000.0,-254277000.0,0.0,263226000.0,220505000.0,0.0,305129000.0,2568806000.0,0.0,758217000.0,0.0,587646000.0,2782397000.0,0.0,1876989000.0,1234652000.0,2194751000.0,205527815.0,992000.0,725000.0,-14419000.0,44088000.0,-51382000.0,336651000.0,-7960000.0,-719765000.0,385000000.0,-418177000.0,6170000.0,-13560000.0,-36055000.0,-733325000.0,0.0,0.0,0.0,-0.62,22833000.0,421026000.0,185458000.0,-126454000.0,-126454000.0,468384000.0,-138100000.0,6675000.0,-38885000.0,205527815.0,185458000.0,-0.62,-98418000.0,-165339000.0,-126454000.0,47358000.0,-142506000.0,0.260720970405161,-0.0410338515967619,-213591000.0,2.10101319501877,-0.474576271186441,0.101109346177495,2.27893241603332,-8.78777195668357,0.101109346177495,-1.03923159986885,5.0,8.06947101559841
10,2018-10-31 00:00:00+00:00,2,2019,1491328000.0,285448000.0,0.0,1342294000.0,130987000.0,871715000.0,-18880000.0,114393000.0,-31325000.0,-64291000.0,0.0,330056000.0,241772000.0,0.0,723306000.0,2233296000.0,0.0,61286000.0,0.0,435721000.0,2264621000.0,0.0,1491328000.0,891002000.0,1828900000.0,205520820.0,-2056000.0,-40000.0,-16515000.0,41493000.0,-51380000.0,-56360000.0,-7110000.0,-252128000.0,0.0,-387186000.0,7480000.0,-54365000.0,-76642000.0,-306493000.0,0.0,0.0,0.0,-0.86,21191000.0,250815000.0,113319000.0,-176276000.0,-176276000.0,148871000.0,-215263000.0,5339000.0,-61053000.0,205520820.0,113319000.0,-0.86,-174645000.0,-237329000.0,-176276000.0,-101944000.0,-216138000.0,0.215675356856447,0.0569170914564017,-31325000.0,2.04489111151402,0.162162162162162,-0.684780783362777,0.724359702340619,-47.6082362330407,-0.684780783362777,-0.152417648002767,6.0,-15.8229324721244
11,2018-07-31 00:00:00+00:00,1,2019,1495006000.0,325479000.0,0.0,1322915000.0,131683000.0,862772000.0,-16034000.0,145471000.0,192009000.0,163567000.0,0.0,409605000.0,227003000.0,0.0,1110492000.0,2605038000.0,0.0,70576000.0,0.0,563996000.0,2413029000.0,0.0,1495006000.0,1282123000.0,1849033000.0,209255308.0,-1153000.0,-100310000.0,3655000.0,40432000.0,-52104000.0,-169908000.0,-1805000.0,-375563000.0,0.0,-553186000.0,4359000.0,-12057000.0,-6562000.0,-387620000.0,0.0,0.0,0.0,-0.74,21190000.0,221560000.0,105740000.0,-152670000.0,-152670000.0,145183000.0,-182117000.0,3873000.0,-49968000.0,209255308.0,105740000.0,-0.74,-141016000.0,-202638000.0,-152670000.0,-76377000.0,-181448000.0,0.235855930776285,0.0535623575855213,192009000.0,2.27328385307697,0.174603174603175,-0.526073989378922,0.693807967824644,7.7861246087423,-0.526073989378922,0.91758245864903,4.0,-4.50216140249313
