,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,251.64,252.86,248.01,249.36,795680,246.3240694114,247.5182967389,242.7707536748,244.0922347338,795680,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,251.28,256.6,250.25,252.03,1212312,245.9716744623,251.1792887099,244.963433358,246.7058306062,1212312,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,258.36,259.97,252.86,252.86,1345052,252.902108461,254.4780969833,247.5182967389,247.5182967389,1345052,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,264.33,264.9,258.39,258.42,1212204,258.7459913667,259.3039500361,252.9314747068,252.9608409525,1212204,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,258.55,263.88,257.05,263.88,1303905,253.0880946841,258.3054976803,251.6197823963,258.3054976803,1303905,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,263.08,264.08,257.55,257.86,1105213,257.5223977935,258.501272652,252.1092198256,252.4126710317,1105213,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,263.1,263.84,261.01,262.27,926435,257.5419752906,258.266342686,255.4961268362,256.729509158,926435,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,265.21,267.12,262.56,263.88,770406,259.6074012422,261.4770522221,257.013382867,258.3054976803,770406,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,268.02,271.99,265.18,268.93,1573421,262.3580395948,266.2441727834,259.5780349965,263.2488157161,1573421,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,270.17,271.97,267.58,270.71,1690861,264.4626205408,266.2245952862,261.9273346571,264.9912129644,1690861,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,275.75,276.07,270.6,271.99,1116753,269.9247422516,270.2379822063,264.8835367299,266.2441727834,1116753,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,279.44,280.0,275.15,276.29,1247221,273.5367904797,274.0849604005,269.3374173365,270.4533346752,1247221,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,279.3,280.93,277.16,280.77,1161156,273.3997479995,274.995314019,271.3049558022,274.8386940416,1161156,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,281.87,282.16,277.5,279.08,1095599,275.9154563861,276.1993300951,271.6377732541,273.1843955306,1095599,0.0,1.0,39417308587.1975,40436308587.1975,16.708358032,4.0914423145,-0.1104311624
14,2018-01-23 00:00:00+00:00,282.86,283.93,278.18,280.74,1326969,276.8845424961,277.9319385947,272.3034081579,274.8093277959,1326969,0.0,1.0,39555752321.9026,40574752321.9026,16.7670420865,4.1058125132,-0.1108190251
15,2018-01-24 00:00:00+00:00,286.32,287.15,282.19,283.89,1104992,280.2714495067,281.0839156393,276.2286963408,277.8927836004,1104992,0.0,1.0,40039606182.5892,41058606182.5892,16.9721398933,4.1560356317,-0.1121745855
16,2018-01-25 00:00:00+00:00,285.91,287.24,283.15,286.14,896346,279.8701108147,281.1720143766,277.168416205,280.0952520322,896346,0.0,1.0,39982270898.5194,41001270898.5194,16.947836396,4.1500843373,-0.1120139555
17,2018-01-26 00:00:00+00:00,288.29,289.02,285.75,287.87,1123217,282.1998329781,282.9144116249,279.7134908373,281.7887055375,1123217,0.0,1.0,40315095230.4366,41334095230.4366,17.0889152341,4.1846308754,-0.1129463931
18,2018-01-29 00:00:00+00:00,291.23,293.35,288.28,288.77,884752,285.0777250623,287.1529397625,282.1900442295,282.6696929102,884752,0.0,1.0,40726231169.8639,41745231169.8639,17.2631890931,4.2273060108,-0.1140982277
19,2018-01-30 00:00:00+00:00,282.29,285.93,277.0,277.47,1607607,276.3265838267,279.8896883119,271.1483358248,271.6084070083,1607607,0.0,1.0,39476042292.83,40495042292.83,16.7332542976,4.0975387624,-0.1105957102
20,2018-01-31 00:00:00+00:00,281.83,290.92,280.9,287.95,1071159,275.8763013917,284.7742738562,274.9659477733,281.8670155262,1071159,0.0,1.0,39411714900.9468,40430714900.9468,16.7059869591,4.0908617004,-0.1104154912
