,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,14905000000.0,12882000000.0,22709000000.0,12741000000.0,7985000000.0,1938000000.0,38477000000.0,0.0,0.0,20872000000.0,7804000000.0,11446000000.0,132292566.0,15006000000.0,1135000000.0,287000000.0,4443000000.0,2228000000.0,7997000000.0,6059000000.0,0.0,370000000.0,27031000000.0,2265000000.0,15768000000.0,0.0,-83000000.0,-250000000.0,822000000.0,-3000000.0,1815000000.0,0.0,47000000.0,-845000000.0,1565000000.0,-148000000.0,102000000.0,-96000000.0,161000000.0,0.0,0.0,2513000000.0,0.0,20075000000.0,1790000000.0,75000000.0,1340000000.0,1340000000.0,0.0,10.12,1865000000.0,450000000.0,1823000000.0,2641000000.0,10.05,2026000000.0,1340000000.0,4464000000.0,15611000000.0,132292566.0,0.0,8.0,0.236069207561111,0.222366127023661,1.81355249916136,15768000000.0,0.222366127023661,151.74699990323,0.961240310077519,0.384259259259259,0.304382878921138,119.190370833082,0.118118018472828
1,2020,2,2020-06-30 00:00:00+00:00,16455000000.0,14358000000.0,24039000000.0,12836000000.0,7163000000.0,2034000000.0,38455000000.0,0.0,0.0,19616000000.0,7584000000.0,10587000000.0,132206069.0,14347000000.0,2238000000.0,266000000.0,4443000000.0,2118000000.0,8092000000.0,6058000000.0,0.0,317000000.0,27868000000.0,1511000000.0,14416000000.0,0.0,-83000000.0,-226000000.0,1109000000.0,1000000.0,3067000000.0,0.0,46000000.0,-306000000.0,2841000000.0,-1652000000.0,-1426000000.0,-39000000.0,150000000.0,0.0,0.0,2354000000.0,0.0,19083000000.0,2611000000.0,76000000.0,1828000000.0,1828000000.0,0.0,13.83,2687000000.0,783000000.0,2435000000.0,2473000000.0,13.75,2837000000.0,1828000000.0,4908000000.0,14175000000.0,132206069.0,0.0,7.0,0.174699907663897,0.257192265367081,1.69358857490125,14416000000.0,0.257192265367081,144.342844049013,0.987068965517241,0.420227524972253,0.277886885278422,109.041892774227,0.106652860471136
2,2020,1,2020-03-31 00:00:00+00:00,14830000000.0,12694000000.0,22278000000.0,11104000000.0,6054000000.0,2067000000.0,34633000000.0,0.0,0.0,17871000000.0,7448000000.0,10082000000.0,132106497.0,12590000000.0,2009000000.0,274000000.0,4443000000.0,2023000000.0,8124000000.0,6057000000.0,0.0,48000000.0,24551000000.0,1486000000.0,12355000000.0,0.0,-73000000.0,-192000000.0,2000000000.0,2000000.0,474000000.0,0.0,36000000.0,2736000000.0,282000000.0,-1210000000.0,-309000000.0,2233000000.0,145000000.0,-709000000.0,0.0,2117000000.0,0.0,18935000000.0,725000000.0,60000000.0,473000000.0,473000000.0,0.0,3.58,785000000.0,252000000.0,1074000000.0,2232000000.0,3.56,930000000.0,473000000.0,3306000000.0,15629000000.0,132106497.0,0.0,6.0,0.175575836592786,0.174597306575125,1.65549561699258,12355000000.0,0.174597306575125,143.331330630923,-0.143540669856459,0.490246863617968,0.218447717538912,93.5230308922657,0.0858456486042693
3,2019,4,2019-12-31 00:00:00+00:00,10929000000.0,9964000000.0,17037000000.0,10972000000.0,4054000000.0,924000000.0,29074000000.0,0.0,0.0,17483000000.0,6108000000.0,9186000000.0,132426045.0,12441000000.0,1056000000.0,247000000.0,3928000000.0,1955000000.0,5891000000.0,4967000000.0,0.0,156000000.0,19888000000.0,1469000000.0,12037000000.0,0.0,-75000000.0,-230000000.0,-1473000000.0,-25000000.0,512000000.0,0.0,44000000.0,-1184000000.0,282000000.0,-801000000.0,-571000000.0,-450000000.0,140000000.0,0.0,0.0,2129000000.0,0.0,16295000000.0,591000000.0,58000000.0,512000000.0,512000000.0,0.0,3.89,649000000.0,79000000.0,362000000.0,2244000000.0,3.86,789000000.0,512000000.0,2606000000.0,13689000000.0,132426045.0,0.0,7.0,0.150127046866177,0.15992635777846,1.81974563089029,12037000000.0,0.15992635777846,123.049812444372,0.496153846153846,0.41264434659799,0.233608767879873,90.8960167163491,0.0937359326846497
5,2019,3,2019-09-30 00:00:00+00:00,11106000000.0,10071000000.0,17579000000.0,10430000000.0,5527000000.0,972000000.0,29180000000.0,0.0,0.0,17045000000.0,6473000000.0,8856000000.0,135089290.0,11895000000.0,848000000.0,274000000.0,3922000000.0,1864000000.0,6337000000.0,5365000000.0,0.0,177000000.0,20324000000.0,1465000000.0,11601000000.0,0.0,-74000000.0,-210000000.0,749000000.0,-995000000.0,2442000000.0,0.0,43000000.0,-1127000000.0,2232000000.0,-566000000.0,-356000000.0,404000000.0,159000000.0,0.0,0.0,1889000000.0,0.0,16241000000.0,889000000.0,62000000.0,689000000.0,689000000.0,0.0,5.16,951000000.0,200000000.0,868000000.0,2016000000.0,5.14,1110000000.0,689000000.0,2884000000.0,13357000000.0,135089290.0,0.0,7.0,0.143249331268478,0.177575272458592,1.83000180082838,11601000000.0,0.177575272458592,120.224186536179,0.102564102564103,0.462460132747177,0.229342327150084,85.8765339576513,0.0911894863886281
6,2019,2,2019-06-30 00:00:00+00:00,11539000000.0,9888000000.0,17041000000.0,9991000000.0,4778000000.0,1553000000.0,28913000000.0,0.0,0.0,16429000000.0,5502000000.0,8753000000.0,135035018.0,11458000000.0,904000000.0,312000000.0,3922000000.0,1796000000.0,5930000000.0,4377000000.0,0.0,112000000.0,20160000000.0,1467000000.0,11872000000.0,0.0,-74000000.0,-157000000.0,901000000.0,1000000.0,1434000000.0,0.0,43000000.0,-477000000.0,1277000000.0,-56000000.0,101000000.0,-323000000.0,140000000.0,0.0,0.0,1703000000.0,0.0,16245000000.0,1241000000.0,60000000.0,940000000.0,940000000.0,0.0,6.96,1301000000.0,301000000.0,1115000000.0,1812000000.0,6.94,1441000000.0,940000000.0,2927000000.0,13318000000.0,135035018.0,0.0,8.0,0.139280454449821,0.180178516466605,1.74711846780484,11872000000.0,0.180178516466605,120.302127852495,3.97142857142857,0.368682614555256,0.230519704603492,87.9179354795213,0.0909544773748468
7,2019,1,2019-03-31 00:00:00+00:00,11927000000.0,9956000000.0,17508000000.0,9876000000.0,3877000000.0,1872000000.0,28349000000.0,0.0,0.0,15563000000.0,5581000000.0,8676000000.0,135566909.0,11346000000.0,1955000000.0,312000000.0,3897000000.0,1754000000.0,6248000000.0,4376000000.0,0.0,-10000000.0,19673000000.0,1470000000.0,10841000000.0,0.0,-68000000.0,-139000000.0,1534000000.0,7000000.0,896000000.0,0.0,33000000.0,493000000.0,757000000.0,145000000.0,284000000.0,0.0,136000000.0,0.0,0.0,1660000000.0,0.0,16107000000.0,749000000.0,62000000.0,566000000.0,566000000.0,0.0,4.18,811000000.0,183000000.0,847000000.0,1767000000.0,4.16,947000000.0,566000000.0,2614000000.0,13493000000.0,135566909.0,0.0,7.0,0.128020169479655,0.162289687713417,1.6494508258573,10841000000.0,0.162289687713417,118.81218004314,0.174157303370786,0.403652799557236,0.16820552073865,79.9678924596562,0.0608715223074393
8,2018,4,2018-12-31 00:00:00+00:00,10077000000.0,8148000000.0,15252000000.0,10026000000.0,2343000000.0,1865000000.0,25413000000.0,0.0,0.0,15072000000.0,5175000000.0,8465000000.0,137186880.0,11484000000.0,1015000000.0,283000000.0,3897000000.0,1735000000.0,6240000000.0,4375000000.0,0.0,-159000000.0,16948000000.0,1458000000.0,10161000000.0,0.0,-70000000.0,-176000000.0,-1799000000.0,-798000000.0,-333000000.0,0.0,32000000.0,-1019000000.0,-509000000.0,-447000000.0,824000000.0,867000000.0,134000000.0,-1095000000.0,0.0,2115000000.0,0.0,14168000000.0,438000000.0,59000000.0,355000000.0,355000000.0,0.0,2.6,497000000.0,83000000.0,517000000.0,2218000000.0,2.58,631000000.0,355000000.0,2735000000.0,11433000000.0,137186880.0,0.0,4.0,0.0742285237698082,0.193040654997177,1.68184975687208,10161000000.0,0.193040654997177,103.275181999911,0.884057971014493,0.430567857494341,0.164011109486917,74.0668495412972,0.0558088637607149
10,2018,3,2018-09-30 00:00:00+00:00,11324000000.0,10629000000.0,16897000000.0,9695000000.0,4142000000.0,597000000.0,27490000000.0,0.0,0.0,14786000000.0,5573000000.0,8413000000.0,137763407.0,11148000000.0,1062000000.0,294000000.0,3895000000.0,1685000000.0,5371000000.0,4774000000.0,0.0,-206000000.0,19077000000.0,1453000000.0,10593000000.0,0.0,-69000000.0,-164000000.0,-4689000000.0,-197000000.0,-1055000000.0,0.0,36000000.0,-1281000000.0,-1219000000.0,-2353000000.0,-1384000000.0,122000000.0,131000000.0,-805000000.0,0.0,1900000000.0,0.0,14206000000.0,910000000.0,53000000.0,644000000.0,644000000.0,0.0,4.68,963000000.0,266000000.0,961000000.0,2002000000.0,4.65,1094000000.0,644000000.0,2963000000.0,11243000000.0,137763407.0,0.0,5.0,0.0695678361692516,0.208573842038575,1.68465206640763,10593000000.0,0.208573842038575,103.11882022488,0.352601156069364,0.45067497403946,0.148500994426302,76.8926976377697,0.0494153981910435
11,2018,2,2018-06-30 00:00:00+00:00,18768000000.0,12169000000.0,24059000000.0,9464000000.0,8052000000.0,472000000.0,34270000000.0,0.0,0.0,14211000000.0,5291000000.0,7406000000.0,137682171.0,9843000000.0,1471000000.0,3630000000.0,3895000000.0,1626000000.0,5245000000.0,4773000000.0,0.0,-176000000.0,26864000000.0,379000000.0,10211000000.0,0.0,-69000000.0,-138000000.0,-24000000.0,-10000000.0,-125000000.0,0.0,34000000.0,-17000000.0,-263000000.0,118000000.0,441000000.0,-52000000.0,130000000.0,-185000000.0,0.0,1761000000.0,0.0,14259000000.0,19000000.0,53000000.0,193000000.0,193000000.0,0.0,1.4,72000000.0,-174000000.0,862000000.0,1861000000.0,1.39,202000000.0,193000000.0,2723000000.0,11536000000.0,137682171.0,0.0,4.0,0.0535687897147923,0.190967108492882,1.43137254901961,10211000000.0,0.190967108492882,103.564607504627,-0.688195991091314,0.467437077661346,0.132252993106784,74.1635603639632,0.0427665282307578
