,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,1606292000.0,923971000.0,632359000.0,291567000.0,1079451000.0,2000805000.0,49983000.0,217597000.0,0.0,337593000.0,-61925000.0,868679000.0,0.0,0.0,0.0,2047407000.0,1178728000.0,526841000.0,90825000.0,27590000.0,973954000.0,71933000.0,0.0,175587000.0,85054677.0,440576000.0,7927000.0,173906000.0,-19460000.0,193116000.0,822000.0,18617000.0,24651000.0,-250000.0,-104184000.0,0.0,0.0,70294000.0,-19210000.0,-121940000.0,86690000.0,196613000.0,171962000.0,1.71,250750000.0,422606000.0,1.69,163852000.0,102000.0,171856000.0,17633000.0,146219000.0,8110000.0,85314000.0,146321000.0,299183000.0,213233000.0,721789000.0,146219000.0,0.0,37517000.0,0.0,9.0,0.192442462700499,0.585497977940922,1.64884471785605,441115000.0,0.585497977940922,8.48617648621486,0.357142857142857,2.0971886802731,1.99254620571431,5.18625213284861,0.257534516050546
1,2020-06-30 00:00:00+00:00,2,2020,1687313000.0,968159000.0,633302000.0,291045000.0,1146729000.0,1854586000.0,121596000.0,229377000.0,0.0,320320000.0,-57032000.0,779612000.0,0.0,0.0,0.0,1960713000.0,1181101000.0,540584000.0,94081000.0,36599000.0,1089755000.0,73903000.0,0.0,105293000.0,84932969.0,272963000.0,7797000.0,184254000.0,-24556000.0,208142000.0,1843000.0,10403000.0,23582000.0,0.0,-161531000.0,0.0,0.0,23898000.0,-23888000.0,-170790000.0,86402000.0,216843000.0,193261000.0,1.75,186094000.0,379342000.0,1.72,183766000.0,56000.0,193248000.0,34826000.0,148940000.0,9495000.0,85134000.0,148996000.0,258250000.0,154449000.0,637592000.0,148940000.0,0.0,31645000.0,0.0,8.0,0.0282033791160501,0.594960413556004,1.44216624983351,273400000.0,0.594960413556004,7.50700237501411,0.198630136986301,3.54685067206911,2.41989775524373,3.21900909881062,0.247668052678311
2,2020-03-31 00:00:00+00:00,1,2020,1778190000.0,762706000.0,624770000.0,291159000.0,931949000.0,1705646000.0,486824000.0,211644000.0,0.0,299983000.0,-55246000.0,721351000.0,0.0,0.0,0.0,1886245000.0,1164894000.0,846241000.0,87070000.0,38908000.0,1249530000.0,74210000.0,0.0,81395000.0,85329642.0,107674000.0,7284000.0,-21799000.0,-49670000.0,27871000.0,-4033000.0,-172605000.0,23204000.0,0.0,16901000.0,0.0,0.0,-8931000.0,-49670000.0,198110000.0,86705000.0,167640000.0,144436000.0,1.31,215265000.0,359590000.0,1.29,136744000.0,29000.0,144325000.0,24917000.0,111827000.0,7692000.0,85427000.0,111856000.0,266746000.0,181955000.0,626336000.0,111827000.0,0.0,33310000.0,0.0,5.0,0.0872831808018666,0.57411676799673,0.85241792822612,108055000.0,0.57411676799673,7.34019252067177,0.100840336134454,7.0834741906124,2.65245115822292,1.26632430966955,0.242890966605036
3,2019-12-31 00:00:00+00:00,4,2019,1654650000.0,766382000.0,614452000.0,298192000.0,929313000.0,1595648000.0,288765000.0,195019000.0,0.0,269312000.0,-46182000.0,679639000.0,0.0,0.0,0.0,1832475000.0,1152836000.0,725337000.0,90205000.0,33024000.0,1055147000.0,72172000.0,0.0,90326000.0,85782572.0,177473000.0,16655000.0,109757000.0,-95911000.0,155413000.0,1217000.0,-133322000.0,22589000.0,-50255000.0,-74389000.0,0.0,0.0,-13670000.0,-45656000.0,59257000.0,87269000.0,138440000.0,115851000.0,1.06,215518000.0,331149000.0,1.04,108458000.0,48000.0,115631000.0,17962000.0,90496000.0,7393000.0,85842000.0,90544000.0,274297000.0,180358000.0,605446000.0,90496000.0,0.0,35160000.0,0.0,6.0,0.102041187798743,0.546950512514741,0.936997561133652,177825000.0,0.546950512514741,7.05791381494134,0.0707070707070707,4.31830193888648,2.83869726015806,2.07297351727808,0.24479046912784
5,2019-09-30 00:00:00+00:00,3,2019,1548759000.0,762975000.0,575561000.0,247833000.0,922132000.0,1505152000.0,229500000.0,204893000.0,0.0,268319000.0,-45565000.0,703382000.0,0.0,0.0,0.0,1751481000.0,1048099000.0,626627000.0,91331000.0,33734000.0,992475000.0,75515000.0,0.0,103996000.0,86090077.0,202418000.0,9391000.0,95194000.0,-37326000.0,132265000.0,-2037000.0,-76889000.0,22446000.0,0.0,-99751000.0,0.0,0.0,-6849000.0,-37071000.0,-22025000.0,87667000.0,162333000.0,139887000.0,1.26,205148000.0,344950000.0,1.24,132797000.0,1000.0,139802000.0,23960000.0,108837000.0,7090000.0,86198000.0,108838000.0,260353000.0,170888000.0,605303000.0,108837000.0,0.0,34260000.0,0.0,7.0,0.109735483492469,0.569879878341921,1.12248913628043,202722000.0,0.569879878341921,7.03104261365686,0.177570093457944,3.76930411327056,4.06878784161188,2.35476615963533,0.252679885898416
6,2019-06-30 00:00:00+00:00,2,2019,1552688000.0,769883000.0,551537000.0,253146000.0,933779000.0,1396315000.0,251528000.0,196876000.0,0.0,286154000.0,-40583000.0,712298000.0,0.0,0.0,0.0,1724237000.0,1011939000.0,618909000.0,95575000.0,32415000.0,1021411000.0,67606000.0,0.0,110845000.0,86006332.0,171246000.0,6898000.0,103321000.0,-34085000.0,137102000.0,700000.0,-12590000.0,21621000.0,-304000.0,-109488000.0,0.0,0.0,-5771000.0,-33781000.0,-95607000.0,87615000.0,185934000.0,164313000.0,1.46,193578000.0,357853000.0,1.43,156127000.0,-5000.0,164275000.0,30421000.0,125706000.0,8186000.0,86215000.0,125701000.0,262250000.0,161319000.0,620103000.0,125706000.0,0.0,32259000.0,0.0,8.0,0.0677586990660386,0.577086387261471,1.15089294225807,171549000.0,0.577086387261471,7.20996914506248,0.168,4.49577216402135,7.69566963168014,1.99460895507089,0.251130400037983
7,2019-03-31 00:00:00+00:00,1,2019,1629098000.0,768289000.0,529697000.0,254016000.0,939479000.0,1270609000.0,346998000.0,189468000.0,0.0,281159000.0,-40015000.0,697646000.0,0.0,0.0,0.0,1680968000.0,983322000.0,689619000.0,99046000.0,32931000.0,1115287000.0,70143000.0,0.0,116616000.0,86006526.0,51562000.0,6334000.0,-3828000.0,-38206000.0,34378000.0,-569000.0,-42751000.0,21355000.0,0.0,-2781000.0,0.0,0.0,-7178000.0,-38206000.0,47946000.0,87549000.0,154505000.0,133150000.0,1.19,198459000.0,331597000.0,1.17,124764000.0,28000.0,133138000.0,22083000.0,102681000.0,8386000.0,86204000.0,102709000.0,244459000.0,166945000.0,576056000.0,102681000.0,0.0,31514000.0,0.0,7.0,0.0714211317273499,0.575633271765245,1.01163976050544,51870000.0,0.575633271765245,6.69781732609453,0.166666666666667,14.9002947907374,-2288.92082111437,0.603093769884392,0.248434160914594
8,2018-12-31 00:00:00+00:00,4,2018,1546582000.0,601348000.0,437270000.0,256314000.0,776138000.0,1167928000.0,398937000.0,173303000.0,0.0,248855000.0,-41791000.0,654172000.0,0.0,0.0,0.0,1537349000.0,883177000.0,770444000.0,101987000.0,29267000.0,1000285000.0,69534000.0,0.0,123794000.0,86233649.0,-9513000.0,6209000.0,102989000.0,-39844000.0,135648000.0,-1081000.0,-102001000.0,20604000.0,-7185000.0,-117806000.0,0.0,0.0,-23083000.0,-32659000.0,-15540000.0,87819000.0,136170000.0,115566000.0,0.99,185014000.0,300361000.0,0.97,107006000.0,39000.0,115347000.0,21368000.0,85638000.0,8560000.0,86369000.0,85677000.0,249025000.0,154876000.0,549386000.0,85638000.0,0.0,30138000.0,0.0,8.0,0.0854835108600513,0.54672124881231,0.849084424046394,-9233000.0,0.54672124881231,6.37090052863239,1.25,-63.2132870808367,-14.8560226959297,-0.107069573270638,0.248371227142833
10,2018-09-30 00:00:00+00:00,3,2018,1545893000.0,602416000.0,409980000.0,258466000.0,786356000.0,1082292000.0,414500000.0,179684000.0,0.0,264563000.0,-42187000.0,704197000.0,0.0,0.0,0.0,1544530000.0,840333000.0,759537000.0,103696000.0,39899000.0,1016916000.0,65457000.0,0.0,146877000.0,86590964.0,-1604000.0,6596000.0,78993000.0,-54215000.0,110708000.0,119000.0,-61138000.0,20878000.0,-22500000.0,-84294000.0,0.0,0.0,-27682000.0,-31715000.0,-22500000.0,88453000.0,138407000.0,117529000.0,1.07,188293000.0,305643000.0,1.05,109076000.0,-37000.0,117350000.0,15825000.0,93251000.0,8453000.0,86756000.0,93214000.0,239805000.0,159101000.0,545448000.0,93251000.0,0.0,29192000.0,0.0,8.0,0.108688228694083,0.560352224226691,0.927139823339745,-1363000.0,0.560352224226691,6.29913301346316,0.320987654320988,-375.571072319202,-9.02476917917445,-0.0157406724332114,0.211039379346405
11,2018-06-30 00:00:00+00:00,2,2018,1561534000.0,603130000.0,394021000.0,235010000.0,787218000.0,989039000.0,437000000.0,176487000.0,0.0,265012000.0,-42559000.0,739832000.0,0.0,0.0,0.0,1520685000.0,780853000.0,774316000.0,106283000.0,35459000.0,1040130000.0,68015000.0,0.0,174559000.0,86863215.0,-41127000.0,6392000.0,91179000.0,-27651000.0,118830000.0,-5141000.0,-99043000.0,20892000.0,0.0,-70708000.0,0.0,0.0,15330000.0,-27651000.0,29500000.0,88596000.0,166669000.0,145777000.0,1.25,186845000.0,332439000.0,1.23,137320000.0,-11000.0,145594000.0,28629000.0,108691000.0,8457000.0,87004000.0,108680000.0,248313000.0,157335000.0,580752000.0,108691000.0,0.0,29510000.0,0.0,8.0,0.141101112115377,0.572428506488139,0.955465210585859,-40849000.0,0.572428506488139,6.68582207094223,0.288659793814433,-14.665061881489,-6.35664614476484,-0.470268110615063,0.192633620312927
