,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,916597000.0,32848000.0,527458000.0,333268000.0,310395000.0,-1876305000.0,13878000.0,25709000.0,0.0,356182000.0,-9748000.0,2159425000.0,459835000.0,222810000.0,0.0,3307430000.0,1148005000.0,606202000.0,0.0,0.0,46726000.0,122512000.0,237025000.0,1500438000.0,218699085.0,2390833000.0,43800000.0,129294000.0,-14453000.0,182115000.0,2532000.0,7783000.0,12949000.0,0.0,931000.0,38368000.0,0.0,171125000.0,-52821000.0,-232000.0,218784000.0,9985000.0,-2964000.0,-0.07,573886000.0,586321000.0,-0.07,-3508000.0,0.0,12435000.0,11695000.0,-15203000.0,544000.0,218784000.0,-15203000.0,34322000.0,120788000.0,620643000.0,-15203000.0,0.0,438109000.0,0.0,4.0,0.125207358484067,0.944699287674235,3.56222018403107,2390833000.0,0.944699287674235,2.83788567290988,-1.11666666666667,0.0137391444739135,-0.144330341676981,10.932066771107,-0.105376495313815
1,2020,2,2020-06-30 00:00:00+00:00,867717000.0,31917000.0,481910000.0,338653000.0,311204000.0,-1861102000.0,19777000.0,25889000.0,0.0,420250000.0,-12423000.0,2077625000.0,511487000.0,248731000.0,0.0,3212321000.0,1134696000.0,556513000.0,0.0,0.0,51694000.0,90909000.0,262756000.0,1329313000.0,217373454.0,2344604000.0,46303000.0,225522000.0,-43258000.0,269382000.0,993000.0,69194000.0,12594000.0,0.0,56407000.0,602000.0,0.0,283524000.0,-43860000.0,-200000.0,220434000.0,320458000.0,307864000.0,1.33,417852000.0,654679000.0,1.32,307264000.0,0.0,236827000.0,16966000.0,290298000.0,600000.0,217549000.0,290298000.0,33364000.0,117998000.0,688043000.0,290298000.0,0.0,286601000.0,0.0,3.0,0.298360921778643,0.951508844650698,3.73329104621096,2344604000.0,0.951508844650698,3.16525770437452,1.71428571428571,0.013612959800461,-0.0821510055939543,10.7860640609777,-0.0606261419379547
2,2020,1,2020-03-31 00:00:00+00:00,814701000.0,31959000.0,438656000.0,344037000.0,311289000.0,-2151400000.0,19434000.0,22217000.0,0.0,351522000.0,-13107000.0,1716169000.0,440344000.0,180993000.0,0.0,2752422000.0,1036253000.0,503412000.0,0.0,0.0,51393000.0,60937000.0,259351000.0,1045789000.0,216775534.0,1937721000.0,42513000.0,-722682000.0,-108560000.0,-683417000.0,1560000.0,14619000.0,13098000.0,0.0,2499000.0,-69295000.0,0.0,-787918000.0,-39265000.0,-187000.0,216721000.0,-690376000.0,-703474000.0,-3.33,1198565000.0,541188000.0,-3.33,-704076000.0,0.0,-657377000.0,16566000.0,-720642000.0,602000.0,216721000.0,-720642000.0,27319000.0,111148000.0,568507000.0,-720642000.0,0.0,1085287000.0,0.0,2.0,0.141908218625027,0.951946062229665,3.4090744757773,1937721000.0,0.951946062229665,2.62256071757618,-7.9375,0.0164930864660083,-0.163395321124785,8.93883624339267,-0.12187959395616
3,2019,4,2019-12-31 00:00:00+00:00,828344000.0,31918000.0,406625000.0,349421000.0,315004000.0,-1430758000.0,18964000.0,16505000.0,0.0,308809000.0,-15542000.0,2481488000.0,418527000.0,133657000.0,0.0,3426750000.0,945262000.0,513340000.0,0.0,0.0,50882000.0,83647000.0,284870000.0,1833707000.0,215397290.0,2598406000.0,42023000.0,102303000.0,-30028000.0,131618000.0,-221000.0,29516000.0,13345000.0,0.0,29320000.0,-713000.0,0.0,130689000.0,-29315000.0,-196000.0,218449000.0,139956000.0,126611000.0,0.51,449044000.0,547174000.0,0.5,126004000.0,0.0,98130000.0,14999000.0,111005000.0,607000.0,215768000.0,111005000.0,32215000.0,136177000.0,579389000.0,111005000.0,0.0,312867000.0,0.0,5.0,0.0964928217531349,0.944398323061018,4.83400475318502,2598406000.0,0.944398323061018,2.68986206836678,0.545454545454545,0.0122836846897675,0.191114288466446,12.0633179739634,0.144824724414629
5,2019,3,2019-09-30 00:00:00+00:00,792291000.0,49812000.0,376940000.0,354805000.0,330608000.0,-1541763000.0,763000.0,13318000.0,0.0,276116000.0,-8614000.0,2319595000.0,402097000.0,117902000.0,0.0,3214818000.0,895223000.0,461683000.0,0.0,0.0,50575000.0,95376000.0,284195000.0,1703018000.0,215066629.0,2422527000.0,43359000.0,287227000.0,12284000.0,270415000.0,187000.0,3111000.0,13862000.0,0.0,2894000.0,-4528000.0,0.0,285780000.0,16812000.0,-217000.0,217791000.0,162478000.0,148616000.0,0.6,383944000.0,521541000.0,0.59,148019000.0,0.0,137597000.0,19748000.0,128271000.0,597000.0,215199000.0,128271000.0,30040000.0,102608000.0,551581000.0,128271000.0,0.0,281336000.0,0.0,5.0,0.226599626848246,0.945538370611025,5.0242157497677,2422527000.0,0.945538370611025,2.56469821731385,3.28571428571429,0.0205619999281742,0.186592440813837,11.2640766783023,0.140097180734683
6,2019,2,2019-06-30 00:00:00+00:00,700442000.0,49505000.0,369470000.0,360189000.0,333337000.0,-1670034000.0,791000.0,12693000.0,0.0,302680000.0,-8965000.0,2058625000.0,395194000.0,115563000.0,0.0,2947633000.0,889008000.0,367105000.0,0.0,0.0,50296000.0,66184000.0,279631000.0,1417238000.0,214438549.0,2247191000.0,40615000.0,105666000.0,-45147000.0,152960000.0,-284000.0,15191000.0,13435000.0,0.0,9010000.0,2147000.0,0.0,116539000.0,-47294000.0,-214000.0,217483000.0,122422000.0,108987000.0,0.49,395306000.0,500526000.0,0.48,108671000.0,0.0,105220000.0,3353000.0,105318000.0,316000.0,214620000.0,105318000.0,29406000.0,105943000.0,529932000.0,105318000.0,0.0,289363000.0,0.0,5.0,0.0161375681666527,0.944509861642626,5.60772803421364,2247191000.0,0.944509861642626,2.47125343121026,0.96,0.0220297251101486,0.151765450733004,10.4794171126386,0.112581151346358
7,2019,1,2019-03-31 00:00:00+00:00,668594000.0,17647000.0,338331000.0,365573000.0,304079000.0,-1775352000.0,0.0,11005000.0,0.0,244081000.0,-9247000.0,1904500000.0,401508000.0,120188000.0,0.0,2754161000.0,849661000.0,364515000.0,0.0,0.0,17647000.0,70363000.0,281320000.0,1300699000.0,214048325.0,2085567000.0,40592000.0,137396000.0,-24563000.0,155663000.0,126000.0,15481000.0,13891000.0,0.0,4487000.0,-6296000.0,0.0,135713000.0,-18267000.0,-195000.0,217061000.0,118323000.0,104432000.0,0.48,394528000.0,475269000.0,0.47,104097000.0,0.0,80741000.0,1785000.0,102312000.0,335000.0,214065000.0,102312000.0,22588000.0,123983000.0,497857000.0,102312000.0,0.0,270545000.0,0.0,7.0,0.302329170612271,0.954629542217946,5.22475069613047,2085567000.0,0.954629542217946,2.32590934780732,-3.52631578947368,0.00846148793109979,0.134057542800419,9.74343994516192,0.0980689495142351
8,2018,4,2018-12-31 00:00:00+00:00,719795000.0,17434000.0,319751000.0,370957000.0,294518000.0,-1877759000.0,0.0,10405000.0,0.0,307598000.0,-10165000.0,1832254000.0,373542000.0,99199000.0,0.0,2645762000.0,813508000.0,425277000.0,0.0,0.0,17434000.0,103827000.0,274343000.0,1164986000.0,212808148.0,1925967000.0,37323000.0,58557000.0,-36097000.0,83838000.0,-6000.0,9462000.0,14226000.0,0.0,4063000.0,-10816000.0,0.0,51798000.0,-25281000.0,0.0,215992000.0,85298000.0,71072000.0,0.33,412596000.0,502036000.0,0.32,70717000.0,0.0,89440000.0,1654000.0,69063000.0,355000.0,213016000.0,69063000.0,26366000.0,108358000.0,528402000.0,69063000.0,0.0,304238000.0,0.0,7.0,0.189676600113474,0.950102384169628,4.3083778337413,1925967000.0,0.950102384169628,2.48299703261362,-1.45833333333333,0.0090520761778369,0.0617746567514355,9.05025027519153,0.044379107736462
10,2018,3,2018-09-30 00:00:00+00:00,717048000.0,17224000.0,300767000.0,376341000.0,294559000.0,-1946822000.0,7648000.0,11418000.0,0.0,247736000.0,-9522000.0,1700359000.0,384515000.0,121381000.0,0.0,2519947000.0,819588000.0,422489000.0,0.0,0.0,24872000.0,95478000.0,263134000.0,1113188000.0,212577449.0,1802899000.0,38001000.0,174327000.0,-17876000.0,199148000.0,-38000.0,2437000.0,13818000.0,0.0,2437000.0,6945000.0,0.0,183671000.0,-24821000.0,0.0,215964000.0,45199000.0,31381000.0,0.14,389049000.0,424888000.0,0.14,30976000.0,0.0,35839000.0,1800000.0,29176000.0,405000.0,212627000.0,29176000.0,24795000.0,96522000.0,449683000.0,29176000.0,0.0,292527000.0,0.0,5.0,0.17861841932829,0.944861157748903,4.02462312628258,1802899000.0,0.944861157748903,2.11538430870906,-0.176470588235294,0.00955350244245518,-0.0642867497878798,8.48113950224325,-0.0458544875136709
11,2018,2,2018-06-30 00:00:00+00:00,664234000.0,17016000.0,267586000.0,381725000.0,295995000.0,-1975998000.0,7554000.0,12570000.0,0.0,316310000.0,-9809000.0,1598084000.0,401195000.0,131330000.0,0.0,2397157000.0,799073000.0,368239000.0,0.0,0.0,24570000.0,75559000.0,269865000.0,929517000.0,211969163.0,1732923000.0,36605000.0,21612000.0,-3922000.0,32403000.0,100000.0,15448000.0,13501000.0,0.0,5562000.0,6869000.0,0.0,34143000.0,-10791000.0,0.0,215103000.0,67907000.0,54406000.0,0.25,406118000.0,496660000.0,0.24,54008000.0,0.0,90542000.0,1614000.0,52394000.0,398000.0,212210000.0,52394000.0,24856000.0,108029000.0,521516000.0,52394000.0,0.0,298089000.0,0.0,5.0,0.597566504515323,0.952338950291075,4.33980105312039,1732923000.0,0.952338950291075,2.46033900695263,-5.16666666666667,0.0098192475949595,-0.0606405420614086,8.17535426131772,-0.043633446808184
