,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,158.72,158.85,157.01,158.22,1400973,154.7057300746,154.8324421771,153.0389785724,154.2183758342,1400973,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,159.16,159.33,157.74,158.23,1362609,155.1346018061,155.3003022479,153.7505157634,154.228122919,1362609,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,162.01,163.82,159.46,159.46,1672952,157.9125209765,159.6767433267,155.4270143504,155.4270143504,1672952,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,164.11,164.55,162.5,162.8,1039360,159.9594087862,160.3882805177,158.3901281321,158.6825406763,1039360,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,164.21,164.53,163.34,164.03,1171859,160.0568796343,160.3687863481,159.2088832559,159.8814321077,1171859,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,164.85,165.13,162.77,164.14,1088686,161.0608293695,161.3343934109,159.0286393477,160.3671491217,1088686,0.39,1.0,,,,,
6,2018-01-10 00:00:00+00:00,163.51,164.58,162.55,164.38,1094425,159.7516300285,160.7970354724,158.8136961723,160.6016325857,1094425,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,163.0,164.28,162.25,163.52,810024,159.2533526674,160.5039311424,158.5205918423,159.7614001729,810024,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,164.51,164.94,162.93,163.08,647434,160.7286444621,161.1487606685,159.1849616571,159.3315138221,647434,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,162.29,166.49,161.83,165.0,1346949,158.5596724196,162.6631330405,158.1102457802,161.2073815345,1346949,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,164.29,164.68,162.93,163.88,859299,160.5137012867,160.8947369158,159.1849616571,160.113125369,859299,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,164.4,164.96,163.61,163.89,920393,160.6211728744,161.1683009572,159.8493314719,160.1228955133,920393,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,167.74,167.82,164.62,164.94,1521578,163.8844010824,163.9625622371,160.8361160498,161.1487606685,1521578,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,168.67,168.8,167.14,167.75,1004396,164.7930245056,164.920036382,163.2981924223,163.8941712268,1004396,0.0,1.0,42129303756.2579,42475303756.2579,42.7012658228,35.7492775725,-0.4658319908
14,2018-01-23 00:00:00+00:00,168.46,169.79,167.75,169.0,1008619,164.5878514746,165.8872806712,163.8941712268,165.1154392687,1008619,0.0,1.0,42076851311.9061,42422851311.9061,42.6481012658,35.704768482,-0.4652520138
15,2018-01-24 00:00:00+00:00,167.55,169.58,166.89,168.64,836443,163.6987683401,165.6821076401,163.0539388139,164.7637140726,836443,0.0,1.0,41849557386.3817,42195557386.3817,42.417721519,35.5118957566,-0.4627387802
16,2018-01-25 00:00:00+00:00,167.82,168.78,166.28,168.03,720491,163.9625622371,164.9004960933,162.4579600095,164.1677352682,720491,0.0,1.0,41916996243.4052,42262996243.4052,42.4860759494,35.5691217301,-0.4634844649
17,2018-01-26 00:00:00+00:00,170.44,170.59,168.19,168.54,716456,166.522340053,166.668892218,164.3240575775,164.6660126293,716456,0.0,1.0,42571402930.0799,42917402930.0799,43.1493670886,36.1244256207,-0.4707203682
18,2018-01-29 00:00:00+00:00,169.21,170.43,168.27,169.96,910956,165.3206122997,166.5125699087,164.4022187322,166.0533731249,910956,0.0,1.0,42264181470.3053,42610181470.3053,42.8379746835,35.8637295194,-0.4673233602
19,2018-01-30 00:00:00+00:00,168.5,170.0,167.33,169.71,1069057,164.6269320519,166.0924537022,163.4838251647,165.8091195165,1069057,0.0,1.0,42086842253.6872,42432842253.6872,42.6582278481,35.713246404,-0.4653624856
20,2018-01-31 00:00:00+00:00,167.9,168.98,166.97,168.6,1257448,164.0407233918,165.09589898,163.1320999686,164.7246334953,1257448,0.0,1.0,41936978126.968,42561978126.968,36.341991342,37.0990504927,0.0271208891
21,2018-02-01 00:00:00+00:00,165.65,168.45,164.92,167.56,1332995,161.8424409163,164.5780813302,161.1292203798,163.7085384844,1332995,0.0,1.0,41374987651.7703,41999987651.7703,35.854978355,36.6018922818,0.0267574465
22,2018-02-02 00:00:00+00:00,163.42,166.41,163.41,164.49,1256601,159.6636987295,162.5849718858,159.6539285852,160.7091041734,1256601,0.0,1.0,40817992647.4633,41442992647.4633,35.3722943723,36.109153255,0.0263972346
23,2018-02-05 00:00:00+00:00,157.65,163.99,157.64,162.66,1281806,154.026325448,160.2205969566,154.0165553036,158.92116776,1281806,0.0,1.0,39376799295.5123,40001799295.5123,34.1233766234,34.834218643,0.0254652064
24,2018-02-06 00:00:00+00:00,160.87,160.91,152.61,155.21,1921429,157.172311924,157.2113925013,149.1021727029,151.6424102301,1921429,0.0,1.0,40181070108.9062,40806070108.9062,34.8203463203,35.5457072826,0.0259853331
25,2018-02-07 00:00:00+00:00,161.29,165.31,159.14,159.75,1472350,157.5826579861,161.5102560089,155.482076954,156.0780557584,1472350,0.0,1.0,40285974997.6095,40910974997.6095,34.9112554113,35.6385101487,0.0260531757
26,2018-02-08 00:00:00+00:00,152.75,161.28,152.66,161.28,1386481,149.2389547236,157.5728878417,149.1510234246,157.5728878417,1386481,0.0,1.0,38152908927.304,38777908927.304,33.0627705628,33.7515185393,0.0246737094
27,2018-02-09 00:00:00+00:00,157.06,158.38,150.43,152.72,1964027,153.4498869322,154.7395459845,146.9722812378,149.2096442906,1964027,0.0,1.0,39229432904.238,39854432904.238,33.9956709957,34.7038527122,0.0253699037
28,2018-02-12 00:00:00+00:00,159.38,160.78,157.5,159.21,1347698,155.716560418,157.084380625,153.879773283,155.5504679643,1347698,0.0,1.0,39808907527.5529,40433907527.5529,34.4978354978,35.2164780674,0.0257446534
29,2018-02-13 00:00:00+00:00,159.36,160.2,155.02,156.93,1232053,155.6970201293,156.5177122535,151.4567774878,153.3228750558,1232053,0.0,1.0,39803912056.6623,40428912056.6623,34.4935064935,35.2120588833,0.0257414228
30,2018-02-14 00:00:00+00:00,163.9,164.06,158.13,158.85,1191975,160.1326656576,160.288987967,154.4952923761,155.1987427682,1191975,0.0,1.0,40937883948.839,41562883948.839,35.4761904762,36.2152136733,0.026474769
31,2018-02-15 00:00:00+00:00,169.31,169.32,163.38,164.73,1136507,165.4183137431,165.4280838874,159.6246181522,160.9435876375,1136507,0.0,1.0,42289158824.7585,42914158824.7585,36.6471861472,37.4106029715,0.0273486464
