,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.sga,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,31840000000.0,24744000000.0,7093000000.0,3034000000.0,20552000000.0,4399000000.0,4850000000.0,11288000000.0,16268000000.0,2007000000.0,8122000000.0,0.0,13120000000.0,10906000000.0,8202000000.0,2639000000.0,2226000000.0,678000000.0,0.0,393092857.0,3352000000.0,3304000000.0,-5132000000.0,8476000000.0,15305000000.0,0.0,0.0,-739000000.0,-1000000.0,-1042000000.0,-169000000.0,-119000000.0,250000000.0,0.0,735000000.0,134000000.0,616000000.0,320000000.0,2000000.0,-202000000.0,376000000.0,0.52,0.0,737000000.0,204000000.0,366000000.0,5123000000.0,394600000.0,0.52,112000000.0,204000000.0,0.0,686000000.0,0.0,0.0,3541000000.0,204000000.0,1582000000.0,394600000.0,1206000000.0,50000000.0,254000000.0,5.0,-0.0799209770114943,0.308803435487019,1.3317602642756,7096000000.0,0.308803435487019,13.032544114634,-0.409090909090909,1.53757225433526,0.0688022284122563,18.0517144324502,0.0150787897287191
1,2020-06-30 00:00:00+00:00,2,2020,32519000000.0,25459000000.0,7057000000.0,3060000000.0,25920000000.0,4253000000.0,0.0,6599000000.0,17129000000.0,2010000000.0,8123000000.0,0.0,13304000000.0,11815000000.0,8505000000.0,2654000000.0,2206000000.0,847000000.0,0.0,393041293.0,8505000000.0,3304000000.0,-5149000000.0,8330000000.0,16068000000.0,0.0,0.0,-763000000.0,0.0,-982000000.0,-392000000.0,-250000000.0,0.0,-64000000.0,890000000.0,-299000000.0,640000000.0,312000000.0,3000000.0,-201000000.0,371000000.0,0.67,0.0,697000000.0,266000000.0,449000000.0,4866000000.0,393100000.0,0.67,116000000.0,266000000.0,0.0,761000000.0,0.0,0.0,3427000000.0,266000000.0,1439000000.0,393100000.0,1068000000.0,67000000.0,333000000.0,4.0,-0.14134462678666,0.295725441841348,0.792196878751501,7060000000.0,0.295725441841348,12.3803785675008,-0.0945945945945945,1.67422417457843,0.0872437044172286,17.9624892491894,0.0190600738051754
2,2020-03-31 00:00:00+00:00,1,2020,33215000000.0,26354000000.0,6857000000.0,3226000000.0,26000000000.0,4884000000.0,0.0,7215000000.0,17012000000.0,2002000000.0,8062000000.0,0.0,13421000000.0,11941000000.0,8463000000.0,2662000000.0,2379000000.0,1239000000.0,0.0,392124684.0,8463000000.0,3304000000.0,-5255000000.0,9342000000.0,16825000000.0,0.0,0.0,415000000.0,-41000000.0,165000000.0,728000000.0,-285000000.0,250000000.0,0.0,649000000.0,-35000000.0,364000000.0,323000000.0,-42000000.0,-202000000.0,406000000.0,-0.36,0.0,825000000.0,-141000000.0,70000000.0,5352000000.0,392600000.0,-0.36,117000000.0,-141000000.0,0.0,393000000.0,0.0,0.0,3746000000.0,-141000000.0,1606000000.0,392600000.0,1200000000.0,94000000.0,-47000000.0,4.0,-0.0515683147262095,0.300074738415546,0.772318561335902,6861000000.0,0.300074738415546,13.648719956635,-1.33962264150943,1.74143211316902,0.0895127657410233,17.4969857291616,0.0195728086238981
3,2019-12-31 00:00:00+00:00,4,2019,33471000000.0,25753000000.0,7713000000.0,3280000000.0,26832000000.0,4388000000.0,0.0,6639000000.0,17107000000.0,2208000000.0,8408000000.0,0.0,13829000000.0,11986000000.0,8809000000.0,2633000000.0,2423000000.0,511000000.0,0.0,392116473.0,8809000000.0,3347000000.0,-4739000000.0,8646000000.0,16374000000.0,0.0,0.0,-637000000.0,0.0,-842000000.0,-186000000.0,-360000000.0,0.0,60000000.0,928000000.0,-306000000.0,568000000.0,343000000.0,15000000.0,-201000000.0,574000000.0,0.43,0.0,837000000.0,165000000.0,541000000.0,5498000000.0,392116473.0,0.42,113000000.0,165000000.0,1000000.0,884000000.0,0.0,0.0,3666000000.0,166000000.0,1832000000.0,392600000.0,1258000000.0,263000000.0,428000000.0,5.0,-0.0761216602251722,0.333212077118952,0.767869535045108,7718000000.0,0.333212077118952,14.0213441122123,-0.455696202531646,1.55399974069752,0.162888105844026,19.6829272204537,0.0360707870792968
5,2019-09-30 00:00:00+00:00,3,2019,33848000000.0,26392000000.0,7441000000.0,3305000000.0,26797000000.0,402000000.0,0.0,7051000000.0,21663000000.0,2194000000.0,8447000000.0,0.0,13648000000.0,16552000000.0,8735000000.0,2643000000.0,2349000000.0,697000000.0,0.0,392836359.0,8735000000.0,3412000000.0,-5014000000.0,4729000000.0,16954000000.0,0.0,0.0,-398000000.0,-75000000.0,-671000000.0,-90000000.0,-274000000.0,0.0,0.0,882000000.0,-279000000.0,608000000.0,327000000.0,-24000000.0,-197000000.0,592000000.0,0.88,0.0,782000000.0,344000000.0,604000000.0,5568000000.0,395400000.0,0.87,123000000.0,344000000.0,-2000000.0,931000000.0,0.0,0.0,3772000000.0,342000000.0,1796000000.0,395400000.0,1204000000.0,137000000.0,481000000.0,5.0,-0.0564311133706151,0.322557471264368,1.49101289913301,7456000000.0,0.322557471264368,14.173840767117,-0.36231884057971,2.22443219997312,0.185126635498301,18.9799132111394,0.0404857703991938
6,2019-06-30 00:00:00+00:00,2,2019,34347000000.0,26848000000.0,7482000000.0,3477000000.0,26959000000.0,676000000.0,0.0,7388000000.0,21799000000.0,2224000000.0,8302000000.0,0.0,13775000000.0,16633000000.0,8725000000.0,2624000000.0,2498000000.0,787000000.0,0.0,397333976.0,8725000000.0,3441000000.0,-4870000000.0,5049000000.0,17309000000.0,0.0,0.0,-63000000.0,-231000000.0,-487000000.0,146000000.0,-334000000.0,0.0,-82000000.0,1067000000.0,-421000000.0,733000000.0,321000000.0,8000000.0,-197000000.0,616000000.0,0.74,0.0,786000000.0,292000000.0,542000000.0,5667000000.0,398200000.0,0.73,122000000.0,292000000.0,-6000000.0,863000000.0,0.0,0.0,3901000000.0,286000000.0,1766000000.0,398200000.0,1150000000.0,128000000.0,420000000.0,4.0,-0.0284587690725184,0.311628727721899,1.46326005149535,7499000000.0,0.311628727721899,14.2625608236432,-0.244897959183674,2.22306869820904,0.217388339584044,18.8732916210518,0.0469154697433482
7,2019-03-31 00:00:00+00:00,1,2019,34178000000.0,26709000000.0,7446000000.0,3493000000.0,27116000000.0,809000000.0,0.0,7062000000.0,21756000000.0,2301000000.0,8211000000.0,0.0,13887000000.0,16546000000.0,8844000000.0,2634000000.0,2518000000.0,641000000.0,0.0,400236119.0,8844000000.0,3393000000.0,-4975000000.0,4953000000.0,17355000000.0,0.0,0.0,41000000.0,-229000000.0,-389000000.0,52000000.0,-290000000.0,0.0,0.0,733000000.0,-294000000.0,443000000.0,315000000.0,2000000.0,-201000000.0,554000000.0,1.06,0.0,802000000.0,424000000.0,663000000.0,5643000000.0,403200000.0,1.05,133000000.0,424000000.0,2000000.0,978000000.0,0.0,0.0,3929000000.0,426000000.0,1714000000.0,403200000.0,1160000000.0,106000000.0,530000000.0,4.0,0.00391389432485334,0.303739145844409,1.42580254391278,7469000000.0,0.303739145844409,14.0991772908931,-0.397727272727273,2.22213268869192,0.23797574236721,18.6614841725467,0.0504458711665054
8,2018-12-31 00:00:00+00:00,4,2018,33576000000.0,26193000000.0,7362000000.0,3521000000.0,26580000000.0,639000000.0,0.0,6996000000.0,21499000000.0,2241000000.0,7465000000.0,0.0,13469000000.0,16313000000.0,8718000000.0,2600000000.0,2413000000.0,589000000.0,0.0,405028470.0,8718000000.0,3374000000.0,-4500000000.0,4694000000.0,16952000000.0,0.0,0.0,-599000000.0,-200000000.0,-1000000000.0,-437000000.0,-275000000.0,0.0,-8000000.0,821000000.0,-259000000.0,546000000.0,338000000.0,1000000.0,-201000000.0,946000000.0,0.79,0.0,847000000.0,316000000.0,594000000.0,5951000000.0,405028470.0,0.77,135000000.0,316000000.0,2000000.0,932000000.0,0.0,0.0,3798000000.0,318000000.0,2153000000.0,403200000.0,1207000000.0,143000000.0,459000000.0,7.0,0.0420241638942391,0.361787934800874,1.49041329356625,7383000000.0,0.361787934800874,14.6927943114715,-0.77683615819209,2.21583808747623,0.282475167596785,18.2283482442605,0.0595244258718243
10,2018-09-30 00:00:00+00:00,3,2018,33803000000.0,26745000000.0,7040000000.0,3580000000.0,26485000000.0,555000000.0,0.0,7318000000.0,22142000000.0,2130000000.0,7353000000.0,0.0,13476000000.0,16996000000.0,8680000000.0,2512000000.0,2510000000.0,1026000000.0,0.0,408878065.0,8680000000.0,3371000000.0,-4887000000.0,4603000000.0,17551000000.0,0.0,0.0,-240000000.0,-201000000.0,-636000000.0,-47000000.0,-347000000.0,0.0,0.0,941000000.0,-346000000.0,594000000.0,335000000.0,-6000000.0,-195000000.0,833000000.0,1.38,0.0,802000000.0,562000000.0,778000000.0,5901000000.0,411400000.0,1.37,133000000.0,562000000.0,0.0,1113000000.0,0.0,0.0,3887000000.0,562000000.0,2014000000.0,411400000.0,1181000000.0,83000000.0,645000000.0,7.0,0.0696030451332246,0.341298085070327,1.58983271779274,7058000000.0,0.341298085070327,14.4321755191245,0.4375,2.41420454545455,0.456547683628079,17.2618699905068,0.0931440545406251
11,2018-06-30 00:00:00+00:00,2,2018,33796000000.0,26932000000.0,6844000000.0,3526000000.0,26524000000.0,684000000.0,0.0,7272000000.0,22314000000.0,2050000000.0,6988000000.0,0.0,13589000000.0,17100000000.0,8599000000.0,2502000000.0,2478000000.0,1073000000.0,0.0,414091479.0,8599000000.0,3378000000.0,-4881000000.0,4618000000.0,17784000000.0,0.0,0.0,142000000.0,-300000000.0,-354000000.0,-68000000.0,-439000000.0,0.0,-41000000.0,801000000.0,-475000000.0,362000000.0,330000000.0,-40000000.0,-196000000.0,659000000.0,0.98,23000000.0,854000000.0,405000000.0,668000000.0,5833000000.0,417700000.0,0.97,133000000.0,405000000.0,2000000.0,998000000.0,0.0,0.0,3922000000.0,407000000.0,1911000000.0,417700000.0,1252000000.0,130000000.0,535000000.0,6.0,0.0835965075236857,0.327618721069775,1.57470766565613,6864000000.0,0.327618721069775,14.0862594277145,4.15789473684211,2.49853886616014,0.468403525954946,16.5760474390249,0.0882088208820882
