,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,20.25,20.26,19.15,19.32,5919873,17.7512850604,17.7600511271,16.7870177238,16.9360408577,5919873,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,19.76,20.23,19.61,20.19,5468409,17.3217477923,17.7337529271,17.1902567919,17.6986886603,5468409,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,20.17,20.23,19.6,19.78,4164550,17.6811565269,17.7337529271,17.1814907252,17.3392799257,4164550,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,20.19,20.28,20.05,20.18,3686928,17.6986886603,17.7775832605,17.5759637265,17.6899225936,3686928,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,20.35,20.37,19.95,20.16,4254874,17.8389457274,17.8564778608,17.4883030596,17.6723904602,4254874,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,20.31,20.53,20.13,20.41,3861035,17.8038814606,17.9967349279,17.6460922601,17.8915421276,3861035,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,20.9,20.98,20.13,20.23,7002949,18.3210793957,18.3912079293,17.6460922601,17.7337529271,7002949,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,21.46,21.46,20.9,20.94,7222545,18.8119791307,18.8119791307,18.3210793957,18.3561436625,7222545,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,21.74,21.87,21.48,21.54,8004826,19.0574289982,19.1713878653,18.8295112641,18.8821076643,8004826,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,21.22,22.04,21.19,21.85,7505328,18.60159353,19.3204109991,18.5752953299,19.1538557319,7505328,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,21.58,21.73,21.12,21.3,2911931,18.9171719311,19.0486629315,18.513932863,18.6717220636,2911931,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,21.6,21.61,21.0,21.05,5677306,18.9347040645,18.9434701312,18.4087400627,18.4525703962,5677306,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,21.35,21.63,21.24,21.55,3511496,18.7155523971,18.9610022646,18.6191256634,18.890873731,3511496,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,21.96,21.97,21.34,21.37,3685620,19.2502824656,19.2590485322,18.7067863304,18.7330845305,3685620,0.0,1.0,7480825183.7905,8062425183.7905,15.4647887324,3.4157239442,-0.8726559356
14,2018-01-23 00:00:00+00:00,21.73,21.91,21.37,21.91,3908977,19.0486629315,19.2064521321,18.7330845305,19.2064521321,3908977,0.0,1.0,7402474100.35371,7984074100.35371,15.3028169014,3.3799490578,-0.8635160966
15,2018-01-24 00:00:00+00:00,21.82,22.05,21.74,21.91,3464497,19.1275575318,19.3291770658,19.0574289982,19.2064521321,3464497,0.0,1.0,7433133219.95939,8014733219.95939,15.3661971831,3.3939479264,-0.8670925553
16,2018-01-25 00:00:00+00:00,21.36,21.92,21.31,21.86,3845310,18.7243184638,19.2152181988,18.6804881303,19.1626217986,3845310,0.0,1.0,7276431053.08585,7858031053.08585,15.0422535211,3.3223981534,-0.8488128773
17,2018-01-26 00:00:00+00:00,21.91,21.94,21.39,21.46,3657532,19.2064521321,19.2327503322,18.7506166638,18.8119791307,3657532,0.0,1.0,7463792339.56511,8045392339.56511,15.4295774648,3.407946795,-0.8706690141
18,2018-01-29 00:00:00+00:00,21.76,22.14,21.7,21.78,4472668,19.0749611316,19.4080716661,19.0223647314,19.092493265,4472668,0.0,1.0,7412693806.88892,7994293806.88892,15.323943662,3.3846153473,-0.8647082495
19,2018-01-30 00:00:00+00:00,21.7,21.99,21.67,21.8,4594799,19.0223647314,19.2765806656,18.9960665314,19.1100253984,4594799,0.0,1.0,7392254393.81846,7973854393.81846,15.2816901408,3.3752827682,-0.8623239437
20,2018-01-31 00:00:00+00:00,21.89,21.93,21.66,21.75,4792118,19.1889199987,19.2239842655,18.9873004647,19.0661950649,4792118,0.0,1.0,7456979201.87496,8038579201.87496,15.4154929577,3.4048359353,-0.8698742455
21,2018-02-01 00:00:00+00:00,21.77,21.97,21.72,21.75,3093587,19.0837271983,19.2590485322,19.0398968648,19.0661950649,3093587,0.0,1.0,7416100375.73403,7997700375.73403,15.3309859155,3.3861707771,-0.8651056338
22,2018-02-02 00:00:00+00:00,21.29,21.74,21.23,21.73,4711141,18.6629559969,19.0574289982,18.6103595967,19.0486629315,4711141,0.0,1.0,7252585071.17028,7834185071.17028,14.9929577465,3.3115101445,-0.8460311871
23,2018-02-05 00:00:00+00:00,20.77,21.58,20.77,21.16,7687328,18.2071205287,18.9171719311,18.2071205287,18.5489971298,7687328,0.0,1.0,7075443491.22627,7657043491.22627,14.6267605634,3.2306277924,-0.8253672032
24,2018-02-06 00:00:00+00:00,20.98,21.27,20.25,20.28,7620230,18.3912079293,18.6454238635,17.7512850604,17.7775832605,7620230,0.0,1.0,7146981436.97288,7728581436.97288,14.7746478873,3.2632918192,-0.8337122736
25,2018-02-07 00:00:00+00:00,21.3,21.67,20.94,20.96,4598993,18.6717220636,18.9960665314,18.3561436625,18.3736757959,4598993,0.0,1.0,7255991640.01539,7837591640.01539,15.0,3.3130655743,-0.8464285714
26,2018-02-08 00:00:00+00:00,21.34,22.23,21.34,21.65,8358458,18.7067863304,19.4869662664,18.7067863304,18.978534398,8358458,0.0,1.0,7269617915.39567,7851217915.39567,15.0281690141,3.3192872937,-0.8480181087
27,2018-02-09 00:00:00+00:00,21.74,21.89,20.77,21.5,9930493,19.0574289982,19.1889199987,18.2071205287,18.8470433975,9930493,0.0,1.0,7405880669.19878,7987480669.19878,15.3098591549,3.3815044876,-0.8639134809
28,2018-02-12 00:00:00+00:00,21.91,22.3,21.79,21.99,7705472,19.2064521321,19.5483287332,19.1012593317,19.2765806656,7705472,0.0,1.0,7463792339.56511,8045392339.56511,15.4295774648,3.407946795,-0.8706690141
29,2018-02-13 00:00:00+00:00,22.22,22.36,21.8,21.83,6808451,19.4782001997,19.6009251334,19.1100253984,19.1363235985,6808451,0.0,1.0,7569395973.7625,8150995973.7625,15.6478873239,3.4561651203,-0.8829879276
30,2018-02-14 00:00:00+00:00,24.49,25.11,23.48,23.82,16831099,21.4680973398,22.011593475,20.5827246034,20.8807708711,16831099,0.0,1.0,8342687101.59514,8924287101.59514,17.2464788732,3.8092476956,-0.973194165
31,2018-02-15 00:00:00+00:00,25.06,25.17,23.9,24.44,11710078,21.9677631415,22.0641898751,20.9508994047,21.4242670063,11710078,0.0,1.0,8536861525.76458,9118461525.76458,17.6478873239,3.8979071968,-0.9958450704
32,2018-02-16 00:00:00+00:00,25.33,26.01,25.08,25.22,11742246,22.2044469423,22.8005394776,21.9852952749,22.1080202086,11742246,0.0,1.0,8628838884.58165,9210438884.58165,17.838028169,3.9399038027,-1.0065744467
33,2018-02-20 00:00:00+00:00,24.7,25.32,24.48,24.95,8077198,21.6521847404,22.1956808756,21.4593312731,21.8713364078,8077198,0.0,1.0,8414225047.34175,8995825047.34175,17.3943661972,3.8419117223,-0.9815392354
34,2018-02-21 00:00:00+00:00,24.4,24.97,24.4,24.72,6825854,21.3892027395,21.8888685412,21.3892027395,21.6697168738,6825854,0.0,1.0,8312027981.98942,8893627981.98942,17.1830985915,3.7952488269,-0.9696177062
35,2018-02-22 00:00:00+00:00,23.94,24.62,23.885,24.5,7601388,20.9859636715,21.5820562068,20.9377503046,21.4768634065,7601388,0.0,1.0,8155325815.11588,8736925815.11588,16.8591549296,3.723699054,-0.9513380282
36,2018-02-23 00:00:00+00:00,24.24,24.3,23.83,24.16,5601507,21.2489456724,21.3015420725,20.8895369378,21.1788171388,5601507,0.0,1.0,8257522880.46821,8839122880.46821,17.0704225352,3.7703619494,-0.9632595573
37,2018-02-26 00:00:00+00:00,24.5,24.55,24.15,24.47,4249187,21.4768634065,21.5206937399,21.1700510721,21.4505652064,4249187,0.0,1.0,8257201770.39852,8838801770.39852,17.2535211268,3.8108031254,-0.9735915493
38,2018-02-27 00:00:00+00:00,23.78,24.56,23.78,24.5,5841082,20.8457066043,21.5294598066,20.8457066043,21.4768634065,5841082,0.0,1.0,8014541146.94192,8596141146.94192,16.7464788732,3.6988121764,-0.9449798793
39,2018-02-28 00:00:00+00:00,23.4,23.88,23.4,23.71,10256196,20.6966834705,21.1212308237,20.6966834705,20.9708703028,10256196,0.21,1.0,7957246277.51466,8538846277.51466,16.4788732394,3.6397058422,-0.9298792757
40,2018-03-01 00:00:00+00:00,23.01,23.24,22.71,23.0,10306563,20.351738746,20.5551676861,20.0863966502,20.3428940094,10306563,0.0,1.0,7824625506.22273,8406225506.22273,16.2042253521,3.5790440782,-0.9143812877
41,2018-03-02 00:00:00+00:00,23.58,23.66,22.83,22.92,6791228,20.8558887279,20.9266466201,20.1925334885,20.2721361172,6791228,0.0,1.0,8018455864.26477,8600055864.26477,16.6056338028,3.6677035795,-0.9370321932
42,2018-03-05 00:00:00+00:00,23.59,23.8,23.4,23.45,6154240,20.8647334645,21.0504729315,20.6966834705,20.7409071531,6154240,0.0,1.0,8021856396.86198,8603456396.86198,16.6126760563,3.6692590093,-0.9374295775
43,2018-03-06 00:00:00+00:00,23.67,23.85,23.24,23.69,5309943,20.9354913567,21.0946966141,20.5551676861,20.9531808297,5309943,0.0,1.0,8049060657.63983,8630660657.63983,16.6690140845,3.6817024481,-0.9406086519
