,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,222.34,222.58,213.58,214.14,542372,222.34,222.58,213.58,214.14,542372,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,233.24,234.37,223.9834,224.18,826265,233.24,234.37,223.9834,224.18,826265,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,236.81,237.01,232.13,235.95,736474,236.81,237.01,232.13,235.95,736474,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,242.34,242.51,236.32,238.72,536554,242.34,242.51,236.32,238.72,536554,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,258.84,259.88,241.26,241.26,1297683,258.84,259.88,241.26,241.26,1297683,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,256.2,260.33,254.55,259.85,842770,256.2,260.33,254.55,259.85,842770,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,254.53,255.58,251.55,254.41,492378,254.53,255.58,251.55,254.41,492378,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,258.33,260.33,255.02,255.09,444022,258.33,260.33,255.02,255.09,444022,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,258.27,259.64,256.21,258.5,533552,258.27,259.64,256.21,258.5,533552,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,260.29,264.1114,258.3145,260.72,343527,260.29,264.1114,258.3145,260.72,343527,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,260.95,263.26,258.53,260.15,611633,260.95,263.26,258.53,260.15,611633,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,260.75,262.07,257.2,260.95,309554,260.75,262.07,257.2,260.95,309554,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,263.05,263.2773,260.33,262.57,403469,263.05,263.2773,260.33,262.57,403469,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,260.75,262.78,257.57,262.5,374292,260.75,262.78,257.57,262.5,374292,0.0,1.0,14063422439.5,13202504439.5,40.1153846154,6.9540965482,-1.3467307692
14,2018-01-23 00:00:00+00:00,263.34,263.71,259.23,260.95,512187,263.34,263.71,259.23,260.95,512187,0.0,1.0,14203112810.04,13342194810.04,40.5138461538,7.0231707958,-1.3601076923
15,2018-01-24 00:00:00+00:00,255.73,264.08,252.54,264.08,503621,255.73,264.08,252.54,264.08,503621,0.0,1.0,13792671219.38,12931753219.38,39.3430769231,6.820215188,-1.3208032967
16,2018-01-25 00:00:00+00:00,257.64,259.94,255.01,258.02,286681,257.64,259.94,255.01,258.02,286681,0.0,1.0,13895686125.84,13034768125.84,39.6369230769,6.8711541119,-1.3306681319
17,2018-01-26 00:00:00+00:00,259.74,259.84,254.76,258.59,224759,259.74,259.84,254.76,258.59,224759,0.0,1.0,14008948588.44,13148030588.44,39.96,6.9271602586,-1.3415142857
18,2018-01-29 00:00:00+00:00,255.95,259.5078,253.75,258.03,280628,255.95,259.5078,253.75,258.03,280628,0.0,1.0,13804536810.7,12943618810.7,39.3769230769,6.8260824986,-1.3219395604
19,2018-01-30 00:00:00+00:00,252.77,253.59,240.0,251.24,342351,252.77,253.59,240.0,251.24,342351,0.0,1.0,13633025081.62,12772107081.62,38.8876923077,6.7412731907,-1.3055153846
20,2018-01-31 00:00:00+00:00,251.95,255.36,250.0201,253.97,355134,251.95,255.36,250.0201,253.97,355134,0.0,1.0,13588798786.7,12727880786.7,38.7615384615,6.7194041239,-1.3012802198
21,2018-02-01 00:00:00+00:00,252.08,254.23,249.35,251.39,352650,252.08,254.23,249.35,251.39,352650,0.0,1.0,13595810272.48,12734892272.48,38.7815384615,6.7228711711,-1.3019516484
22,2018-02-02 00:00:00+00:00,246.75,251.5449,243.515,250.74,319059,246.75,251.5449,243.515,250.74,319059,0.0,1.0,13308339355.5,12447421355.5,37.9615384615,6.5807222369,-1.2744230769
23,2018-02-05 00:00:00+00:00,234.24,246.75,231.49,241.13,521602,234.24,246.75,231.49,241.13,521602,0.0,1.0,12633618685.44,11772700685.44,36.0369230769,6.2470856201,-1.209810989
24,2018-02-06 00:00:00+00:00,242.54,242.625,223.0,227.71,494212,242.54,242.625,223.0,227.71,494212,0.0,1.0,13081275085.24,12220357085.24,37.3138461538,6.4684432475,-1.2526791209
25,2018-02-07 00:00:00+00:00,237.65,244.64,235.59,241.99,367857,237.65,244.64,235.59,241.99,367857,0.0,1.0,12817535350.9,11956617350.9,36.5615384615,6.3380289345,-1.2274230769
26,2018-02-08 00:00:00+00:00,226.98,241.49,226.79,239.05,440225,226.98,241.49,226.79,239.05,440225,0.0,1.0,12242054171.88,11381136171.88,34.92,6.0534643701,-1.1723142857
27,2018-02-09 00:00:00+00:00,232.44,236.15,221.5,229.86,410358,232.44,236.15,221.5,229.86,410358,0.0,1.0,12536536574.64,11675618574.64,35.76,6.1990803515,-1.2005142857
28,2018-02-12 00:00:00+00:00,239.4,241.219,233.93,233.93,321386,239.4,241.219,233.93,233.93,321386,0.0,1.0,12911920736.4,12051002736.4,36.8307692308,6.3847007234,-1.2364615385
29,2018-02-13 00:00:00+00:00,243.7,243.87,236.47,238.05,236195,243.7,243.87,236.47,238.05,236195,0.0,1.0,13143839112.2,12282921112.2,37.4923076923,6.4993799762,-1.2586703297
30,2018-02-14 00:00:00+00:00,252.46,252.67,242.78,242.78,301272,252.46,252.67,242.78,242.78,301272,0.0,1.0,13616305384.76,12755387384.76,38.84,6.7330056167,-1.3039142857
31,2018-02-15 00:00:00+00:00,259.07,259.46,251.21,254.49,499843,259.07,259.46,251.21,254.49,499843,0.0,1.0,13972812469.42,13111894469.42,39.8569230769,6.9092916308,-1.3380538462
32,2018-02-16 00:00:00+00:00,239.36,250.665,226.5301,247.19,1506373,239.36,250.665,226.5301,247.19,1506373,0.0,1.0,12909763356.16,12048845356.16,36.8246153846,6.3836339397,-1.2362549451
33,2018-02-20 00:00:00+00:00,239.09,246.05,236.84,240.01,634481,239.09,246.05,236.84,240.01,634481,0.0,1.0,12895201039.54,12034283039.54,36.7830769231,6.3764331494,-1.2348604396
34,2018-02-21 00:00:00+00:00,247.95,250.9,239.69,239.69,708494,247.95,250.9,239.69,239.69,708494,0.0,1.0,13373060762.7,12512142762.7,38.1461538462,6.6127257493,-1.2806208791
35,2018-02-22 00:00:00+00:00,239.72,250.54,237.74,248.26,321570,239.72,250.54,237.74,248.26,321570,0.0,1.0,12929179778.32,12068261778.32,36.88,6.3932349934,-1.2381142857
36,2018-02-23 00:00:00+00:00,242.17,243.71,239.7,241.25,267149,242.17,243.71,239.7,241.25,267149,0.0,1.0,13061319318.02,12200401318.02,37.2569230769,6.4585754979,-1.2507681319
37,2018-02-26 00:00:00+00:00,248.11,248.46,242.55,242.88,348035,248.11,248.46,242.55,242.88,348035,0.0,1.0,13381690283.66,12520772283.66,38.1707692308,6.6169928842,-1.2814472527
38,2018-02-27 00:00:00+00:00,245.65,250.0,244.31,248.53,340085,245.65,250.0,244.31,248.53,340085,0.0,1.0,13249011398.9,12388093398.9,37.7923076923,6.5513856838,-1.2687417582
39,2018-02-28 00:00:00+00:00,245.64,250.72,244.74,246.94,362351,245.64,250.72,244.74,246.94,362351,0.0,1.0,13278345316.8,12417427316.8,37.7907692308,6.5511189879,-1.2686901099
40,2018-03-01 00:00:00+00:00,243.96,246.62,239.48,245.01,409217,243.96,246.62,239.48,245.01,409217,0.0,1.0,13187531035.2,12326613035.2,37.5323076923,6.5063140705,-1.2600131868
41,2018-03-02 00:00:00+00:00,244.8,245.28,235.01,241.03,327976,244.8,245.28,235.01,241.03,327976,0.0,1.0,13232938176.0,12372020176.0,37.6615384615,6.5287165292,-1.2643516484
42,2018-03-05 00:00:00+00:00,235.98,242.0,233.73,242.0,990244,235.98,242.0,233.73,242.0,990244,0.0,1.0,12756163197.6,11895245197.6,36.3046153846,6.2934907131,-1.2187978022
43,2018-03-06 00:00:00+00:00,241.44,241.64,234.01,236.31,9167474,241.44,241.64,234.01,236.31,9167474,0.0,1.0,13051309612.8,12190391612.8,37.1446153846,6.4391066945,-1.2469978022
44,2018-03-07 00:00:00+00:00,242.76,244.11,237.8,240.18,813187,242.76,244.11,237.8,240.18,813187,0.0,1.0,13122663691.2,12261745691.2,37.3476923077,6.4743105581,-1.2538153846
45,2018-03-08 00:00:00+00:00,243.8,245.53,241.48,245.53,405472,243.8,245.53,241.48,245.53,405472,0.0,1.0,13178882056.0,12317964056.0,37.5076923077,6.5020469356,-1.2591868132
46,2018-03-09 00:00:00+00:00,249.28,253.55,243.97,244.83,599276,249.28,253.55,243.97,244.83,599276,0.0,1.0,13475109593.6,12614191593.6,38.3507692308,6.6481963088,-1.2874901099
47,2018-03-12 00:00:00+00:00,254.72,255.32,249.65,250.17,547359,254.72,255.32,249.65,250.17,547359,0.0,1.0,13769174886.4,12908256886.4,39.1876923077,6.7932788984,-1.3155868132
48,2018-03-13 00:00:00+00:00,255.55,260.615,252.36,255.74,671123,255.55,260.615,252.36,255.74,671123,0.0,1.0,13814041466.0,12953123466.0,39.3153846154,6.8154146611,-1.3198736264
49,2018-03-14 00:00:00+00:00,253.28,257.37,251.92,256.01,597548,253.28,257.37,251.92,256.01,597548,0.0,1.0,13691334073.6,12830416073.6,38.9661538462,6.7548746835,-1.3081494505
50,2018-03-15 00:00:00+00:00,249.19,256.68,249.0,253.25,516095,249.19,256.68,249.0,253.25,516095,0.0,1.0,13470244542.8,12609326542.8,38.3369230769,6.6457960454,-1.2870252747
51,2018-03-16 00:00:00+00:00,246.9,252.105,243.83,250.62,846074,246.9,252.105,243.83,250.62,846074,0.0,1.0,13346456028.0,12485538028.0,37.9846153846,6.5847226759,-1.2751978022
52,2018-03-19 00:00:00+00:00,247.42,248.47,241.72,245.09,555768,247.42,248.47,241.72,245.09,555768,0.0,1.0,13374565210.4,12513647210.4,38.0646153846,6.5985908646,-1.2778835165
