,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,12745414000.0,10437700000.0,6422086000.0,5778928000.0,10854511000.0,-3018144000.0,392586000.0,0.0,0.0,791859000.0,-383178000.0,1134025000.0,0.0,0.0,0.0,13682660000.0,12548635000.0,1890903000.0,244430000.0,194638000.0,10830286000.0,302618000.0,0.0,151972000.0,288148319.0,937359000.0,8946000.0,186203000.0,-15920000.0,188144000.0,-3346000.0,1051000.0,108152000.0,-69000.0,-924086000.0,0.0,0.0,-755208000.0,-1941000.0,-746233000.0,288811000.0,264783000.0,156631000.0,0.13,361878000.0,602142000.0,0.13,52328000.0,168000.0,240264000.0,13934000.0,38394000.0,104303000.0,288403000.0,38562000.0,434505000.0,232095000.0,1036647000.0,38394000.0,0.0,0.0,0.0,4.0,-0.0240787253912546,0.58085539243349,0.599726691427323,937246000.0,0.58085539243349,3.59761599025674,-0.648648648648649,11.1352214039658,0.116926223310156,3.25265128477116,0.00959588146958064
1,2020-06-30 00:00:00+00:00,2,2020,13343222000.0,10552610000.0,6483393000.0,5767344000.0,10959951000.0,-2876861000.0,880212000.0,0.0,0.0,805901000.0,-427523000.0,1897373000.0,0.0,0.0,0.0,14367553000.0,12470180000.0,2383271000.0,252034000.0,184029000.0,11432822000.0,296629000.0,0.0,907180000.0,287882853.0,1024300000.0,20145000.0,219301000.0,-113040000.0,313659000.0,10723000.0,2580000.0,59531000.0,-7293000.0,543154000.0,0.0,0.0,754496000.0,-94358000.0,719224000.0,288071000.0,165584000.0,106053000.0,-0.02,443820000.0,575546000.0,-0.02,2597000.0,-27000.0,131726000.0,9683000.0,-7086000.0,103456000.0,288071000.0,-7113000.0,406693000.0,241947000.0,982239000.0,-7086000.0,0.0,0.0,0.0,5.0,-0.0793583695673569,0.585953113244333,0.79612138107668,1024331000.0,0.585953113244333,3.41193992543905,-1.0625,10.3022649614371,0.157933398103017,3.55815217657302,0.0146229372421914
2,2020-03-31 00:00:00+00:00,1,2020,12442495000.0,10468495000.0,6427770000.0,5736446000.0,10861232000.0,-2690433000.0,127557000.0,0.0,0.0,831507000.0,-493248000.0,1199056000.0,0.0,0.0,0.0,13566336000.0,12367280000.0,1581263000.0,260399000.0,177316000.0,10596052000.0,321160000.0,0.0,152684000.0,287343251.0,1123675000.0,6527000.0,29517000.0,-231171000.0,125415000.0,-8873000.0,-4610000.0,167097000.0,-118069000.0,73758000.0,0.0,0.0,-40871000.0,-95898000.0,260864000.0,288359000.0,346408000.0,179311000.0,0.22,464308000.0,601810000.0,0.22,73662000.0,917000.0,137502000.0,9687000.0,63975000.0,105649000.0,287840000.0,64892000.0,466921000.0,238733000.0,1068731000.0,63975000.0,0.0,0.0,0.0,5.0,0.0141080956443105,0.563107086816046,0.75829005042172,1123841000.0,0.563107086816046,3.71935306042737,1.2,9.31630142167442,0.209712231215672,3.91114458435636,0.0220763584246103
3,2019-12-31 00:00:00+00:00,4,2019,12352589000.0,10004252000.0,6492138000.0,5878392000.0,10403080000.0,-2574896000.0,389013000.0,0.0,0.0,850701000.0,-262581000.0,1236339000.0,0.0,0.0,0.0,13816816000.0,12580477000.0,1949509000.0,274036000.0,188128000.0,10393265000.0,324708000.0,0.0,193555000.0,287143406.0,1463962000.0,7514000.0,243136000.0,-95250000.0,318510000.0,2375000.0,3086000.0,338456000.0,-1738000.0,-218858000.0,0.0,0.0,6777000.0,-75374000.0,-46635000.0,287687000.0,497831000.0,159375000.0,0.14,418164000.0,624238000.0,0.14,54504000.0,-596000.0,206074000.0,16804000.0,37700000.0,104871000.0,286971000.0,37104000.0,455352000.0,229185000.0,1079590000.0,37700000.0,0.0,0.0,0.0,3.0,0.0170524612125043,0.578217656703008,0.634179683192024,1464227000.0,0.578217656703008,3.75975898259004,-0.735849056603774,6.83368284149452,0.167319408249106,5.09928826295248,0.0195150280831835
5,2019-09-30 00:00:00+00:00,3,2019,12065318000.0,9847254000.0,6322215000.0,5837282000.0,10235207000.0,-2433802000.0,394822000.0,0.0,0.0,821926000.0,-346203000.0,1203893000.0,0.0,0.0,0.0,13577167000.0,12373274000.0,1830111000.0,257328000.0,189564000.0,10242076000.0,289940000.0,0.0,186778000.0,287106811.0,1510830000.0,7120000.0,87247000.0,-165962000.0,218414000.0,-8453000.0,-332000.0,108152000.0,-11848000.0,-19217000.0,0.0,0.0,24782000.0,-131167000.0,157131000.0,287691000.0,344432000.0,236280000.0,0.37,389378000.0,612852000.0,0.37,129603000.0,609000.0,223474000.0,21928000.0,107675000.0,106677000.0,287152000.0,108284000.0,449372000.0,237151000.0,1062224000.0,107675000.0,0.0,0.0,0.0,3.0,0.00116212107360014,0.576951754055642,0.657825126454078,1511849000.0,0.576951754055642,3.69975200623158,0.37037037037037,6.51777764540021,0.22465166989586,5.26580680804539,0.0288616102305755
6,2019-06-30 00:00:00+00:00,2,2019,12062001000.0,10045660000.0,6352366000.0,5940449000.0,10445214000.0,-2364812000.0,123527000.0,0.0,0.0,852330000.0,-261821000.0,1215103000.0,0.0,0.0,0.0,13720982000.0,12505879000.0,1616787000.0,268779000.0,194532000.0,10169187000.0,303988000.0,0.0,161996000.0,286880641.0,1657821000.0,12501000.0,177025000.0,-158456000.0,312664000.0,-5053000.0,4236000.0,61742000.0,-5228000.0,-148634000.0,0.0,0.0,521000.0,-135639000.0,22965000.0,287481000.0,270143000.0,208401000.0,0.32,409983000.0,603098000.0,0.32,103087000.0,34000.0,193115000.0,10646000.0,92441000.0,105314000.0,286925000.0,92475000.0,463809000.0,252156000.0,1066907000.0,92441000.0,0.0,0.0,-128000.0,3.0,0.00573516976913213,0.565277011023454,0.751554162669542,1658981000.0,0.565277011023454,3.7189926663612,0.0,6.05955649011564,0.188196176594746,5.78282659372613,0.0265883315060333
7,2019-03-31 00:00:00+00:00,1,2019,11928629000.0,10022396000.0,6317119000.0,5960716000.0,10413496000.0,-2257485000.0,125142000.0,0.0,0.0,837521000.0,-250960000.0,1209850000.0,0.0,0.0,0.0,13689363000.0,12479513000.0,1515133000.0,266314000.0,190871000.0,10147538000.0,283709000.0,0.0,161475000.0,286365695.0,1759401000.0,8519000.0,-67593000.0,-311217000.0,117067000.0,2404000.0,-5963000.0,166591000.0,-58645000.0,187736000.0,0.0,0.0,-4010000.0,-184660000.0,372220000.0,287492000.0,309141000.0,142550000.0,0.1,434542000.0,593217000.0,0.1,40114000.0,891000.0,158675000.0,10553000.0,29561000.0,102436000.0,286528000.0,30452000.0,460646000.0,268711000.0,1053863000.0,29561000.0,0.0,0.0,24000.0,3.0,0.0109404887295219,0.562897644190943,0.79851075780146,1760734000.0,0.562897644190943,3.68013005189047,-0.375,5.69648192765606,0.177998290205615,6.14855071938697,0.0275650907054283
8,2018-12-31 00:00:00+00:00,4,2018,9994755000.0,8016417000.0,4489557000.0,5947552000.0,8503980000.0,-2139493000.0,126406000.0,0.0,0.0,846889000.0,-265664000.0,1208114000.0,0.0,0.0,0.0,11857218000.0,10649104000.0,1490775000.0,264823000.0,183836000.0,8142823000.0,318765000.0,0.0,165485000.0,286219594.0,1861054000.0,7815000.0,266343000.0,-119085000.0,311006000.0,-5231000.0,77850000.0,317266000.0,-47546000.0,-218881000.0,0.0,0.0,-32191000.0,-44663000.0,-67776000.0,286653000.0,576278000.0,259012000.0,0.53,369125000.0,615738000.0,0.53,153124000.0,713000.0,246613000.0,1505000.0,151619000.0,105888000.0,285913000.0,152332000.0,445751000.0,225099000.0,1061489000.0,151619000.0,0.0,0.0,0.0,4.0,0.0708752213148245,0.580070071380862,0.810393251832101,1862463000.0,0.580070071380862,3.70865245514952,16.6666666666667,4.30746071849608,0.174477426838402,6.50711215808656,0.0298212890585916
10,2018-09-30 00:00:00+00:00,3,2018,9867093000.0,8109179000.0,4424693000.0,5995608000.0,8619741000.0,-2098403000.0,121695000.0,0.0,0.0,847452000.0,-228260000.0,1215975000.0,0.0,0.0,0.0,11805969000.0,10589994000.0,1247352000.0,237574000.0,181730000.0,8230874000.0,285810000.0,0.0,197676000.0,286145783.0,1937386000.0,7279000.0,119368000.0,-181297000.0,231214000.0,-11239000.0,-541000.0,112990000.0,-43123000.0,-29194000.0,0.0,0.0,9484000.0,-111846000.0,143226000.0,286982000.0,296820000.0,183830000.0,0.27,417338000.0,612973000.0,0.27,79892000.0,-125000.0,195635000.0,14023000.0,65869000.0,103938000.0,286159000.0,65744000.0,448018000.0,259929000.0,1060991000.0,65869000.0,0.0,0.0,11605000.0,4.0,0.0987199441625994,0.577736286170194,0.974845111885017,1938876000.0,0.577736286170194,3.70786872648059,1.7,4.18562898668618,0.0988605242423523,6.77583286278938,0.0181439185264419
11,2018-06-30 00:00:00+00:00,2,2018,9755087000.0,7961761000.0,4406487000.0,5997183000.0,8481984000.0,-1996365000.0,123818000.0,0.0,0.0,867041000.0,-207450000.0,1244334000.0,0.0,0.0,0.0,11812534000.0,10568200000.0,1273103000.0,256181000.0,184836000.0,8085579000.0,293293000.0,0.0,188192000.0,285923945.0,2055940000.0,8689000.0,199359000.0,-359484000.0,301761000.0,-10077000.0,3691000.0,60802000.0,-237895000.0,-186499000.0,0.0,0.0,-254299000.0,-102402000.0,-18215000.0,286569000.0,280816000.0,220014000.0,0.32,407899000.0,609359000.0,0.32,117818000.0,142000.0,201460000.0,26057000.0,91761000.0,102196000.0,285984000.0,91903000.0,451464000.0,252225000.0,1060823000.0,91761000.0,0.0,0.0,360000.0,3.0,0.116883868916389,0.574420992003378,0.977402456831851,2057447000.0,0.574420992003378,3.71015795826404,0.032258064516129,3.87256486084224,0.0800946874174908,7.19578417960063,0.015079160530968
