,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,1330800000.0,0.0,1509700000.0,804000000.0,436100000.0,2937200000.0,0.0,662900000.0,0.0,588600000.0,16200000.0,6300300000.0,4990800000.0,1643200000.0,360300000.0,10617500000.0,4317200000.0,894700000.0,327800000.0,0.0,0.0,116000000.0,3347600000.0,1370600000.0,117025880.0,9257800000.0,105800000.0,210200000.0,-1025900000.0,274600000.0,-400000.0,113900000.0,73400000.0,0.0,85200000.0,-961500000.0,0.0,-666500000.0,-64400000.0,0.0,120600000.0,425700000.0,352300000.0,2.68,453900000.0,724300000.0,2.6,352300000.0,2900000.0,270400000.0,38400000.0,313900000.0,0.0,117300000.0,316800000.0,353400000.0,298900000.0,1077700000.0,313900000.0,0.0,155000000.0,0.0,3.0,-0.0447615670980323,0.67207942841236,7.04180172124735,9286700000.0,0.67207942841236,9.20907409540522,-0.220930232558139,0.0,0.121154598375555,79.3559510084436,0.104408433179495
1,2020,2,2020-06-30 00:00:00+00:00,1337200000.0,0.0,1450300000.0,802300000.0,412400000.0,2633000000.0,0.0,645500000.0,0.0,508800000.0,22300000.0,5899000000.0,4039200000.0,1586500000.0,365500000.0,10103600000.0,4204600000.0,924800000.0,343100000.0,0.0,0.0,108900000.0,2452700000.0,2035600000.0,116617784.0,8740500000.0,95900000.0,119900000.0,536700000.0,229900000.0,-800000.0,62700000.0,67900000.0,0.0,47600000.0,646700000.0,0.0,813400000.0,-110000000.0,0.0,119700000.0,172900000.0,105000000.0,0.58,422300000.0,502900000.0,0.57,105000000.0,2200000.0,80600000.0,37000000.0,68000000.0,0.0,116800000.0,70200000.0,349200000.0,279100000.0,852100000.0,68000000.0,0.0,143200000.0,0.0,4.0,-0.224588224588225,0.590188944959512,6.37867647058824,8766400000.0,0.590188944959512,7.30677578301436,-0.789855072463768,0.0,0.136569649318955,75.1720680955488,0.11693498579487
2,2020,1,2020-03-31 00:00:00+00:00,1360600000.0,0.0,1369200000.0,823000000.0,414700000.0,2570900000.0,0.0,620300000.0,0.0,527600000.0,8900000.0,4691500000.0,4672300000.0,2642700000.0,364700000.0,9891100000.0,5199600000.0,945900000.0,337400000.0,0.0,0.0,133400000.0,2029600000.0,1223800000.0,115984044.0,8506700000.0,90600000.0,247600000.0,-117100000.0,352800000.0,-800000.0,-8700000.0,67500000.0,-37700000.0,-178700000.0,25800000.0,0.0,56200000.0,-105200000.0,0.0,119800000.0,372900000.0,305400000.0,2.69,455200000.0,738200000.0,2.62,305400000.0,2700000.0,283000000.0,-8100000.0,313500000.0,0.0,116400000.0,316200000.0,361300000.0,308100000.0,1099500000.0,313500000.0,0.0,147100000.0,0.0,4.0,0.129197904898839,0.671396089131423,4.95982662015012,8530500000.0,0.671396089131423,9.479752232126,0.00749063670411987,0.0,0.174392713823859,73.5489098828111,0.148715913235641
3,2019,4,2019-12-31 00:00:00+00:00,1448500000.0,0.0,1272900000.0,748600000.0,418300000.0,2494500000.0,0.0,595500000.0,0.0,645200000.0,12400000.0,4662600000.0,4677600000.0,2623500000.0,425600000.0,9733200000.0,5070600000.0,1030200000.0,337800000.0,0.0,0.0,123500000.0,2054100000.0,1167600000.0,115573505.0,8263800000.0,89200000.0,410700000.0,-406200000.0,552700000.0,700000.0,67100000.0,67700000.0,-27900000.0,50800000.0,-236300000.0,0.0,198000000.0,-142000000.0,0.0,119800000.0,494400000.0,426700000.0,3.09,498400000.0,896000000.0,2.98,426700000.0,5000000.0,397600000.0,69000000.0,357700000.0,0.0,115700000.0,362700000.0,381700000.0,341800000.0,1277700000.0,357700000.0,0.0,156600000.0,0.0,3.0,0.220926899187769,0.701260076700321,4.52591729761211,8284700000.0,0.701260076700321,11.0553019915767,0.211764705882353,0.0,0.181997512757837,71.6833845265833,0.15484269316045
5,2019,3,2019-09-30 00:00:00+00:00,1354200000.0,0.0,1136800000.0,720400000.0,423300000.0,2142600000.0,0.0,579600000.0,0.0,639000000.0,17800000.0,4317000000.0,4461000000.0,2533000000.0,424100000.0,9131300000.0,4814300000.0,930900000.0,307600000.0,0.0,0.0,132400000.0,1928000000.0,969600000.0,115253433.0,7761400000.0,88900000.0,309600000.0,-216600000.0,396300000.0,-1600000.0,16600000.0,54200000.0,-33000000.0,1200000.0,-96900000.0,0.0,179300000.0,-86700000.0,0.0,119300000.0,451300000.0,397100000.0,3.44,419900000.0,785600000.0,3.33,397100000.0,1900000.0,365700000.0,300000.0,396800000.0,0.0,115400000.0,398700000.0,342600000.0,284000000.0,1128200000.0,396800000.0,0.0,135900000.0,0.0,2.0,0.225105874687805,0.696330437865627,4.63744763132452,7777100000.0,0.696330437865627,9.78886242807188,0.33852140077821,0.0,0.182960490363631,67.4782503007958,0.155770570018818
6,2019,2,2019-06-30 00:00:00+00:00,1252000000.0,0.0,1032400000.0,628700000.0,444500000.0,1819000000.0,0.0,512800000.0,0.0,633400000.0,16100000.0,4071600000.0,4357900000.0,2429800000.0,369100000.0,8531600000.0,4460000000.0,807500000.0,306800000.0,0.0,0.0,129600000.0,1928100000.0,790300000.0,115448658.0,7265300000.0,81600000.0,233900000.0,-222700000.0,316000000.0,-100000.0,-169200000.0,49800000.0,2500000.0,-178600000.0,-143100000.0,0.0,-85400000.0,-82100000.0,0.0,119300000.0,443500000.0,393700000.0,2.76,400000000.0,759000000.0,2.67,393700000.0,-1900000.0,359000000.0,75400000.0,318300000.0,0.0,115400000.0,316400000.0,339900000.0,279200000.0,1098900000.0,318300000.0,0.0,120800000.0,0.0,2.0,0.208512042230287,0.690690690690691,5.04222910216718,7279600000.0,0.690690690690691,9.51851688046473,0.226666666666667,0.0,0.177592489972072,63.0548689444272,0.15154798664654
7,2019,1,2019-03-31 00:00:00+00:00,1194500000.0,0.0,935400000.0,626200000.0,454300000.0,1696000000.0,0.0,468300000.0,0.0,547600000.0,-700000.0,4025000000.0,4188900000.0,2255900000.0,392400000.0,8234900000.0,4209900000.0,740200000.0,298400000.0,0.0,0.0,130600000.0,1933000000.0,875700000.0,114488602.0,7024200000.0,76100000.0,218400000.0,-308900000.0,333200000.0,-1200000.0,88800000.0,44400000.0,-1300000.0,-41800000.0,-192800000.0,0.0,-18700000.0,-114800000.0,0.0,119600000.0,326600000.0,282200000.0,2.67,417400000.0,669600000.0,2.56,282200000.0,-2500000.0,252200000.0,-24300000.0,306500000.0,0.0,115000000.0,304000000.0,304100000.0,273400000.0,973700000.0,306500000.0,0.0,144000000.0,0.0,4.0,0.148908554572271,0.687686145630071,5.43771953526074,7040400000.0,0.687686145630071,8.50477674624763,0.0470588235294118,0.0,0.177494370110121,61.4943311125417,0.151643977811424
8,2018,4,2018-12-31 00:00:00+00:00,1159200000.0,0.0,812000000.0,501600000.0,338600000.0,1521700000.0,0.0,409000000.0,0.0,682300000.0,-13300000.0,4333200000.0,3976500000.0,1771300000.0,428600000.0,7846700000.0,3513500000.0,820600000.0,294300000.0,0.0,0.0,100700000.0,2205200000.0,857900000.0,114200264.0,6678800000.0,70400000.0,282600000.0,-486300000.0,338100000.0,600000.0,37000000.0,39000000.0,-27800000.0,33700000.0,-403000000.0,0.0,-113900000.0,-55500000.0,0.0,119400000.0,399000000.0,360000000.0,2.55,403700000.0,735700000.0,2.45,360000000.0,-1200000.0,332000000.0,67500000.0,292500000.0,0.0,114600000.0,291300000.0,310800000.0,283800000.0,1046500000.0,292500000.0,0.0,119900000.0,0.0,5.0,0.173206278026906,0.703010033444816,5.28052644406532,6687500000.0,0.703010033444816,9.16372662676156,-10.1071428571429,0.0,0.18553199189048,58.5594092847281,0.158629588869629
10,2018,3,2018-09-30 00:00:00+00:00,1030100000.0,0.0,746400000.0,473500000.0,326800000.0,1234000000.0,0.0,370100000.0,0.0,580400000.0,-16700000.0,4252600000.0,3562200000.0,1434600000.0,411500000.0,7318600000.0,3066000000.0,703300000.0,281000000.0,0.0,0.0,96400000.0,2127600000.0,1008300000.0,113747594.0,6280600000.0,70000000.0,272800000.0,-572600000.0,319800000.0,-100000.0,64700000.0,38900000.0,-22000000.0,57700000.0,-503600000.0,0.0,-195200000.0,-47000000.0,0.0,119200000.0,374800000.0,335900000.0,2.57,329000000.0,642300000.0,2.45,335900000.0,-700000.0,313300000.0,43400000.0,292500000.0,0.0,114000000.0,291800000.0,278600000.0,221400000.0,920900000.0,292500000.0,0.0,107600000.0,0.0,4.0,0.140009903441446,0.697469866435009,6.04663728138774,6288500000.0,0.697469866435009,8.09599541947235,-0.0374531835205992,0.0,0.143444067252232,55.2846858457507,0.121936051450067
11,2018,2,2018-06-30 00:00:00+00:00,980400000.0,0.0,688800000.0,432200000.0,314000000.0,948100000.0,0.0,331500000.0,0.0,532500000.0,-16400000.0,3986100000.0,3056100000.0,1327100000.0,415400000.0,6849600000.0,2863500000.0,666400000.0,272100000.0,0.0,0.0,102200000.0,1729000000.0,1203500000.0,113295092.0,5860600000.0,63300000.0,186700000.0,-44300000.0,231500000.0,-1600000.0,48700000.0,29200000.0,-38100000.0,43200000.0,38600000.0,0.0,228800000.0,-44800000.0,0.0,118500000.0,325500000.0,296300000.0,2.25,354900000.0,632300000.0,2.15,296300000.0,-700000.0,277400000.0,41000000.0,255300000.0,0.0,113500000.0,254600000.0,277000000.0,259800000.0,909300000.0,255300000.0,0.0,95100000.0,0.0,4.0,0.198339483394834,0.695370064885076,5.98154261704682,5869200000.0,0.695370064885076,8.02594343627877,0.119402985074627,0.0,0.153595266990291,51.8045388938825,0.1311889606919
