,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,124.85,125.0,123.08,123.24,522827,124.85,125.0,123.08,123.24,522827,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,125.19,126.08,124.73,124.73,464507,125.19,126.08,124.73,124.73,464507,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,127.3,128.83,125.28,125.28,828275,127.3,128.83,125.28,125.28,828275,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,129.34,129.36,127.42,127.42,437683,129.34,129.36,127.42,127.42,437683,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,130.31,130.39,128.98,129.63,524400,130.31,130.39,128.98,129.63,524400,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,128.95,130.55,128.86,130.51,335714,128.95,130.55,128.86,130.51,335714,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,128.16,128.93,127.68,128.43,287116,128.16,128.93,127.68,128.43,287116,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,129.61,129.67,128.27,128.49,207060,129.61,129.67,128.27,128.49,207060,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,130.13,130.5,128.88,129.57,244047,130.13,130.5,128.88,129.57,244047,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,130.04,131.91,129.705,130.65,396542,130.04,131.91,129.705,130.65,396542,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,132.13,133.06,130.03,130.73,490501,132.13,133.06,130.03,130.73,490501,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,134.0,134.02,131.79,132.23,700232,134.0,134.02,131.79,132.23,700232,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,137.35,138.26,134.1,134.8,760569,137.35,138.26,134.1,134.8,760569,0.0,1.0,,,,,
