,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,5803099000.0,2743178000.0,984704000.0,3759702000.0,3281537000.0,2135860000.0,20511000.0,0.0,0.0,948864000.0,-130213000.0,1865404000.0,0.0,0.0,0.0,6840602000.0,4975198000.0,2521562000.0,1710791000.0,0.0,2763689000.0,790260000.0,0.0,553715000.0,89232595.0,1037503000.0,15501000.0,228933000.0,-14980000.0,243913000.0,10421000.0,1839000.0,73591000.0,0.0,-42272000.0,0.0,0.0,186661000.0,-14980000.0,-31000000.0,89955000.0,118296000.0,44705000.0,0.19,577201000.0,664851000.0,0.19,14167000.0,0.0,87650000.0,-2797000.0,16964000.0,30538000.0,89378000.0,16964000.0,329767000.0,521508000.0,994618000.0,16964000.0,0.0,0.0,0.0,7.0,-0.00588104771404752,0.668448590313065,0.73978113566115,1037503000.0,0.668448590313065,11.1463529666486,-0.58695652173913,2.64401934259467,0.222770175161176,11.6269508916557,0.0311332263093507
1,2020,2,2020-06-30 00:00:00+00:00,5819075000.0,2739351000.0,1012073000.0,3782984000.0,3279753000.0,2118896000.0,38019000.0,0.0,0.0,1048519000.0,-142175000.0,1767185000.0,0.0,0.0,0.0,6810294000.0,5043109000.0,2539322000.0,1765264000.0,0.0,2777370000.0,736039000.0,0.0,356633000.0,89175114.0,991219000.0,15678000.0,321839000.0,-21329000.0,343168000.0,14207000.0,3380000.0,74330000.0,0.0,-207263000.0,0.0,0.0,114576000.0,-21329000.0,-200127000.0,89780000.0,163582000.0,89252000.0,0.62,550933000.0,650584000.0,0.61,58956000.0,0.0,99651000.0,3879000.0,55077000.0,30296000.0,89323000.0,55077000.0,322551000.0,494840000.0,973135000.0,55077000.0,0.0,0.0,0.0,7.0,-0.0912770968229927,0.668544446556747,0.695927889413001,991219000.0,0.668544446556747,10.9126297276166,-0.460869565217391,2.76361833257837,0.255913773777029,11.1154217307757,0.0348028046409073
2,2020,1,2020-03-31 00:00:00+00:00,5910071000.0,2849156000.0,1024597000.0,3791816000.0,3379733000.0,2063819000.0,149003000.0,0.0,0.0,1148565000.0,-168972000.0,1772618000.0,0.0,0.0,0.0,6800346000.0,5027728000.0,2530338000.0,1847384000.0,0.0,2998159000.0,533951000.0,0.0,227850000.0,89101606.0,890275000.0,25129000.0,31213000.0,-24536000.0,55749000.0,-15709000.0,-67523000.0,77558000.0,0.0,-68490000.0,0.0,0.0,-37277000.0,-24536000.0,-967000.0,90066000.0,200761000.0,123203000.0,0.84,552895000.0,677613000.0,0.83,96854000.0,0.0,124718000.0,21757000.0,75097000.0,26349000.0,89219000.0,75097000.0,341278000.0,496639000.0,1018891000.0,75097000.0,0.0,0.0,0.0,5.0,0.0499225096965925,0.6650495489704,0.700545934969953,890275000.0,0.6650495489704,11.4351586434929,2.65217391304348,3.20031001656791,0.309877874443711,9.99168297819458,0.0419557144094571
3,2019,4,2019-12-31 00:00:00+00:00,6212701000.0,2876421000.0,1047495000.0,3862813000.0,3356167000.0,1988722000.0,139718000.0,0.0,0.0,1326012000.0,-77938000.0,2018741000.0,0.0,0.0,0.0,7151294000.0,5132553000.0,2856534000.0,1928020000.0,0.0,3016139000.0,788796000.0,0.0,280836000.0,89452966.0,938593000.0,11115000.0,29520000.0,-62889000.0,82835000.0,7342000.0,-53212000.0,76434000.0,-23694000.0,-53179000.0,14120000.0,0.0,-33233000.0,-53315000.0,33000.0,90617000.0,216178000.0,139744000.0,0.76,616486000.0,752625000.0,0.74,110582000.0,0.0,136139000.0,42881000.0,67701000.0,29162000.0,89427000.0,67701000.0,450868000.0,557519000.0,1203493000.0,67701000.0,0.0,0.0,0.0,7.0,0.105258711022988,0.625367160423866,0.706709949890322,938593000.0,0.625367160423866,13.4539194597527,-0.182795698924731,3.06460947396795,0.25364852842483,10.4925866851637,0.0341404738031608
5,2019,3,2019-09-30 00:00:00+00:00,5817687000.0,2828069000.0,952885000.0,3876020000.0,3290424000.0,1921021000.0,130433000.0,0.0,0.0,1028320000.0,-81264000.0,1706505000.0,0.0,0.0,0.0,6737344000.0,5030839000.0,2527263000.0,1803135000.0,0.0,2958502000.0,593695000.0,0.0,306727000.0,90137210.0,919657000.0,12954000.0,183301000.0,-36222000.0,219523000.0,-4342000.0,-90720000.0,73534000.0,0.0,-90685000.0,0.0,0.0,92616000.0,-36222000.0,35000.0,90887000.0,150705000.0,77171000.0,0.46,566299000.0,635446000.0,0.46,53098000.0,0.0,69147000.0,11710000.0,41388000.0,24073000.0,89846000.0,41388000.0,365056000.0,512159000.0,1000502000.0,41388000.0,0.0,0.0,0.0,6.0,0.0855269867653856,0.635127166162586,0.675238390306035,919657000.0,0.635127166162586,11.0997666779347,2.53846153846154,3.07513453385338,0.278029680491814,10.2028562898719,0.0378437224326723
6,2019,2,2019-06-30 00:00:00+00:00,5765839000.0,2827374000.0,928981000.0,3903734000.0,3283688000.0,1879633000.0,121148000.0,0.0,0.0,1112856000.0,-73479000.0,1691104000.0,0.0,0.0,0.0,6729641000.0,5038537000.0,2482151000.0,1796331000.0,0.0,2948522000.0,564672000.0,0.0,218453000.0,90090414.0,963802000.0,13120000.0,188063000.0,-39419000.0,227482000.0,-190000.0,2275000.0,73880000.0,0.0,-118690000.0,0.0,0.0,69373000.0,-39419000.0,-120965000.0,91188000.0,189635000.0,115755000.0,1.15,566881000.0,682883000.0,1.13,91006000.0,0.0,116002000.0,-12400000.0,103406000.0,24749000.0,90112000.0,103406000.0,387999000.0,514976000.0,1070882000.0,103406000.0,0.0,0.0,0.0,6.0,0.0694532105107577,0.637682769903687,0.681305851255625,963802000.0,0.637682769903687,11.8867474623882,1.25490196078431,2.9335631177358,0.243535849946471,10.6981637358221,0.0343835533092279
7,2019,1,2019-03-31 00:00:00+00:00,5857778000.0,2863913000.0,905590000.0,3922791000.0,3288860000.0,1776227000.0,204863000.0,0.0,0.0,1178859000.0,-61566000.0,1716013000.0,0.0,0.0,0.0,6714675000.0,4998662000.0,2568918000.0,1837504000.0,0.0,3068776000.0,526551000.0,0.0,149270000.0,89711737.0,856897000.0,31819000.0,15536000.0,-22355000.0,35596000.0,804000.0,-39756000.0,74397000.0,-2295000.0,-23438000.0,0.0,0.0,-10197000.0,-20060000.0,16318000.0,91004000.0,120297000.0,45900000.0,0.23,575000000.0,623799000.0,0.23,21053000.0,0.0,48799000.0,258000.0,20795000.0,24847000.0,89882000.0,20795000.0,346645000.0,518770000.0,970444000.0,20795000.0,0.0,0.0,0.0,6.0,0.00713911360416786,0.642797523607751,0.667990570349073,856897000.0,0.642797523607751,10.8173582682944,-2.04545454545455,3.34219048497077,0.182419144611293,9.55167103720219,0.0260395988582829
8,2018,4,2018-12-31 00:00:00+00:00,5350717000.0,2116109000.0,267665000.0,3965701000.0,2729782000.0,1755432000.0,165578000.0,0.0,0.0,1255118000.0,-39867000.0,1811739000.0,0.0,0.0,0.0,6201474000.0,4389735000.0,2620935000.0,1745244000.0,0.0,2281687000.0,710113000.0,0.0,156368000.0,90893218.0,850757000.0,10154000.0,-17095000.0,-56172000.0,45147000.0,-45000.0,-152877000.0,52520000.0,6070000.0,-43559000.0,0.0,0.0,-54584000.0,-62242000.0,109318000.0,91756000.0,190613000.0,138093000.0,0.93,551431000.0,681037000.0,0.91,110966000.0,0.0,129606000.0,26946000.0,84020000.0,27127000.0,90401000.0,84020000.0,407842000.0,488056000.0,1088879000.0,84020000.0,0.0,0.0,0.0,7.0,0.0733063974789776,0.625447822944515,0.691256746161198,850757000.0,0.625447822944515,11.979760690176,-0.24390243902439,2.48732481777993,0.132338081564679,9.35996126795731,0.0194264704855856
10,2018,3,2018-09-30 00:00:00+00:00,5003269000.0,2077466000.0,246061000.0,3996585000.0,2659673000.0,1671412000.0,93294000.0,0.0,0.0,979181000.0,-22684000.0,1535340000.0,0.0,0.0,0.0,5944817000.0,4409477000.0,2343596000.0,1650647000.0,0.0,2170760000.0,599655000.0,0.0,210997000.0,90818051.0,941548000.0,10718000.0,224759000.0,73807000.0,249264000.0,-3432000.0,-4622000.0,68187000.0,98312000.0,-266303000.0,0.0,0.0,56768000.0,-24505000.0,-261681000.0,92148000.0,133124000.0,64937000.0,0.13,532838000.0,585562000.0,0.13,37953000.0,0.0,52724000.0,26200000.0,11753000.0,26984000.0,90854000.0,11753000.0,336112000.0,447537000.0,921674000.0,11753000.0,0.0,0.0,0.0,7.0,0.113018591086664,0.635324420565189,0.655121445846468,941548000.0,0.635324420565189,10.1485771809835,-1.24528301886792,2.20643663413867,0.15205257359385,10.3674103290325,0.0221696454834974
11,2018,2,2018-06-30 00:00:00+00:00,5231505000.0,2146829000.0,225901000.0,4151810000.0,2717701000.0,1659658000.0,284009000.0,0.0,0.0,1083990000.0,-24051000.0,1608484000.0,0.0,0.0,0.0,6152937000.0,4544453000.0,2513804000.0,1687724000.0,0.0,2430838000.0,542071000.0,0.0,141805000.0,91240213.0,921432000.0,14342000.0,151576000.0,383095000.0,174023000.0,-6622000.0,-64374000.0,66838000.0,406542000.0,-618170000.0,0.0,0.0,-61052000.0,-22447000.0,-553796000.0,92156000.0,179514000.0,112676000.0,0.51,547603000.0,633699000.0,0.5,75072000.0,0.0,86096000.0,28802000.0,46270000.0,37604000.0,91048000.0,46270000.0,367637000.0,460803000.0,1001336000.0,46270000.0,0.0,0.0,0.0,7.0,0.186795317464927,0.632853507713695,0.639860546009156,921432000.0,0.632853507713695,10.9747222970643,-1.49514563106796,2.3298832686514,0.0913874199321703,10.0989680942547,0.0125441158251235
