,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,36.35,36.86,36.18,36.84,2814381,30.5187992519,30.9469859815,30.3760703421,30.930194345,2814381,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,36.53,36.58,35.89,36.0,2876736,30.66992398,30.7119030711,30.1325916135,30.224945614,2876736,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,36.83,37.12,36.64,36.67,2362264,30.9217985268,31.1652772553,30.7622779805,30.7874654352,2362264,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,37.28,37.33,36.81,36.99,3219762,31.299610347,31.3415894381,30.9050068903,31.0561316184,3219762,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,36.84,37.09,36.56,36.57,3534044,30.930194345,31.1400898007,30.6951114347,30.7035072529,3534044,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,37.2,37.48,36.97,36.97,2825481,31.2324438011,31.4675267115,31.0393399819,31.0393399819,2825481,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,36.82,37.66,36.68,37.31,3929525,30.9134027085,31.6186514395,30.7958612534,31.3247978016,3929525,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,37.3,37.33,36.6,36.92,2974177,31.3164019834,31.3415894381,30.7286947076,30.9973608908,2974177,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,37.86,37.88,37.41,37.59,2511785,31.7865678041,31.8033594405,31.4087559839,31.559880712,2511785,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,37.2,38.42,37.09,38.13,3768076,31.2324438011,32.2567336247,31.1400898007,32.0132548962,3768076,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,38.08,38.29,37.31,37.4,3170584,31.971275805,32.1475879878,31.3247978016,31.4003601657,3170584,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,37.86,38.21,37.79,38.08,2308808,31.7865678041,32.080421442,31.7277970765,31.971275805,2308808,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,38.13,38.25,37.92,37.98,2450570,32.0132548962,32.1140047149,31.8369427134,31.8873176228,2450570,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,37.87,38.06,37.33,37.96,3096192,31.7949636223,31.9544841686,31.3415894381,31.8705259863,3096192,0.0,1.0,12943047052.7657,17300947052.7657,13.7709090909,1.6758777157,0.1683111111
14,2018-01-23 00:00:00+00:00,37.61,38.01,37.44,37.78,3187251,31.5766723484,31.9125050775,31.4339434386,31.7194012583,3187251,0.0,1.0,12854185361.8832,17212085361.8832,13.6763636364,1.6643718217,0.1671555556
15,2018-01-24 00:00:00+00:00,37.61,38.2,37.49,37.88,2673014,31.5766723484,32.0720256238,31.4759225297,31.8033594405,2673014,0.0,1.0,12854185361.8832,17212085361.8832,13.6763636364,1.6643718217,0.1671555556
16,2018-01-25 00:00:00+00:00,37.59,37.71,37.24,37.69,2018986,31.559880712,31.6606305307,31.266027074,31.6438388942,2018986,0.0,1.0,12847349847.1999,17205249847.1999,13.6690909091,1.6634867529,0.1670666667
17,2018-01-26 00:00:00+00:00,38.4,38.43,37.45,37.7,3271482,32.2399419883,32.265129443,31.4423392568,31.6522347124,3271482,0.0,1.0,13124188191.8723,17482088191.8723,13.9636363636,1.6993320381,0.1706666667
18,2018-01-29 00:00:00+00:00,37.48,38.43,37.47,38.26,3056512,31.4675267115,32.265129443,31.4591308932,32.1224005331,3056512,0.0,1.0,12809754516.442,17167654516.442,13.6290909091,1.6586188747,0.1665777778
19,2018-01-30 00:00:00+00:00,36.68,37.4,36.68,37.12,3924828,30.7958612534,31.4003601657,30.7958612534,31.1652772553,3924828,0.0,1.0,12536333929.1113,16894233929.1113,13.3381818182,1.6232161239,0.1630222222
20,2018-01-31 00:00:00+00:00,36.13,36.66,35.41,36.25,4906359,30.3340912509,30.7790696169,29.7295923387,30.4348410697,4906359,0.0,1.0,12348357275.3215,16706257275.3215,13.1381818182,1.5988767327,0.1605777778
21,2018-02-01 00:00:00+00:00,36.03,36.64,35.85,36.25,3966626,30.2501330687,30.7622779805,30.0990083406,30.4348410697,3966626,0.0,1.0,12314179701.9051,16672079701.9051,13.1018181818,1.5944513889,0.1601333333
22,2018-02-02 00:00:00+00:00,35.16,35.7,34.82,35.65,4996773,29.519696883,29.9730710672,29.2342390633,29.9310919761,4996773,0.0,1.0,12016834813.183,16374734813.183,12.7854545455,1.5559508974,0.1562666667
23,2018-02-05 00:00:00+00:00,33.17,35.15,33.02,34.53,6208166,27.848929056,29.5113010648,27.7229917826,28.9907603348,6208166,0.0,1.0,11336701102.198,15694601102.198,12.0618181818,1.4678865548,0.1474222222
24,2018-02-06 00:00:00+00:00,33.61,33.86,32.08,32.39,6412809,28.218345058,28.4282405136,26.9337848694,27.1940552344,6412809,0.0,1.0,11487082425.2298,15844982425.2298,12.2218181818,1.4873580677,0.1493777778
25,2018-02-07 00:00:00+00:00,33.46,34.36,33.43,33.54,4162831,28.0924077846,28.8480314249,28.0672203299,28.1595743304,4162831,0.0,1.0,11435816065.1053,15793716065.1053,12.1672727273,1.4807200519,0.1487111111
26,2018-02-08 00:00:00+00:00,31.92,33.53,31.92,33.45,4143576,26.7994517778,28.1511785122,26.7994517778,28.0840119663,4143576,0.0,1.0,10909481434.4938,15267381434.4938,11.6072727273,1.4125697567,0.1418666667
27,2018-02-09 00:00:00+00:00,32.44,32.73,31.24,32.4,5316685,27.2360343255,27.4795130541,26.2285361384,27.2024510526,5316685,0.0,1.0,11087204816.2588,15445104816.2588,11.7963636364,1.4355815447,0.1441777778
28,2018-02-12 00:00:00+00:00,32.52,32.95,32.15,32.72,2715961,27.3032008713,27.664221055,26.992555597,27.4711172358,2715961,0.0,1.0,11114546874.9918,15472446874.9918,11.8254545455,1.4391218198,0.1445333333
29,2018-02-13 00:00:00+00:00,32.51,33.01,32.31,32.49,3180873,27.2948050531,27.7145959644,27.1268886886,27.2780134166,3180873,0.0,1.0,11111129117.6502,15469029117.6502,11.8218181818,1.4386792854,0.1444888889
30,2018-02-14 00:00:00+00:00,33.17,33.19,31.92,32.06,3932443,28.0924077846,28.1093462276,27.0337550945,27.1523241958,3932443,0.29,1.0,11435816065.1053,15793716065.1053,12.0618181818,1.4678865548,0.1474222222
31,2018-02-15 00:00:00+00:00,33.19,33.81,32.86,33.4,3747809,28.1093462276,28.6344379619,27.8298619174,28.2871998796,3747809,0.0,1.0,11442711341.5993,15800611341.5993,12.0690909091,1.4687716235,0.1475111111
32,2018-02-16 00:00:00+00:00,33.92,34.05,33.02,33.12,4801236,28.7275993986,28.8376992784,27.9653694618,28.050061677,4801236,0.0,1.0,11694388933.626,16052288933.626,12.3345454545,1.5010766336,0.1507555556
33,2018-02-20 00:00:00+00:00,33.21,34.03,33.05,33.71,4281635,28.1262846707,28.8207608354,27.9907771263,28.5497457467,4281635,0.0,1.0,11449606618.0931,15807506618.0931,12.0763636364,1.4696566923,0.1476
34,2018-02-21 00:00:00+00:00,33.22,33.95,33.2,33.34,3769741,28.1347538922,28.7530070632,28.1178154491,28.2363845504,3769741,0.0,1.0,11453054256.3401,15810954256.3401,12.08,1.4700992267,0.1476444444
35,2018-02-22 00:00:00+00:00,32.94,33.6,32.85,33.36,3783075,27.8976156896,28.45658431,27.8213926959,28.2533229935,3783075,0.0,1.0,11356520385.4257,15714420385.4257,11.9781818182,1.4577082639,0.1464
36,2018-02-23 00:00:00+00:00,33.19,33.2,32.8,33.06,2230435,28.1093462276,28.1178154491,27.7790465883,27.9992463478,2230435,0.0,1.0,11444654147.1731,15802554147.1731,12.0690909091,1.4687716235,0.1475111111
37,2018-02-26 00:00:00+00:00,33.84,33.88,33.14,33.43,2636577,28.6598456265,28.6937225126,28.06700012,28.3126075441,2636577,0.0,1.0,11668788681.5408,16026688681.5408,12.3054545455,1.4975363586,0.1504
38,2018-02-27 00:00:00+00:00,33.02,34.0,33.01,33.75,3266875,27.9653694618,28.7953531708,27.9569002402,28.5836226328,3266875,0.0,1.0,11386034345.877,15743934345.877,12.0072727273,1.461248539,0.1467555556
39,2018-02-28 00:00:00+00:00,32.54,33.52,32.52,33.25,4098235,27.5588468288,28.3888305378,27.5419083857,28.1601615567,4098235,0.0,1.0,11220519612.8055,15578419612.8055,11.8327272727,1.4400068885,0.1446222222
40,2018-03-01 00:00:00+00:00,31.81,32.74,31.57,32.55,4218443,26.9405936577,27.7282312592,26.7373323412,27.5673160503,4218443,0.0,1.0,10968799289.5926,15326699289.5926,11.5672727273,1.4077018784,0.1413777778
41,2018-03-02 00:00:00+00:00,32.21,32.28,31.44,31.64,3727600,27.2793625186,27.3386470692,26.6272324615,26.7966168919,3727600,0.0,1.0,11106728233.8188,15464628233.8188,11.7127272727,1.4254032538,0.1431555556
42,2018-03-05 00:00:00+00:00,32.67,32.9,31.8,32.11,3225602,27.6689467085,27.8637388035,26.9321244362,27.1946703034,3225602,0.0,1.0,11265346519.679,15623246519.679,11.88,1.4457598355,0.1452
43,2018-03-06 00:00:00+00:00,33.12,33.23,32.57,32.93,3012752,28.050061677,28.1432231137,27.5842544933,27.8891464681,3012752,0.0,1.0,11420516581.9335,15778416581.9335,12.0436363636,1.4656738829,0.1472
44,2018-03-07 00:00:00+00:00,33.34,33.38,32.7,32.74,4082329,28.2363845504,28.2702614365,27.6943543731,27.7282312592,4082329,0.0,1.0,11496377501.258,15854277501.258,12.1236363636,1.4754096393,0.1481777778
45,2018-03-08 00:00:00+00:00,33.9,33.96,33.2,33.37,5522825,28.7106609556,28.7614762847,28.1178154491,28.261792215,5522825,0.0,1.0,11689478023.1747,16047378023.1747,12.3272727273,1.5001915649,0.1506666667
46,2018-03-09 00:00:00+00:00,34.52,34.57,33.8,34.24,3514480,29.2357526899,29.2780987975,28.6259687404,28.9986144873,3514480,0.0,1.0,11903267886.7254,16261167886.7254,12.5527272727,1.5276286967,0.1534222222
47,2018-03-12 00:00:00+00:00,34.52,35.03,34.47,34.61,4189639,29.2357526899,29.6676829874,29.1934065823,29.3119756836,4189639,0.0,1.0,11903267886.7254,16261167886.7254,12.5527272727,1.5276286967,0.1534222222
