,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.totalAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debt,statementData.balanceSheet.taxAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.depamor,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.ncfx,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebt,statementData.incomeStatement.taxExp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.rnd,statementData.incomeStatement.opinc,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.shareswaDil,statementData.overview.rps,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.epsQoQ,statementData.overview.revenueQoQ,statementData.overview.roa,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.piotroskiFScore,statementData.overview.grossMargin
0,2020-09-30 00:00:00+00:00,3,2020,21458700000.0,13934000000.0,36037500000.0,5944500000.0,8698700000.0,0.0,0.0,-647900000.0,1527100000.0,1181500000.0,459165929.0,16044700000.0,8488200000.0,0.0,551100000.0,1320600000.0,0.0,9997600000.0,375400000.0,-179200000.0,14200000.0,-26400000.0,51600000.0,-301600000.0,-86400000.0,0.0,-5800000.0,401800000.0,-71400000.0,43000000.0,-86000000.0,35300000.0,1497600000.0,0.0,283600000.0,91900000.0,1497600000.0,0.0,268500000.0,191700000.0,33800000.0,0.0,132500000.0,0.42,317400000.0,294700000.0,1229100000.0,59200000.0,43800000.0,369000000.0,459165929.0,0.41,1158100000.0,,3.26156603836344,31.7506136218569,1.0,0.166666666666667,-0.129605951412298,0.00693560719660434,14578800000.0,0.0187038460557618,3.0,1.0
1,2020-06-30 00:00:00+00:00,2,2020,21408600000.0,13602000000.0,35579100000.0,5825000000.0,8654600000.0,0.0,0.0,-816000000.0,1507400000.0,1073900000.0,458895646.0,15931400000.0,8107600000.0,0.0,555100000.0,1271200000.0,0.0,10017900000.0,309900000.0,131100000.0,21900000.0,-28000000.0,50300000.0,-25000000.0,-284400000.0,0.0,-3400000.0,337900000.0,-73600000.0,47800000.0,-291000000.0,10300000.0,1419000000.0,0.0,83900000.0,43400000.0,1419000000.0,0.0,117100000.0,40500000.0,34800000.0,0.0,-18700000.0,0.09,118700000.0,62000000.0,1301900000.0,59200000.0,-37700000.0,169000000.0,458895646.0,0.09,1230200000.0,,3.09220628343029,30.8795695132832,1.0,0.0,-0.0141725719049604,0.00605464254860692,14170500000.0,0.016641912829822,3.0,1.0
2,2020-03-31 00:00:00+00:00,1,2020,22891800000.0,13499300000.0,37010700000.0,5856600000.0,8761500000.0,0.0,0.0,-905500000.0,1500800000.0,1274000000.0,453404987.0,15869200000.0,8308400000.0,0.0,562800000.0,1229500000.0,0.0,11266800000.0,-96200000.0,583500000.0,-432700000.0,-19200000.0,48400000.0,96300000.0,-382700000.0,0.0,-31500000.0,-77000000.0,-140900000.0,47400000.0,-452000000.0,-38700000.0,1598900000.0,0.0,138900000.0,57400000.0,1598900000.0,0.0,317000000.0,81500000.0,36300000.0,0.0,22300000.0,0.18,175200000.0,120000000.0,1281900000.0,59200000.0,-20700000.0,223600000.0,453404987.0,0.18,1206400000.0,,3.52642790847821,31.1397104240497,1.0,-0.590909090909091,0.316400461057138,0.00747789284129828,14118900000.0,0.0208275241162244,2.0,1.0
3,2019-12-31 00:00:00+00:00,4,2019,24718500000.0,13862500000.0,39420300000.0,5917800000.0,8314900000.0,0.0,0.0,-587300000.0,1529500000.0,1191200000.0,453893875.0,15867700000.0,8637500000.0,0.0,583500000.0,1701200000.0,0.0,12893800000.0,414900000.0,512600000.0,132700000.0,-48700000.0,52500000.0,325200000.0,-595200000.0,-38200000.0,-14400000.0,463600000.0,-157100000.0,48700000.0,-656100000.0,34200000.0,1742800000.0,0.0,260200000.0,80400000.0,1742800000.0,0.0,314600000.0,179800000.0,34600000.0,0.0,120600000.0,0.4,294800000.0,242600000.0,1428200000.0,59200000.0,3600000.0,347300000.0,454100000.0,0.39,1291700000.0,457900000.0,3.83966406244191,32.3903908154742,1.0,0.428571428571429,0.387690102715184,0.0119200349683184,14701800000.0,0.0352600035571756,4.0,1.0
5,2019-09-30 00:00:00+00:00,3,2019,23531800000.0,13573200000.0,37891400000.0,5880000000.0,7780900000.0,0.0,0.0,-804300000.0,1523100000.0,1191300000.0,469793887.0,15670000000.0,7888700000.0,0.0,552300000.0,1534300000.0,0.0,12619000000.0,295300000.0,536700000.0,122700000.0,-26600000.0,48500000.0,35800000.0,-142000000.0,-11200000.0,-311600000.0,321900000.0,-142800000.0,49400000.0,-235000000.0,-23900000.0,1720600000.0,0.0,241100000.0,74000000.0,1720600000.0,0.0,275100000.0,167100000.0,35000000.0,0.0,102700000.0,0.36,276100000.0,242600000.0,1445500000.0,64400000.0,11100000.0,324600000.0,469793887.0,0.36,1260000000.0,457900000.0,3.66245719157261,30.565744675175,1.0,-0.446153846153846,0.282307348338053,0.0124575684671918,14359600000.0,0.0388506568951649,4.0,1.0
6,2019-06-30 00:00:00+00:00,2,2019,23805300000.0,13934700000.0,38501400000.0,5856800000.0,7270100000.0,0.0,0.0,-671400000.0,1538800000.0,1160500000.0,400857751.0,15766600000.0,7499800000.0,0.0,567800000.0,1435300000.0,0.0,13704000000.0,439900000.0,80500000.0,177900000.0,-27900000.0,40300000.0,-89000000.0,-525700000.0,339900000.0,-65200000.0,467800000.0,-125400000.0,59600000.0,-200900000.0,-3200000.0,1439400000.0,0.0,54600000.0,14500000.0,1439400000.0,0.0,18300000.0,40100000.0,33000000.0,0.0,40100000.0,0.09,87600000.0,62000000.0,1421100000.0,0.0,21900000.0,127900000.0,400857751.0,0.09,1116200000.0,457900000.0,3.59079996933875,36.6616336177568,1.0,-0.847457627118644,0.0579156254593562,0.0179327551490347,14696100000.0,0.0599055511713995,5.0,1.0
7,2019-03-31 00:00:00+00:00,1,2019,22746100000.0,8669300000.0,32206600000.0,5942100000.0,7727400000.0,0.0,0.0,-673600000.0,367600000.0,1215100000.0,397071683.0,9379100000.0,7369000000.0,0.0,462800000.0,1268300000.0,0.0,13799300000.0,-141500000.0,68600000.0,-540800000.0,-21100000.0,36300000.0,-87000000.0,-354700000.0,0.0,-78600000.0,-120400000.0,-120100000.0,49800000.0,-333400000.0,3600000.0,1214600000.0,0.0,243900000.0,66200000.0,1214600000.0,0.0,200200000.0,177700000.0,33100000.0,0.0,177700000.0,0.44,277000000.0,190600000.0,1014400000.0,0.0,12900000.0,313300000.0,397071683.0,0.44,968300000.0,457900000.0,3.05889352477447,23.8256728067914,1.0,-0.290322580645161,-0.10414515415253,0.025177158580047,9460500000.0,0.0920447899579203,2.0,1.0
8,2018-12-31 00:00:00+00:00,4,2018,21646000000.0,8578800000.0,30978400000.0,5884500000.0,7634800000.0,0.0,0.0,-735000000.0,326400000.0,906100000.0,411335893.0,9333200000.0,6827000000.0,0.0,468700000.0,1805400000.0,0.0,12650700000.0,132500000.0,67400000.0,-93200000.0,-34200000.0,36500000.0,-44100000.0,-117800000.0,0.0,-2100000.0,166700000.0,-122300000.0,47900000.0,-215800000.0,-15800000.0,1255900000.0,0.0,167400000.0,53200000.0,1255900000.0,0.0,230400000.0,114200000.0,29200000.0,0.0,114200000.0,0.28,196600000.0,94800000.0,1025500000.0,0.0,-19400000.0,233100000.0,410000000.0,0.28,963700000.0,410100000.0,3.05322249133265,22.6880273732883,1.0,-0.72,-0.0870165745856354,0.0276825723343608,9332400000.0,0.100094958685885,4.0,1.0
10,2018-09-30 00:00:00+00:00,3,2018,22761800000.0,8987100000.0,32503800000.0,5892600000.0,7635100000.0,0.0,0.0,-585800000.0,304300000.0,1465800000.0,410848934.0,9468000000.0,6718400000.0,0.0,469200000.0,1914300000.0,0.0,13953900000.0,243200000.0,708600000.0,189100000.0,-22100000.0,39600000.0,789200000.0,-843300000.0,0.0,-2800000.0,265300000.0,-124300000.0,42700000.0,-865400000.0,-10300000.0,1341800000.0,0.0,330700000.0,61100000.0,1341800000.0,0.0,322100000.0,269600000.0,29600000.0,0.0,269600000.0,0.65,360300000.0,281200000.0,1019700000.0,0.0,11600000.0,399900000.0,410848934.0,0.65,986600000.0,410100000.0,3.2659206072079,23.7118784881647,1.0,0.0,0.00306496224863562,0.0367030848930377,9742000000.0,0.132987529593907,2.0,1.0
11,2018-06-30 00:00:00+00:00,2,2018,23025900000.0,8817300000.0,32459100000.0,5747300000.0,7970400000.0,0.0,0.0,-563700000.0,303500000.0,1683700000.0,410762594.0,9466000000.0,6625200000.0,0.0,475700000.0,1833900000.0,0.0,13953600000.0,423400000.0,922100000.0,-231200000.0,-25600000.0,32400000.0,839500000.0,-24800000.0,-1469300000.0,-7600000.0,449000000.0,-124400000.0,40900000.0,-1519700000.0,-57200000.0,1360600000.0,0.0,317400000.0,72300000.0,1360600000.0,0.0,331300000.0,245100000.0,29500000.0,0.0,245100000.0,0.59,346900000.0,241900000.0,1029300000.0,0.0,-3200000.0,379300000.0,410762594.0,0.59,1005800000.0,410100000.0,3.31237561519538,22.9650901464509,1.0,0.0172413793103448,0.0846619897959184,0.0372567287374276,9433200000.0,0.135323577947567,3.0,1.0
