,year,quarter,date,statementData.balanceSheet.ppeq,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.deposits,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.taxExp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,3682404000.0,0.0,318549000.0,1121825000.0,0.0,1095423000.0,5779062000.0,2487424000.0,2196215000.0,0.0,0.0,1303353000.0,1728598000.0,192648000.0,0.0,0.0,4050464000.0,603523000.0,711301000.0,3291638000.0,0.0,105507223.0,0.0,0.0,1303353000.0,,505000.0,86937000.0,142950000.0,0.0,14593000.0,271044000.0,0.0,-14975000.0,43895000.0,-43003000.0,0.0,-28533000.0,-184146000.0,-184107000.0,125496000.0,106798000.0,175503000.0,318453000.0,125496000.0,1.19,163608000.0,105653000.0,0.0,125496000.0,812538000.0,38112000.0,988041000.0,1.18,1484482000.0,0.0,175503000.0,0.0,11895000.0,644734000.0,0.0,2472523000.0,6.0,0.046056962507298,0.399608416180557,1.57801871970919,2487424000.0,0.399608416180557,23.4346325274811,0.072072072072072,0.52397701397108,0.210742073847382,23.5758645642678,0.0895624197886816
1,2020,2,2020-06-30 00:00:00+00:00,3626396000.0,0.0,274654000.0,950636000.0,0.0,970682000.0,5553632000.0,2390843000.0,2192107000.0,0.0,0.0,1307019000.0,1544697000.0,196042000.0,0.0,0.0,4008935000.0,513517000.0,699698000.0,3162789000.0,0.0,105460633.0,0.0,0.0,1307019000.0,,506000.0,254909000.0,142440000.0,0.0,16002000.0,390787000.0,0.0,-788000.0,226200000.0,-28769000.0,0.0,-28487000.0,-135818000.0,-135878000.0,121698000.0,106580000.0,175183000.0,317623000.0,121698000.0,1.15,162365000.0,105505000.0,0.0,121698000.0,767933000.0,40667000.0,943116000.0,1.14,1202457000.0,0.0,175183000.0,0.0,12818000.0,606736000.0,0.0,2145573000.0,7.0,-0.051322774951175,0.43956369697046,1.59135226572657,2390843000.0,0.43956369697046,20.3447764247726,-0.0725806451612904,0.546677050730642,0.214419839061843,22.6704783765142,0.0898758264070747
2,2020,1,2020-03-31 00:00:00+00:00,3618300000.0,0.0,48454000.0,978280000.0,0.0,909376000.0,5380042000.0,2282418000.0,2188248000.0,0.0,0.0,1302756000.0,1397969000.0,199437000.0,0.0,0.0,3982073000.0,497649000.0,714548000.0,3097624000.0,0.0,106258961.0,0.0,0.0,1302756000.0,,507000.0,120427000.0,141506000.0,0.0,18063000.0,249163000.0,0.0,-78820000.0,13454000.0,-107001000.0,0.0,-28688000.0,-128708000.0,-128736000.0,104834000.0,106950000.0,154741000.0,296247000.0,104834000.0,0.99,142705000.0,105985000.0,0.0,104834000.0,789901000.0,37871000.0,944642000.0,0.98,1336184000.0,0.0,154741000.0,0.0,12036000.0,627445000.0,0.0,2280826000.0,7.0,0.0914991048641696,0.414166622092172,1.53728380779787,2282418000.0,0.414166622092172,21.4647873321479,-0.1,0.570778884498808,0.225967219968796,21.479769597973,0.0926315723374285
3,2019,4,2019-12-31 00:00:00+00:00,3620866000.0,0.0,35000000.0,1011829000.0,0.0,1035766000.0,5470854000.0,2267029000.0,2168059000.0,0.0,0.0,1295740000.0,1481299000.0,202832000.0,0.0,0.0,3989555000.0,602601000.0,699078000.0,3203825000.0,0.0,106577902.0,0.0,0.0,1295740000.0,4592938000.0,508000.0,59162000.0,139203000.0,-17422000.0,11170000.0,160752000.0,0.0,-54616000.0,-40132000.0,-81838000.0,0.0,-27730000.0,-119046000.0,-101590000.0,144676000.0,107521000.0,206829000.0,346032000.0,144676000.0,1.36,192298000.0,106486000.0,0.0,144676000.0,782872000.0,47622000.0,987947000.0,1.35,1462377000.0,0.0,205075000.0,0.0,14531000.0,622167000.0,0.0,2450324000.0,6.0,0.0571574766528522,0.403190353602217,1.43014831535308,2267029000.0,0.403190353602217,22.9909198250121,0.658536585365854,0.571558634671193,0.234699496958866,21.2710980180488,0.0955917488798536
5,2019,3,2019-09-30 00:00:00+00:00,3650362000.0,0.0,75132000.0,1051027000.0,0.0,1075024000.0,5386337000.0,2193529000.0,2117784000.0,0.0,0.0,1293312000.0,1383456000.0,189863000.0,0.0,0.0,4002881000.0,654959000.0,644105000.0,3192808000.0,0.0,106768145.0,0.0,0.0,1293312000.0,4592938000.0,-77593000.0,219658000.0,137305000.0,311000.0,13850000.0,330934000.0,0.0,-46278000.0,68257000.0,-151680000.0,0.0,-27809000.0,-110997000.0,-111276000.0,118410000.0,107692000.0,167862000.0,305167000.0,118410000.0,1.11,155505000.0,106735000.0,0.0,118410000.0,783347000.0,37095000.0,951209000.0,1.1,1412451000.0,0.0,167862000.0,0.0,12357000.0,612588000.0,0.0,2363660000.0,6.0,0.0696455723698501,0.402430552617551,1.28690708300466,2193529000.0,0.402430552617551,22.138251067301,-0.0749999999999998,0.589603328700008,0.21326070910315,20.544788897475,0.0867473648479778
6,2019,2,2019-06-30 00:00:00+00:00,3678085000.0,0.0,6875000.0,1040153000.0,0.0,1061522000.0,5420739000.0,2135356000.0,2223861000.0,0.0,0.0,1372143000.0,1384364000.0,193403000.0,0.0,0.0,4036375000.0,640324000.0,676062000.0,3285383000.0,0.0,108738893.0,0.0,0.0,1372143000.0,4592938000.0,78581000.0,92735000.0,133740000.0,0.0,14733000.0,355920000.0,0.0,-188768000.0,-45488000.0,-138193000.0,0.0,-28006000.0,-263215000.0,-263185000.0,133633000.0,108373000.0,193093000.0,326833000.0,133633000.0,1.24,178330000.0,107387000.0,0.0,133633000.0,766272000.0,44697000.0,959365000.0,1.23,1302282000.0,0.0,193093000.0,0.0,14763000.0,590264000.0,0.0,2261647000.0,6.0,0.0573251296033197,0.424188655435618,1.30413123797717,2135356000.0,0.424188655435618,20.798878281757,-0.107913669064748,0.64258278244939,0.222049265574489,19.6374631108301,0.0920222170355734
7,2019,1,2019-03-31 00:00:00+00:00,3539738000.0,0.0,52363000.0,1002483000.0,0.0,998239000.0,5327282000.0,2203764000.0,2125279000.0,0.0,0.0,1284550000.0,1438159000.0,196940000.0,0.0,0.0,3889123000.0,594704000.0,668490000.0,3123518000.0,0.0,108738788.0,0.0,0.0,1284550000.0,4592938000.0,135518000.0,38595000.0,128414000.0,-98543000.0,13571000.0,250741000.0,0.0,-2520000.0,44763000.0,104726000.0,0.0,-28272000.0,-310704000.0,-212146000.0,119601000.0,109664000.0,167795000.0,296209000.0,119601000.0,1.1,154762000.0,108730000.0,0.0,119601000.0,718486000.0,35161000.0,886281000.0,1.09,1203346000.0,0.0,167795000.0,0.0,13033000.0,569562000.0,0.0,2089627000.0,6.0,0.0725689017551694,0.424133589391791,1.44069606577182,2203764000.0,0.424133589391791,19.2169421641889,0.0185185185185186,0.582889093387495,0.233300328966748,20.2665860134472,0.0995535544808948
8,2018,4,2018-12-31 00:00:00+00:00,3445111000.0,0.0,7600000.0,1326209000.0,0.0,1352348000.0,5091647000.0,2101384000.0,1637915000.0,0.0,250706000.0,1149104000.0,1502981000.0,105157000.0,0.0,0.0,3588666000.0,709736000.0,643461000.0,2990263000.0,21977000.0,109176325.0,0.0,0.0,898398000.0,4188435000.0,68353000.0,9730000.0,114086000.0,0.0,10185000.0,310238000.0,0.0,-51851000.0,13000.0,-9707000.0,0.0,-26209000.0,-300518000.0,-300508000.0,88681000.0,109939000.0,122963000.0,237049000.0,88681000.0,0.82,111505000.0,109048000.0,0.0,88681000.0,715161000.0,22824000.0,837900000.0,0.8,1479942000.0,0.0,122739000.0,0.0,11458000.0,574133000.0,0.0,2317842000.0,5.0,0.164651083329983,0.361500050477988,1.11138627039786,2101384000.0,0.361500050477988,21.230262147036,-0.766381766381766,0.427526810901768,0.240040096161165,19.2476161841865,0.104033006842568
10,2018,3,2018-09-30 00:00:00+00:00,3241507000.0,0.0,7587000.0,1095638000.0,0.0,1212660000.0,4721671000.0,2080578000.0,1428433000.0,0.0,248680000.0,1069544000.0,1342482000.0,0.0,0.0,0.0,3379189000.0,569453000.0,518428000.0,2641093000.0,0.0,109344030.0,0.0,0.0,820864000.0,4188435000.0,69734000.0,17724000.0,108801000.0,0.0,11183000.0,248570000.0,0.0,-68875000.0,-7604000.0,-25343000.0,0.0,-26202000.0,-230831000.0,-230846000.0,131110000.0,110235000.0,174688000.0,283489000.0,131110000.0,1.2,164727000.0,109254000.0,0.0,131110000.0,699282000.0,33617000.0,873970000.0,1.19,1335790000.0,0.0,174688000.0,0.0,9961000.0,544887000.0,0.0,2209760000.0,7.0,0.198784376569846,0.395504489175295,1.10705556380189,2080578000.0,0.395504489175295,20.2092423335778,0.304347826086956,0.394536518217534,0.398266637353464,19.0278152360033,0.172813376473795
11,2018,2,2018-06-30 00:00:00+00:00,3142387000.0,0.0,15191000.0,1019622000.0,0.0,1158537000.0,4589243000.0,2033362000.0,1397344000.0,0.0,249436000.0,1005011000.0,1307421000.0,0.0,0.0,0.0,3281822000.0,551715000.0,552866000.0,2555881000.0,0.0,109755618.0,0.0,0.0,755575000.0,4188435000.0,-7908000.0,92329000.0,107423000.0,0.0,13965000.0,267415000.0,0.0,-49076000.0,8109000.0,-83226000.0,0.0,-26242000.0,-176080000.0,-175086000.0,151652000.0,110682000.0,214812000.0,322235000.0,151652000.0,1.39,204957000.0,109449000.0,0.0,151652000.0,646830000.0,53305000.0,861642000.0,1.37,1277385000.0,0.0,214812000.0,0.0,9855000.0,511036000.0,0.0,2139027000.0,7.0,0.238640581615192,0.402819599752598,1.12851035400682,2033362000.0,0.402819599752598,19.4889978205945,0.561797752808989,0.371589023499013,0.414662473311269,18.5262680585517,0.172385302323331
12,2018,1,2018-03-31 00:00:00+00:00,3044276000.0,0.0,7082000.0,900903000.0,0.0,1092516000.0,4421657000.0,1943063000.0,1386078000.0,0.0,247609000.0,1000032000.0,1236064000.0,0.0,0.0,0.0,3185593000.0,503829000.0,545282000.0,2478594000.0,0.0,109754492.0,0.0,0.0,752423000.0,4188435000.0,-63364000.0,82573000.0,105583000.0,0.0,12036000.0,261618000.0,0.0,-99000.0,-7530000.0,-89804000.0,0.0,-26341000.0,-179344000.0,-179045000.0,118142000.0,110863000.0,168781000.0,274364000.0,118142000.0,1.08,159629000.0,109754000.0,0.0,118142000.0,624422000.0,41487000.0,793203000.0,1.07,1155042000.0,0.0,168781000.0,0.0,9152000.0,490340000.0,0.0,1948245000.0,5.0,0.195860070048455,0.407137192704203,1.13139212606497,1943063000.0,0.407137192704203,17.7509363352527,0.161290322580645,0.387235514237058,0.421311725664016,17.7037218668007,0.167878449058098
