,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,1,2021,791326000.0,2335076000.0,1543750000.0,126000.0,0.0,1154679000.0,0.0,295000.0,322509000.0,1760537000.0,574539000.0,0.0,263710000.0,0.0,247269000.0,2293228000.0,0.0,223013000.0,407377000.0,0.0,76641833.0,169000.0,6835000.0,383949000.0,195320000.0,0.0,84663000.0,0.0,-31188000.0,-32815000.0,-62966000.0,114477000.0,4625000.0,-18025000.0,-28000.0,-29814000.0,0.0,-101314000.0,43743000.0,0.0,76713000.0,91216000.0,188871000.0,1.19,451800000.0,91216000.0,0.0,117000.0,1.19,71283000.0,26057000.0,117656000.0,76507000.0,26323000.0,45226000.0,117539000.0,91216000.0,262929000.0,0.0,161399000.0,0.0,117588000.0,7.0,0.0314950742571432,0.418041168658699,1.41033735336065,1543750000.0,0.418041168658699,5.89495295604425,0.0258620689655173,0.000109473684210526,0.195938101560424,20.1423940369485,0.130065678998145
1,2020-06-30 00:00:00+00:00,4,2020,878786000.0,2428474000.0,1549688000.0,115000.0,0.0,1151825000.0,21051000.0,323000.0,389622000.0,1759373000.0,669101000.0,0.0,273432000.0,0.0,243998000.0,2235320000.0,0.0,300945000.0,494845000.0,0.0,76615436.0,208000.0,9880000.0,383941000.0,213345000.0,0.0,190150000.0,0.0,-44506000.0,-32935000.0,2632000.0,234079000.0,5195000.0,103831000.0,-55027000.0,-43929000.0,0.0,-85742000.0,43833000.0,0.0,76850000.0,61345000.0,155702000.0,0.8,410537000.0,61345000.0,0.0,211000.0,0.8,78905000.0,29902000.0,76884000.0,76613000.0,15328000.0,52098000.0,76673000.0,61345000.0,254835000.0,0.0,120717000.0,0.0,76797000.0,5.0,0.0432721996193226,0.379264231969347,1.35214259010397,1549688000.0,0.379264231969347,5.35841106484077,0.0126582278481013,0.000134220565688061,0.196894054495494,20.2268378398316,0.130815946098193
3,2020-03-31 00:00:00+00:00,3,2020,715556000.0,2229419000.0,1513863000.0,81000.0,0.0,1153178000.0,7063000.0,55247000.0,226427000.0,1749769000.0,479650000.0,0.0,277091000.0,0.0,228685000.0,2206910000.0,0.0,212060000.0,298408000.0,0.0,76719595.0,55166000.0,11673000.0,417148000.0,109514000.0,0.0,34017000.0,0.0,-28005000.0,-32984000.0,-17741000.0,61440000.0,4690000.0,37001000.0,54994000.0,-27423000.0,0.0,3566000.0,43735000.0,0.0,76884000.0,73855000.0,170835000.0,0.96,429406000.0,73855000.0,0.0,165000.0,0.96,78897000.0,28308000.0,92135000.0,76683000.0,18115000.0,47391000.0,91970000.0,73855000.0,258571000.0,0.0,135870000.0,0.0,91938000.0,5.0,0.128934389164064,0.397840272376259,1.60736307337605,1513863000.0,0.397840272376259,5.59708376979832,0.246753246753247,0.0364405497723374,0.200678531773457,19.7324164706552,0.134266989062227
4,2019-12-31 00:00:00+00:00,2,2020,700693000.0,2187439000.0,1486746000.0,0.0,0.0,1161145000.0,0.0,0.0,277004000.0,1759708000.0,427731000.0,0.0,278695000.0,0.0,224413000.0,2166039000.0,0.0,204703000.0,343154000.0,0.0,76936904.0,0.0,10670000.0,357539000.0,72513000.0,0.0,45209000.0,0.0,-49970000.0,-30731000.0,-34874000.0,91961000.0,4145000.0,-24166000.0,0.0,-46752000.0,0.0,-66157000.0,42149000.0,-91000.0,76935000.0,72098000.0,169852000.0,0.94,419119000.0,72098000.0,0.0,156000.0,0.94,76148000.0,27187000.0,94050000.0,76879000.0,21796000.0,48961000.0,93894000.0,72098000.0,249267000.0,0.0,136199000.0,0.0,93704000.0,6.0,0.0850275063102712,0.405259604074261,1.2464695151448,1486746000.0,0.405259604074261,5.44756778879483,0.0681818181818181,0.0,0.193669692573003,19.3242244320099,0.13101216410644
5,2019-09-30 00:00:00+00:00,1,2020,749318000.0,2225978000.0,1476660000.0,0.0,0.0,1158258000.0,0.0,0.0,325554000.0,1741855000.0,484123000.0,0.0,274531000.0,0.0,227836000.0,2124672000.0,0.0,234362000.0,393078000.0,0.0,77000307.0,0.0,13621000.0,356240000.0,96679000.0,0.0,81486000.0,0.0,-75425000.0,-30771000.0,-11733000.0,123052000.0,2853000.0,3051000.0,0.0,-41566000.0,-1150000.0,-44576000.0,42088000.0,-30285000.0,77067000.0,89370000.0,192214000.0,1.16,438005000.0,89370000.0,0.0,156000.0,1.16,74027000.0,24591000.0,118695000.0,76972000.0,29169000.0,49436000.0,118539000.0,89370000.0,245791000.0,0.0,160783000.0,0.0,118187000.0,7.0,0.115814063682195,0.438839739272383,1.23162069614682,1476660000.0,0.438839739272383,5.68835394383557,0.074074074074074,0.0,0.194075404232034,19.1773261371542,0.132469250654377
6,2019-06-30 00:00:00+00:00,4,2019,755816000.0,2184829000.0,1429013000.0,0.0,0.0,1118080000.0,17817000.0,0.0,394306000.0,1615381000.0,569448000.0,0.0,272474000.0,0.0,217010000.0,2066073000.0,0.0,310080000.0,469962000.0,0.0,77203651.0,0.0,9850000.0,285854000.0,93628000.0,0.0,156934000.0,0.0,-42608000.0,-30775000.0,-30971000.0,197759000.0,3938000.0,58230000.0,-35000000.0,-40825000.0,0.0,-96921000.0,41306000.0,0.0,77155000.0,60993000.0,153469000.0,0.8,393509000.0,60993000.0,0.0,406000.0,0.79,74052000.0,24920000.0,79596000.0,77058000.0,18197000.0,49315000.0,79190000.0,60993000.0,240040000.0,0.0,120902000.0,0.0,79417000.0,5.0,0.0403245421090479,0.39000124520659,1.21168945574323,1429013000.0,0.39000124520659,5.09702578703176,-0.102272727272727,0.0,0.193666320306079,18.5096557156345,0.132746835645444
8,2019-03-31 00:00:00+00:00,3,2019,576876000.0,2002879000.0,1426003000.0,35000000.0,0.0,1115531000.0,17215000.0,35000000.0,207908000.0,1614323000.0,388556000.0,0.0,279948000.0,0.0,212608000.0,2035855000.0,0.0,190768000.0,330865000.0,0.0,77176611.0,0.0,10907000.0,246011000.0,35398000.0,0.0,4543000.0,0.0,-38374000.0,-30866000.0,2470000.0,41325000.0,3505000.0,9242000.0,35000000.0,-36782000.0,0.0,6291000.0,40711000.0,0.0,77286000.0,59252000.0,144770000.0,0.77,380364000.0,59252000.0,0.0,224000.0,0.77,68329000.0,23442000.0,76596000.0,77177000.0,17120000.0,44682000.0,76372000.0,59252000.0,235594000.0,0.0,117307000.0,0.0,76441000.0,4.0,0.0168855334074771,0.380609100756118,1.17436416665407,1426003000.0,0.380609100756118,4.92848798452681,-0.134831460674157,0.0,0.202365934664715,18.4771394017288,0.138656076696693
9,2018-12-31 00:00:00+00:00,2,2019,579822000.0,1971777000.0,1391955000.0,0.0,0.0,1113794000.0,9488000.0,0.0,255636000.0,1609138000.0,362639000.0,0.0,283454000.0,0.0,210489000.0,2007469000.0,0.0,184737000.0,340074000.0,0.0,77298318.0,0.0,6597000.0,239748000.0,26156000.0,0.0,8969000.0,0.0,-57390000.0,-57104000.0,-19304000.0,45310000.0,3375000.0,-88716000.0,0.0,-36341000.0,0.0,-76636000.0,39886000.0,-19981000.0,77409000.0,68089000.0,158991000.0,0.88,386275000.0,68089000.0,0.0,148000.0,0.88,70787000.0,23990000.0,88456000.0,77216000.0,20219000.0,46797000.0,88308000.0,68089000.0,227284000.0,0.0,128342000.0,0.0,88204000.0,5.0,0.0813697303259437,0.411600543654132,1.06635320547881,1391955000.0,0.411600543654132,4.9971979985386,-0.578947368421053,0.0,0.217517254479833,18.0075716524647,0.14531029590328
10,2018-09-30 00:00:00+00:00,1,2019,664538000.0,2033102000.0,1368564000.0,0.0,0.0,1091727000.0,4142000.0,0.0,317764000.0,1575263000.0,457839000.0,0.0,286497000.0,0.0,209033000.0,1967921000.0,0.0,198564000.0,420226000.0,0.0,77178813.0,0.0,10477000.0,244312000.0,114872000.0,0.0,96097000.0,0.0,-52263000.0,0.0,2218000.0,146734000.0,1771000.0,83432000.0,0.0,-50637000.0,0.0,-11039000.0,38730000.0,0.0,77537000.0,83551000.0,172431000.0,1.08,392543000.0,83551000.0,0.0,147000.0,1.08,69209000.0,24026000.0,103513000.0,77188000.0,19815000.0,45183000.0,103366000.0,83551000.0,220112000.0,0.0,142243000.0,0.0,103222000.0,9.0,0.0865219605628813,0.439266526214962,1.08950659883015,1368564000.0,0.439266526214962,5.08614974423097,0.241379310344828,0.0,0.300061334465823,17.7323794808816,0.193552623506009
11,2018-06-30 00:00:00+00:00,4,2018,710214000.0,2033058000.0,1322844000.0,0.0,0.0,1091602000.0,21671000.0,0.0,369915000.0,1562316000.0,470742000.0,0.0,285550000.0,0.0,208303000.0,1912933000.0,0.0,297271000.0,448055000.0,0.0,77294557.0,0.0,30360000.0,262159000.0,31440000.0,0.0,137545000.0,0.0,-52771000.0,-28592000.0,-16815000.0,177270000.0,3924000.0,-25962000.0,-105000000.0,-39725000.0,0.0,-150461000.0,39729000.0,92000.0,77582000.0,67835000.0,154650000.0,0.87,378256000.0,67835000.0,0.0,747000.0,0.88,71595000.0,24406000.0,85100000.0,77261000.0,16518000.0,45295000.0,84353000.0,67835000.0,223606000.0,0.0,124829000.0,0.0,83055000.0,7.0,0.109447089085795,0.4088500909437,1.05063440872214,1322844000.0,0.4088500909437,4.89369516665967,0.396825396825397,0.0,0.306896843082286,17.1143228105958,0.190821379465638
