,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-27 00:00:00+00:00,106220000000.0,32680000000.0,17855000000.0,81313000000.0,67373000000.0,114831000000.0,5078000000.0,9599000000.0,0.0,14579000000.0,-14938000000.0,57578000000.0,11816000000.0,0.0,7816000000.0,170693000000.0,113115000000.0,38847000000.0,0.0,14026000000.0,37758000000.0,7044000000.0,11816000000.0,18965000000.0,2632823475.0,64473000000.0,256000000.0,7646000000.0,-4819000000.0,8383000000.0,31000000.0,-269000000.0,1818000000.0,13000000.0,4196000000.0,-4071000000.0,-2659000000.0,7791000000.0,-737000000.0,7204000000.0,2670800000.0,6263000000.0,4445000000.0,1.35,8477000000.0,14110000000.0,1.33,4401000000.0,0.0,5633000000.0,847000000.0,3554000000.0,44000000.0,2633000000.0,3554000000.0,6972000000.0,5431000000.0,21082000000.0,3554000000.0,0.0,2840000000.0,0.0,6.0,0.0170292826474987,0.669291338582677,1.48217365562334,64473000000.0,0.669291338582677,8.00737314908665,1.01492537313433,0.506878848510229,0.27372933251684,24.4881590475791,0.105861786363112
1,2020,2,2020-06-28 00:00:00+00:00,95402000000.0,25062000000.0,17598000000.0,81303000000.0,58630000000.0,113898000000.0,5332000000.0,9424000000.0,0.0,14645000000.0,-15533000000.0,45892000000.0,7961000000.0,0.0,7805000000.0,158380000000.0,112488000000.0,36772000000.0,0.0,13755000000.0,30394000000.0,6765000000.0,7961000000.0,11174000000.0,2634594535.0,62978000000.0,326000000.0,2790000000.0,-7522000000.0,3452000000.0,71000000.0,-330000000.0,1726000000.0,60000000.0,-357000000.0,-6685000000.0,-2659000000.0,-4356000000.0,-662000000.0,2709000000.0,2665500000.0,5711000000.0,3985000000.0,1.38,7767000000.0,11757000000.0,1.36,3940000000.0,0.0,3990000000.0,314000000.0,3626000000.0,45000000.0,2632900000.0,3626000000.0,6579000000.0,4993000000.0,18336000000.0,3626000000.0,0.0,2707000000.0,0.0,3.0,-0.108257951561132,0.641197643979058,1.2480147938649,62978000000.0,0.641197643979058,6.95970471220916,-0.345971563981043,0.397948489948871,0.251040491335094,23.9042475657454,0.0969287285006208
2,2020,1,2020-03-29 00:00:00+00:00,93723000000.0,25393000000.0,17401000000.0,80809000000.0,60034000000.0,112901000000.0,2190000000.0,8868000000.0,0.0,14874000000.0,-16243000000.0,44226000000.0,2494000000.0,0.0,7539000000.0,155017000000.0,110791000000.0,33689000000.0,0.0,15098000000.0,27583000000.0,7411000000.0,2494000000.0,15530000000.0,2634721257.0,61294000000.0,263000000.0,2733000000.0,-581000000.0,3358000000.0,-237000000.0,-1379000000.0,1747000000.0,-922000000.0,-4315000000.0,1223000000.0,-2505000000.0,-1775000000.0,-625000000.0,-19000000.0,2671000000.0,8281000000.0,6534000000.0,2.2,7841000000.0,13629000000.0,2.17,6509000000.0,0.0,5788000000.0,713000000.0,5796000000.0,25000000.0,2633700000.0,5796000000.0,7062000000.0,5203000000.0,20691000000.0,5796000000.0,0.0,2580000000.0,0.0,6.0,0.0334648618950102,0.658692185007974,1.31277271512957,61294000000.0,0.658692185007974,7.85320266613691,0.560283687943263,0.414281985186152,0.286386386386386,23.2639410477114,0.110147373284161
3,2019,4,2019-12-29 00:00:00+00:00,98257000000.0,26494000000.0,17658000000.0,81282000000.0,62293000000.0,110659000000.0,1202000000.0,9020000000.0,0.0,14481000000.0,-15891000000.0,45274000000.0,1982000000.0,0.0,7819000000.0,157728000000.0,112454000000.0,35964000000.0,0.0,15668000000.0,27696000000.0,8544000000.0,1982000000.0,17305000000.0,2631872399.0,59471000000.0,160000000.0,5138000000.0,-1344000000.0,6398000000.0,74000000.0,-52000000.0,1816000000.0,-86000000.0,-4072000000.0,30000000.0,-2500000000.0,1056000000.0,-1260000000.0,-1935000000.0,2672900000.0,6119000000.0,4303000000.0,1.53,9375000000.0,13613000000.0,1.5,4218000000.0,0.0,4238000000.0,208000000.0,4010000000.0,85000000.0,2631900000.0,4010000000.0,7134000000.0,6039000000.0,20747000000.0,4010000000.0,0.0,3232000000.0,0.0,6.0,0.0173090124546436,0.656143056827493,1.2588699810922,59471000000.0,0.656143056827493,7.88298095602316,0.353982300884956,0.445494442669536,0.254720517561631,22.5964602321133,0.0977954148898839
5,2019,3,2019-09-29 00:00:00+00:00,97311000000.0,26919000000.0,17048000000.0,81137000000.0,62149000000.0,109242000000.0,2299000000.0,9173000000.0,0.0,14801000000.0,-15533000000.0,44333000000.0,1696000000.0,0.0,7696000000.0,155521000000.0,111188000000.0,35162000000.0,0.0,16524000000.0,29218000000.0,7491000000.0,1696000000.0,16249000000.0,2639165527.0,58210000000.0,245000000.0,6782000000.0,-1645000000.0,7527000000.0,-116000000.0,-1511000000.0,1727000000.0,-131000000.0,-3893000000.0,-840000000.0,-2499000000.0,1873000000.0,-745000000.0,55000000.0,2670300000.0,3422000000.0,1695000000.0,0.67,8042000000.0,13862000000.0,0.66,1647000000.0,0.0,5820000000.0,-106000000.0,1753000000.0,48000000.0,2635100000.0,1753000000.0,6867000000.0,5374000000.0,20729000000.0,1753000000.0,0.0,2599000000.0,0.0,7.0,0.0187241989384705,0.668724974673163,1.26082134122064,58210000000.0,0.668724974673163,7.85437661561271,-0.54421768707483,0.46244631506614,0.238130095666002,22.0562141345369,0.0922461657803947
6,2019,2,2019-06-30 00:00:00+00:00,94332000000.0,27699000000.0,17248000000.0,82993000000.0,62979000000.0,109809000000.0,1719000000.0,9263000000.0,0.0,14653000000.0,-14969000000.0,41799000000.0,902000000.0,0.0,7647000000.0,155117000000.0,113318000000.0,31353000000.0,0.0,16969000000.0,29418000000.0,6912000000.0,902000000.0,14376000000.0,2655055987.0,60785000000.0,314000000.0,5111000000.0,-1788000000.0,5948000000.0,16000000.0,-2117000000.0,1705000000.0,-898000000.0,-4534000000.0,-150000000.0,-2522000000.0,-358000000.0,-837000000.0,4000000.0,2691700000.0,8829000000.0,7124000000.0,2.11,8269000000.0,13622000000.0,2.08,7041000000.0,0.0,5353000000.0,1434000000.0,5607000000.0,83000000.0,2652500000.0,5607000000.0,6940000000.0,5546000000.0,20562000000.0,5607000000.0,0.0,2666000000.0,0.0,8.0,-0.0128660585693711,0.662484194144539,1.33317385896087,60785000000.0,0.662484194144539,7.74446945777343,0.435374149659864,0.455688080941022,0.267608287795247,22.8940558306954,0.106431889162774
7,2019,1,2019-03-31 00:00:00+00:00,91072000000.0,27660000000.0,17000000000.0,78348000000.0,61961000000.0,106650000000.0,1708000000.0,9086000000.0,0.0,14115000000.0,-15517000000.0,41987000000.0,602000000.0,0.0,7533000000.0,150027000000.0,108040000000.0,29111000000.0,0.0,16493000000.0,29368000000.0,6923000000.0,602000000.0,14734000000.0,2663138579.0,58955000000.0,258000000.0,2887000000.0,-1417000000.0,3543000000.0,17000000.0,-2112000000.0,1761000000.0,-1430000000.0,-5516000000.0,765000000.0,-2396000000.0,-3373000000.0,-656000000.0,-1005000000.0,2698800000.0,6285000000.0,4524000000.0,1.41,9003000000.0,13406000000.0,1.39,4422000000.0,0.0,4403000000.0,673000000.0,3749000000.0,102000000.0,2660800000.0,3749000000.0,6615000000.0,5219000000.0,20021000000.0,3749000000.0,0.0,2858000000.0,0.0,4.0,0.000599730121445319,0.669596923230608,1.44230703170623,58955000000.0,0.669596923230608,7.51782132476103,-0.134969325153374,0.469171401916716,0.238467724248849,22.1374135258622,0.0956210335005838
8,2018,4,2018-12-30 00:00:00+00:00,93202000000.0,27684000000.0,17035000000.0,78064000000.0,61972000000.0,106216000000.0,2796000000.0,8599000000.0,0.0,14098000000.0,-15222000000.0,46033000000.0,1580000000.0,0.0,7640000000.0,152954000000.0,106921000000.0,31230000000.0,0.0,16566000000.0,30480000000.0,7537000000.0,1580000000.0,18107000000.0,2681977969.0,59752000000.0,156000000.0,4926000000.0,2228000000.0,6244000000.0,-32000000.0,-3339000000.0,1735000000.0,2306000000.0,-6389000000.0,1656000000.0,-2411000000.0,2051000000.0,-1318000000.0,-720000000.0,2726000000.0,5107000000.0,3372000000.0,1.13,9279000000.0,13433000000.0,1.12,3122000000.0,0.0,4154000000.0,80000000.0,3042000000.0,250000000.0,2678200000.0,3042000000.0,6961000000.0,5991000000.0,20394000000.0,3042000000.0,0.0,3224000000.0,0.0,8.0,0.00985392423867304,0.658674119839168,1.47399935959014,59752000000.0,0.658674119839168,7.60408930860983,-1.28391959798995,0.463315035479984,0.244242022656693,22.2790793551071,0.0985874418147514
10,2018,3,2018-09-30 00:00:00+00:00,91077000000.0,29480000000.0,16629000000.0,79339000000.0,63640000000.0,107617000000.0,1773000000.0,8678000000.0,0.0,14048000000.0,-14647000000.0,47194000000.0,3308000000.0,0.0,8076000000.0,155703000000.0,108509000000.0,27437000000.0,0.0,17344000000.0,31253000000.0,7000000000.0,3308000000.0,16056000000.0,2682756061.0,64626000000.0,242000000.0,5453000000.0,-4269000000.0,6272000000.0,-39000000.0,-153000000.0,1731000000.0,-650000000.0,-3477000000.0,-2785000000.0,-2415000000.0,-1513000000.0,-819000000.0,-817000000.0,2731800000.0,6397000000.0,4666000000.0,1.47,9265000000.0,13759000000.0,1.44,4423000000.0,0.0,4494000000.0,489000000.0,3934000000.0,243000000.0,2683400000.0,3934000000.0,6589000000.0,5543000000.0,20348000000.0,3934000000.0,0.0,2508000000.0,0.0,8.0,0.0355216284987276,0.676184391586397,1.7200860152349,64626000000.0,0.676184391586397,7.58473731391562,0.05,0.456163154148485,0.0245805603156259,24.0894060177468,0.00986886316072423
11,2018,2,2018-07-01 00:00:00+00:00,92476000000.0,29405000000.0,16632000000.0,80402000000.0,64988000000.0,106123000000.0,2678000000.0,8810000000.0,0.0,14111000000.0,-14777000000.0,45438000000.0,570000000.0,0.0,8472000000.0,155365000000.0,109927000000.0,27488000000.0,0.0,17241000000.0,32083000000.0,6516000000.0,570000000.0,17569000000.0,2682149964.0,62889000000.0,312000000.0,5204000000.0,-201000000.0,6079000000.0,-274000000.0,-49000000.0,1717000000.0,710000000.0,-2674000000.0,-1000000.0,-2415000000.0,2930000000.0,-875000000.0,52000000.0,2725100000.0,6943000000.0,5226000000.0,1.47,8439000000.0,13903000000.0,1.45,4973000000.0,0.0,5464000000.0,1019000000.0,3954000000.0,253000000.0,2682200000.0,3954000000.0,6927000000.0,5743000000.0,20830000000.0,3954000000.0,0.0,2639000000.0,0.0,9.0,0.105685015128192,0.66745079212674,1.65301222351572,62889000000.0,0.66745079212674,7.7661578508218,0.0352112676056338,0.467569845282959,0.021084742376567,23.4472348094254,0.00878148846869595
