,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,3,2020,7694000000.0,4052000000.0,48783000000.0,0.0,2720000000.0,535000000.0,98122000000.0,2661000000.0,0.0,-3739000000.0,41089000000.0,88057000000.0,1222578592.0,0.0,1979000000.0,0.0,79279000000.0,6558000000.0,28417000000.0,27882000000.0,11461000000.0,-2258000000.0,10065000000.0,0.0,49218000000.0,0.0,-490000000.0,-139000000.0,-92000000.0,0.0,1110000000.0,-5000000.0,41000000.0,-1072000000.0,971000000.0,-125000000.0,0.0,-571000000.0,232000000.0,0.0,0.0,1197000000.0,0.0,6441000000.0,905000000.0,314000000.0,597000000.0,597000000.0,1000000.0,0.49,1219000000.0,308000000.0,1147000000.0,1197000000.0,0.49,1451000000.0,598000000.0,2344000000.0,4097000000.0,1222578592.0,0.0,5.0,0.0600724160631996,0.363918646172954,1.30816220431505,49339000000.0,0.363918646172954,5.26837296362539,-0.337837837837838,0.56650006095331,-0.00983622878192045,40.3565057680971,-0.00491602210219654
1,2020-06-27 00:00:00+00:00,2,2020,8050000000.0,3880000000.0,49141000000.0,0.0,2812000000.0,763000000.0,98306000000.0,2815000000.0,0.0,-4336000000.0,41091000000.0,89530000000.0,1221833078.0,0.0,2045000000.0,0.0,80512000000.0,6777000000.0,28860000000.0,28097000000.0,11374000000.0,-2296000000.0,8776000000.0,0.0,49040000000.0,0.0,-489000000.0,-127000000.0,-2591000000.0,0.0,2004000000.0,62000000.0,40000000.0,-4542000000.0,1877000000.0,-115000000.0,0.0,-4018000000.0,247000000.0,0.0,0.0,3791000000.0,0.0,6648000000.0,-1702000000.0,442000000.0,-1651000000.0,-1651000000.0,-1000000.0,-1.35,-1260000000.0,-51000000.0,-1339000000.0,3791000000.0,-1.35,-1013000000.0,-1652000000.0,2452000000.0,4196000000.0,1221833078.0,0.0,5.0,0.0377770839837652,0.368832731648616,1.09018633540373,49165000000.0,0.368832731648616,5.44100509284133,-4.64864864864865,0.572940456769984,-0.0037768324768251,40.2387207264657,-0.00188859734760274
2,2020-03-28 00:00:00+00:00,1,2020,7934000000.0,3956000000.0,52949000000.0,0.0,5403000000.0,1248000000.0,104073000000.0,2831000000.0,0.0,-2686000000.0,45015000000.0,92365000000.0,1221399549.0,0.0,2321000000.0,0.0,83321000000.0,6813000000.0,32779000000.0,31531000000.0,11839000000.0,-2426000000.0,11708000000.0,0.0,51009000000.0,0.0,-488000000.0,-131000000.0,3124000000.0,0.0,212000000.0,-71000000.0,33000000.0,3105000000.0,81000000.0,-122000000.0,0.0,3593000000.0,243000000.0,0.0,0.0,1088000000.0,0.0,6157000000.0,538000000.0,310000000.0,378000000.0,378000000.0,3000000.0,0.31,848000000.0,160000000.0,770000000.0,1088000000.0,0.31,1091000000.0,381000000.0,1858000000.0,4299000000.0,1221399549.0,0.0,3.0,0.0332270515187112,0.301770342699367,1.47567431308293,51124000000.0,0.301770342699367,5.0409384914551,-0.0606060606060607,0.618145817404772,0.037075900664568,41.8569009967761,0.0185447070315348
3,2019-12-28 00:00:00+00:00,4,2019,7875000000.0,4003000000.0,49701000000.0,0.0,2279000000.0,1028000000.0,101450000000.0,2721000000.0,0.0,-3060000000.0,41826000000.0,93353000000.0,1221160646.0,0.0,1973000000.0,0.0,84198000000.0,7055000000.0,29244000000.0,28216000000.0,11878000000.0,-1886000000.0,8097000000.0,0.0,51623000000.0,0.0,-489000000.0,-187000000.0,-36000000.0,0.0,1562000000.0,34000000.0,20000000.0,-2032000000.0,1375000000.0,400000000.0,590000000.0,-1531000000.0,257000000.0,0.0,0.0,1513000000.0,0.0,6536000000.0,326000000.0,326000000.0,182000000.0,182000000.0,1000000.0,0.15,652000000.0,144000000.0,594000000.0,1513000000.0,0.15,909000000.0,183000000.0,2107000000.0,4429000000.0,1221160646.0,0.0,7.0,-0.0515164707589609,0.322368421052632,1.02819047619048,51749000000.0,0.322368421052632,5.35228515708326,-1.01454898157129,0.546578075663948,0.0374742183187923,42.3768978876838,0.0188305132166361
5,2019-09-28 00:00:00+00:00,3,2019,9112000000.0,4156000000.0,51016000000.0,0.0,2315000000.0,2560000000.0,102822000000.0,3158000000.0,119000000.0,-3241000000.0,41904000000.0,93697000000.0,1219991425.0,0.0,1959000000.0,0.0,84540000000.0,6926000000.0,30672000000.0,28112000000.0,12010000000.0,-2126000000.0,9125000000.0,0.0,51673000000.0,0.0,-488000000.0,-133000000.0,858000000.0,0.0,665000000.0,-32000000.0,11000000.0,-904000000.0,532000000.0,1129000000.0,0.0,-410000000.0,243000000.0,1236000000.0,0.0,767000000.0,0.0,6076000000.0,1163000000.0,398000000.0,899000000.0,899000000.0,-1000000.0,0.74,1561000000.0,264000000.0,1180000000.0,767000000.0,0.74,1804000000.0,898000000.0,1947000000.0,4129000000.0,1219991425.0,0.0,2.0,-0.0480965063449789,0.320441079657669,1.00142669007902,51806000000.0,0.320441079657669,4.98036287427184,0.450980392156863,0.544036537456699,-0.209414452792193,42.464232894096,-0.104734097412879
6,2019-06-29 00:00:00+00:00,2,2019,7797000000.0,4153000000.0,51524000000.0,0.0,1452000000.0,1299000000.0,103201000000.0,3074000000.0,105000000.0,-4140000000.0,43727000000.0,94033000000.0,1219938804.0,0.0,2049000000.0,0.0,84932000000.0,7023000000.0,31131000000.0,29832000000.0,12128000000.0,-1807000000.0,9168000000.0,0.0,51543000000.0,0.0,-488000000.0,-199000000.0,356000000.0,0.0,1021000000.0,3000000.0,6000000.0,-473000000.0,822000000.0,-195000000.0,0.0,15000000.0,255000000.0,0.0,0.0,1348000000.0,0.0,6406000000.0,552000000.0,316000000.0,449000000.0,449000000.0,-1000000.0,0.37,868000000.0,103000000.0,734000000.0,1348000000.0,0.37,1123000000.0,448000000.0,2082000000.0,4324000000.0,1219938804.0,0.0,5.0,-0.0424514200298953,0.325007805182641,1.1758368603309,51677000000.0,0.325007805182641,5.25108306990127,-0.403225806451613,0.578778883650544,-0.201463538640325,42.3603215428173,-0.10322034450197
7,2019-03-30 00:00:00+00:00,1,2019,7972000000.0,4184000000.0,51727000000.0,0.0,1096000000.0,1307000000.0,103562000000.0,3118000000.0,85000000.0,-4586000000.0,43755000000.0,94727000000.0,1219434812.0,0.0,2010000000.0,0.0,85644000000.0,7031000000.0,31110000000.0,29803000000.0,12161000000.0,-1684000000.0,8835000000.0,0.0,51703000000.0,0.0,-488000000.0,-249000000.0,-34000000.0,0.0,304000000.0,-11000000.0,9000000.0,-504000000.0,55000000.0,177000000.0,0.0,-1000000.0,239000000.0,440000000.0,0.0,1449000000.0,0.0,5959000000.0,622000000.0,321000000.0,405000000.0,405000000.0,-1000000.0,0.33,943000000.0,217000000.0,562000000.0,1449000000.0,0.33,1182000000.0,404000000.0,2011000000.0,3948000000.0,1219434812.0,0.0,4.0,-0.0547271573604061,0.33747273032388,1.10825388861014,51835000000.0,0.33747273032388,4.88669008081426,-0.597560975609756,0.576426899793049,-0.184112412657515,42.5073972711876,-0.0961999246627096
8,2018-12-29 00:00:00+00:00,4,2018,7503000000.0,4153000000.0,51683000000.0,0.0,1130000000.0,398000000.0,103461000000.0,2667000000.0,152000000.0,-4853000000.0,44180000000.0,94386000000.0,1219434812.0,0.0,2129000000.0,0.0,85971000000.0,7078000000.0,31168000000.0,30770000000.0,12202000000.0,-1943000000.0,9075000000.0,0.0,51657000000.0,0.0,-762000000.0,-232000000.0,-231000000.0,0.0,1696000000.0,-4000000.0,-11000000.0,-1726000000.0,1464000000.0,-197000000.0,24000000.0,-971000000.0,271000000.0,0.0,0.0,16352000000.0,0.0,6891000000.0,-14414000000.0,325000000.0,-12568000000.0,-12568000000.0,-60000000.0,-10.31,-14089000000.0,-1846000000.0,-14136000000.0,16352000000.0,-10.3,-13818000000.0,-12628000000.0,2216000000.0,4675000000.0,1219434812.0,0.0,4.0,0.00819312362838343,0.321578870991148,1.20951619352259,51778000000.0,0.321578870991148,5.65097857809885,-2.58128834355828,0.59565983313007,-0.163748609253435,42.460654305152,-0.0875086396751053
10,2018-09-29 00:00:00+00:00,3,2018,7581000000.0,4312000000.0,54152000000.0,0.0,1366000000.0,1378000000.0,119730000000.0,3287000000.0,195000000.0,8576000000.0,46571000000.0,112140000000.0,1219248231.0,0.0,2032000000.0,0.0,103035000000.0,7216000000.0,32376000000.0,30998000000.0,14319000000.0,-1732000000.0,7590000000.0,0.0,65385000000.0,0.0,-762000000.0,-156000000.0,-2008000000.0,0.0,662000000.0,-48000000.0,17000000.0,-2528000000.0,506000000.0,-94000000.0,75000000.0,-1734000000.0,250000000.0,-33000000.0,0.0,1020000000.0,0.0,6383000000.0,820000000.0,326000000.0,619000000.0,619000000.0,-1000000.0,0.51,1146000000.0,201000000.0,1074000000.0,1020000000.0,0.5,1396000000.0,618000000.0,2094000000.0,4289000000.0,1219248231.0,0.0,5.0,0.0164012738853503,0.328058906470312,1.0011871784725,65578000000.0,0.328058906470312,5.23519316059602,-0.346153846153846,0.474084270092529,0.15687019565077,53.7856019247323,0.0855618076496617
11,2018-06-30 00:00:00+00:00,2,2018,9091000000.0,4326000000.0,56024000000.0,0.0,3369000000.0,2788000000.0,121896000000.0,3161000000.0,177000000.0,8710000000.0,46933000000.0,112395000000.0,1219172261.0,0.0,1987000000.0,0.0,103371000000.0,7258000000.0,34168000000.0,31380000000.0,14318000000.0,-1557000000.0,9501000000.0,0.0,65677000000.0,0.0,-762000000.0,-215000000.0,1575000000.0,0.0,-192000000.0,-70000000.0,20000000.0,1262000000.0,-407000000.0,575000000.0,785000000.0,2041000000.0,235000000.0,18000000.0,0.0,990000000.0,0.0,6690000000.0,1062000000.0,316000000.0,754000000.0,754000000.0,-1000000.0,0.62,1378000000.0,308000000.0,1357000000.0,990000000.0,0.62,1613000000.0,753000000.0,2347000000.0,4343000000.0,1219172261.0,0.0,3.0,0.00798553563356941,0.350822122571001,1.04509954900451,65872000000.0,0.350822122571001,5.48732957105887,-0.347368421052632,0.477792834630084,0.165989078024689,54.0301006733617,0.0881974044479792
12,2018-03-31 00:00:00+00:00,1,2018,10329000000.0,4241000000.0,54324000000.0,0.0,1794000000.0,3743000000.0,120787000000.0,3144000000.0,150000000.0,8718000000.0,43995000000.0,113350000000.0,1218801890.0,0.0,1574000000.0,0.0,104443000000.0,7267000000.0,32304000000.0,28561000000.0,14376000000.0,-975000000.0,7437000000.0,0.0,66248000000.0,0.0,-897000000.0,-223000000.0,31000000.0,0.0,408000000.0,-10000000.0,7000000.0,-371000000.0,185000000.0,4000000.0,436000000.0,512000000.0,227000000.0,-215000000.0,0.0,764000000.0,0.0,6304000000.0,1273000000.0,317000000.0,1003000000.0,1003000000.0,0.0,0.82,1590000000.0,270000000.0,1500000000.0,764000000.0,0.82,1817000000.0,1003000000.0,2264000000.0,4040000000.0,1218801890.0,0.0,5.0,-0.00316255534471854,0.359137055837563,0.720011617775196,66463000000.0,0.359137055837563,5.17229260286099,0.123287671232877,0.431122448979592,0.177381492197124,54.5314218375556,0.0920253317400374
