,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,-288491000.0,0.0,0.0,0.0,9474016000.0,0.0,324977000.0,5474958000.0,0.0,0.0,11524192000.0,0.0,0.0,1266611000.0,239864000.0,5968822000.0,432503634.0,5446271000.0,123290000.0,0.0,-49604000.0,-51988000.0,0.0,-45269000.0,-53217000.0,-634000.0,71704000.0,228495000.0,16943000.0,6721000.0,-7314000.0,183226000.0,-44748000.0,28795000.0,-38006000.0,80640000.0,6354000.0,86014000.0,429994000.0,72882000.0,173778000.0,8936000.0,-0.1,388000.0,259792000.0,965000.0,0.0,-38394000.0,46942000.0,0.0,-0.1,429994000.0,-37429000.0,100896000.0,0.0769688116439443,5.0,5555370000.0,-1.71428571428571,0.600670097491019,0.668912052719098,0.994760325102037,-0.0815884272336154,12.8446782021721,0.668912052719098,0.168714580232776
1,2020,2,2020-06-30 00:00:00+00:00,-200492000.0,0.0,0.0,0.0,9499154000.0,0.0,201687000.0,5556511000.0,0.0,0.0,11559970000.0,0.0,0.0,1394951000.0,250150000.0,5923653000.0,432525409.0,5440742000.0,-250109000.0,0.0,-127461000.0,-495457000.0,0.0,-61450000.0,163150000.0,228301000.0,73559000.0,82198000.0,-365631000.0,5577000.0,-3701000.0,20748000.0,741539000.0,22504000.0,747944000.0,869518000.0,6354000.0,80445000.0,431170000.0,64120000.0,158471000.0,795959000.0,1.71,51000.0,238916000.0,225000.0,0.0,747893000.0,48015000.0,0.0,1.71,429967000.0,748118000.0,94351000.0,0.0869576205909651,4.0,5636317000.0,7.55,0.552374484894135,0.663291700848834,0.979165163175237,-0.161324520049285,13.0311812502095,0.663291700848834,0.194139187771245
2,2020,1,2020-03-31 00:00:00+00:00,-942031000.0,0.0,0.0,0.0,9507946000.0,0.0,451796000.0,4809591000.0,0.0,0.0,11305134000.0,0.0,0.0,763984000.0,220215000.0,6414722000.0,431820951.0,5800081000.0,327849000.0,981000.0,-127255000.0,239153000.0,0.0,-65360000.0,-66553000.0,203000.0,69397000.0,155249000.0,391498000.0,5905000.0,-3846000.0,89889000.0,83746000.0,21017000.0,90143000.0,205600000.0,6354000.0,84895000.0,430505000.0,115308000.0,204849000.0,136203000.0,0.19,43000.0,289744000.0,289000.0,0.0,90100000.0,46060000.0,0.0,0.19,429735000.0,90389000.0,89541000.0,0.028998964303411,4.0,4890412000.0,-0.208333333333333,0.670981802362804,0.70699997238942,1.20594058829535,-0.0178502423646656,11.3250920055521,0.70699997238942,0.0648404002241339
3,2019,4,2019-12-31 00:00:00+00:00,-904679000.0,0.0,0.0,0.0,9528348000.0,0.0,123947000.0,4864892000.0,0.0,0.0,10997867000.0,0.0,0.0,781871000.0,218689000.0,6051017000.0,422232515.0,5408478000.0,-17363000.0,200661000.0,-130285000.0,-159418000.0,0.0,29100000.0,40886000.0,5150000.0,68439000.0,101169000.0,4110000.0,5175000.0,5636000.0,130269000.0,92812000.0,24646000.0,109682000.0,223878000.0,16607000.0,90757000.0,424238000.0,136616000.0,205373000.0,155439000.0,0.22,263000.0,296130000.0,624000.0,0.0,109419000.0,45757000.0,0.0,0.22,422491000.0,110043000.0,68757000.0,0.030772251708435,4.0,4946850000.0,0.375,0.701343429224062,0.693523114848209,1.11173649898086,0.0419738143074795,11.7159380773885,0.693523114848209,0.0667279276832149
5,2019,3,2019-09-30 00:00:00+00:00,-883741000.0,0.0,0.0,0.0,9571309000.0,0.0,141310000.0,4901881000.0,0.0,0.0,11085131000.0,0.0,0.0,780142000.0,191436000.0,6086967000.0,422097406.0,5404249000.0,27319000.0,1540000.0,-136054000.0,-80823000.0,0.0,-59860000.0,-60788000.0,-767000.0,68874000.0,168930000.0,413561000.0,4741000.0,-1161000.0,109070000.0,59048000.0,23832000.0,80124000.0,192144000.0,24942000.0,80113000.0,421002000.0,99468000.0,202758000.0,123270000.0,0.14,-3866000.0,282871000.0,1463000.0,0.0,83990000.0,43146000.0,0.0,0.14,419823000.0,85453000.0,103290000.0,0.0290350108000089,5.0,4998164000.0,-0.263157894736842,0.67015574125561,0.71678609684273,1.10248474004163,-0.000738307192313159,11.841257323434,0.71678609684273,0.0615465222511236
6,2019,2,2019-06-30 00:00:00+00:00,-835934000.0,0.0,0.0,0.0,9568996000.0,0.0,113991000.0,5293902000.0,0.0,0.0,11040903000.0,0.0,0.0,776817000.0,182369000.0,5649752000.0,422040439.0,4998735000.0,-29682000.0,1130000.0,-132705000.0,-102976000.0,0.0,-85017000.0,-84977000.0,5303000.0,69005000.0,158271000.0,32650000.0,4807000.0,-6263000.0,73254000.0,86493000.0,22633000.0,100683000.0,213785000.0,14534000.0,83146000.0,420646000.0,107400000.0,201727000.0,144780000.0,0.2,-344000.0,284873000.0,360000.0,0.0,101027000.0,44097000.0,0.0,0.2,419697000.0,101387000.0,94327000.0,0.0314229912425505,4.0,5391151000.0,-0.444444444444444,0.67498982011058,0.708129587570602,0.94424396220406,-0.0290726407023787,12.7740152407528,0.708129587570602,0.0651564700895857
7,2019,1,2019-03-31 00:00:00+00:00,-804241000.0,0.0,0.0,0.0,9601834000.0,0.0,143673000.0,5319877000.0,0.0,0.0,11070200000.0,0.0,0.0,768808000.0,183650000.0,5649658000.0,421385972.0,4965887000.0,92000.0,681000.0,-132521000.0,-139624000.0,0.0,-5562000.0,-15542000.0,-6000.0,71561000.0,155258000.0,-6237000.0,5477000.0,-10974000.0,149696000.0,101635000.0,25831000.0,116799000.0,232755000.0,14534000.0,82935000.0,420763000.0,134103000.0,212075000.0,161194000.0,0.24,630000.0,295010000.0,509000.0,0.0,116169000.0,44395000.0,0.0,0.24,419464000.0,116678000.0,77972000.0,0.0370346217919595,5.0,5420542000.0,-0.2,0.700094496738491,0.71887393647673,0.933458987867577,-0.0298212958517222,12.8636033474793,0.71887393647673,0.0768055388900348
8,2018,4,2018-12-31 00:00:00+00:00,-787707000.0,0.0,0.0,0.0,9491903000.0,0.0,143581000.0,5333804000.0,0.0,0.0,10999100000.0,0.0,174903000.0,763045000.0,184528000.0,5564365000.0,421391305.0,4873872000.0,-2805000.0,104000.0,-132524000.0,-147300000.0,0.0,-59000.0,22890000.0,14573000.0,74266000.0,121605000.0,-14253000.0,3766000.0,5654000.0,121546000.0,73627000.0,20022000.0,90744000.0,207891000.0,14534000.0,80806000.0,418187000.0,111452000.0,203395000.0,133625000.0,0.16,2583000.0,284201000.0,-214000.0,0.0,88161000.0,42881000.0,0.0,0.17,419246000.0,87947000.0,91943000.0,0.0392741092123884,6.0,5434735000.0,-0.0588235294117647,0.674434893714762,0.715673062374868,0.913770359765751,-0.098418589896106,12.8971218331142,0.715673062374868,0.0816052474889583
10,2018,3,2018-09-30 00:00:00+00:00,-743346000.0,0.0,0.0,0.0,9583668000.0,0.0,146386000.0,5378250000.0,0.0,0.0,11109521000.0,0.0,0.0,783792000.0,212662000.0,5633350000.0,421382113.0,4887474000.0,-159191000.0,457000.0,-132521000.0,-326140000.0,0.0,1850000.0,2604000.0,2145000.0,74972000.0,164345000.0,-179634000.0,4032000.0,-8391000.0,166195000.0,85624000.0,21348000.0,99843000.0,218896000.0,14534000.0,79829000.0,419764000.0,130456000.0,203251000.0,143924000.0,0.19,-315000.0,283080000.0,567000.0,0.0,100158000.0,44081000.0,0.0,0.19,419230000.0,100725000.0,72795000.0,0.03860042305323,6.0,5476171000.0,-0.208333333333333,0.671789312518825,0.717998445669069,0.908748012829452,-0.0399023215587851,12.9957367222182,0.717998445669069,0.081347002791061
11,2018,2,2018-06-30 00:00:00+00:00,-710981000.0,0.0,72000.0,0.0,9656704000.0,0.0,305577000.0,5411210000.0,0.0,0.0,11291783000.0,0.0,0.0,769614000.0,211578000.0,5786654000.0,424897242.0,5068716000.0,87264000.0,-50850000.0,-134470000.0,-221168000.0,0.0,134693000.0,148725000.0,5029000.0,79760000.0,159707000.0,-34816000.0,5241000.0,2503000.0,294400000.0,150852000.0,24029000.0,164666000.0,290860000.0,14534000.0,81341000.0,421928000.0,179589000.0,212062000.0,211100000.0,0.36,-720000.0,293403000.0,423000.0,0.0,165386000.0,46434000.0,0.0,0.36,420731000.0,165809000.0,32473000.0,0.0395207032469712,7.0,5505129000.0,0.161290322580645,0.69052695804507,0.722766979206075,0.9367065776416,-0.0126961800414569,12.9563773445251,0.722766979206075,0.0850193570482824
