,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,1,2021,6557751000.0,9320096000.0,2747184000.0,0.0,0.0,3386345000.0,245614000.0,3420403000.0,579776000.0,4565397000.0,4754699000.0,0.0,561852000.0,1394225000.0,656876000.0,753915000.0,-79446000.0,1028883000.0,1748828000.0,827633000.0,155461444.0,3420403000.0,254458000.0,4808923000.0,1215820000.0,827633000.0,457360000.0,7766000.0,-134320000.0,-141164000.0,-187897000.0,512171000.0,26992000.0,-18589000.0,-50000000.0,-54811000.0,-79509000.0,-404206000.0,80066000.0,0.0,156442000.0,420567000.0,918058000.0,2.69,1538620000.0,420567000.0,0.0,39386000.0,2.71,394866000.0,219038000.0,523617000.0,155281000.0,63664000.0,172631000.0,484231000.0,420142000.0,620562000.0,-425000.0,603683000.0,0.0,523192000.0,9.0,0.0885840949643912,0.596676242347038,2.71879167076465,2762345000.0,0.596676242347038,9.89711635510088,0.243119266055046,1.2450578483276,0.496959086335114,17.7686822463839,0.140702158628773
1,2020-06-30 00:00:00+00:00,4,2020,6598950000.0,9279960000.0,2665424000.0,0.0,0.0,3436815000.0,236797000.0,3469670000.0,666055000.0,4556415000.0,4723545000.0,0.0,519824000.0,1310985000.0,660885000.0,654930000.0,-79774000.0,1107413000.0,1699786000.0,746063000.0,155048894.0,3469670000.0,264280000.0,4899164000.0,1234409000.0,746063000.0,411056000.0,2564000.0,-105821000.0,-132762000.0,50349000.0,452846000.0,26378000.0,288234000.0,24828000.0,-41790000.0,-52488000.0,-61355000.0,78937000.0,-11543000.0,156262000.0,411253000.0,838049000.0,2.62,1459593000.0,411253000.0,0.0,40221000.0,2.64,392759000.0,217100000.0,446228000.0,155120000.0,-5246000.0,167791000.0,406007000.0,410315000.0,621544000.0,-938000.0,525165000.0,0.0,445290000.0,6.0,0.159847747400541,0.57416622304985,2.77890569754075,2681010000.0,0.57416622304985,9.41375950737191,0.984962406015037,1.3017328575116,0.472364327513077,17.2913842261913,0.132960079659018
3,2020-03-31 00:00:00+00:00,3,2020,6520750000.0,8845946000.0,2307433000.0,0.0,0.0,3480973000.0,207958000.0,3443937000.0,650996000.0,4527481000.0,4318465000.0,0.0,497743000.0,1264130000.0,647220000.0,376656000.0,-88294000.0,1119263000.0,1653274000.0,688356000.0,156772198.0,3443937000.0,243234000.0,4867476000.0,946175000.0,688356000.0,398583000.0,-4868000.0,1788000.0,-133327000.0,-315323000.0,442028000.0,31270000.0,6311000.0,20971000.0,-43445000.0,45303000.0,-432637000.0,81990000.0,-70000.0,157172000.0,78452000.0,833806000.0,0.5,1423964000.0,78452000.0,0.0,39231000.0,0.5,656838000.0,215433000.0,154873000.0,156067000.0,37190000.0,185760000.0,115642000.0,78009000.0,590158000.0,-443000.0,236863000.0,0.0,176968000.0,6.0,0.297684977185137,0.585552724647533,2.6120685379435,2325196000.0,0.585552724647533,9.08301355830962,-0.59349593495935,1.49254041179094,0.397525683012562,14.8316859090028,0.112661489064646
4,2019-12-31 00:00:00+00:00,2,2020,6562750000.0,9250720000.0,2669764000.0,0.0,0.0,3792231000.0,213255000.0,3399877000.0,551356000.0,4873277000.0,4377443000.0,0.0,489980000.0,1251400000.0,680929000.0,719001000.0,-66758000.0,1191035000.0,1718243000.0,737658000.0,157794495.0,3399877000.0,256646000.0,4844507000.0,939864000.0,737658000.0,352857000.0,3963000.0,-8148000.0,-134696000.0,-260094000.0,387731000.0,26789000.0,-48484000.0,-25000000.0,-34874000.0,26726000.0,-432030000.0,88534000.0,0.0,158620000.0,380555000.0,875835000.0,2.4,1509453000.0,380555000.0,0.0,40472000.0,2.42,410436000.0,220751000.0,465649000.0,157290000.0,44622000.0,192253000.0,425177000.0,380305000.0,633618000.0,-250000.0,554183000.0,0.0,465399000.0,3.0,0.347848643358592,0.58023336930663,2.54762743104439,2687970000.0,0.58023336930663,9.56594208181977,-0.00411522633744865,1.27347473409635,0.419831927439181,17.0346246870019,0.124075205091907
5,2019-09-30 00:00:00+00:00,1,2020,6549780000.0,9229399000.0,2661163000.0,250000000.0,0.0,3812890000.0,216629000.0,3424130000.0,579761000.0,4873650000.0,4355749000.0,0.0,475210000.0,1254240000.0,688170000.0,733173000.0,-71855000.0,1066188000.0,1943447000.0,763174000.0,159255950.0,3174130000.0,221388000.0,4606333000.0,988348000.0,763174000.0,463679000.0,-3585000.0,-146693000.0,-121636000.0,-228382000.0,496245000.0,26944000.0,-27646000.0,0.0,-32566000.0,-35597000.0,-373613000.0,98588000.0,-78530000.0,160131000.0,346525000.0,809173000.0,2.16,1413414000.0,346525000.0,0.0,40350000.0,2.18,397307000.0,210580000.0,411995000.0,158697000.0,25120000.0,188345000.0,371645000.0,346396000.0,604241000.0,-129000.0,510583000.0,0.0,411866000.0,4.0,0.292843422424675,0.572495390593273,2.24124918250922,2679619000.0,0.572495390593273,8.87510953279924,-0.145098039215686,1.19276045849127,0.461226421334074,16.8258642769705,0.136381530127314
6,2019-06-30 00:00:00+00:00,4,2019,6330823000.0,9008516000.0,2659108000.0,249999000.0,0.0,3772528000.0,206141000.0,3423382000.0,587789000.0,4693441000.0,4315075000.0,0.0,448799000.0,1262500000.0,702285000.0,714825000.0,-73029000.0,990113000.0,1768486000.0,723391000.0,161620262.0,3173383000.0,202416000.0,4562337000.0,1015994000.0,723391000.0,269615000.0,77000.0,30439000.0,-121363000.0,-300714000.0,325461000.0,28168000.0,-76169000.0,-2478000.0,-55846000.0,86285000.0,-432146000.0,127886000.0,0.0,161866000.0,217845000.0,665650000.0,1.32,1258435000.0,217845000.0,0.0,40517000.0,1.33,393823000.0,206710000.0,272344000.0,160529000.0,13982000.0,190040000.0,231827000.0,217328000.0,592785000.0,-517000.0,400230000.0,0.0,271827000.0,4.0,0.176103079988486,0.528950641074032,2.43998256135474,2677693000.0,0.528950641074032,7.78636901355846,-0.403587443946188,1.1934013210445,0.542184238513341,16.567805093646,0.159695219641766
8,2019-03-31 00:00:00+00:00,3,2019,6302017000.0,9187605000.0,2849093000.0,249997000.0,0.0,3867215000.0,205820000.0,3422646000.0,501474000.0,4744977000.0,4442628000.0,0.0,411852000.0,1317260000.0,0.0,928086000.0,-68907000.0,958021000.0,1700856000.0,805105000.0,151363988.0,3172649000.0,206248000.0,4601161000.0,1092163000.0,805105000.0,137638000.0,205000.0,-1734903000.0,-113581000.0,-200029000.0,163594000.0,34193000.0,-701819000.0,1183789000.0,-25956000.0,97549000.0,869285000.0,73445000.0,-1806496000.0,157182000.0,192728000.0,610366000.0,1.23,1097311000.0,192728000.0,0.0,31187000.0,1.23,357789000.0,184887000.0,252660000.0,156349000.0,28745000.0,182184000.0,221473000.0,192645000.0,486945000.0,-83000.0,326105000.0,0.0,252577000.0,3.0,0.0744320440539159,0.556237930723377,2.61199537174223,2885588000.0,0.556237930723377,7.24948526065526,-0.372448979591837,1.11356456247655,0.684536114882322,19.0639004569568,0.20041539125853
9,2018-12-31 00:00:00+00:00,2,2019,4007665000.0,5605287000.0,1597622000.0,249996000.0,0.0,384298000.0,225124000.0,2238378000.0,455644000.0,1119773000.0,4485514000.0,0.0,306351000.0,1005990000.0,0.0,1048804000.0,-70447000.0,658080000.0,1482538000.0,900112000.0,153075310.0,1988382000.0,152491000.0,2525127000.0,1793982000.0,900112000.0,255806000.0,1137000.0,208611000.0,-114562000.0,-229657000.0,282172000.0,15695000.0,144468000.0,0.0,-26366000.0,234977000.0,-347452000.0,15806000.0,0.0,152648000.0,369100000.0,711638000.0,2.42,1119898000.0,369100000.0,0.0,26538000.0,2.43,269137000.0,165903000.0,442501000.0,152148000.0,46863000.0,112462000.0,415963000.0,369100000.0,408260000.0,0.0,458307000.0,0.0,442501000.0,6.0,0.147645779660635,0.635448942671565,3.02556426884168,1597622000.0,0.635448942671565,7.31599367657658,-3.82558139534884,1.24458851968739,0.923179942962923,10.4368366132984,0.252711242516242
10,2018-09-30 00:00:00+00:00,1,2019,4077740000.0,5645109000.0,1567369000.0,0.0,0.0,385557000.0,222107000.0,2237890000.0,463617000.0,1124065000.0,4521044000.0,0.0,291232000.0,993527000.0,0.0,1027370000.0,-56167000.0,602210000.0,1310930000.0,1130794000.0,156126508.0,2237890000.0,154930000.0,2766810000.0,1649514000.0,1130794000.0,359075000.0,-1452000.0,314871000.0,-122757000.0,-299974000.0,381405000.0,16138000.0,245132000.0,0.0,-22330000.0,348988000.0,-449692000.0,16087000.0,-11787000.0,156083000.0,395944000.0,711873000.0,2.54,1093260000.0,395944000.0,0.0,26362000.0,2.55,257943000.0,153530000.0,453930000.0,155221000.0,31624000.0,114438000.0,427568000.0,395944000.0,381387000.0,0.0,470017000.0,0.0,453930000.0,7.0,0.12755922403595,0.651147028154327,3.44873029070965,1567369000.0,0.651147028154327,7.00239833712287,0.424581005586592,1.42780034567482,0.634390612983363,10.0390959874668,0.164613144135406
11,2018-06-30 00:00:00+00:00,4,2018,4018108000.0,5638619000.0,1620511000.0,0.0,0.0,374031000.0,193200000.0,2237402000.0,420833000.0,1089619000.0,4549000000.0,0.0,286306000.0,931845000.0,1197000.0,1056445000.0,-53933000.0,651678000.0,1214270000.0,1475936000.0,155872083.0,2237402000.0,169354000.0,2803838000.0,1404382000.0,1475936000.0,350685000.0,-10202000.0,126775000.0,-117035000.0,2782000.0,373513000.0,18804000.0,148700000.0,-225000000.0,-22828000.0,161516000.0,-341386000.0,14989000.0,-11913000.0,156895000.0,348767000.0,692438000.0,2.22,1070004000.0,348767000.0,0.0,28309000.0,2.23,257640000.0,151905000.0,434798000.0,155743000.0,57722000.0,116370000.0,406489000.0,348767000.0,377566000.0,0.0,449787000.0,0.0,434798000.0,9.0,0.139942917838122,0.647135898557389,3.74628377543709,1620511000.0,0.647135898557389,6.8646288636561,0.359756097560976,1.38067683588695,0.564951978219211,10.3964158867371,0.143681947397093
