,year,quarter,date,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.totalAssets,statementData.balanceSheet.accoci,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.deposits,statementData.balanceSheet.inventory,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.taxAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deferredRev,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.payDiv,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.sga,statementData.incomeStatement.opex,statementData.incomeStatement.intexp,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.netinc,statementData.incomeStatement.rnd,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.ebit,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,10456000000.0,2125000000.0,1518000000.0,16531000000.0,-3482000000.0,333000000.0,6075000000.0,7497000000.0,0.0,1787000000.0,335000000.0,15954000000.0,333000000.0,0.0,1418000000.0,517000000.0,500000000.0,7395000000.0,9852000000.0,2995000000.0,0.0,341047156.0,8368000000.0,6102000000.0,7851000000.0,0.0,559000000.0,270000000.0,192000000.0,-287000000.0,-36000000.0,306000000.0,-205000000.0,70000000.0,-109000000.0,47000000.0,0.0,3000000.0,-253000000.0,-365000000.0,1.38,472000000.0,1.38,586000000.0,1590000000.0,341047156.0,919000000.0,924000000.0,62000000.0,840000000.0,0.0,4683000000.0,0.0,472000000.0,0.0,11000000.0,3093000000.0,483000000.0,648000000.0,666000000.0,114000000.0,6.0,0.00926724137931045,0.339525944907111,0.995575221238938,577000000.0,0.339525944907111,13.7312389727126,-0.292307692307692,23.4358208955224,23.424317617866,1.69184815017194,0.148278461925107
1,2020,2,2020-06-30 00:00:00+00:00,10269000000.0,2024000000.0,1448000000.0,16173000000.0,-3513000000.0,319000000.0,5904000000.0,7366000000.0,0.0,1825000000.0,268000000.0,15678000000.0,319000000.0,0.0,1401000000.0,850000000.0,527000000.0,7299000000.0,9184000000.0,3032000000.0,0.0,340547119.0,8073000000.0,6494000000.0,7223000000.0,0.0,1579000000.0,-385000000.0,201000000.0,-331000000.0,-60000000.0,1295000000.0,-787000000.0,469000000.0,-22000000.0,39000000.0,0.0,8000000.0,-284000000.0,-365000000.0,2.0,681000000.0,1.99,880000000.0,1777000000.0,340547119.0,844000000.0,852000000.0,65000000.0,1146000000.0,0.0,4612000000.0,0.0,681000000.0,0.0,11000000.0,2835000000.0,692000000.0,945000000.0,925000000.0,199000000.0,7.0,0.00391815411406182,0.38529921942758,0.909146904835233,495000000.0,0.38529921942758,13.5429129852659,0.418439716312057,26.9514925373134,-140.219178082192,1.45354334945937,0.164655921243123
2,2020,1,2020-03-31 00:00:00+00:00,10031000000.0,2519000000.0,979000000.0,15677000000.0,-3615000000.0,314000000.0,5646000000.0,7226000000.0,0.0,1539000000.0,-167000000.0,15631000000.0,314000000.0,0.0,1361000000.0,1238000000.0,512000000.0,6978000000.0,9148000000.0,2876000000.0,0.0,341795666.0,8448000000.0,6483000000.0,7210000000.0,0.0,704000000.0,707000000.0,213000000.0,-359000000.0,-9000000.0,352000000.0,220000000.0,537000000.0,-106000000.0,15000000.0,0.0,-28000000.0,-352000000.0,-357000000.0,1.93,660000000.0,1.92,857000000.0,1791000000.0,341795666.0,873000000.0,887000000.0,61000000.0,1131000000.0,0.0,5009000000.0,0.0,660000000.0,0.0,15000000.0,3218000000.0,675000000.0,918000000.0,904000000.0,197000000.0,8.0,0.0811569177638678,0.357556398482731,0.870893105043961,46000000.0,0.357556398482731,14.6549546944811,0.462121212121212,-43.1736526946108,-18.2119460500963,0.134583333189485,0.154091946527551
3,2019,4,2019-12-31 00:00:00+00:00,10226000000.0,2263000000.0,442000000.0,15283000000.0,-3294000000.0,268000000.0,5057000000.0,7450000000.0,0.0,1790000000.0,-33000000.0,15089000000.0,268000000.0,0.0,1467000000.0,1534000000.0,511000000.0,6686000000.0,8170000000.0,3055000000.0,0.0,342805599.0,7747000000.0,6919000000.0,6213000000.0,0.0,924000000.0,-17000000.0,217000000.0,-275000000.0,40000000.0,618000000.0,-632000000.0,26000000.0,-239000000.0,22000000.0,0.0,9000000.0,-306000000.0,-354000000.0,1.6,547000000.0,1.59,656000000.0,1566000000.0,342805599.0,859000000.0,815000000.0,63000000.0,936000000.0,0.0,4583000000.0,0.0,547000000.0,0.0,9000000.0,3017000000.0,556000000.0,719000000.0,751000000.0,109000000.0,7.0,0.00306412781790333,0.341697578005673,0.730885966180084,194000000.0,0.341697578005673,13.3690931926698,0.344537815126051,-188.272727272727,-13.1324200913242,0.565918411385107,0.141751688106856
5,2019,3,2019-09-30 00:00:00+00:00,9969000000.0,2306000000.0,416000000.0,15033000000.0,-3412000000.0,294000000.0,5064000000.0,7158000000.0,0.0,1779000000.0,-141000000.0,14945000000.0,294000000.0,0.0,1438000000.0,1555000000.0,506000000.0,6485000000.0,8163000000.0,2942000000.0,0.0,344136273.0,7753000000.0,6782000000.0,6198000000.0,0.0,886000000.0,-217000000.0,230000000.0,-245000000.0,-109000000.0,794000000.0,-747000000.0,-118000000.0,-163000000.0,26000000.0,0.0,-12000000.0,-92000000.0,-354000000.0,1.95,671000000.0,1.94,863000000.0,1555000000.0,344136273.0,815000000.0,640000000.0,66000000.0,1159000000.0,0.0,4640000000.0,0.0,671000000.0,0.0,9000000.0,3085000000.0,680000000.0,929000000.0,915000000.0,192000000.0,7.0,0.0126582278481013,0.335129310344828,0.746682394573872,88000000.0,0.335129310344828,13.4830308922419,0.5,-43.9574468085106,-8.87376509330406,0.255712654852864,0.134504675385179
6,2019,2,2019-06-30 00:00:00+00:00,10026000000.0,2397000000.0,534000000.0,15347000000.0,-3269000000.0,249000000.0,5321000000.0,7207000000.0,0.0,1856000000.0,-178000000.0,15297000000.0,249000000.0,0.0,1478000000.0,1291000000.0,513000000.0,6170000000.0,8712000000.0,2993000000.0,0.0,343795330.0,7992000000.0,6585000000.0,6701000000.0,0.0,609000000.0,87000000.0,236000000.0,-198000000.0,51000000.0,356000000.0,-371000000.0,43000000.0,-32000000.0,32000000.0,0.0,3000000.0,-253000000.0,-355000000.0,1.41,485000000.0,1.4,617000000.0,1486000000.0,343795330.0,811000000.0,816000000.0,67000000.0,920000000.0,0.0,4594000000.0,0.0,485000000.0,0.0,10000000.0,3108000000.0,495000000.0,684000000.0,670000000.0,132000000.0,8.0,-0.00217202432667241,0.323465389638659,0.808048595292331,50000000.0,0.323465389638659,13.3626015222487,0.0846153846153845,-37.6460674157303,-7.97785160575858,0.14543536702491,0.120767115939114
7,2019,1,2019-03-31 00:00:00+00:00,9949000000.0,2377000000.0,491000000.0,15204000000.0,0.0,246000000.0,5255000000.0,7139000000.0,0.0,1857000000.0,-305000000.0,15286000000.0,246000000.0,0.0,1476000000.0,1900000000.0,496000000.0,6170000000.0,8089000000.0,3027000000.0,0.0,344431630.0,7890000000.0,7197000000.0,5990000000.0,0.0,317000000.0,449000000.0,234000000.0,-324000000.0,-8000000.0,1000000.0,-42000000.0,-48000000.0,-138000000.0,16000000.0,0.0,1000000.0,-316000000.0,-345000000.0,1.32,454000000.0,1.31,597000000.0,1428000000.0,344431630.0,769000000.0,773000000.0,65000000.0,896000000.0,0.0,4633000000.0,0.0,454000000.0,0.0,12000000.0,3205000000.0,466000000.0,662000000.0,655000000.0,143000000.0,6.0,-0.020714436694145,0.308223613209583,0.730165346672225,-82000000.0,0.308223613209583,13.451145587297,3.88888888888889,-19.6393442622951,-9.05882352941176,-0.238073373226495,0.120334981059641
8,2018,4,2018-12-31 00:00:00+00:00,9477000000.0,2164000000.0,539000000.0,14518000000.0,-3299000000.0,224000000.0,5041000000.0,7159000000.0,0.0,1813000000.0,-287000000.0,14564000000.0,224000000.0,0.0,1474000000.0,1208000000.0,458000000.0,5947000000.0,8028000000.0,3190000000.0,0.0,346300915.0,7455000000.0,6536000000.0,6247000000.0,0.0,949000000.0,-77000000.0,230000000.0,-270000000.0,-2000000.0,673000000.0,-632000000.0,45000000.0,-192000000.0,-4000000.0,0.0,-2000000.0,-276000000.0,-347000000.0,1.19,411000000.0,1.18,502000000.0,1402000000.0,346300915.0,768000000.0,763000000.0,65000000.0,797000000.0,0.0,4569000000.0,0.0,411000000.0,0.0,10000000.0,3167000000.0,421000000.0,567000000.0,639000000.0,91000000.0,6.0,-0.00738648707364764,0.306850514335741,0.771266829865361,-46000000.0,0.306850514335741,13.1937277728533,-0.32,-21.7665505226481,-35.25,-0.132832452954968,0.0956450956450956
10,2018,3,2018-09-30 00:00:00+00:00,9475000000.0,2308000000.0,494000000.0,14583000000.0,0.0,251000000.0,5108000000.0,7030000000.0,0.0,1770000000.0,-133000000.0,14471000000.0,251000000.0,0.0,1480000000.0,1786000000.0,504000000.0,5947000000.0,7666000000.0,2937000000.0,0.0,347664541.0,7525000000.0,6805000000.0,5739000000.0,0.0,692000000.0,43000000.0,217000000.0,-220000000.0,-26000000.0,489000000.0,-453000000.0,10000000.0,-148000000.0,19000000.0,0.0,-9000000.0,-203000000.0,-348000000.0,1.3,451000000.0,1.29,589000000.0,1416000000.0,347664541.0,749000000.0,747000000.0,64000000.0,870000000.0,0.0,4582000000.0,0.0,451000000.0,0.0,11000000.0,3166000000.0,462000000.0,653000000.0,669000000.0,138000000.0,6.0,-0.0177920685959271,0.309035355739852,0.750624540778839,112000000.0,0.309035355739852,13.1793710880627,-0.192546583850932,-43.1503759398496,8.55026455026455,0.322149620659761,0.108454556131609
11,2018,2,2018-06-30 00:00:00+00:00,9536000000.0,2286000000.0,484000000.0,14564000000.0,0.0,257000000.0,5028000000.0,7046000000.0,0.0,1750000000.0,-57000000.0,14386000000.0,257000000.0,0.0,1504000000.0,1741000000.0,467000000.0,5947000000.0,7731000000.0,2802000000.0,0.0,349329075.0,7487000000.0,6655000000.0,5746000000.0,0.0,787000000.0,-147000000.0,224000000.0,-156000000.0,11000000.0,629000000.0,-747000000.0,-142000000.0,-215000000.0,8000000.0,0.0,-26000000.0,-158000000.0,-350000000.0,1.3,455000000.0,1.3,593000000.0,1455000000.0,349329075.0,771000000.0,781000000.0,68000000.0,885000000.0,0.0,4604000000.0,0.0,455000000.0,0.0,10000000.0,3149000000.0,465000000.0,661000000.0,674000000.0,138000000.0,5.0,0.00611888111888104,0.316029539530843,0.755522163786627,178000000.0,0.316029539530843,13.1795499701821,-0.133333333333333,-100.80701754386,6.03484320557491,0.509548196066989,0.115337872708808
