,year,quarter,date,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,3,2020-11-30 00:00:00+00:00,570174000.0,168979000.0,2780205000.0,-152924000.0,14912068000.0,15388930000.0,0.0,236643000.0,18322000.0,13759974000.0,2737753000.0,13267364000.0,4128476000.0,476862000.0,20932848000.0,3482419000.0,159209000.0,16804372000.0,3737097000.0,15366585000.0,0.0,492610000.0,0.0,1437787000.0,164086883.0,17195751000.0,-21390000.0,-346326000.0,0.0,-52324000.0,-448229000.0,-499338000.0,61528000.0,-29719000.0,-101903000.0,1215000.0,0.0,11152000.0,-30934000.0,0.0,19462000.0,4553514000.0,302352000.0,0.0,329078000.0,163732000.0,165773000.0,1.42,310503000.0,235300000.0,1.44,235300000.0,631430000.0,235300000.0,0.0,5184944000.0,0.0,75203000.0,391493000.0,0.0,329965000.0,478797000.0,0.0361347138162557,0.0824454470829816,4128476000.0,2.59920071610051,0.371428571428571,0.121781450291459,31.5987719749665,3.61200307328903,0.121781450291459,25.1603048611753,5.0,0.194565209023729
1,2021,2,2020-08-31 00:00:00+00:00,683715000.0,203155000.0,2824959000.0,-160426000.0,15232881000.0,15733189000.0,0.0,711561000.0,64734000.0,13533982000.0,2600605000.0,13013106000.0,3982560000.0,500308000.0,21246306000.0,3488931000.0,133749000.0,17263746000.0,4327859000.0,15664804000.0,0.0,520876000.0,0.0,1598942000.0,163077762.0,16918447000.0,-359783000.0,403702000.0,0.0,-388084000.0,493709000.0,106641000.0,60627000.0,-27285000.0,90007000.0,1016000.0,0.0,37737000.0,-28301000.0,0.0,22469000.0,4620023000.0,343013000.0,0.0,409130000.0,163434000.0,165623000.0,1.79,388341000.0,296696000.0,1.82,296696000.0,752143000.0,296696000.0,0.0,5372166000.0,0.0,91645000.0,471437000.0,0.0,410810000.0,490208000.0,0.0333266616941414,0.032880222089303,3982560000.0,2.70670168148688,0.290780141843972,0.140007401111581,32.9423578918136,3.82489680004821,0.140007401111581,24.4212328594502,6.0,0.18359682503052
2,2021,1,2020-05-31 00:00:00+00:00,390160000.0,145018000.0,1899430000.0,-165405000.0,14851505000.0,15322271000.0,0.0,658022000.0,0.0,13275187000.0,2303909000.0,12794622000.0,3578310000.0,470766000.0,19972532000.0,3508416000.0,119066000.0,16394222000.0,3283731000.0,15243216000.0,0.0,480565000.0,0.0,1151006000.0,162574714.0,16688801000.0,1249559000.0,-527303000.0,0.0,1186688000.0,-579737000.0,604750000.0,58340000.0,-65072000.0,-52434000.0,-2201000.0,0.0,25057000.0,-62871000.0,0.0,23958000.0,2874599000.0,322766000.0,0.0,31417000.0,162673000.0,163537000.0,0.03,4164000.0,4978000.0,0.03,4978000.0,354183000.0,4978000.0,0.0,3228782000.0,0.0,-814000.0,86462000.0,0.0,28122000.0,373716000.0,0.0306880576352757,-0.398324512263343,3578310000.0,2.85292257381803,-0.98125,0.109695544635717,19.8602963558035,4.15042436233865,0.109695544635717,22.0102493921656,5.0,0.171024292828002
3,2020,4,2020-02-29 00:00:00+00:00,737144000.0,191090000.0,2846416000.0,-150071000.0,15384727000.0,15849163000.0,0.0,58211000.0,1389000.0,14032754000.0,2488417000.0,13551711000.0,3768875000.0,464436000.0,21082182000.0,3518196000.0,89842000.0,17313307000.0,3663687000.0,15778600000.0,0.0,481043000.0,0.0,1534707000.0,163385139.0,17418495000.0,-118700000.0,358968000.0,0.0,-201419000.0,277838000.0,26361000.0,57585000.0,-132777000.0,-81130000.0,-50058000.0,0.0,10684000.0,-82719000.0,0.0,22307000.0,4289633000.0,372821000.0,0.0,300036000.0,163381000.0,165818000.0,1.3,276633000.0,214934000.0,1.32,214934000.0,672857000.0,214934000.0,0.0,4962490000.0,0.0,61699000.0,356525000.0,0.0,298940000.0,484728000.0,0.043644696925391,0.149096397398973,3768875000.0,2.38722244702083,0.157894736842105,0.135588585568938,30.3729582162304,4.08204756061159,0.135588585568938,23.0674284275022,4.0,0.244558069373295
5,2020,3,2019-11-30 00:00:00+00:00,641434000.0,142737000.0,2682574000.0,-82007000.0,15050556000.0,15488191000.0,0.0,56583000.0,1497000.0,13735147000.0,2376596000.0,13276654000.0,3698053000.0,437635000.0,20487230000.0,3491371000.0,67162000.0,16789177000.0,3450244000.0,15368136000.0,0.0,458493000.0,0.0,1421041000.0,164430050.0,17036986000.0,7550000.0,169402000.0,0.0,-70280000.0,62590000.0,-7579000.0,54758000.0,-77719000.0,-106812000.0,111000.0,0.0,29290000.0,-77830000.0,0.0,21843000.0,4176381000.0,370815000.0,0.0,242832000.0,164273000.0,166534000.0,1.04,227559000.0,173156000.0,1.05,173156000.0,613647000.0,173156000.0,0.0,4790028000.0,0.0,54403000.0,304160000.0,0.0,249402000.0,484848000.0,0.0438177027632504,0.115030688770682,3698053000.0,2.42796935486027,-0.036697247706422,0.128109272012606,29.1310986039352,4.06985946388546,0.128109272012606,22.4901287812051,5.0,0.245351907125186
6,2020,2,2019-08-31 00:00:00+00:00,628507000.0,141091000.0,2604750000.0,-91630000.0,14832769000.0,15298074000.0,0.0,40737000.0,1389000.0,13549333000.0,2307455000.0,13065959000.0,3611557000.0,465305000.0,20140254000.0,3437709000.0,66048000.0,16528697000.0,3384939000.0,15131993000.0,0.0,483374000.0,0.0,1396704000.0,165586114.0,16755315000.0,-168657000.0,342370000.0,0.0,-261033000.0,265672000.0,4258000.0,51962000.0,-92757000.0,-76698000.0,-381000.0,0.0,23862000.0,-92376000.0,0.0,21073000.0,4507698000.0,366700000.0,0.0,326753000.0,165354000.0,167272000.0,1.4,305537000.0,233599000.0,1.41,233599000.0,693453000.0,233599000.0,0.0,5201151000.0,0.0,71938000.0,378572000.0,0.0,326610000.0,480831000.0,0.0458992740869298,0.0912951751298512,3611557000.0,2.42351922812564,0.128,0.133326834771765,31.4105505247862,4.10702890747675,0.133326834771765,21.8107479712943,5.0,0.254959909292804
7,2020,1,2019-05-31 00:00:00+00:00,656902000.0,133879000.0,2551143000.0,-81206000.0,14486502000.0,14948666000.0,0.0,42197000.0,78200000.0,13256693000.0,2189522000.0,12777257000.0,3452755000.0,462164000.0,19714476000.0,3392972000.0,56708000.0,16261721000.0,3283745000.0,14776319000.0,0.0,479436000.0,0.0,1485402000.0,166187221.0,16430731000.0,43201000.0,259593000.0,0.0,-35767000.0,80883000.0,37973000.0,51506000.0,-86111000.0,-178710000.0,-7143000.0,0.0,45025000.0,-78968000.0,0.0,17784000.0,4623935000.0,373701000.0,0.0,368682000.0,166324000.0,167643000.0,1.59,351257000.0,266744000.0,1.6,266744000.0,742383000.0,266744000.0,0.0,5366318000.0,0.0,84513000.0,420547000.0,0.0,369041000.0,489660000.0,0.0464232165945877,0.119711003982814,3452755000.0,2.21067764820567,0.194029850746269,0.138341223908087,32.2907980993316,4.19563565906066,0.138341223908087,20.7762966323385,6.0,0.253660701446068
8,2019,4,2019-02-28 00:00:00+00:00,593171000.0,139850000.0,2519455000.0,-68010000.0,13776534000.0,14172884000.0,0.0,46938000.0,3784000.0,12869156000.0,2104146000.0,12428487000.0,3357028000.0,396350000.0,18717867000.0,2828058000.0,61346000.0,15360839000.0,3214013000.0,14049330000.0,0.0,440669000.0,0.0,1311509000.0,170087134.0,15503854000.0,48341000.0,307210000.0,0.0,-12972000.0,39204000.0,26029000.0,46638000.0,-61516000.0,-268006000.0,-203000.0,0.0,13608000.0,-61313000.0,0.0,20976000.0,3719224000.0,325262000.0,0.0,274116000.0,169588000.0,170568000.0,1.13,255829000.0,192556000.0,1.14,192556000.0,599378000.0,192556000.0,0.0,4318602000.0,0.0,63273000.0,323443000.0,0.0,276805000.0,428967000.0,0.0461296946962526,0.0573877300379166,3357028000.0,2.45062214594029,0.676470588235294,0.138789821335701,25.3905271870828,4.10378882749861,0.138789821335701,19.7371072170573,5.0,0.246715995437113
10,2019,3,2018-11-30 00:00:00+00:00,558324000.0,111156000.0,2424700000.0,-54137000.0,13494182000.0,13878993000.0,0.0,35049000.0,1634000.0,12725883000.0,2147391000.0,12299270000.0,3435113000.0,384811000.0,18396812000.0,2800051000.0,57893000.0,14961699000.0,3057419000.0,13736826000.0,0.0,426613000.0,0.0,1224873000.0,174621243.0,15339393000.0,3745000.0,283218000.0,0.0,-68340000.0,38473000.0,-29831000.0,45298000.0,-72049000.0,-244745000.0,36000.0,0.0,7169000.0,-72085000.0,0.0,18814000.0,3726634000.0,299795000.0,0.0,269442000.0,173816000.0,175321000.0,1.09,247808000.0,190311000.0,1.09,190311000.0,569237000.0,190311000.0,0.0,4295871000.0,0.0,57497000.0,311920000.0,0.0,266622000.0,409520000.0,0.0429990878324807,0.0459832525650612,3435113000.0,2.49611102538794,0.329268292682927,0.132507936108882,24.601079033666,3.92830803528152,0.132507936108882,19.6717933109662,5.0,0.226762230518039
11,2019,2,2018-08-31 00:00:00+00:00,605535000.0,104883000.0,2357355000.0,-54435000.0,13177321000.0,13589033000.0,0.0,37147000.0,0.0,12588097000.0,2182978000.0,12140455000.0,3482118000.0,411712000.0,18176505000.0,2766902000.0,56354000.0,14694387000.0,3022087000.0,13410926000.0,0.0,447642000.0,0.0,1283461000.0,176563978.0,15154418000.0,-119964000.0,320285000.0,0.0,-211110000.0,188438000.0,-22057000.0,44968000.0,-90531000.0,-131847000.0,615000.0,0.0,25236000.0,-91146000.0,0.0,17950000.0,4115399000.0,343887000.0,0.0,306749000.0,176284000.0,178200000.0,1.24,289485000.0,220890000.0,1.25,220890000.0,650636000.0,220890000.0,0.0,4766035000.0,0.0,68595000.0,352403000.0,0.0,307435000.0,453554000.0,0.0413183055915641,0.0864887476519614,3482118000.0,2.35463874632731,0.262626262626263,0.136515153581541,26.993246606621,3.78428330114028,0.136515153581541,19.7215651767882,5.0,0.216719527747154
