,year,quarter,date,statementData.balanceSheet.inventory,statementData.balanceSheet.deferredRev,statementData.balanceSheet.equity,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debt,statementData.balanceSheet.investments,statementData.balanceSheet.acctPay,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.taxLiabilities,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayEquity,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.incomeStatement.sga,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.intexp,statementData.incomeStatement.opex,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncComStock,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,3,2020-10-02 00:00:00+00:00,292000000.0,0.0,3706000000.0,7493000000.0,12285000000.0,5075000000.0,0.0,2279000000.0,3199000000.0,8570000000.0,-98000000.0,142193551.0,512000000.0,1872000000.0,3398000000.0,0.0,5172000000.0,1180000000.0,401000000.0,1158000000.0,4674000000.0,0.0,0.0,9086000000.0,0.0,216000000.0,0.0,-20000000.0,82000000.0,60000000.0,-15000000.0,0.0,15000000.0,592000000.0,9000000.0,572000000.0,-517000000.0,-477000000.0,0.0,-49000000.0,200000000.0,51000000.0,3242000000.0,0.0,44000000.0,207000000.0,0.0,0.0,163000000.0,142193551.0,2774000000.0,1.15,163000000.0,468000000.0,214000000.0,1.13,340000000.0,258000000.0,0.0,261000000.0,163000000.0,5.0,0.143562610229277,0.144355336212215,0.941436138905238,3715000000.0,0.144355336212215,22.7999088369345,0.0176991150442478,1.26119805720453,0.174707393662575,26.1263606814348,0.0546636000267959
1,2021,2,2020-07-03 00:00:00+00:00,294000000.0,0.0,3538000000.0,7526000000.0,12143000000.0,5531000000.0,0.0,2034000000.0,3052000000.0,8596000000.0,-127000000.0,142043769.0,588000000.0,1789000000.0,3429000000.0,0.0,5167000000.0,1065000000.0,854000000.0,1128000000.0,4677000000.0,0.0,0.0,9091000000.0,0.0,194000000.0,0.0,-46000000.0,71000000.0,117000000.0,-1014000000.0,-968000000.0,15000000.0,422000000.0,6000000.0,376000000.0,709000000.0,747000000.0,0.0,-48000000.0,195000000.0,38000000.0,2914000000.0,0.0,41000000.0,141000000.0,0.0,0.0,153000000.0,142043769.0,2531000000.0,1.08,154000000.0,383000000.0,191000000.0,1.06,303000000.0,232000000.0,1000000.0,242000000.0,153000000.0,4.0,0.0681818181818181,0.13143445435827,0.890055409740449,3547000000.0,0.13143445435827,20.5148034335811,0.148936170212766,1.32193329564726,0.180047225501771,24.9711763139712,0.0582227736947599
2,2021,1,2020-04-03 00:00:00+00:00,0.0,0.0,3355000000.0,6669000000.0,10988000000.0,4737000000.0,0.0,1966000000.0,2868000000.0,7629000000.0,-185000000.0,141402269.0,445000000.0,1793000000.0,4290000000.0,0.0,3339000000.0,961000000.0,1793000000.0,1029000000.0,2944000000.0,0.0,0.0,8120000000.0,0.0,176000000.0,0.0,-44000000.0,61000000.0,-152000000.0,-1685000000.0,-1642000000.0,15000000.0,372000000.0,-24000000.0,328000000.0,1161000000.0,1236000000.0,0.0,-51000000.0,197000000.0,15000000.0,2889000000.0,0.0,48000000.0,209000000.0,0.0,0.0,115000000.0,141402269.0,2494000000.0,0.81,115000000.0,395000000.0,130000000.0,0.8,239000000.0,178000000.0,0.0,186000000.0,115000000.0,6.0,0.121071012805588,0.136725510557286,0.668531468531468,3359000000.0,0.136725510557286,20.4310724320838,-0.376923076923077,0.877496274217586,0.177372317355866,23.7549229142851,0.0606773764453085
4,2019,4,2020-01-03 00:00:00+00:00,72000000.0,0.0,3413000000.0,5442000000.0,9367000000.0,3312000000.0,0.0,1837000000.0,2812000000.0,5950000000.0,-70000000.0,141563826.0,668000000.0,1734000000.0,2333000000.0,0.0,3617000000.0,896000000.0,61000000.0,687000000.0,3251000000.0,0.0,0.0,6555000000.0,0.0,184000000.0,0.0,-54000000.0,60000000.0,0.0,-54000000.0,-5000000.0,14000000.0,169000000.0,-17000000.0,115000000.0,-144000000.0,-30000000.0,5000000.0,-97000000.0,171000000.0,46000000.0,2954000000.0,0.0,34000000.0,168000000.0,0.0,0.0,181000000.0,141563826.0,2527000000.0,1.28,181000000.0,427000000.0,227000000.0,1.27,321000000.0,261000000.0,0.0,259000000.0,181000000.0,7.0,0.115980355119003,0.144549763033175,1.20531504500643,3417000000.0,0.144549763033175,20.8669127097483,0.0158730158730158,0.952534427190155,0.200420673076923,24.1375222509174,0.0712150330984412
5,2019,3,2019-09-27 00:00:00+00:00,0.0,0.0,3246000000.0,5460000000.0,9410000000.0,3311000000.0,0.0,2004000000.0,2924000000.0,6160000000.0,-108000000.0,143807816.0,635000000.0,1775000000.0,2527000000.0,0.0,3633000000.0,764000000.0,77000000.0,622000000.0,3234000000.0,0.0,0.0,6486000000.0,0.0,196000000.0,0.0,-21000000.0,59000000.0,43000000.0,-102000000.0,-82000000.0,13000000.0,349000000.0,-202000000.0,328000000.0,-204000000.0,-2000000.0,0.0,0.0,177000000.0,52000000.0,2835000000.0,0.0,28000000.0,142000000.0,0.0,0.0,161000000.0,143807816.0,2450000000.0,1.13,162000000.0,385000000.0,213000000.0,1.11,300000000.0,241000000.0,1000000.0,243000000.0,161000000.0,6.0,0.100970873786408,0.135802469135802,1.15710328452711,3250000000.0,0.135802469135802,19.713810270229,0.164948453608247,0.99630314232902,0.20413417127281,22.5996061298921,0.0731277294057016
6,2019,2,2019-06-28 00:00:00+00:00,0.0,0.0,3359000000.0,5432000000.0,9327000000.0,3304000000.0,0.0,1710000000.0,2914000000.0,5965000000.0,-73000000.0,144212482.0,660000000.0,1842000000.0,2246000000.0,0.0,3719000000.0,652000000.0,65000000.0,599000000.0,3239000000.0,0.0,0.0,6413000000.0,0.0,185000000.0,0.0,-16000000.0,57000000.0,106000000.0,-16000000.0,0.0,13000000.0,186000000.0,0.0,170000000.0,-64000000.0,-17000000.0,0.0,-47000000.0,175000000.0,41000000.0,2728000000.0,0.0,33000000.0,176000000.0,0.0,0.0,136000000.0,144212482.0,2348000000.0,0.94,138000000.0,380000000.0,177000000.0,0.93,267000000.0,210000000.0,2000000.0,204000000.0,136000000.0,6.0,0.0786872281534203,0.139296187683284,1.29741763134461,3362000000.0,0.139296187683284,18.916531788143,-0.0105263157894737,0.964275081869604,0.196794632873649,23.3128225336278,0.0725972776020899
7,2019,1,2019-03-29 00:00:00+00:00,0.0,0.0,3294000000.0,5484000000.0,9360000000.0,3337000000.0,0.0,1893000000.0,2860000000.0,6063000000.0,-35000000.0,146160889.0,536000000.0,1894000000.0,2322000000.0,0.0,3741000000.0,562000000.0,66000000.0,626000000.0,3271000000.0,0.0,0.0,6500000000.0,0.0,194000000.0,0.0,66000000.0,58000000.0,228000000.0,237000000.0,171000000.0,12000000.0,288000000.0,-212000000.0,354000000.0,-297000000.0,-31000000.0,0.0,-54000000.0,166000000.0,57000000.0,2577000000.0,0.0,38000000.0,168000000.0,0.0,0.0,189000000.0,146160889.0,2221000000.0,1.3,189000000.0,356000000.0,246000000.0,1.29,342000000.0,284000000.0,0.0,188000000.0,189000000.0,5.0,0.0548505935325418,0.13814512999612,1.23169681309216,3297000000.0,0.13814512999612,17.6312556500665,0.940298507462687,0.993017607771706,0.19833729216152,22.5573340621922,0.0746201966041108
8,2018,4,2018-12-28 00:00:00+00:00,0.0,0.0,3308000000.0,5512000000.0,8770000000.0,3124000000.0,0.0,1491000000.0,2839000000.0,5459000000.0,-30000000.0,149760061.0,327000000.0,1877000000.0,2059000000.0,0.0,3400000000.0,372000000.0,72000000.0,237000000.0,3052000000.0,0.0,0.0,5931000000.0,0.0,170000000.0,0.0,-20000000.0,64000000.0,0.0,-20000000.0,0.0,11000000.0,104000000.0,-255000000.0,84000000.0,-290000000.0,20000000.0,0.0,-47000000.0,182000000.0,-38000000.0,2647000000.0,0.0,34000000.0,187000000.0,0.0,0.0,188000000.0,149760061.0,2278000000.0,1.26,188000000.0,369000000.0,150000000.0,1.25,248000000.0,184000000.0,0.0,182000000.0,188000000.0,7.0,0.0520667726550079,0.139403097846619,1.37882467217096,3311000000.0,0.139403097846619,17.674939381869,0.702702702702703,0.92261185006046,0.170769343816592,22.1086982596782,0.0657221232431209
10,2018,3,2018-09-28 00:00:00+00:00,456000000.0,0.0,3454000000.0,5583000000.0,8908000000.0,3041000000.0,0.0,1590000000.0,2881000000.0,5451000000.0,13000000.0,150485383.0,515000000.0,1812000000.0,2093000000.0,0.0,3358000000.0,231000000.0,56000000.0,230000000.0,2985000000.0,0.0,0.0,6027000000.0,0.0,234000000.0,0.0,-25000000.0,64000000.0,252000000.0,15000000.0,0.0,10000000.0,371000000.0,-61000000.0,346000000.0,-134000000.0,-21000000.0,40000000.0,-48000000.0,194000000.0,23000000.0,2575000000.0,0.0,35000000.0,202000000.0,0.0,0.0,147000000.0,150485383.0,2174000000.0,0.97,147000000.0,401000000.0,170000000.0,0.96,269000000.0,205000000.0,0.0,199000000.0,147000000.0,9.0,0.0287654814222933,0.155728155339806,1.37649307214525,3457000000.0,0.155728155339806,17.1112964506327,0.796296296296296,0.864215402431963,0.148343208251042,22.9723308077038,0.0569967117281695
11,2018,2,2018-06-29 00:00:00+00:00,458000000.0,0.0,3416000000.0,5636000000.0,8770000000.0,3061000000.0,0.0,1461000000.0,2639000000.0,5352000000.0,23000000.0,151785398.0,303000000.0,1779000000.0,2015000000.0,0.0,3337000000.0,133000000.0,71000000.0,221000000.0,2990000000.0,0.0,0.0,6131000000.0,0.0,214000000.0,0.0,-13000000.0,66000000.0,66000000.0,-13000000.0,0.0,12000000.0,271000000.0,-90000000.0,258000000.0,-192000000.0,-27000000.0,0.0,-51000000.0,174000000.0,20000000.0,2529000000.0,0.0,35000000.0,182000000.0,0.0,0.0,144000000.0,151785398.0,2152000000.0,0.95,145000000.0,377000000.0,164000000.0,0.94,265000000.0,199000000.0,1000000.0,195000000.0,144000000.0,8.0,-0.0163360560093349,0.149070778964017,1.30967741935484,3418000000.0,0.149070778964017,16.661681777848,0.461538461538461,0.875292740046838,0.130856339279106,22.5186351588313,0.0496685020788853
