,year,quarter,date,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.taxAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.ppeq,statementData.balanceSheet.investments,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.debt,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.taxExp,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebitda,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.overview.bookVal,statementData.overview.roa,statementData.overview.longTermDebtEquity,statementData.overview.piotroskiFScore,statementData.overview.currentRatio,statementData.overview.roe,statementData.overview.grossMargin,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.bvps
0,2020,3,2020-09-30 00:00:00+00:00,5844000000.0,1733000000.0,1714000000.0,0.0,0.0,87209000000.0,23825000000.0,0.0,4033000000.0,0.0,5199000000.0,74944000000.0,525360032.0,11959000000.0,-5973000000.0,12265000000.0,38617000000.0,46175000000.0,16927000000.0,27945000000.0,0.0,0.0,2903000000.0,42970000000.0,14792000000.0,17803000000.0,-188000000.0,-787000000.0,1884000000.0,29000000.0,55000000.0,-732000000.0,1168000000.0,39000000.0,-933000000.0,258000000.0,0.0,1097000000.0,-186000000.0,-506000000.0,0.0,265000000.0,700000000.0,6855000000.0,770000000.0,965000000.0,36000000.0,700000000.0,1003000000.0,31000000.0,530415000.0,998000000.0,3020000000.0,1.33,0.0,525694000.0,2171000000.0,38000000.0,3835000000.0,731000000.0,2022000000.0,1.32,48592000000.0,0.0260662818344059,0.258992961559285,5.0,0.829164413196322,0.0483288604347873,0.440554339897885,-0.0220588235294118,13.0481947282963,-0.0207142857142857,0.440554339897885,92.4927612308353
1,2020,2,2020-06-30 00:00:00+00:00,6402000000.0,1715000000.0,1693000000.0,0.0,0.0,85856000000.0,22824000000.0,0.0,3994000000.0,0.0,4941000000.0,73783000000.0,525185319.0,11078000000.0,-6621000000.0,12073000000.0,37919000000.0,45537000000.0,16782000000.0,27693000000.0,0.0,0.0,2816000000.0,42084000000.0,15095000000.0,17480000000.0,411000000.0,-783000000.0,1764000000.0,32000000.0,149000000.0,-634000000.0,1124000000.0,1000000.0,-204000000.0,927000000.0,0.0,981000000.0,12000000.0,-506000000.0,0.0,164000000.0,458000000.0,6377000000.0,760000000.0,622000000.0,34000000.0,458000000.0,640000000.0,25000000.0,529054000.0,591000000.0,2758000000.0,0.87,0.0,525510000.0,1764000000.0,18000000.0,3619000000.0,483000000.0,2167000000.0,0.87,47937000000.0,0.0266915960156023,0.243274699694754,6.0,0.799801258694932,0.0483593501115005,0.432491767288694,-0.103092783505155,12.1423805451043,-0.114797334813992,0.432491767288694,91.2763519195021
2,2020,1,2020-03-31 00:00:00+00:00,6854000000.0,1689000000.0,1854000000.0,0.0,0.0,84369000000.0,21636000000.0,0.0,4084000000.0,0.0,4014000000.0,72856000000.0,532959736.0,10021000000.0,-7388000000.0,11513000000.0,37126000000.0,44776000000.0,16850000000.0,27418000000.0,0.0,0.0,2965000000.0,41412000000.0,15490000000.0,16875000000.0,3112000000.0,-803000000.0,1347000000.0,43000000.0,190000000.0,-613000000.0,1142000000.0,-179000000.0,759000000.0,1314000000.0,0.0,544000000.0,-1815000000.0,-511000000.0,0.0,165000000.0,573000000.0,6739000000.0,861000000.0,738000000.0,44000000.0,573000000.0,762000000.0,35000000.0,534956000.0,718000000.0,2896000000.0,1.07,0.0,531215000.0,1904000000.0,24000000.0,3843000000.0,608000000.0,2178000000.0,1.07,47243000000.0,0.0273350381242629,0.223802930141147,6.0,0.743253712072305,0.0484260499464748,0.429737349755157,0.126315789473684,12.6444823966965,-0.0295218894009217,0.429737349755157,88.6427187812927
3,2019,4,2019-12-31 00:00:00+00:00,3263000000.0,1697000000.0,1758000000.0,0.0,0.0,86612000000.0,22817000000.0,0.0,4322000000.0,0.0,2700000000.0,76260000000.0,537175977.0,10693000000.0,-4814000000.0,10352000000.0,34977000000.0,49074000000.0,16842000000.0,29064000000.0,0.0,0.0,3266000000.0,43156000000.0,12160000000.0,13956000000.0,484000000.0,-1015000000.0,2174000000.0,31000000.0,72000000.0,-943000000.0,1162000000.0,49000000.0,-700000000.0,581000000.0,0.0,1159000000.0,-712000000.0,-469000000.0,0.0,162000000.0,511000000.0,7080000000.0,844000000.0,673000000.0,49000000.0,511000000.0,681000000.0,27000000.0,541159000.0,626000000.0,2893000000.0,0.95,0.0,536609000.0,1843000000.0,8000000.0,4187000000.0,538000000.0,2267000000.0,0.94,51635000000.0,0.0261265278587681,0.217895423238375,7.0,0.851315789473684,0.0457535316320095,0.40861581920904,-0.886769964243147,13.1800383917764,0.220479227719359,0.40861581920904,96.1230624801377
5,2019,3,2019-09-30 00:00:00+00:00,2634000000.0,1653000000.0,1597000000.0,0.0,0.0,84394000000.0,22203000000.0,0.0,4238000000.0,0.0,2120000000.0,74582000000.0,540591490.0,10567000000.0,-5600000000.0,9812000000.0,33086000000.0,48953000000.0,16810000000.0,28460000000.0,0.0,0.0,3071000000.0,42097000000.0,10883000000.0,13201000000.0,-467000000.0,-959000000.0,1872000000.0,26000000.0,250000000.0,-709000000.0,1095000000.0,-77000000.0,-1652000000.0,-569000000.0,0.0,913000000.0,-679000000.0,-471000000.0,0.0,298000000.0,735000000.0,7000000000.0,850000000.0,1033000000.0,44000000.0,735000000.0,1030000000.0,3000000.0,543616000.0,825000000.0,2939000000.0,1.36,0.0,539753000.0,2125000000.0,-3000000.0,4061000000.0,738000000.0,2114000000.0,1.35,51308000000.0,0.0533019264742997,0.215860110718444,7.0,0.901589635210879,0.0939650399430515,0.419857142857143,-0.15,12.9487794933657,1.32712765957447,0.419857142857143,94.9108540350866
6,2019,2,2019-06-30 00:00:00+00:00,1702000000.0,1708000000.0,1682000000.0,0.0,0.0,87189000000.0,23774000000.0,0.0,4483000000.0,0.0,2686000000.0,76508000000.0,542766214.0,12255000000.0,-4377000000.0,10681000000.0,34295000000.0,50564000000.0,16555000000.0,29540000000.0,0.0,0.0,3358000000.0,42751000000.0,10521000000.0,13957000000.0,-250000000.0,-865000000.0,1005000000.0,22000000.0,1246000000.0,381000000.0,1195000000.0,-57000000.0,-4434000000.0,-3099000000.0,0.0,140000000.0,-498000000.0,-474000000.0,0.0,169000000.0,522000000.0,7204000000.0,884000000.0,691000000.0,45000000.0,522000000.0,701000000.0,29000000.0,546488000.0,659000000.0,2924000000.0,0.97,0.0,542561000.0,1896000000.0,10000000.0,4280000000.0,551000000.0,2265000000.0,0.96,52894000000.0,0.0657985292880543,0.242366110276086,6.0,1.01520767987834,0.116824617808033,0.4058856191005,-0.41566265060241,13.2727495083178,1.36662286465177,0.4058856191005,97.4526391578235
7,2019,1,2019-03-31 00:00:00+00:00,1956000000.0,1667000000.0,1719000000.0,0.0,0.0,91641000000.0,23854000000.0,0.0,4390000000.0,0.0,5791000000.0,76553000000.0,544910125.0,12190000000.0,-4235000000.0,15088000000.0,34994000000.0,51175000000.0,16569000000.0,29418000000.0,0.0,0.0,3166000000.0,42764000000.0,11140000000.0,14146000000.0,-1027000000.0,-843000000.0,1068000000.0,16000000.0,3303000000.0,2460000000.0,1223000000.0,8000000.0,-2211000000.0,1335000000.0,0.0,225000000.0,-697000000.0,-477000000.0,0.0,140000000.0,517000000.0,6944000000.0,879000000.0,657000000.0,46000000.0,517000000.0,680000000.0,37000000.0,549147000.0,591000000.0,2828000000.0,0.95,0.0,545554000.0,1903000000.0,23000000.0,4116000000.0,554000000.0,2237000000.0,0.94,56647000000.0,0.0863572948323132,0.238202247191011,7.0,1.35439856373429,0.163121446574759,0.407258064516129,-0.409937888198758,12.7433858932241,1.32785786121354,0.407258064516129,103.956592841801
8,2018,4,2018-12-31 00:00:00+00:00,3008000000.0,1651000000.0,9157000000.0,0.0,0.0,93386000000.0,23334000000.0,1838000000.0,4297000000.0,0.0,4466000000.0,76114000000.0,551054569.0,12288000000.0,-4456000000.0,17272000000.0,36290000000.0,51596000000.0,16529000000.0,29717000000.0,1838000000.0,657000000.0,3219000000.0,43097000000.0,12956000000.0,15296000000.0,-2283000000.0,-827000000.0,1305000000.0,22000000.0,7175000000.0,6348000000.0,902000000.0,19000000.0,-3696000000.0,4003000000.0,0.0,478000000.0,-590000000.0,-454000000.0,0.0,355000000.0,2978000000.0,5801000000.0,718000000.0,3333000000.0,42000000.0,2978000000.0,3405000000.0,-24000000.0,334127000.0,-51000000.0,1846000000.0,8.39,0.0,330401000.0,4307000000.0,72000000.0,3955000000.0,2954000000.0,1897000000.0,8.29,57096000000.0,0.0863572948323132,0.238157996743934,7.0,1.33312750849027,0.163121446574759,0.318220996379935,-1.72141014617369,10.5270881076752,1.32785786121354,0.318220996379935,103.612243164252
10,2018,3,2018-09-30 00:00:00+00:00,13916212.0,0.0,0.0,0.0,0.0,8929551.0,23334000000.0,0.0,0.0,0.0,104942.0,0.0,551054569.0,12288000000.0,132535.0,8929551.0,20081067.0,-11151516.0,-11279685.0,0.0,0.0,0.0,0.0,0.0,12956000000.0,13916212.0,-133000000.0,-380000000.0,871000000.0,19000000.0,2000000.0,-378000000.0,306000000.0,-15000000.0,-357000000.0,121000000.0,0.0,491000000.0,25000000.0,-238000000.0,0.0,156000000.0,461000000.0,3008000000.0,294000000.0,617000000.0,23000000.0,461000000.0,657000000.0,19000000.0,291973000.0,656000000.0,1310000000.0,1.6,0.0,288092000.0,963000000.0,40000000.0,1698000000.0,480000000.0,654000000.0,1.58,-11151516.0,0.0863572948323132,0.238157996743934,7.0,1.33312750849027,0.163121446574759,0.435505319148936,-1.72141014617369,5.4586245522991,1.32785786121354,0.435505319148936,-0.0202366818593605
11,2018,2,2018-06-30 00:00:00+00:00,13916212.0,0.0,0.0,0.0,0.0,8929551.0,23334000000.0,0.0,0.0,0.0,104942.0,0.0,551054569.0,12288000000.0,132535.0,8929551.0,20081067.0,-11151516.0,-11279685.0,0.0,0.0,0.0,0.0,0.0,12956000000.0,13916212.0,-277000000.0,-351000000.0,790000000.0,17000000.0,62000000.0,-289000000.0,311000000.0,-51000000.0,-516000000.0,-66000000.0,0.0,439000000.0,14000000.0,-237000000.0,0.0,158000000.0,480000000.0,3044000000.0,307000000.0,638000000.0,24000000.0,480000000.0,682000000.0,19000000.0,291043000.0,672000000.0,1338000000.0,1.66,0.0,287804000.0,993000000.0,44000000.0,1706000000.0,499000000.0,666000000.0,1.65,-11151516.0,0.0863572948323132,0.238157996743934,7.0,1.33312750849027,0.163121446574759,0.439553219448095,-1.72141014617369,5.4586245522991,1.32785786121354,0.439553219448095,-0.0202366818593605
