,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-27 00:00:00+00:00,15201000000.0,1491000000.0,45787000000.0,0.0,3585000000.0,1000000000.0,50773000000.0,3293000000.0,3198000000.0,19844000000.0,30586000000.0,30483000000.0,279542050.0,0.0,2480000000.0,0.0,13602000000.0,6803000000.0,12675000000.0,11675000000.0,0.0,-15259000000.0,20290000000.0,0.0,4953000000.0,0.0,-672000000.0,-408000000.0,730000000.0,-85000000.0,1880000000.0,0.0,67000000.0,-765000000.0,1472000000.0,-385000000.0,0.0,0.0,319000000.0,0.0,0.0,0.0,55000000.0,16495000000.0,2001000000.0,145000000.0,1698000000.0,1698000000.0,0.0,6.08,2146000000.0,303000000.0,2136000000.0,0.0,6.05,2465000000.0,1698000000.0,2136000000.0,14359000000.0,279542050.0,0.0,8.0,0.0872717685057016,0.129493785995756,1.33478060653904,4986000000.0,0.129493785995756,59.0072227058505,0.0666666666666667,2.35715727841712,1.71211625319107,17.8363147869882,0.132669209543905
1,2020,2,2020-06-28 00:00:00+00:00,14888000000.0,1453000000.0,45817000000.0,0.0,2855000000.0,500000000.0,49603000000.0,3521000000.0,3127000000.0,18876000000.0,30929000000.0,30033000000.0,280435314.0,0.0,2835000000.0,0.0,13656000000.0,6663000000.0,12674000000.0,12174000000.0,0.0,-15403000000.0,19570000000.0,0.0,3751000000.0,0.0,-671000000.0,-343000000.0,867000000.0,-259000000.0,2182000000.0,0.0,73000000.0,-978000000.0,1839000000.0,-337000000.0,0.0,-19000000.0,307000000.0,0.0,0.0,0.0,0.0,16220000000.0,1962000000.0,149000000.0,1626000000.0,1626000000.0,0.0,5.81,2111000000.0,336000000.0,2213000000.0,0.0,5.79,2418000000.0,1626000000.0,2213000000.0,14007000000.0,280435314.0,0.0,9.0,0.124280862272129,0.136436498150432,1.3144814615798,3786000000.0,0.136436498150432,57.838650092406,0.15506958250497,3.2455345241269,1.81444749243863,13.500439534516,0.131844991668967
2,2020,1,2020-03-29 00:00:00+00:00,15652000000.0,3166000000.0,45761000000.0,0.0,1988000000.0,1250000000.0,49248000000.0,3539000000.0,3164000000.0,18708000000.0,30109000000.0,30026000000.0,281937366.0,0.0,2892000000.0,0.0,13707000000.0,6605000000.0,12689000000.0,11439000000.0,0.0,-15541000000.0,19222000000.0,0.0,3446000000.0,0.0,-693000000.0,-293000000.0,474000000.0,-756000000.0,2314000000.0,0.0,42000000.0,-1545000000.0,2021000000.0,-295000000.0,0.0,0.0,301000000.0,0.0,0.0,0.0,0.0,15651000000.0,2030000000.0,148000000.0,1717000000.0,1717000000.0,0.0,6.1,2178000000.0,313000000.0,2091000000.0,0.0,6.08,2479000000.0,1717000000.0,2091000000.0,13560000000.0,281937366.0,0.0,6.0,0.0917271205357142,0.133601686793176,1.22808586762075,3487000000.0,0.133601686793176,55.5123296427477,0.0116086235489219,3.31950087057458,1.87533793932112,12.3679952376373,0.128794013131089
3,2019,4,2019-12-31 00:00:00+00:00,13972000000.0,1281000000.0,44357000000.0,0.0,1514000000.0,1250000000.0,47528000000.0,3619000000.0,3319000000.0,18401000000.0,30385000000.0,30433000000.0,282071418.0,0.0,2337000000.0,0.0,13817000000.0,6591000000.0,12654000000.0,11404000000.0,0.0,-15554000000.0,17095000000.0,0.0,3127000000.0,0.0,-675000000.0,-643000000.0,-1025000000.0,-490000000.0,1490000000.0,0.0,31000000.0,-2077000000.0,847000000.0,-438000000.0,0.0,-900000000.0,322000000.0,0.0,0.0,0.0,0.0,15878000000.0,1832000000.0,157000000.0,1498000000.0,1498000000.0,0.0,5.32,1989000000.0,334000000.0,2123000000.0,0.0,5.29,2311000000.0,1498000000.0,2123000000.0,13755000000.0,282071418.0,0.0,7.0,0.101797238220803,0.133707015996977,1.22351846550243,3171000000.0,0.133707015996977,56.290708617631,0.200902934537246,3.64694595458906,2.02026753141467,11.2418337968578,0.129570991072496
5,2019,3,2019-09-29 00:00:00+00:00,15515000000.0,2904000000.0,45338000000.0,0.0,2539000000.0,900000000.0,49275000000.0,3474000000.0,2912000000.0,17265000000.0,29823000000.0,29472000000.0,282397501.0,0.0,2384000000.0,0.0,14040000000.0,6240000000.0,13552000000.0,12652000000.0,0.0,-13653000000.0,19803000000.0,0.0,3893000000.0,0.0,-621000000.0,-308000000.0,1372000000.0,-210000000.0,2490000000.0,0.0,54000000.0,-823000000.0,2182000000.0,-295000000.0,0.0,0.0,302000000.0,0.0,0.0,0.0,0.0,15171000000.0,1781000000.0,162000000.0,1608000000.0,1608000000.0,0.0,5.7,1943000000.0,173000000.0,2063000000.0,0.0,5.66,2245000000.0,1608000000.0,2063000000.0,13108000000.0,282397501.0,0.0,9.0,0.0595753596871071,0.135983125700349,1.27637769900097,3937000000.0,0.135983125700349,53.7221467834448,0.1003861003861,3.24993578217313,2.25806451612903,13.9413414993357,0.126215895610913
6,2019,2,2019-06-30 00:00:00+00:00,15132000000.0,2611000000.0,44944000000.0,0.0,1167000000.0,900000000.0,47840000000.0,3599000000.0,3163000000.0,16408000000.0,29812000000.0,29740000000.0,282538809.0,0.0,2546000000.0,0.0,14126000000.0,6170000000.0,13537000000.0,12637000000.0,0.0,-13839000000.0,18100000000.0,0.0,2850000000.0,0.0,-622000000.0,-249000000.0,176000000.0,-219000000.0,1668000000.0,0.0,67000000.0,-1241000000.0,1419000000.0,-251000000.0,0.0,-400000000.0,288000000.0,0.0,0.0,0.0,0.0,14427000000.0,1683000000.0,163000000.0,1420000000.0,1420000000.0,0.0,5.03,1846000000.0,263000000.0,1993000000.0,0.0,5.0,2134000000.0,1420000000.0,1993000000.0,12434000000.0,282538809.0,0.0,8.0,0.0768025078369905,0.138143758231094,1.19614062913032,2896000000.0,0.138143758231094,51.062011803129,0.232843137254902,4.4340350877193,3.05802404600105,10.2499193305512,0.125877511498427
7,2019,1,2019-03-31 00:00:00+00:00,15403000000.0,3097000000.0,45162000000.0,0.0,991000000.0,1300000000.0,47684000000.0,3285000000.0,3169000000.0,16278000000.0,29759000000.0,29653000000.0,282562534.0,0.0,2833000000.0,0.0,14194000000.0,6140000000.0,13921000000.0,12621000000.0,0.0,-14094000000.0,18031000000.0,0.0,2465000000.0,0.0,-638000000.0,-284000000.0,219000000.0,-281000000.0,1663000000.0,0.0,37000000.0,-1187000000.0,1379000000.0,-257000000.0,0.0,-200000000.0,277000000.0,0.0,0.0,0.0,0.0,14336000000.0,1945000000.0,171000000.0,1704000000.0,1704000000.0,0.0,6.03,2116000000.0,241000000.0,2188000000.0,0.0,5.99,2393000000.0,1704000000.0,2188000000.0,12148000000.0,282562534.0,0.0,7.0,0.232144391920928,0.152622767857143,1.17061611374408,2522000000.0,0.152622767857143,50.7356718424673,0.488888888888889,5.12008113590264,4.28746646224607,8.92545789527779,0.122131237034611
8,2018,4,2018-12-31 00:00:00+00:00,14398000000.0,2402000000.0,43427000000.0,0.0,772000000.0,1500000000.0,44876000000.0,2997000000.0,3208000000.0,15434000000.0,29029000000.0,28773000000.0,284425688.0,0.0,2444000000.0,0.0,14263000000.0,6124000000.0,14104000000.0,12604000000.0,0.0,-14321000000.0,16103000000.0,0.0,1394000000.0,0.0,-622000000.0,-459000000.0,-125000000.0,-666000000.0,2217000000.0,0.0,25000000.0,-1940000000.0,1758000000.0,-402000000.0,0.0,-640000000.0,304000000.0,0.0,0.0,0.0,0.0,14411000000.0,1483000000.0,171000000.0,1253000000.0,1253000000.0,0.0,4.43,1654000000.0,230000000.0,1942000000.0,0.0,4.38,1958000000.0,1253000000.0,1942000000.0,12469000000.0,284425688.0,0.0,7.0,0.040956370991043,0.134758170841718,1.11841922489235,1449000000.0,0.134758170841718,50.6670128894968,-2.73046875,9.0416068866571,8.0736,5.09447655796828,0.110821940372262
10,2018,3,2018-09-30 00:00:00+00:00,15204000000.0,2691000000.0,44493000000.0,0.0,897000000.0,1240000000.0,45495000000.0,3050000000.0,3036000000.0,14737000000.0,29289000000.0,28636000000.0,284781066.0,0.0,2416000000.0,0.0,14358000000.0,5902000000.0,14726000000.0,13486000000.0,0.0,-14077000000.0,16859000000.0,0.0,943000000.0,0.0,-569000000.0,-339000000.0,-284000000.0,-216000000.0,361000000.0,0.0,50000000.0,-301000000.0,22000000.0,-344000000.0,0.0,490000000.0,291000000.0,0.0,0.0,0.0,0.0,14318000000.0,1575000000.0,177000000.0,1473000000.0,1473000000.0,0.0,5.18,1752000000.0,102000000.0,1921000000.0,0.0,5.14,2043000000.0,1473000000.0,1921000000.0,12397000000.0,284781066.0,0.0,6.0,0.16019771493396,0.134166783070261,1.10885293343857,1002000000.0,0.134166783070261,50.2772189215697,0.546268656716418,14.3011664899258,47.640625,3.51849234246493,0.0663280289763643
11,2018,2,2018-06-24 00:00:00+00:00,13881000000.0,2675000000.0,44646000000.0,0.0,1181000000.0,750000000.0,45125000000.0,3038000000.0,3051000000.0,14528000000.0,30765000000.0,28621000000.0,285529483.0,0.0,2482000000.0,0.0,14427000000.0,5786000000.0,14229000000.0,13479000000.0,0.0,-14395000000.0,16504000000.0,0.0,416000000.0,0.0,-570000000.0,-264000000.0,-1212000000.0,-310000000.0,-72000000.0,0.0,60000000.0,-897000000.0,-336000000.0,-243000000.0,0.0,0.0,287000000.0,0.0,0.0,0.0,0.0,13398000000.0,1420000000.0,165000000.0,1163000000.0,1163000000.0,0.0,4.08,1585000000.0,257000000.0,1753000000.0,0.0,4.05,1872000000.0,1163000000.0,1753000000.0,11645000000.0,285529483.0,0.0,4.0,0.0664650163177585,0.130840423943872,1.18896333117211,479000000.0,0.130840423943872,46.9233504688551,0.232628398791541,32.4014423076923,7.19773210489015,1.67758507796549,0.0542159348725477
