,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,17142000000.0,13840000000.0,17202000000.0,28000000.0,14887000000.0,1112000000.0,72000000.0,34000000.0,0.0,382000000.0,-38000000.0,2958000000.0,0.0,0.0,327000000.0,20982000000.0,18024000000.0,2255000000.0,0.0,320000000.0,13912000000.0,70000000.0,0.0,2398000000.0,763803327.0,3199000000.0,5000000.0,-670000000.0,-376000000.0,-294000000.0,8000000.0,4000000.0,292000000.0,0.0,28000000.0,0.0,0.0,-634000000.0,-376000000.0,24000000.0,764000000.0,-153000000.0,-445000000.0,-0.74,668000000.0,83000000.0,-0.74,-582000000.0,-166000000.0,-585000000.0,-17000000.0,-565000000.0,137000000.0,764000000.0,-731000000.0,503000000.0,296000000.0,586000000.0,-565000000.0,0.0,0.0,0.0,2.0,-0.819692307692308,0.141638225255973,1.31175166297118,3840000000.0,0.141638225255973,0.767213206967348,-2.07246376811594,4.32635198499531,-0.182464597770413,5.02747220947887,-0.0347874039267948
1,2020-06-30 00:00:00+00:00,2,2020,17170000000.0,13767000000.0,17103000000.0,32000000.0,14795000000.0,1677000000.0,71000000.0,37000000.0,0.0,567000000.0,-74000000.0,3772000000.0,0.0,0.0,308000000.0,21695000000.0,17923000000.0,2375000000.0,0.0,400000000.0,13838000000.0,64000000.0,0.0,3032000000.0,763729715.0,3720000000.0,5000000.0,-1034000000.0,-382000000.0,-652000000.0,-13000000.0,2000000.0,285000000.0,0.0,1461000000.0,0.0,0.0,414000000.0,-382000000.0,1459000000.0,764000000.0,-471000000.0,-756000000.0,-1.07,631000000.0,-274000000.0,-1.07,-874000000.0,-165000000.0,-905000000.0,-54000000.0,-820000000.0,118000000.0,764000000.0,-985000000.0,372000000.0,315000000.0,98000000.0,-820000000.0,0.0,0.0,0.0,3.0,-0.970605878824235,-2.79591836734694,1.58821052631579,4525000000.0,-2.79591836734694,0.12831764703564,-1.86290322580645,3.7008064516129,0.0727272727272727,5.92487094730889,0.0154145194828677
2,2020-03-31 00:00:00+00:00,1,2020,15710000000.0,12253000000.0,16875000000.0,36000000.0,13291000000.0,2497000000.0,69000000.0,36000000.0,0.0,653000000.0,-119000000.0,3493000000.0,0.0,0.0,279000000.0,21167000000.0,17674000000.0,2419000000.0,0.0,441000000.0,12322000000.0,82000000.0,0.0,2618000000.0,763684915.0,4489000000.0,7000000.0,-689000000.0,-319000000.0,-370000000.0,-21000000.0,16000000.0,290000000.0,0.0,-914000000.0,0.0,-911000000.0,-1624000000.0,-319000000.0,-19000000.0,764000000.0,445000000.0,155000000.0,0.0,698000000.0,771000000.0,0.0,24000000.0,-50000000.0,73000000.0,25000000.0,-1000000.0,131000000.0,764000000.0,-51000000.0,1011000000.0,378000000.0,1782000000.0,-1000000.0,0.0,0.0,0.0,2.0,-0.511245200219419,0.432659932659933,1.44398511781728,5457000000.0,0.432659932659933,2.33342307147706,-1.0,2.7295611494765,0.410779315367808,7.14561711618986,0.0946446351259132
3,2019-12-31 00:00:00+00:00,4,2019,16692000000.0,12422000000.0,17116000000.0,42000000.0,13468000000.0,3101000000.0,70000000.0,37000000.0,0.0,844000000.0,-3000000.0,5305000000.0,0.0,0.0,282000000.0,23199000000.0,17894000000.0,3224000000.0,0.0,458000000.0,12492000000.0,149000000.0,0.0,4242000000.0,768036535.0,5187000000.0,9000000.0,786000000.0,-455000000.0,1242000000.0,23000000.0,-290000000.0,291000000.0,1000000.0,-400000000.0,0.0,-587000000.0,410000000.0,-456000000.0,477000000.0,768000000.0,1119000000.0,828000000.0,0.82,858000000.0,1792000000.0,0.82,694000000.0,154000000.0,934000000.0,65000000.0,629000000.0,134000000.0,768000000.0,783000000.0,1717000000.0,444000000.0,3509000000.0,629000000.0,0.0,0.0,0.0,7.0,0.00978417266187059,0.510686805357652,1.64547146401985,6507000000.0,0.510686805357652,4.56879307180354,-4.90476190476191,2.3948332369385,0.498913596227636,8.47225321123558,0.119205151712635
5,2019-09-30 00:00:00+00:00,3,2019,15912000000.0,11877000000.0,16829000000.0,45000000.0,12908000000.0,3059000000.0,66000000.0,33000000.0,0.0,757000000.0,-74000000.0,4808000000.0,0.0,0.0,288000000.0,22427000000.0,17619000000.0,3004000000.0,0.0,413000000.0,11943000000.0,170000000.0,0.0,3832000000.0,769788544.0,5359000000.0,8000000.0,597000000.0,-303000000.0,900000000.0,-15000000.0,-95000000.0,284000000.0,0.0,-781000000.0,0.0,-592000000.0,-199000000.0,-303000000.0,-94000000.0,769000000.0,1036000000.0,752000000.0,0.69,745000000.0,1648000000.0,0.69,615000000.0,136000000.0,903000000.0,82000000.0,533000000.0,137000000.0,769000000.0,669000000.0,1602000000.0,423000000.0,3250000000.0,533000000.0,0.0,0.0,0.0,5.0,-0.0361803084223014,0.507076923076923,1.60053262316911,6515000000.0,0.507076923076923,4.22193864189281,-0.0547945205479452,2.21627169247994,0.343275488069414,8.4633631544405,0.0845117433050367
6,2019-06-30 00:00:00+00:00,2,2019,16012000000.0,11909000000.0,16879000000.0,51000000.0,12981000000.0,3118000000.0,116000000.0,33000000.0,0.0,767000000.0,-19000000.0,4957000000.0,0.0,0.0,301000000.0,22594000000.0,17637000000.0,3031000000.0,0.0,439000000.0,12025000000.0,138000000.0,0.0,4031000000.0,772804476.0,5560000000.0,9000000.0,-136000000.0,895000000.0,76000000.0,10000000.0,-155000000.0,289000000.0,1160000000.0,-1098000000.0,0.0,-918000000.0,-117000000.0,-212000000.0,-25000000.0,772000000.0,1622000000.0,1333000000.0,1.24,744000000.0,1645000000.0,1.24,1190000000.0,154000000.0,901000000.0,236000000.0,954000000.0,143000000.0,772000000.0,1108000000.0,1689000000.0,427000000.0,3334000000.0,954000000.0,0.0,0.0,0.0,4.0,0.00938540720557079,0.493401319736053,1.63543385021445,6582000000.0,0.493401319736053,4.31415720733998,0.771428571428572,2.14190647482014,0.327874402268207,8.51703141533047,0.0853369753174804
7,2019-03-31 00:00:00+00:00,1,2019,15873000000.0,11888000000.0,16432000000.0,69000000.0,12956000000.0,2757000000.0,111000000.0,35000000.0,0.0,737000000.0,-32000000.0,5055000000.0,0.0,0.0,359000000.0,22313000000.0,17258000000.0,2917000000.0,0.0,459000000.0,11999000000.0,152000000.0,0.0,4148000000.0,775051979.0,5525000000.0,9000000.0,580000000.0,-240000000.0,820000000.0,-4000000.0,-160000000.0,301000000.0,0.0,-1089000000.0,0.0,-903000000.0,-513000000.0,-240000000.0,-26000000.0,775000000.0,1109000000.0,808000000.0,0.75,847000000.0,1822000000.0,0.75,667000000.0,162000000.0,975000000.0,85000000.0,582000000.0,141000000.0,774000000.0,744000000.0,1824000000.0,521000000.0,3646000000.0,582000000.0,0.0,0.0,0.0,6.0,0.0187203129365745,0.499725726823917,1.73294480630785,6440000000.0,0.499725726823917,4.70420061981417,-0.594594594594595,2.1516742081448,0.244004914978794,8.30912012934813,0.067608232477431
8,2018-12-31 00:00:00+00:00,4,2018,15802000000.0,11874000000.0,16352000000.0,72000000.0,12645000000.0,2770000000.0,111000000.0,35000000.0,0.0,726000000.0,-40000000.0,5566000000.0,0.0,0.0,368000000.0,22547000000.0,16981000000.0,3157000000.0,0.0,435000000.0,11985000000.0,178000000.0,0.0,4661000000.0,783554277.0,5684000000.0,7000000.0,981000000.0,-320000000.0,1301000000.0,-28000000.0,-429000000.0,289000000.0,0.0,-1077000000.0,0.0,-584000000.0,-124000000.0,-320000000.0,-64000000.0,777000000.0,1039000000.0,750000000.0,-0.21,809000000.0,1683000000.0,-0.2,612000000.0,130000000.0,874000000.0,782000000.0,-170000000.0,138000000.0,780000000.0,-40000000.0,1792000000.0,462000000.0,3475000000.0,-170000000.0,0.0,0.0,0.0,5.0,0.0247714538484223,0.48431654676259,1.76306620209059,6745000000.0,0.48431654676259,4.43491931829504,-1.13725490196078,2.0890218156228,0.356596593638009,8.60821030270504,0.106953293811291
10,2018-09-30 00:00:00+00:00,3,2018,15541000000.0,11869000000.0,16393000000.0,76000000.0,12635000000.0,3521000000.0,111000000.0,42000000.0,0.0,650000000.0,-36000000.0,5614000000.0,0.0,0.0,1121000000.0,23339000000.0,17725000000.0,2906000000.0,0.0,426000000.0,11980000000.0,153000000.0,0.0,4785000000.0,788004346.0,6862000000.0,8000000.0,692000000.0,-204000000.0,896000000.0,8000000.0,-292000000.0,284000000.0,0.0,-277000000.0,0.0,-591000000.0,423000000.0,-204000000.0,606000000.0,787000000.0,1064000000.0,780000000.0,0.73,728000000.0,1650000000.0,0.73,654000000.0,128000000.0,922000000.0,83000000.0,571000000.0,126000000.0,786000000.0,699000000.0,1722000000.0,421000000.0,3372000000.0,571000000.0,0.0,0.0,0.0,6.0,0.0667510281556469,0.48932384341637,1.93186510667584,7798000000.0,0.48932384341637,4.27916421669075,0.0138888888888888,1.72967064995628,0.544691233987585,9.89588450823087,0.171748599875544
11,2018-06-30 00:00:00+00:00,2,2018,14893000000.0,11139000000.0,16430000000.0,81000000.0,11901000000.0,3538000000.0,184000000.0,44000000.0,0.0,555000000.0,-44000000.0,5075000000.0,0.0,0.0,1129000000.0,22855000000.0,17780000000.0,2992000000.0,0.0,455000000.0,11323000000.0,154000000.0,0.0,4362000000.0,789187996.0,7158000000.0,7000000.0,935000000.0,-172000000.0,1107000000.0,-22000000.0,-84000000.0,274000000.0,0.0,809000000.0,0.0,-902000000.0,1722000000.0,-172000000.0,1795000000.0,790000000.0,1004000000.0,730000000.0,0.7,800000000.0,1597000000.0,0.7,637000000.0,120000000.0,797000000.0,81000000.0,556000000.0,93000000.0,789000000.0,676000000.0,1706000000.0,401000000.0,3303000000.0,556000000.0,0.0,0.0,0.0,6.0,0.0623994853650691,0.483499848622464,1.69618983957219,7962000000.0,0.483499848622464,4.18531454702968,0.0144927536231885,1.55616093880972,0.563951975616102,10.0888508699517,0.178801235062578
