,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,66.61,67.15,65.51,66.08,2960695,53.0398561351,53.4698444599,52.1639539921,52.6178305571,2960695,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,65.65,66.45,65.29,65.59,2119746,52.2754324466,52.912452187,51.9887735634,52.2276559661,2119746,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,64.0,65.87,64.0,65.67,2264234,50.961579232,52.4506128752,50.961579232,52.2913579401,2264234,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,64.81,64.99,63.66,64.18,1269897,51.6065617192,51.7498911608,50.6908458424,51.1049086736,1269897,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,65.23,65.44,64.58,64.82,1206761,51.9409970829,52.1082147648,51.4234185438,51.614524466,1206761,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,63.54,65.35,63.52,65.35,1767682,50.5952928813,52.036550044,50.5793673878,52.036550044,1767682,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,63.03,63.2,62.2,63.08,1207461,50.1891927968,50.3245594916,49.5282848161,50.2290065306,1207461,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,63.1,63.47,62.68,63.21,1192886,50.2449320241,50.539553654,49.9104966604,50.3325222384,1192886,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,62.97,63.21,62.62,63.1,496870,50.1414163163,50.3325222384,49.8627201799,50.2449320241,496870,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,61.56,64.0,61.5,63.15,1566763,49.0186690238,50.961579232,48.9708925433,50.2847457579,1566763,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,63.02,63.35,61.81,62.05,1288142,50.1812300501,50.444000693,49.2177376927,49.4088436148,1288142,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,62.9,63.17,62.44,62.72,895309,50.085677089,50.3006712514,49.7193907383,49.9423476474,895309,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,63.75,63.83,62.34,62.99,1335749,50.7625105632,50.8262125372,49.6397632707,50.1573418098,1335749,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,66.0,66.44,63.1,63.63,2782272,52.554128583,52.9044894403,50.2449320241,50.6669576021,2782272,0.0,1.0,,,,,
14,2018-01-23 00:00:00+00:00,68.86,69.73,67.4,68.03,5743824,54.831474155,55.5242331227,53.6689131287,54.1705661743,5743824,0.0,1.0,,,,,
15,2018-01-24 00:00:00+00:00,67.31,68.84,66.12,68.57,3273362,53.597248408,54.8155486615,52.6496815441,54.6005544991,3273362,0.0,1.0,,,,,
16,2018-01-25 00:00:00+00:00,65.05,67.1,64.53,67.1,2311078,51.7976676413,53.4300307261,51.3836048101,53.4300307261,2311078,0.0,1.0,,,,,
17,2018-01-26 00:00:00+00:00,66.5,66.57,65.31,65.7,1702600,52.9522659208,53.0080051481,52.004699057,52.3152461804,1702600,0.0,1.0,,,,,
18,2018-01-29 00:00:00+00:00,66.02,66.48,64.76,66.23,2283552,52.5700540766,52.9363404273,51.5667479854,52.7372717584,2283552,0.0,1.0,7400437493.55221,12427596493.5522,64.7254901961,2.3421943931,-4.3689705882
19,2018-01-30 00:00:00+00:00,64.28,65.59,64.14,65.5,1426461,51.1845361412,52.2276559661,51.0730576866,52.1559912453,1426461,0.0,1.0,7205394154.58249,12232553154.5825,63.0196078431,2.2804643379,-4.2538235294
20,2018-01-31 00:00:00+00:00,64.57,64.97,63.56,64.43,5354136,51.4154557971,51.7339656673,50.6112183748,51.3039773425,5354136,0.0,1.0,7237901377.74411,12265060377.7441,63.3039215686,2.2907526804,-4.2730147059
21,2018-02-01 00:00:00+00:00,62.73,65.69,62.49,64.57,1725364,49.9503103942,52.3072834336,49.759204472,51.4154557971,1725364,0.0,1.0,7031648651.47729,12058807651.4773,61.5,2.2254749209,-4.15125
22,2018-02-02 00:00:00+00:00,61.46,62.82,61.25,62.12,3486965,48.9390415563,50.021975115,48.7718238744,49.4645828421,3486965,0.0,1.0,6889289432.80398,11916448432.804,60.2549019608,2.180419076,-4.0672058824
23,2018-02-05 00:00:00+00:00,59.73,62.46,59.42,61.49,2736968,47.5614863677,49.7353162318,47.3146412183,48.9629297965,2736968,0.0,1.0,6695367032.56397,11722526032.564,58.5588235294,2.1190437912,-3.9527205882
24,2018-02-06 00:00:00+00:00,59.65,59.88,57.37,58.59,3231069,47.4977843936,47.680927569,45.6822781335,46.6537332376,3231069,0.0,1.0,6686399522.72629,11713558522.7263,58.4803921569,2.1162056278,-3.9474264706
25,2018-02-07 00:00:00+00:00,60.19,61.78,59.36,59.41,1924635,47.9277727184,49.1938494524,47.2668647377,47.3066784715,1924635,0.0,1.0,6746930214.13068,11774089214.1307,59.0098039216,2.1353632311,-3.9831617647
26,2018-02-08 00:00:00+00:00,58.36,60.34,58.35,60.02,1690240,46.4705900622,48.0472139197,46.4626273155,47.7924060236,1690240,0.0,1.0,6541798426.59356,11568957426.5936,57.2156862745,2.070440242,-3.8620588235
27,2018-02-09 00:00:00+00:00,60.41,60.96,58.2,58.67,1839620,48.102953147,48.5409042185,46.3431861141,46.7174352116,1839620,0.0,1.0,6771590866.18432,11798749866.1843,59.2254901961,2.1431681806,-3.9977205882
28,2018-02-12 00:00:00+00:00,60.8,61.04,58.66,60.45,1715314,48.4135002704,48.6046061926,46.7094724649,48.134804134,1715314,0.0,1.0,6815307476.64305,11842466476.6431,59.6078431373,2.1570042275,-4.0235294118
29,2018-02-13 00:00:00+00:00,60.83,61.16,59.85,60.44,844448,48.4373885107,48.7001591536,47.6570393287,48.1268413873,844448,0.0,1.0,6818670292.83218,11845829292.8322,59.637254902,2.1580685388,-4.0255147059
30,2018-02-14 00:00:00+00:00,61.56,61.85,59.39,60.22,1471397,49.0186690238,49.2495886797,47.290752978,47.9516609587,1471397,0.0,1.0,6900498820.10108,11927657820.1011,60.3529411765,2.1839667803,-4.0738235294
31,2018-02-15 00:00:00+00:00,61.1,61.91,60.36,61.33,1795845,48.6523826731,49.2973651602,48.0631394132,48.8355258485,1795845,0.0,1.0,6848935638.53438,11876094638.5344,59.9019607843,2.1676473404,-4.0433823529
32,2018-02-16 00:00:00+00:00,60.66,61.65,59.9,61.04,1642485,48.3020218159,49.0903337446,47.6968530625,48.6046061926,1642485,0.0,1.0,6799614334.4271,11826773334.4271,59.4705882353,2.1520374414,-4.0142647059
33,2018-02-20 00:00:00+00:00,59.38,60.72,59.26,59.81,1122442,47.8720334911,48.9523387265,47.7752897387,48.218698604,1122442,0.74,1.0,6739083643.0227,11766242643.0227,58.2156862745,2.1066268261,-3.9295588235
34,2018-02-21 00:00:00+00:00,57.96,59.38,57.81,59.38,1272205,46.7272324208,47.8720334911,46.6063027302,47.8720334911,1272205,0.0,1.0,6577926708.4809,11605085708.4809,56.8235294118,2.0562494247,-3.8355882353
35,2018-02-22 00:00:00+00:00,58.8,59.1301,58.13,58.13,1417581,47.4044386877,47.6705646267,46.86428607,46.86428607,1417581,0.0,1.0,6673258979.6183,11700417979.6183,57.6470588235,2.086050141,-3.8911764706
36,2018-02-23 00:00:00+00:00,59.36,59.42,58.43,58.98,1202660,47.8559095324,47.9042814086,47.1061454511,47.5495543164,1202660,0.0,1.0,6740606216.45004,11767765216.45,58.1960784314,2.1059172852,-3.9282352941
37,2018-02-26 00:00:00+00:00,59.81,59.85,59.07,59.53,1322086,48.218698604,48.2509465214,47.6221121307,47.9929631816,1322086,0.0,1.0,6791705825.5707,11818864825.5707,58.637254902,2.1218819547,-3.9580147059
38,2018-02-27 00:00:00+00:00,57.85,60.74,57.83,60.29,1025051,46.6385506477,48.9684626852,46.622426689,48.6056736137,1025051,0.0,1.0,6569138639.17848,11596297639.1785,56.7156862745,2.05234695,-3.8283088235
39,2018-02-28 00:00:00+00:00,58.94,60.85,57.78,57.96,3065110,47.5173063989,49.0571444583,46.5821167921,46.7272324208,3065110,0.0,1.0,6692913247.93743,11720072247.9374,57.7843137255,2.0910169271,-3.9004411765
40,2018-03-01 00:00:00+00:00,59.13,60.29,58.45,58.93,1190894,47.6704840069,48.6056736137,47.1222694098,47.5092444195,1190894,0.0,1.0,6714488638.45503,11741647638.455,57.9705882353,2.0977575653,-3.9130147059
41,2018-03-02 00:00:00+00:00,59.04,59.22,58.02,58.86,772180,47.5979261926,47.7430418212,46.775604297,47.4528105639,772180,0.0,1.0,6704268716.63091,11731427716.6309,57.8823529412,2.0945646314,-3.9070588235
42,2018-03-05 00:00:00+00:00,59.16,59.93,58.57,58.57,1928890,47.694669945,48.3154423564,47.2190131622,47.2190131622,1928890,0.0,1.0,6717895279.06308,11745054279.0631,58.0,2.0988218766,-3.915
43,2018-03-06 00:00:00+00:00,59.18,59.48,58.44,59.2,713680,47.7107939037,47.9526532848,47.1142074304,47.7269178625,713680,0.0,1.0,6720166372.80177,11747325372.8018,58.0196078431,2.0995314175,-3.9163235294
44,2018-03-07 00:00:00+00:00,59.27,59.56,58.36,58.94,1066952,47.783351718,48.0171491197,47.0497115955,47.5173063989,1066952,0.0,1.0,6730386294.62591,11757545294.6259,58.1078431373,2.1027243514,-3.9222794118
45,2018-03-08 00:00:00+00:00,58.78,59.4,58.47,59.4,1235822,47.388314729,47.8881574498,47.1383933686,47.8881574498,1235822,0.0,1.0,6674744498.02785,11701903498.0279,57.6274509804,2.0853406002,-3.8898529412
46,2018-03-09 00:00:00+00:00,58.02,58.88,56.86,58.85,1272814,46.775604297,47.4689345227,45.8404146902,47.4447485846,1272814,0.0,1.0,6588442935.95741,11615601935.9574,56.8823529412,2.0583780473,-3.8395588235
47,2018-03-12 00:00:00+00:00,58.1,58.45,57.45,57.96,1210950,46.8401001319,47.1222694098,46.316071473,46.7272324208,1210950,0.0,1.0,6597527310.91218,11624686310.9122,56.9607843137,2.0612162108,-3.8448529412
48,2018-03-13 00:00:00+00:00,58.89,59.1,57.98,58.4,656261,47.476996502,47.6462980688,46.7433563795,47.081959513,656261,0.0,1.0,6687235513.59069,11714394513.5907,57.7352941176,2.0892430749,-3.8971323529
49,2018-03-14 00:00:00+00:00,59.6,59.69,58.4,58.7,1802214,48.0493970372,48.1219548515,47.081959513,47.323818894,1802214,0.0,1.0,6767859341.31439,11795018341.3144,58.431372549,2.1144317756,-3.9441176471
50,2018-03-15 00:00:00+00:00,59.11,60.01,58.71,59.62,1562098,47.6543600481,48.3799381913,47.3318808734,48.065520996,1562098,0.0,1.0,6712217544.71634,11739376544.7163,57.9509803922,2.0970480244,-3.9116911765
51,2018-03-16 00:00:00+00:00,58.93,59.41,58.39,58.98,2499117,47.5092444195,47.8962194292,47.0738975336,47.5495543164,2499117,0.0,1.0,6691777701.06807,11718936701.0681,57.7745098039,2.0906621567,-3.8997794118
52,2018-03-19 00:00:00+00:00,57.85,59.09,57.42,59.03,1331324,46.6385506477,47.6382360894,46.2918855348,47.5898642132,1331324,0.0,1.0,6569138639.17848,11596297639.1785,56.7156862745,2.05234695,-3.8283088235
53,2018-03-20 00:00:00+00:00,57.36,58.41,56.98,57.96,681178,46.2435136586,47.0900214923,45.9371584426,46.7272324208,681178,0.0,1.0,6513496842.58043,11540655842.5804,56.2352941176,2.0349631988,-3.7958823529
54,2018-03-21 00:00:00+00:00,57.48,57.8,56.83,57.34,830847,46.3402574111,46.5982407509,45.8162287521,46.2273896999,830847,0.0,1.0,6527123405.0126,11554282405.0126,56.3529411765,2.039220444,-3.8038235294
55,2018-03-22 00:00:00+00:00,57.88,58.68,57.33,57.33,1491479,46.6627365858,47.3076949353,46.2193277205,46.2193277205,1491479,0.0,1.0,6572545279.78653,11599704279.7865,56.7450980392,2.0534112613,-3.8302941176
56,2018-03-23 00:00:00+00:00,57.28,58.15,57.05,58.0,848848,46.1790178237,46.8804100288,45.9935922982,46.7594803382,848848,0.0,1.0,6504412467.62564,11531571467.6256,56.1568627451,2.0321250354,-3.7905882353
57,2018-03-26 00:00:00+00:00,57.84,57.94,56.89,57.77,788207,46.6304886683,46.711108462,45.8646006283,46.5740548127,788207,0.0,1.0,6568003092.30914,11595162092.3091,56.7058823529,2.0519921796,-3.8276470588
58,2018-03-27 00:00:00+00:00,55.5,56.85,54.35,56.55,3148368,44.7439854961,45.8323527108,43.8168578687,45.5904933298,3148368,0.0,1.0,6302285124.8817,11329444124.8817,54.4117647059,1.9689758984,-3.6727941176
59,2018-03-28 00:00:00+00:00,56.91,57.41,55.7,55.87,945620,45.880724587,46.2838235555,44.9052250834,45.0422787327,945620,0.0,1.0,6462397233.45977,11489556233.4598,55.7941176471,2.0189985294,-3.7661029412
60,2018-03-29 00:00:00+00:00,56.02,57.22,55.68,56.8,1105280,45.1632084232,46.1306459475,44.8891011247,45.792042814,1105280,0.0,1.0,6361333562.08779,11388492562.0878,54.9215686275,1.9874239609,-3.7072058824
61,2018-04-02 00:00:00+00:00,55.39,56.49,55.01,55.99,1646223,44.655303723,45.5421214536,44.348948507,45.1390224851,1646223,0.0,1.0,6289794109.31886,11423874109.3189,184.6333333333,2.2888673206,-1.2308888889
62,2018-04-03 00:00:00+00:00,56.12,56.6,54.67,55.37,1070261,45.2438282169,45.6308032266,44.0748412085,44.6391797643,1070261,0.0,1.0,6372689030.78128,11506769030.7813,187.0666666667,2.3190329307,-1.2471111111
63,2018-04-04 00:00:00+00:00,58.55,58.74,55.75,55.76,1954023,47.2028892035,47.3560668115,44.9455349803,44.9535969596,1954023,0.0,1.0,6648626920.03284,11782706920.0328,195.1666666667,2.4194472219,-1.3011111111
64,2018-04-05 00:00:00+00:00,58.4,59.21,57.5,58.61,1136601,47.081959513,47.7349798418,46.3563813698,47.2512610797,1136601,0.0,1.0,6631593716.99262,11765673716.9926,194.6666666667,2.4132488089,-1.2977777778
65,2018-04-06 00:00:00+00:00,57.35,58.71,57.16,58.14,912245,46.2354516793,47.3318808734,46.0822740713,46.8723480494,912245,0.0,1.0,6512361295.71109,11646441295.7111,191.1666666667,2.3698599176,-1.2744444444
66,2018-04-09 00:00:00+00:00,57.21,57.9,56.77,57.45,729597,46.1225839681,46.6788605445,45.7678568759,46.316071473,729597,0.0,1.0,6496463639.54021,11630543639.5402,190.7,2.3640747321,-1.2713333333
67,2018-04-10 00:00:00+00:00,57.8,57.9,57.04,57.58,761361,46.5982407509,46.6788605445,45.9855303188,46.4208772047,761361,0.0,1.0,6563460904.83175,11697540904.8317,192.6666666667,2.3884551567,-1.2844444444
68,2018-04-11 00:00:00+00:00,58.08,58.75,57.06,57.56,1150215,46.8239761732,47.3641287909,46.0016542776,46.404753246,1150215,0.0,1.0,6595256217.17349,11729336217.1735,193.6,2.4000255277,-1.2906666667
69,2018-04-12 00:00:00+00:00,57.6,58.12,56.92,58.12,1096456,46.4370011635,46.8562240907,45.8887865664,46.8562240907,1096456,0.0,1.0,6540749967.44479,11674829967.4448,192.0,2.380190606,-1.28
70,2018-04-13 00:00:00+00:00,57.82,58.17,57.04,57.69,1403906,46.6143647096,46.8965339875,45.9855303188,46.5095589778,1403906,0.0,1.0,6565731998.57045,11699811998.5704,192.7333333333,2.3892816118,-1.2848888889
71,2018-04-16 00:00:00+00:00,57.85,58.53,57.62,57.94,601852,46.6385506477,47.1867652448,46.4531251222,46.711108462,601852,0.0,1.0,6569138639.17848,11703218639.1785,192.8333333333,2.3905212944,-1.2855555556
72,2018-04-17 00:00:00+00:00,58.34,58.92,57.43,57.86,853661,47.0335876368,47.5011824401,46.2999475142,46.6466126271,853661,0.0,1.0,6624780435.77654,11758860435.7765,194.4666666667,2.4107694437,-1.2964444444
73,2018-04-18 00:00:00+00:00,58.07,58.76,57.9,58.61,622915,46.8159141938,47.3721907702,46.6788605445,47.2512610797,622915,0.0,1.0,6594120670.30415,11728200670.3041,193.5666666667,2.3996123002,-1.2904444444
74,2018-04-19 00:00:00+00:00,57.55,58.07,56.42,57.99,2770631,46.3966912666,46.8159141938,45.485687598,46.7514183589,2770631,0.0,1.0,6535072233.09805,11669152233.098,191.8333333333,2.3781244683,-1.2788888889
