,date,quarter,year,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,-2126749000.0,0.0,-10889000.0,0.0,6572911000.0,0.0,541801000.0,2464328000.0,0.0,0.0,9183288000.0,0.0,71939000.0,1569887000.0,251562000.0,6534751000.0,149463668.0,6135169000.0,34137000.0,0.0,-24650000.0,-32665000.0,0.0,-12859000.0,-13707000.0,0.0,80749000.0,80509000.0,-5937000.0,3497000.0,-16166000.0,67650000.0,-22191000.0,7589000.0,-21085000.0,96848000.0,0.0,83255000.0,149626000.0,28181000.0,102589000.0,16099000.0,-0.15,1106000.0,185844000.0,-431000.0,0.0,-22191000.0,37184000.0,0.0,-0.15,149626000.0,-22622000.0,74408000.0,-0.00141053478811826,2.0,2648537000.0,-1.45454545454545,1.24340585566253,0.55201674522718,2.48959107716181,-0.195922588014382,17.720272996378,0.55201674522718,-0.00508991532400445
1,2020-06-30 00:00:00+00:00,2,2020,-2082082000.0,0.0,-13701000.0,0.0,6639198000.0,0.0,507664000.0,2502397000.0,0.0,0.0,9228348000.0,0.0,58672000.0,1568878000.0,247868000.0,6539789000.0,141534987.0,6159256000.0,-155443000.0,852000.0,-15865000.0,-22679000.0,0.0,-23316000.0,-67682000.0,0.0,81924000.0,-65082000.0,-7461000.0,3269000.0,-44097000.0,-88398000.0,-25116000.0,8242000.0,-26640000.0,75318000.0,0.0,80228000.0,144102000.0,5956000.0,98359000.0,-6606000.0,-0.18,-1524000.0,178587000.0,-1611000.0,0.0,-25116000.0,20034000.0,0.0,-0.18,144102000.0,-26727000.0,92403000.0,0.00615838356259856,1.0,2688559000.0,-2.63636363636364,1.26178695307331,0.550762373521029,2.46134246484471,-0.216627480567789,18.9957201183054,0.550762373521029,0.0214605804761648
2,2020-03-31 00:00:00+00:00,1,2020,-2042688000.0,0.0,-15446000.0,0.0,6701712000.0,0.0,663107000.0,2533991000.0,0.0,0.0,9299648000.0,0.0,66991000.0,1540826000.0,143355000.0,6575288000.0,141296774.0,6204101000.0,548891000.0,0.0,-114672000.0,540600000.0,0.0,-28251000.0,-41409000.0,0.0,83827000.0,49700000.0,655149000.0,4224000.0,-12177000.0,21449000.0,7522000.0,6821000.0,7256000.0,99157000.0,0.0,94374000.0,141437000.0,6841000.0,132578000.0,15330000.0,0.05,-266000.0,226952000.0,1209000.0,0.0,7522000.0,8074000.0,0.0,0.05,141437000.0,8731000.0,125737000.0,0.0107621015311921,3.0,2724360000.0,0.0,1.60620793791088,0.584167577285065,2.44835163187241,0.00189827036667523,19.2811196099919,0.584167577285065,0.0362931215363454
3,2019-12-31 00:00:00+00:00,4,2019,-1944012000.0,0.0,-9051000.0,0.0,6791600000.0,0.0,114216000.0,2632262000.0,0.0,0.0,8853571000.0,0.0,51027000.0,1519697000.0,150192000.0,6022601000.0,141265383.0,5598077000.0,6948000.0,700000.0,-115158000.0,52369000.0,0.0,-61886000.0,-128601000.0,3028000.0,85721000.0,83180000.0,169010000.0,2277000.0,-72997000.0,21294000.0,26891000.0,5799000.0,26777000.0,160487000.0,0.0,92365000.0,141385000.0,63188000.0,149476000.0,74766000.0,0.19,-114000.0,241841000.0,2848000.0,0.0,26891000.0,47989000.0,0.0,0.19,141385000.0,29739000.0,86288000.0,0.0108858179783748,4.0,2830970000.0,1.375,1.71196222927453,0.618075512423452,2.12671724927078,-0.0203869180229591,20.0400829975451,0.618075512423452,0.0353411514345708
5,2019-09-30 00:00:00+00:00,3,2019,-1864807000.0,0.0,-10946000.0,0.0,6814762000.0,0.0,107268000.0,2707211000.0,0.0,0.0,8775973000.0,0.0,61348000.0,1436788000.0,139356000.0,5868204000.0,141265383.0,5440648000.0,-41160000.0,0.0,-114823000.0,-187521000.0,0.0,-51716000.0,39462000.0,222000.0,84575000.0,106899000.0,-72734000.0,2322000.0,92081000.0,55183000.0,46371000.0,5285000.0,47049000.0,146423000.0,0.0,92004000.0,141368000.0,50920000.0,139123000.0,61848000.0,0.33,678000.0,231127000.0,3654000.0,0.0,46371000.0,14799000.0,0.0,0.33,141368000.0,50025000.0,88203000.0,0.00913884807358788,4.0,2907769000.0,-0.365384615384615,1.63611916162079,0.601933136327647,2.00968746063753,-0.0457105343561879,20.5837335251482,0.601933136327647,0.0289733334515754
6,2019-06-30 00:00:00+00:00,2,2019,-1805097000.0,0.0,-10792000.0,0.0,6842701000.0,0.0,148428000.0,2764144000.0,0.0,0.0,8944099000.0,0.0,52894000.0,1517771000.0,135056000.0,5974729000.0,141238583.0,5553188000.0,-5647000.0,819000.0,-130157000.0,-50220000.0,0.0,-37220000.0,-21665000.0,221000.0,84138000.0,66238000.0,75854000.0,1914000.0,16016000.0,29018000.0,15734000.0,4589000.0,16413000.0,137660000.0,0.0,87461000.0,141344000.0,44478000.0,140511000.0,53522000.0,0.11,679000.0,227972000.0,-1787000.0,0.0,15734000.0,37109000.0,0.0,0.11,141344000.0,13947000.0,96033000.0,0.0121535465295975,4.0,2969370000.0,1.2,1.61409152625101,0.616352008141351,2.00900821375442,-0.0280244729156451,21.0237878129944,0.616352008141351,0.0376577781600902
7,2019-03-31 00:00:00+00:00,1,2019,-1714789000.0,0.0,-6511000.0,0.0,6893458000.0,0.0,154075000.0,2854713000.0,0.0,0.0,9002921000.0,0.0,59024000.0,1528080000.0,119641000.0,5917652000.0,141161293.0,5497345000.0,4774000.0,0.0,-114396000.0,-92844000.0,0.0,-37083000.0,-1222000.0,65348000.0,83233000.0,98840000.0,27364000.0,5519000.0,-21654000.0,61757000.0,7824000.0,6961000.0,8170000.0,129760000.0,0.0,96123000.0,141262000.0,35654000.0,130399000.0,46527000.0,0.05,346000.0,226522000.0,1019000.0,0.0,7824000.0,38357000.0,0.0,0.05,141262000.0,8843000.0,94745000.0,0.0112200363782439,4.0,3085269000.0,-1.20833333333333,1.60470335164754,0.575657110567627,1.92570846876726,-0.043137022987826,21.8563384794159,0.575657110567627,0.0340328272805576
8,2018-12-31 00:00:00+00:00,4,2018,-1614357000.0,0.0,-4466000.0,0.0,6785776000.0,0.0,149301000.0,2950232000.0,0.0,0.0,9026808000.0,0.0,59392000.0,1492655000.0,208673000.0,5838376000.0,141050902.0,5360945000.0,5201000.0,764000.0,-114191000.0,-12113000.0,0.0,-71048000.0,-79836000.0,214000.0,88644000.0,97150000.0,107896000.0,4723000.0,-6872000.0,26102000.0,11749000.0,5746000.0,9944000.0,145073000.0,0.0,85506000.0,141201000.0,37483000.0,161368000.0,56429000.0,0.08,-1805000.0,246874000.0,1497000.0,0.0,11749000.0,46485000.0,0.0,0.08,141208000.0,13246000.0,123885000.0,0.00661194753140923,5.0,3188432000.0,-0.652173913043478,1.75024758083433,0.653645179322245,1.81712658529905,-0.0384392174275443,22.604832402986,0.653645179322245,0.0196417395146016
10,2018-09-30 00:00:00+00:00,3,2018,-1520209000.0,0.0,142000.0,0.0,6821038000.0,0.0,144100000.0,3044448000.0,0.0,0.0,9010730000.0,0.0,61308000.0,1465174000.0,192969000.0,5722801000.0,141050902.0,5257414000.0,1588000.0,0.0,-112698000.0,-70747000.0,0.0,-49910000.0,-9976000.0,211000.0,83620000.0,82311000.0,42628000.0,3554000.0,-10774000.0,32401000.0,74028000.0,5439000.0,74494000.0,203041000.0,0.0,93627000.0,141196000.0,107845000.0,148571000.0,119421000.0,0.52,466000.0,242198000.0,7213000.0,0.0,74028000.0,44927000.0,0.0,0.52,141196000.0,81241000.0,40726000.0,0.00878547208087206,3.0,3287929000.0,3.33333333333333,1.71709642806822,0.613427856547123,1.72688579341805,-0.00104350982260337,23.3102302316365,0.613427856547123,0.0250178010445338
11,2018-06-30 00:00:00+00:00,2,2018,-1489742000.0,0.0,-33000.0,0.0,6868844000.0,0.0,142512000.0,3070510000.0,0.0,0.0,9115217000.0,0.0,57880000.0,1381358000.0,175418000.0,5800042000.0,140992474.0,5357221000.0,-25340000.0,806000.0,-112963000.0,-49956000.0,0.0,-62063000.0,-45266000.0,416000.0,80894000.0,69882000.0,62305000.0,8087000.0,-4293000.0,7819000.0,7816000.0,4956000.0,8500000.0,128309000.0,0.0,89038000.0,141137000.0,32796000.0,145507000.0,47415000.0,0.05,684000.0,234545000.0,1050000.0,0.0,7816000.0,38915000.0,0.0,0.05,141137000.0,8866000.0,112711000.0,0.0026135070734331,3.0,3315175000.0,-0.736842105263158,1.66352850862096,0.62037988445714,1.74473328534999,-0.0520485161040001,23.5131344670213,0.62037988445714,0.00717390067448638
12,2018-03-31 00:00:00+00:00,1,2018,-1393418000.0,0.0,19000.0,0.0,6908416000.0,0.0,167852000.0,3157760000.0,0.0,0.0,9157273000.0,0.0,67430000.0,1360486000.0,178755000.0,5748688000.0,140852118.0,5301932000.0,24747000.0,0.0,-113782000.0,-381622000.0,0.0,-54210000.0,311401000.0,202000.0,81524000.0,94968000.0,-267643000.0,11003000.0,377343000.0,40758000.0,-33573000.0,8019000.0,-36522000.0,97637000.0,0.0,112833000.0,141050000.0,-1567000.0,123901000.0,16113000.0,-0.24,-2949000.0,236734000.0,-808000.0,0.0,-33573000.0,52635000.0,0.0,-0.24,141024000.0,-34381000.0,125468000.0,0.00455310765838511,3.0,3408585000.0,-1.5,1.6807273001035,0.523376447827519,1.67901677138225,-0.0417373353032848,24.1997425981198,0.523376447827519,0.0119940063197398
