,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,43.81,44.28,43.6,44.05,1579123,42.1689354898,42.621329913,41.9668018113,42.399945408,1579123,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,44.0,44.06,43.34,43.46,4520600,42.3518183417,42.4095708212,41.7165410666,41.8320460257,4520600,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,44.05,44.36,43.87,44.23,1851563,42.399945408,42.698333219,42.2266879693,42.5732028467,1851563,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,44.46,44.49,43.97,44.34,2894136,42.7945873516,42.8234635914,42.3229421019,42.6790823925,2894136,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,44.67,45.55,44.5,44.5,3283048,42.9967210301,43.8437573969,42.8330890047,42.8330890047,3283048,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,45.43,45.54,44.7,44.7,3413190,43.7282524378,43.8341319837,43.0255972699,43.0255972699,3413190,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,44.71,45.53,44.69,45.31,2077791,43.0352226831,43.8245065704,43.0159718566,43.6127474787,2077791,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,45.73,45.75,44.53,44.8,3133237,44.1180816748,44.1373767029,42.9603799908,43.2208628697,3133237,0.105,1.0,,,,,
8,2018-01-12 00:00:00+00:00,45.76,46.01,45.54,45.81,2601492,44.1470242169,44.3882120677,43.9347789082,44.1952617871,2601492,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,45.24,46.16,45.02,46.13,3051735,43.6453534872,44.5329247782,43.4331081784,44.5039822361,3051735,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,45.83,45.94,45.16,45.55,2382737,44.2145568151,44.3206794695,43.5681733749,43.9444264222,2382737,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,46.27,46.45,45.72,45.8,2563656,44.6390474326,44.8127026852,44.1084341608,44.185614273,2563656,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,45.9,46.43,45.73,46.43,2732292,44.2820894134,44.7934076571,44.1180816748,44.7934076571,2732292,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,45.87,46.21,45.67,46.0,2300440,44.2531468713,44.5811623484,44.0601965906,44.3785645537,2300440,0.0,1.0,13920504067.4813,15811504067.4813,27.3035714286,78.8475953226,-1.6928214286
14,2018-01-23 00:00:00+00:00,45.46,45.64,45.18,45.43,3487793,43.8575987959,44.0312540485,43.587468403,43.8286562538,3487793,0.0,1.0,13796078371.6524,15687078371.6524,27.0595238095,78.1428315537,-1.6776904762
15,2018-01-24 00:00:00+00:00,45.91,46.11,45.63,45.85,2126369,44.2917369274,44.4846872081,44.0216065345,44.2338518432,2126369,0.0,1.0,13932643159.7572,15823643159.7572,27.3273809524,78.9163527635,-1.694297619
16,2018-01-25 00:00:00+00:00,45.43,46.17,45.26,46.03,3023216,43.8286562538,44.5425722923,43.6646485152,44.4075070958,3023216,0.0,1.0,13786974052.4454,15677974052.4454,27.0416666667,78.091263473,-1.6765833333
17,2018-01-26 00:00:00+00:00,45.33,45.67,45.25,45.65,3401463,43.7321811135,44.0601965906,43.6550010012,44.0409015625,3401463,0.0,1.0,13756626321.7555,15647626321.7555,26.9821428571,77.9193698708,-1.6728928571
18,2018-01-29 00:00:00+00:00,44.64,45.19,44.58,45.17,2595349,43.0665026452,43.597115917,43.008617561,43.5778208889,2595349,0.0,1.0,13547226979.9948,15438226979.9948,26.5714285714,76.7333040157,-1.6474285714
19,2018-01-30 00:00:00+00:00,44.52,44.76,44.05,44.38,2676492,42.9507324768,43.1822728136,42.4972993172,42.8156672803,2676492,0.0,1.0,13510809703.1669,15401809703.1669,26.5,76.5270316931,-1.643
20,2018-01-31 00:00:00+00:00,44.66,45.09,44.57,44.82,3547151,43.0857976732,43.5006407767,42.9989700469,43.2401578978,3547151,0.0,1.0,13553296526.1328,15444296526.1328,26.5833333333,76.7676827362,-1.6481666667
21,2018-02-01 00:00:00+00:00,44.07,44.74,43.89,44.38,2164878,42.5165943453,43.1629777855,42.3429390927,42.8156672803,2164878,0.0,1.0,13374244915.0621,15265244915.0621,26.2321428571,75.7535104833,-1.6263928571
22,2018-02-02 00:00:00+00:00,42.9,43.77,42.77,43.74,3919738,41.3878352033,42.2271689243,41.2624175209,42.1982263822,3919738,0.0,1.0,13019176465.9896,14910176465.9896,25.5357142857,73.7423553377,-1.5832142857
