,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,5199588000.0,3104708000.0,788534000.0,1387260000.0,3541167000.0,1409262000.0,400000000.0,663639000.0,0.0,1326128000.0,-985874000.0,2599863000.0,0.0,0.0,0.0,5604095000.0,3004232000.0,1658421000.0,0.0,21252000.0,3504708000.0,497379000.0,0.0,452167000.0,346897357.0,404507000.0,16532000.0,-1217000.0,-34230000.0,29055000.0,1672000.0,0.0,47902000.0,0.0,-5887000.0,-5236000.0,0.0,-9390000.0,-30272000.0,0.0,348714000.0,436391000.0,388489000.0,0.91,448227000.0,832384000.0,0.91,338074000.0,0.0,384157000.0,22080000.0,315994000.0,50415000.0,347628000.0,315994000.0,799307000.0,448227000.0,1631691000.0,315994000.0,0.0,0.0,0.0,4.0,0.101335284433876,0.510135803899145,1.56767370890745,404507000.0,0.510135803899145,4.70367089017631,3.55,7.67528868474464,-0.0131339388135254,1.1660711499742,-0.000722558377732928
1,2020-06-30 00:00:00+00:00,2,2020,4906532000.0,3097255000.0,789029000.0,1382858000.0,3524947000.0,1093268000.0,400000000.0,702592000.0,0.0,650502000.0,-977597000.0,2026069000.0,0.0,0.0,0.0,4992680000.0,2966611000.0,1381585000.0,0.0,15732000.0,3497255000.0,402220000.0,0.0,461557000.0,346898249.0,86148000.0,9139000.0,-313428000.0,225000.0,-288543000.0,483000.0,0.0,48017000.0,0.0,249985000.0,24819000.0,0.0,-37850000.0,-24885000.0,250000000.0,346875000.0,1299000.0,-46718000.0,-0.31,366989000.0,320848000.0,-0.31,-96333000.0,0.0,-46141000.0,12839000.0,-109172000.0,49615000.0,346875000.0,-109172000.0,411288000.0,366989000.0,732136000.0,-109172000.0,0.0,0.0,0.0,0.0,-0.148741429406916,0.438235519083886,1.46648161350912,86148000.0,0.438235519083886,2.11052088648623,0.0,35.9527208989181,-0.830818815490775,0.24833794995604,-0.0482603278408127
2,2020-03-31 00:00:00+00:00,1,2020,4646469000.0,3111555000.0,818065000.0,1382852000.0,3520485000.0,1202440000.0,150000000.0,560645000.0,0.0,528522000.0,-1005883000.0,1807090000.0,0.0,0.0,0.0,4804352000.0,2997262000.0,1125984000.0,0.0,12290000.0,3261555000.0,306440000.0,0.0,499407000.0,346870826.0,157883000.0,14275000.0,-209795000.0,-81157000.0,-174489000.0,-24297000.0,0.0,53619000.0,0.0,149322000.0,-46565000.0,0.0,-130621000.0,-35306000.0,150000000.0,346867000.0,-96250000.0,-149869000.0,-0.61,404993000.0,255183000.0,-0.61,-198849000.0,0.0,-149810000.0,11892000.0,-210741000.0,48980000.0,346867000.0,-210741000.0,338886000.0,404993000.0,594069000.0,-210741000.0,0.0,0.0,0.0,1.0,-0.1380885779533,0.429551112749529,1.60489847102623,157883000.0,0.429551112749529,1.71265195995468,0.196078431372549,19.7079799598437,-0.644233242484158,0.455163675252412,-0.0479056296364704
3,2019-12-31 00:00:00+00:00,4,2019,4833512000.0,3117604000.0,853326000.0,1390714000.0,3556605000.0,1413181000.0,0.0,495504000.0,0.0,936359000.0,-869484000.0,2247974000.0,0.0,0.0,0.0,5325226000.0,3077252000.0,1276907000.0,0.0,48037000.0,3117604000.0,459357000.0,0.0,630028000.0,346715490.0,491714000.0,16828000.0,653963000.0,-35807000.0,694638000.0,4338000.0,0.0,58104000.0,0.0,-251439000.0,2713000.0,0.0,411730000.0,-40675000.0,-249654000.0,345878000.0,127449000.0,69345000.0,0.0,645598000.0,713178000.0,0.0,9182000.0,0.0,67580000.0,9007000.0,175000.0,60163000.0,345878000.0,175000.0,760527000.0,645598000.0,1473705000.0,175000.0,0.0,0.0,0.0,4.0,-0.0331802338282771,0.483935387340071,1.76048373139156,491714000.0,0.483935387340071,4.25047349341098,-1.0,6.34027910533359,-0.448309746776971,1.41820603400212,-0.0407042235598151
5,2019-09-30 00:00:00+00:00,3,2019,5063825000.0,3130679000.0,878492000.0,1382588000.0,3550375000.0,1413006000.0,230000000.0,701567000.0,0.0,1291255000.0,-880821000.0,2436997000.0,0.0,0.0,0.0,5527581000.0,3090584000.0,1513450000.0,0.0,48795000.0,3360679000.0,512491000.0,0.0,218298000.0,345535050.0,463756000.0,14830000.0,-140638000.0,-34664000.0,-113142000.0,-5656000.0,0.0,62496000.0,0.0,177635000.0,-7386000.0,0.0,24173000.0,-27496000.0,185000000.0,348487000.0,212140000.0,149644000.0,0.2,536340000.0,686427000.0,0.2,101955000.0,0.0,150087000.0,31359000.0,70596000.0,47689000.0,346698000.0,70596000.0,795130000.0,536340000.0,1481557000.0,70596000.0,0.0,0.0,0.0,1.0,0.0306834806890808,0.463314607537881,1.61022630413955,463756000.0,0.463314607537881,4.28771842393413,9.0,6.75070295586472,-0.39235718025004,1.34213880762603,-0.0390619638319617
6,2019-06-30 00:00:00+00:00,2,2019,4620434000.0,3140141000.0,912923000.0,1386057000.0,3550712000.0,1342410000.0,45000000.0,722394000.0,0.0,755698000.0,-839662000.0,1915522000.0,0.0,0.0,0.0,5046629000.0,3131107000.0,1069722000.0,0.0,22618000.0,3185141000.0,416430000.0,0.0,194125000.0,345425041.0,426195000.0,12445000.0,-231775000.0,-24505000.0,-207709000.0,1217000.0,0.0,61418000.0,0.0,45015000.0,-711000.0,0.0,-185982000.0,-24066000.0,45000000.0,345941000.0,11828000.0,-49590000.0,-0.31,392800000.0,341384000.0,-0.31,-95824000.0,0.0,-51416000.0,12163000.0,-107987000.0,46234000.0,345941000.0,-107987000.0,518679000.0,392800000.0,860063000.0,-107987000.0,0.0,0.0,0.0,1.0,0.0229735901839789,0.396929062173352,1.79067271683671,426195000.0,0.396929062173352,2.48986870642074,-0.557142857142857,7.36785039711869,-0.471750077895208,1.23382774672668,-0.0514873903703888
7,2019-03-31 00:00:00+00:00,1,2019,4558992000.0,3148266000.0,949670000.0,1388758000.0,3557581000.0,1450397000.0,0.0,615828000.0,0.0,624477000.0,-837934000.0,1895086000.0,0.0,0.0,0.0,5082367000.0,3187281000.0,1001411000.0,0.0,19409000.0,3148266000.0,324949000.0,0.0,380107000.0,345396232.0,523375000.0,11865000.0,-216925000.0,-19200000.0,-192810000.0,1985000.0,0.0,62500000.0,0.0,-4349000.0,4703000.0,0.0,-214374000.0,-24115000.0,-4176000.0,345852000.0,-64143000.0,-126643000.0,-0.51,366801000.0,239790000.0,-0.51,-173601000.0,0.0,-127011000.0,2695000.0,-176296000.0,46958000.0,345852000.0,-176296000.0,449456000.0,366801000.0,689246000.0,-176296000.0,0.0,0.0,0.0,2.0,-0.0269999378857436,0.347901910203324,1.89241580130436,523375000.0,0.347901910203324,1.99552263789606,-0.433333333333333,6.01531597802723,-0.6387060040131,1.51528867865588,-0.0769682256019993
8,2018-12-31 00:00:00+00:00,4,2018,4571324000.0,2851723000.0,657595000.0,1386424000.0,3321392000.0,1626693000.0,4176000.0,542889000.0,0.0,970083000.0,-859226000.0,2347200000.0,0.0,0.0,0.0,5238225000.0,2891025000.0,1249932000.0,0.0,13520000.0,2855899000.0,537965000.0,0.0,594481000.0,345150787.0,666901000.0,12728000.0,662853000.0,-46118000.0,704135000.0,1785000.0,0.0,62390000.0,0.0,-274471000.0,-8395000.0,0.0,385331000.0,-41282000.0,-274577000.0,345726000.0,165848000.0,103458000.0,0.02,604003000.0,709594000.0,0.02,54274000.0,0.0,105591000.0,44635000.0,9639000.0,49184000.0,345726000.0,9639000.0,814687000.0,604003000.0,1524281000.0,9639000.0,0.0,0.0,0.0,5.0,-0.0534855922231227,0.465527025528757,1.87786215570127,666901000.0,0.465527025528757,4.41627560304534,-1.02439024390244,4.27608145736774,-0.721671668303974,1.93220188137656,-0.101770021086839
10,2018-09-30 00:00:00+00:00,3,2018,4822823000.0,2849922000.0,677030000.0,1388883000.0,3321432000.0,1606955000.0,275000000.0,726012000.0,0.0,1312932000.0,-835022000.0,2535136000.0,0.0,0.0,0.0,5481845000.0,2946709000.0,1501391000.0,0.0,5813000.0,3124922000.0,529720000.0,0.0,209150000.0,344153031.0,659022000.0,13770000.0,-207684000.0,-29457000.0,-174843000.0,-2468000.0,0.0,72372000.0,0.0,187312000.0,2357000.0,0.0,-19456000.0,-32841000.0,195000000.0,345672000.0,193120000.0,120748000.0,0.02,491182000.0,613056000.0,0.02,72592000.0,0.0,121874000.0,66314000.0,6278000.0,48156000.0,345285000.0,6278000.0,824395000.0,491182000.0,1437451000.0,6278000.0,0.0,0.0,0.0,2.0,-0.0791373128342846,0.426488276817784,1.68852484129717,659022000.0,0.426488276817784,4.17677855639749,-1.01142857142857,4.32447171718091,-0.93220941079639,1.91490976582449,-0.150072477546643
11,2018-06-30 00:00:00+00:00,2,2018,4389471000.0,2848177000.0,719747000.0,1390076000.0,3292026000.0,1608025000.0,80000000.0,715288000.0,0.0,780064000.0,-824078000.0,2051255000.0,0.0,0.0,0.0,5053442000.0,3002187000.0,1097445000.0,0.0,3119000.0,2928177000.0,428741000.0,0.0,228606000.0,344016678.0,663971000.0,7994000.0,-313731000.0,-54321000.0,-282877000.0,-14438000.0,0.0,68433000.0,0.0,53518000.0,-35827000.0,0.0,-298118000.0,-30854000.0,55550000.0,344584000.0,-122122000.0,-190555000.0,-0.7,442393000.0,253202000.0,-0.7,-234022000.0,0.0,-189191000.0,6909000.0,-240931000.0,43467000.0,344584000.0,-240931000.0,587546000.0,442393000.0,840748000.0,-240931000.0,0.0,0.0,0.0,0.0,-0.137231561134845,0.301162774101158,1.86911872576758,663971000.0,0.301162774101158,2.44391639640215,3.375,4.28961054021938,-1.32692084461154,1.93005468182563,-0.252347439011615
