,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,3,2020,5617145000.0,2497435000.0,4708293000.0,3493419000.0,3230031000.0,7430945000.0,453908000.0,1841973000.0,0.0,1710961000.0,-935423000.0,5151987000.0,407784000.0,0.0,430515000.0,13784214000.0,8632227000.0,2387114000.0,0.0,411287000.0,2951343000.0,1933206000.0,407784000.0,781238000.0,71195045.0,8160657000.0,4883000.0,529356000.0,-420227000.0,598499000.0,-2738000.0,-1000.0,151342000.0,0.0,-132008000.0,-351084000.0,0.0,43526000.0,-69143000.0,-131885000.0,71378000.0,414476000.0,263134000.0,2.88,443455000.0,706199000.0,2.87,248280000.0,336000.0,262744000.0,43163000.0,205117000.0,14854000.0,71197000.0,205453000.0,1868671000.0,443455000.0,2574870000.0,205117000.0,0.0,0.0,0.0,6.0,0.0221043710565123,0.274265885267994,2.15824924993109,8167069000.0,0.274265885267994,36.1664214131756,0.333333333333333,0.306033570581388,0.066420691846783,114.714008538094,0.0395589810927103
1,2020-06-27 00:00:00+00:00,2,2020,5444540000.0,2799710000.0,4752591000.0,3452744000.0,3572310000.0,7225828000.0,253646000.0,1922048000.0,0.0,1586398000.0,-966776000.0,4745998000.0,0.0,0.0,418071000.0,13369404000.0,8623406000.0,1872230000.0,0.0,434264000.0,3053356000.0,1618584000.0,0.0,737712000.0,71184454.0,7918812000.0,4635000.0,487882000.0,-77039000.0,568521000.0,7376000.0,0.0,154094000.0,0.0,-24232000.0,3600000.0,0.0,474626000.0,-80639000.0,-24211000.0,71186000.0,92430000.0,-61664000.0,-0.68,430925000.0,369967000.0,-0.68,-74620000.0,-331000.0,-60958000.0,-26363000.0,-48257000.0,12956000.0,71186000.0,-48588000.0,1679833000.0,430925000.0,2049800000.0,-48257000.0,0.0,0.0,0.0,4.0,-0.206882609107811,0.180489316030832,2.53494389044081,7924864000.0,0.180489316030832,28.7956131545239,-1.24285714285714,0.353551770139258,0.0609937377818095,111.328577444733,0.0361340609748142
2,2020-03-28 00:00:00+00:00,1,2020,5409299000.0,1752830000.0,4804242000.0,3424002000.0,2538016000.0,7274085000.0,1317198000.0,2195434000.0,0.0,1644750000.0,-1087852000.0,4613031000.0,0.0,0.0,415667000.0,13256942000.0,8643911000.0,2871283000.0,0.0,480035000.0,3070028000.0,1554085000.0,0.0,263086000.0,71672772.0,7841368000.0,5041000.0,79342000.0,-133432000.0,194974000.0,-20442000.0,-68639000.0,145516000.0,0.0,87201000.0,-17800000.0,0.0,128301000.0,-115632000.0,159236000.0,71777000.0,291369000.0,145853000.0,1.54,464957000.0,616440000.0,1.54,137182000.0,-49000.0,151483000.0,26668000.0,110514000.0,8671000.0,71547000.0,110465000.0,1669323000.0,464957000.0,2285763000.0,110514000.0,0.0,0.0,0.0,4.0,-0.0641668952585271,0.269686752301092,1.60660965846975,7847643000.0,0.269686752301092,31.8916505698984,-0.0833333333333333,0.223536250307344,0.092993668949312,109.492667592095,0.0544655386083027
3,2019-12-31 00:00:00+00:00,4,2019,5260232000.0,1746543000.0,5021920000.0,3498906000.0,2547649000.0,7232337000.0,1153443000.0,2282328000.0,0.0,1526619000.0,-765824000.0,4429457000.0,42500000.0,0.0,436397000.0,13386680000.0,8957223000.0,2712583000.0,0.0,473886000.0,2899986000.0,1559140000.0,42500000.0,134785000.0,71622235.0,8119841000.0,6392000.0,300827000.0,-141583000.0,440675000.0,3960000.0,-23409000.0,153759000.0,-4235000.0,-279570000.0,2500000.0,0.0,23482000.0,-139848000.0,-252095000.0,71322000.0,318089000.0,164330000.0,3.71,504400000.0,622807000.0,3.69,153368000.0,6000.0,118407000.0,-111299000.0,264667000.0,10962000.0,71038000.0,264673000.0,1801705000.0,467993000.0,2424512000.0,264667000.0,0.0,0.0,0.0,5.0,-0.00984473690873788,0.256879322519336,1.63292957303058,8126448000.0,0.256879322519336,33.8513870727435,0.208469055374593,0.215095714312632,0.0952148800925318,113.462641873714,0.0549328288720968
5,2019-09-28 00:00:00+00:00,3,2019,5627483000.0,1722141000.0,4934713000.0,3436167000.0,2512784000.0,6991076000.0,1375840000.0,2337952000.0,0.0,1787158000.0,-882287000.0,4727780000.0,0.0,0.0,294102000.0,13392762000.0,8664982000.0,3114699000.0,0.0,434912000.0,3097981000.0,1738859000.0,0.0,111303000.0,72152534.0,7758768000.0,5651000.0,287204000.0,-120555000.0,411759000.0,-3126000.0,-67709000.0,144920000.0,0.0,-304871000.0,4000000.0,0.0,-16793000.0,-124555000.0,-237162000.0,72392000.0,332276000.0,187356000.0,2.16,451471000.0,691691000.0,2.15,178040000.0,151000.0,240220000.0,22522000.0,155518000.0,9316000.0,72106000.0,155669000.0,1827494000.0,451471000.0,2519185000.0,155518000.0,0.0,0.0,0.0,6.0,-0.0104544740356666,0.274569354771484,1.51789306125568,7765279000.0,0.274569354771484,34.9147127667062,-0.287128712871287,0.221960625707587,0.0927297310236985,107.623094706556,0.0526042843354613
6,2019-06-29 00:00:00+00:00,2,2019,5984511000.0,1419333000.0,5058022000.0,3516326000.0,2278720000.0,6903261000.0,1991857000.0,2367631000.0,0.0,1819474000.0,-732521000.0,4808317000.0,0.0,0.0,423437000.0,13806102000.0,8997785000.0,3705791000.0,0.0,422544000.0,3411190000.0,1713934000.0,0.0,128096000.0,72421223.0,7815073000.0,5788000.0,252079000.0,-142111000.0,396190000.0,585000.0,-8963000.0,140482000.0,0.0,-232236000.0,2000000.0,0.0,22428000.0,-144111000.0,-223231000.0,72680000.0,410177000.0,269695000.0,2.8,469758000.0,736618000.0,2.79,259174000.0,213000.0,266860000.0,56733000.0,202441000.0,10521000.0,72402000.0,202654000.0,1847867000.0,469758000.0,2584485000.0,202441000.0,0.0,0.0,0.0,7.0,0.00289909173950931,0.285015389913271,1.29751434983786,7821591000.0,0.285015389913271,35.6868455535472,0.0606060606060606,0.181614810251932,0.102737267045829,108.001365842717,0.0583337784112814
7,2019-03-30 00:00:00+00:00,1,2019,6028030000.0,1725570000.0,4995235000.0,3499561000.0,2593783000.0,6709782000.0,1862974000.0,2338125000.0,0.0,1743581000.0,-777547000.0,4688965000.0,0.0,0.0,421314000.0,13605075000.0,8916110000.0,3434247000.0,0.0,422772000.0,3588544000.0,1571273000.0,0.0,105668000.0,72309897.0,7570801000.0,5789000.0,33189000.0,-211795000.0,170137000.0,1476000.0,1000.0,137291000.0,-76847000.0,26800000.0,2000000.0,0.0,-13382000.0,-136948000.0,31468000.0,72646000.0,306367000.0,169076000.0,1.68,459597000.0,624927000.0,1.67,158603000.0,-10000.0,165330000.0,37018000.0,121585000.0,10473000.0,72342000.0,121575000.0,1817563000.0,459597000.0,2442490000.0,121585000.0,0.0,0.0,0.0,4.0,0.0125561623777777,0.255856523465807,1.36535461776628,7577045000.0,0.255856523465807,33.7780871130269,-0.4,0.227924363617535,0.103497686988926,104.785725251413,0.058900024701914
8,2018-12-31 00:00:00+00:00,4,2018,5659064000.0,1515601000.0,4699902000.0,3482776000.0,2392825000.0,6588197000.0,1742373000.0,2287615000.0,0.0,1606159000.0,-791608000.0,4509296000.0,0.0,0.0,407149000.0,13099123000.0,8589827000.0,3266239000.0,0.0,413740000.0,3257974000.0,1523866000.0,0.0,119050000.0,74198945.0,7433814000.0,4685000.0,135698000.0,-303854000.0,286859000.0,-1790000.0,-274144000.0,139092000.0,-143656000.0,46484000.0,-9037000.0,0.0,27699000.0,-151161000.0,356309000.0,74161000.0,351260000.0,212168000.0,3.07,440312000.0,646390000.0,3.05,197757000.0,704000.0,206078000.0,-31582000.0,229339000.0,14411000.0,73855000.0,230043000.0,1802228000.0,433014000.0,2448618000.0,229339000.0,0.0,0.0,0.0,5.0,0.0335659536101729,0.263981560210698,1.38057747764325,7440059000.0,0.263981560210698,33.0007118025735,-0.0495356037151703,0.203879327623747,0.116050241562029,100.271762624118,0.0668577655551043
10,2018-09-29 00:00:00+00:00,3,2018,5397922000.0,1528551000.0,4586236000.0,3466800000.0,2440651000.0,6635896000.0,1333853000.0,2214295000.0,0.0,1755710000.0,-704379000.0,4548470000.0,0.0,0.0,399420000.0,13000926000.0,8452456000.0,2957271000.0,0.0,400693000.0,2862404000.0,1623418000.0,0.0,91351000.0,74602891.0,7563756000.0,5104000.0,128904000.0,-542489000.0,273499000.0,-1401000.0,0.0,132971000.0,-400894000.0,-156484000.0,3000000.0,0.0,-426875000.0,-144595000.0,-156484000.0,74945000.0,418496000.0,285525000.0,3.03,433189000.0,720433000.0,3.02,276500000.0,1013000.0,287244000.0,49487000.0,227013000.0,9025000.0,74603000.0,228026000.0,1825367000.0,433189000.0,2545800000.0,227013000.0,0.0,0.0,0.0,5.0,0.0397343690652683,0.282988844371121,1.53806330228106,7603004000.0,0.282988844371121,34.1246829161084,-0.165289256198347,0.202088882824882,0.119038484588041,101.912994229674,0.0690595228227629
11,2018-06-30 00:00:00+00:00,2,2018,5490562000.0,1884023000.0,4421073000.0,3305578000.0,2754490000.0,6409552000.0,1146511000.0,2061204000.0,0.0,1737935000.0,-671133000.0,4773680000.0,0.0,0.0,393708000.0,12894039000.0,8120359000.0,2736072000.0,0.0,365379000.0,3030534000.0,1589561000.0,0.0,518226000.0,74598687.0,7365554000.0,13645000.0,190340000.0,-244418000.0,437758000.0,-11387000.0,1000.0,127048000.0,0.0,221430000.0,3000000.0,0.0,403383000.0,-247418000.0,221473000.0,74937000.0,450306000.0,323258000.0,2.64,440248000.0,766555000.0,2.62,315395000.0,959000.0,326307000.0,118809000.0,196586000.0,7863000.0,74597000.0,197545000.0,1810459000.0,440248000.0,2577014000.0,196586000.0,0.0,0.0,0.0,5.0,0.0505397796528224,0.29745860907236,1.74472016818271,7403477000.0,0.29745860907236,34.5450316035723,-0.247863247863248,0.255788362966316,0.128294237777904,99.2440657836243,0.0741921390100724
