,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,62.71,63.62,62.59,63.4,2206073,62.71,63.62,62.59,63.4,2206073,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,63.12,63.32,62.24,62.68,2311470,63.12,63.32,62.24,62.68,2311470,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,63.36,64.06,63.12,63.38,1804868,63.36,64.06,63.12,63.38,1804868,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,63.49,63.85,63.1901,63.49,1669259,63.49,63.85,63.1901,63.49,1669259,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,64.03,64.08,62.79,63.06,1462784,64.03,64.08,62.79,63.06,1462784,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,65.48,65.59,63.98,64.31,3426169,65.48,65.59,63.98,64.31,3426169,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,63.59,66.1612,63.29,65.68,2630446,63.59,66.1612,63.29,65.68,2630446,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,63.96,64.11,63.44,63.72,1741297,63.96,64.11,63.44,63.72,1741297,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,63.77,64.32,63.68,64.14,1836650,63.77,64.32,63.68,64.14,1836650,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,64.56,64.76,63.611,64.08,1867183,64.56,64.76,63.611,64.08,1867183,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,67.07,67.24,65.05,65.34,3162812,67.07,67.24,65.05,65.34,3162812,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,66.47,67.22,65.69,67.01,1695705,66.47,67.22,65.69,67.01,1695705,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,66.86,67.34,66.53,66.63,2466723,66.86,67.34,66.53,66.63,2466723,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,67.77,67.8,66.75,66.84,1616334,67.77,67.8,66.75,66.84,1616334,0.0,1.0,38219792841.0,37691170841.0,46.7379310345,9.8119929906,2.3368965517
14,2018-01-23 00:00:00+00:00,68.45,68.63,67.38,67.73,2384235,68.45,68.63,67.38,67.73,2384235,0.0,1.0,38603287885.0,38074665885.0,47.2068965517,9.9104459231,2.3603448276
15,2018-01-24 00:00:00+00:00,68.28,68.77,68.14,68.68,2095251,68.28,68.77,68.14,68.68,2095251,0.0,1.0,38507414124.0,37978792124.0,47.0896551724,9.88583269,2.3544827586
16,2018-01-25 00:00:00+00:00,67.8,68.67,67.65,68.55,2592351,67.8,68.67,67.65,68.55,2592351,0.0,1.0,38236711740.0,37708089740.0,46.7586206897,9.8163365024,2.3379310345
17,2018-01-26 00:00:00+00:00,68.91,69.0,67.69,67.84,1666265,68.91,69.0,67.69,67.84,1666265,0.0,1.0,38862711003.0,38334089003.0,47.524137931,9.9770464362,2.3762068966
18,2018-01-29 00:00:00+00:00,68.29,70.215,67.56,69.6,3002882,68.29,70.215,67.56,69.6,3002882,0.0,1.0,38513053757.0,37984431757.0,47.0965517241,9.8872805272,2.3548275862
19,2018-01-30 00:00:00+00:00,67.9,69.01,67.79,68.25,2114660,67.9,69.01,67.79,68.25,2114660,0.0,1.0,38293108070.0,37764486070.0,46.8275862069,9.8308148748,2.3413793103
20,2018-01-31 00:00:00+00:00,68.23,68.58,67.55,67.64,2450195,68.23,68.58,67.55,67.64,2450195,0.0,1.0,38479215959.0,37950593959.0,47.0551724138,9.8785935038,2.3527586207
21,2018-02-01 00:00:00+00:00,67.93,68.44,67.06,67.97,1808167,67.93,68.44,67.06,67.97,1808167,0.0,1.0,38310026969.0,37781404969.0,46.8482758621,9.8351583865,2.3424137931
22,2018-02-02 00:00:00+00:00,66.63,67.86,66.58,67.66,1930831,66.63,67.86,66.58,67.66,1930831,0.0,1.0,37576874679.0,37048252679.0,45.9517241379,9.646939545,2.2975862069
23,2018-02-05 00:00:00+00:00,63.85,66.86,63.85,66.58,2628627,63.85,66.86,63.85,66.58,2628627,0.0,1.0,36009056705.0,35480434705.0,44.0344827586,9.2444407917,2.2017241379
24,2018-02-06 00:00:00+00:00,64.21,64.32,61.15,63.1,3314908,64.21,64.32,61.15,63.1,3314908,0.0,1.0,36212083493.0,35683461493.0,44.2827586207,9.2965629324,2.214137931
25,2018-02-07 00:00:00+00:00,64.55,65.11,63.58,63.73,2844657,64.55,65.11,63.58,63.73,2844657,0.0,1.0,36403831015.0,35875209015.0,44.5172413793,9.3457893986,2.225862069
26,2018-02-08 00:00:00+00:00,61.99,64.62,61.94,64.39,2042958,61.99,64.62,61.94,64.39,2042958,0.0,1.0,34960084967.0,34431462967.0,42.7517241379,8.9751430646,2.1375862069
27,2018-02-09 00:00:00+00:00,62.89,63.42,61.18,62.28,2230108,62.89,63.42,61.18,62.28,2230108,0.0,1.0,35467651937.0,34939029937.0,43.3724137931,9.1054484164,2.1686206897
28,2018-02-12 00:00:00+00:00,64.08,64.48,63.0,63.15,2048380,64.08,64.48,63.0,63.15,2048380,0.0,1.0,36138768264.0,35610146264.0,44.1931034483,9.2777410482,2.2096551724
29,2018-02-13 00:00:00+00:00,63.39,63.77,62.87,63.61,2011762,63.39,63.77,62.87,63.61,2011762,0.0,1.0,35749633587.0,35221011587.0,43.7172413793,9.1778402785,2.185862069
30,2018-02-14 00:00:00+00:00,63.9,64.0,62.41,62.84,1702743,63.9,64.0,62.41,62.84,1702743,0.0,1.0,36037254870.0,35508632870.0,44.0689655172,9.2516799779,2.2034482759
31,2018-02-15 00:00:00+00:00,65.61,65.65,63.8,64.09,1684835,65.61,65.65,63.8,64.09,1684835,0.0,1.0,37001632113.0,36473010113.0,45.2482758621,9.4992601463,2.2624137931
32,2018-02-16 00:00:00+00:00,65.48,66.43,65.1055,65.97,1547441,65.48,66.43,65.1055,65.97,1547441,0.0,1.0,36928316884.0,36399694884.0,45.1586206897,9.4804382622,2.2579310345
33,2018-02-20 00:00:00+00:00,64.6,65.585,64.32,64.98,1817329,64.6,65.585,64.32,64.98,1817329,0.0,1.0,36432029180.0,35903407180.0,44.5517241379,9.3530285848,2.2275862069
34,2018-02-21 00:00:00+00:00,65.02,66.26,64.67,64.75,2226940,65.02,66.26,64.67,64.75,2226940,0.0,1.0,36668893766.0,36140271766.0,44.8413793103,9.413837749,2.2420689655
35,2018-02-22 00:00:00+00:00,64.93,65.77,64.72,65.1,2119401,64.93,65.77,64.72,65.1,2119401,0.0,1.0,36618137069.0,36089515069.0,44.7793103448,9.4008072138,2.2389655172
36,2018-02-23 00:00:00+00:00,65.88,65.9501,64.68,65.4,1877307,65.88,65.9501,64.68,65.4,1877307,0.0,1.0,37153902204.0,36625280204.0,45.4344827586,9.5383517518,2.2717241379
37,2018-02-26 00:00:00+00:00,65.81,66.35,65.165,66.12,1686952,65.81,66.35,65.165,66.12,1686952,0.0,1.0,37114424773.0,36585802773.0,45.3862068966,9.5282168911,2.2693103448
