,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,1068362000.0,0.0,304687000.0,2391180000.0,294599000.0,5960338000.0,0.0,318956000.0,0.0,740813000.0,-32529000.0,2825847000.0,619897000.0,20571000.0,100841000.0,5697683000.0,2871836000.0,773763000.0,313819000.0,32082000.0,0.0,281522000.0,599326000.0,1074730000.0,527396445.0,4629321000.0,20008000.0,489521000.0,-391208000.0,508778000.0,15104000.0,21550000.0,13822000.0,0.0,20730000.0,-347061000.0,0.0,153404000.0,-19257000.0,-820000.0,533263000.0,467855000.0,454033000.0,0.66,277930000.0,736531000.0,0.65,454033000.0,0.0,458601000.0,106379000.0,347654000.0,0.0,527637000.0,347654000.0,509831000.0,277930000.0,1246362000.0,347654000.0,0.0,0.0,0.0,7.0,0.0994947850917935,0.590944685412424,3.65208338987519,4629321000.0,0.590944685412424,2.36323549734963,0.2,0.0,0.28243788228653,8.77768715335197,0.228034666541129
1,2020,2,2020-06-30 00:00:00+00:00,972273000.0,0.0,301946000.0,2387187000.0,297408000.0,5612684000.0,0.0,340536000.0,0.0,760433000.0,-53438000.0,2371450000.0,252830000.0,2077000.0,104754000.0,5193813000.0,2822363000.0,674865000.0,317820000.0,22497000.0,0.0,261969000.0,250753000.0,921326000.0,526563592.0,4221540000.0,15936000.0,218617000.0,-29282000.0,249326000.0,7086000.0,-6693000.0,15511000.0,0.0,-7640000.0,-5194000.0,0.0,219490000.0,-30709000.0,-947000.0,531191000.0,420979000.0,405468000.0,0.59,252205000.0,659469000.0,0.59,405468000.0,0.0,407264000.0,94099000.0,311369000.0,0.0,526911000.0,311369000.0,434427000.0,252205000.0,1093896000.0,311369000.0,0.0,0.0,0.0,7.0,-0.00919256008586611,0.602862612167884,3.51396205166959,4221540000.0,0.602862612167884,2.07742429712079,0.0925925925925926,0.0,0.279525731679793,8.01715132633021,0.224736910443771
2,2020,1,2020-03-31 00:00:00+00:00,1010551000.0,0.0,295570000.0,2384750000.0,309010000.0,5301315000.0,0.0,352305000.0,0.0,670570000.0,-62682000.0,2048722000.0,247435000.0,13922000.0,103410000.0,4881497000.0,2832775000.0,701541000.0,323237000.0,12711000.0,0.0,305529000.0,233513000.0,701836000.0,536896142.0,3870946000.0,17098000.0,180230000.0,279976000.0,191132000.0,-21261000.0,-545235000.0,16546000.0,0.0,-545968000.0,298837000.0,0.0,-96121000.0,-10902000.0,-733000.0,540518000.0,382406000.0,365860000.0,0.52,272208000.0,637196000.0,0.52,365860000.0,0.0,364988000.0,87025000.0,278835000.0,0.0,536061000.0,278835000.0,424901000.0,272208000.0,1062097000.0,278835000.0,0.0,0.0,0.0,5.0,0.122734782889055,0.59994143661078,2.92031684534475,3870946000.0,0.59994143661078,1.97821685967712,0.0833333333333335,0.0,0.277689908513751,7.20985996580322,0.222219841294959
3,2019,4,2019-12-31 00:00:00+00:00,979071000.0,0.0,298640000.0,2383748000.0,317974000.0,5022480000.0,0.0,360731000.0,0.0,540330000.0,-32387000.0,2316309000.0,545968000.0,12905000.0,114137000.0,5150352000.0,2834043000.0,661097000.0,331706000.0,14717000.0,0.0,274045000.0,533063000.0,797957000.0,537681684.0,4171281000.0,16466000.0,227116000.0,1461000.0,292693000.0,9375000.0,-222461000.0,16971000.0,0.0,-223189000.0,61536000.0,0.0,80340000.0,-65577000.0,-728000.0,541271000.0,338204000.0,321233000.0,0.47,293723000.0,610768000.0,0.47,321233000.0,0.0,317045000.0,66279000.0,254954000.0,0.0,537352000.0,254954000.0,406438000.0,293723000.0,1017206000.0,254954000.0,0.0,0.0,0.0,8.0,0.100598335912057,0.600436882991253,3.50373545788288,4171281000.0,0.600436882991253,1.89183680655189,0.0930232558139534,0.0,0.276342764706047,7.75790049043218,0.221258333561765
5,2019,3,2019-09-30 00:00:00+00:00,1029388000.0,0.0,251760000.0,2379116000.0,315172000.0,4767526000.0,0.0,317745000.0,0.0,647983000.0,-43083000.0,2360760000.0,601726000.0,14370000.0,116817000.0,5137366000.0,2776606000.0,714216000.0,335906000.0,20334000.0,0.0,304773000.0,587356000.0,717617000.0,544879342.0,4107978000.0,15991000.0,337860000.0,-272143000.0,366284000.0,-10808000.0,-250197000.0,15399000.0,0.0,-253963000.0,-243449000.0,0.0,-170630000.0,-28424000.0,-3766000.0,548422000.0,413963000.0,398564000.0,0.55,277559000.0,673002000.0,0.55,398564000.0,0.0,395443000.0,99641000.0,298923000.0,0.0,544469000.0,298923000.0,460575000.0,277559000.0,1133577000.0,298923000.0,0.0,0.0,0.0,7.0,0.115549716580066,0.593697649123086,3.30538660573272,4107978000.0,0.593697649123086,2.08041838370888,0.145833333333333,0.0,0.282253412457347,7.53924343125491,0.225100647068403
6,2019,2,2019-06-30 00:00:00+00:00,1026746000.0,0.0,240165000.0,2377453000.0,321246000.0,4468603000.0,0.0,299529000.0,0.0,688197000.0,-28756000.0,2326768000.0,364994000.0,7006000.0,119478000.0,5084332000.0,2757564000.0,705500000.0,342214000.0,15179000.0,0.0,292627000.0,357988000.0,888247000.0,543576196.0,4057586000.0,15575000.0,319054000.0,-102821000.0,331389000.0,4667000.0,45350000.0,17574000.0,0.0,36668000.0,-91460000.0,0.0,269903000.0,-12335000.0,-8682000.0,548218000.0,399537000.0,381963000.0,0.54,282293000.0,661283000.0,0.53,381963000.0,0.0,378990000.0,89490000.0,292473000.0,0.0,544156000.0,292473000.0,442762000.0,282293000.0,1104045000.0,292473000.0,0.0,0.0,0.0,8.0,0.0867943138561611,0.598963810351933,3.29804110559887,4057586000.0,0.598963810351933,2.03107679866099,0.125,0.0,0.278049305353783,7.46461311193988,0.221710523531367
7,2019,1,2019-03-31 00:00:00+00:00,957031000.0,0.0,241232000.0,2374482000.0,326059000.0,4176130000.0,0.0,300780000.0,0.0,596661000.0,-34125000.0,1907300000.0,263697000.0,0.0,149348000.0,4655851000.0,2748551000.0,630972000.0,346832000.0,6113000.0,0.0,267735000.0,263697000.0,618344000.0,543148169.0,3698820000.0,15324000.0,115095000.0,46779000.0,123396000.0,-1322000.0,-187629000.0,14870000.0,0.0,-188022000.0,57073000.0,0.0,-19169000.0,-8301000.0,-393000.0,548273000.0,329073000.0,314203000.0,0.48,262071000.0,573532000.0,0.48,314203000.0,0.0,311461000.0,52718000.0,261485000.0,0.0,542768000.0,261485000.0,372459000.0,262071000.0,945991000.0,261485000.0,0.0,0.0,0.0,7.0,0.11172600041602,0.606276381064936,3.02279657417445,3698820000.0,0.606276381064936,1.74168128328902,0.263157894736842,0.0,0.280505300190139,6.80996496188133,0.223366627463256
8,2018,4,2018-12-31 00:00:00+00:00,915990000.0,0.0,243051000.0,2377521000.0,314845000.0,3914645000.0,0.0,277705000.0,0.0,484562000.0,-32864000.0,1804170000.0,320650000.0,0.0,124518000.0,4526891000.0,2722721000.0,601145000.0,356269000.0,10189000.0,0.0,248760000.0,320650000.0,637513000.0,552963481.0,3610901000.0,14675000.0,315744000.0,118808000.0,340521000.0,-1569000.0,-533557000.0,14510000.0,0.0,-533961000.0,138999000.0,0.0,-76201000.0,-24777000.0,-404000.0,556643000.0,325405000.0,310895000.0,0.43,245691000.0,552202000.0,0.43,310895000.0,0.0,306511000.0,71788000.0,239107000.0,0.0,550248000.0,239107000.0,372028000.0,245691000.0,924230000.0,239107000.0,0.0,0.0,0.0,6.0,0.140524831709559,0.597472490613808,3.0012226667443,3610901000.0,0.597472490613808,1.67141236583759,0.194444444444444,0.0,0.265067816443648,6.53008946173066,0.212629972765113
10,2018,3,2018-09-30 00:00:00+00:00,978092000.0,0.0,242854000.0,2373891000.0,321730000.0,3675538000.0,0.0,262084000.0,0.0,620162000.0,-29777000.0,2152671000.0,459508000.0,1610000.0,126467000.0,4871359000.0,2718688000.0,656362000.0,363239000.0,6453000.0,0.0,278914000.0,457898000.0,713714000.0,552523130.0,3893267000.0,14091000.0,305236000.0,-272030000.0,320060000.0,-4358000.0,10865000.0,14284000.0,0.0,10355000.0,-248532000.0,0.0,54027000.0,-14824000.0,-510000.0,559955000.0,356845000.0,342561000.0,0.48,268086000.0,607659000.0,0.48,342561000.0,0.0,339573000.0,74828000.0,267733000.0,0.0,552694000.0,267733000.0,408501000.0,268086000.0,1016160000.0,267733000.0,0.0,0.0,0.0,6.0,0.117302710571802,0.597995394426075,3.27970083581926,3893267000.0,0.597995394426075,1.8391266262464,0.230769230769231,0.0,0.25023396702103,7.04634211422063,0.201687522859449
11,2018,2,2018-06-30 00:00:00+00:00,936910000.0,0.0,240658000.0,2371044000.0,322698000.0,3407806000.0,0.0,275566000.0,0.0,592568000.0,-25196000.0,1828679000.0,211093000.0,0.0,117698000.0,4542070000.0,2713391000.0,614212000.0,364147000.0,15978000.0,0.0,267117000.0,211093000.0,659687000.0,562681834.0,3605160000.0,14906000.0,331012000.0,350304000.0,352389000.0,-7853000.0,-546084000.0,14194000.0,0.0,-546513000.0,378138000.0,0.0,148327000.0,-21377000.0,-429000.0,566352000.0,372291000.0,358097000.0,0.48,262637000.0,620258000.0,0.48,358097000.0,0.0,357621000.0,87981000.0,270116000.0,0.0,559867000.0,270116000.0,395615000.0,262637000.0,1015873000.0,270116000.0,0.0,0.0,0.0,6.0,0.119952418120802,0.610566478290101,2.97727657551464,3605160000.0,0.610566478290101,1.80541282589194,0.230769230769231,0.0,0.239361870369205,6.40710217063805,0.192998873396613
12,2018,1,2018-03-31 00:00:00+00:00,864525000.0,0.0,231199000.0,2368304000.0,330503000.0,3137691000.0,0.0,268607000.0,0.0,525463000.0,-13721000.0,2038548000.0,588719000.0,3497000.0,172005000.0,4740132000.0,2701584000.0,534022000.0,372625000.0,9758000.0,0.0,226063000.0,585222000.0,511360000.0,566402748.0,3875607000.0,13439000.0,139259000.0,75874000.0,148911000.0,3945000.0,-245449000.0,13991000.0,0.0,-245992000.0,86795000.0,0.0,-17262000.0,-9652000.0,-543000.0,574129000.0,295711000.0,281720000.0,0.38,235342000.0,515257000.0,0.38,281720000.0,0.0,279915000.0,65670000.0,216050000.0,0.0,566000000.0,216050000.0,335664000.0,235342000.0,850921000.0,216050000.0,0.0,0.0,0.0,5.0,0.146568195476362,0.605528597836932,3.81734834894443,3875607000.0,0.605528597836932,1.50232498518881,0.225806451612903,0.0,0.224289797120338,6.84249328536097,0.181513588355554
