,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,8290000000.0,348000000.0,43380000000.0,0.0,4123000000.0,1500000000.0,46651000000.0,1862000000.0,0.0,34356000000.0,35090000000.0,40252000000.0,1858397202.0,19408000000.0,151000000.0,0.0,17810000000.0,2009000000.0,29255000000.0,27755000000.0,4724000000.0,-3781000000.0,6399000000.0,19408000000.0,3139000000.0,0.0,-1564000000.0,-56000000.0,-710000000.0,0.0,898000000.0,0.0,0.0,-1564000000.0,842000000.0,-44000000.0,0.0,0.0,62000000.0,0.0,0.0,557000000.0,0.0,7123000000.0,-320000000.0,310000000.0,-952000000.0,-952000000.0,-4000000.0,-0.51,-10000000.0,632000000.0,3160000000.0,557000000.0,-0.51,52000000.0,-956000000.0,3717000000.0,3406000000.0,1858397202.0,0.0,8.0,0.0389439906651108,0.521830689316299,0.77189384800965,3271000000.0,0.521830689316299,3.83287275310911,-0.633093525179856,8.84198789423383,0.135976287513894,1.76011887904252,0.0147730703431619
1,2020-06-30 00:00:00+00:00,2,2020,9400000000.0,273000000.0,44376000000.0,0.0,4826000000.0,1500000000.0,50200000000.0,1914000000.0,0.0,36908000000.0,34976000000.0,43196000000.0,1858368058.0,22319000000.0,140000000.0,0.0,17827000000.0,2002000000.0,29042000000.0,27542000000.0,7238000000.0,-3774000000.0,7004000000.0,22319000000.0,5688000000.0,0.0,-1563000000.0,-54000000.0,-770000000.0,0.0,1817000000.0,0.0,0.0,-2576000000.0,1763000000.0,-11000000.0,0.0,-1007000000.0,65000000.0,0.0,0.0,491000000.0,0.0,6367000000.0,2570000000.0,308000000.0,1943000000.0,1943000000.0,-5000000.0,1.04,2878000000.0,627000000.0,2796000000.0,491000000.0,1.04,2943000000.0,1938000000.0,3287000000.0,3080000000.0,1858368058.0,0.0,6.0,-0.0380722163468802,0.516255693419193,0.745106382978723,5824000000.0,0.516255693419193,3.42612432052467,-0.0280373831775701,4.84212376933896,-0.126077660528312,3.13393247098095,-0.0178339723514893
2,2020-03-31 00:00:00+00:00,1,2020,11154000000.0,278000000.0,45943000000.0,0.0,5616000000.0,3000000000.0,52618000000.0,2006000000.0,0.0,36528000000.0,34789000000.0,44683000000.0,1858366804.0,23861000000.0,147000000.0,0.0,17845000000.0,1997000000.0,29971000000.0,26971000000.0,5584000000.0,-2533000000.0,7935000000.0,23861000000.0,6543000000.0,0.0,-1563000000.0,-52000000.0,3504000000.0,0.0,3129000000.0,0.0,0.0,427000000.0,3077000000.0,-52000000.0,0.0,2000000000.0,65000000.0,0.0,0.0,537000000.0,0.0,6359000000.0,2110000000.0,275000000.0,1552000000.0,1552000000.0,-2000000.0,0.83,2385000000.0,558000000.0,2336000000.0,537000000.0,0.83,2450000000.0,1550000000.0,2873000000.0,3486000000.0,1858366804.0,0.0,7.0,0.129886282871357,0.451800597578236,0.71140398063475,6675000000.0,0.451800597578236,3.42182177722542,0.383333333333333,4.12211523765857,-0.0911738232646794,3.59186355763165,-0.0162220976623034
3,2019-12-31 00:00:00+00:00,4,2019,8174000000.0,325000000.0,42914000000.0,0.0,2117000000.0,1000000000.0,49271000000.0,2293000000.0,0.0,36539000000.0,34740000000.0,44447000000.0,1868126510.0,23581000000.0,152000000.0,0.0,17864000000.0,1999000000.0,28042000000.0,27042000000.0,5083000000.0,-2864000000.0,4824000000.0,23581000000.0,6222000000.0,0.0,-1571000000.0,-86000000.0,515000000.0,-499000000.0,2563000000.0,0.0,0.0,-2062000000.0,2477000000.0,14000000.0,0.0,0.0,63000000.0,-41000000.0,0.0,572000000.0,0.0,6007000000.0,-1218000000.0,291000000.0,-1809000000.0,-1809000000.0,-5000000.0,-0.97,-927000000.0,591000000.0,2427000000.0,657000000.0,-0.97,-864000000.0,-1814000000.0,3084000000.0,2923000000.0,1868126510.0,0.0,5.0,-0.0175008177952241,0.513401032129183,0.590163934426229,6357000000.0,0.513401032129183,3.21552098738752,-2.44776119402985,4.34619093539055,-0.114146987419996,3.40287446592683,-0.0236252843530454
5,2019-09-30 00:00:00+00:00,3,2019,7662000000.0,246000000.0,42237000000.0,0.0,1604000000.0,1000000000.0,52913000000.0,2188000000.0,15000000.0,39910000000.0,34575000000.0,48622000000.0,1868095889.0,27346000000.0,165000000.0,0.0,17950000000.0,1962000000.0,27903000000.0,26903000000.0,5240000000.0,-2402000000.0,4291000000.0,27346000000.0,10545000000.0,0.0,-1497000000.0,-81000000.0,-191000000.0,0.0,2882000000.0,0.0,0.0,-2637000000.0,2801000000.0,-436000000.0,0.0,-1144000000.0,57000000.0,-452000000.0,0.0,552000000.0,0.0,6856000000.0,-2126000000.0,293000000.0,-2600000000.0,-2600000000.0,-2000000.0,-1.39,-1833000000.0,474000000.0,2944000000.0,553000000.0,-1.39,-1776000000.0,-2602000000.0,3497000000.0,3359000000.0,1868095889.0,0.0,6.0,0.00277899663595149,0.510064177362894,0.560036543983294,10676000000.0,0.510064177362894,3.67004715355915,-2.3495145631068,2.55125651967757,0.131118329466357,5.71491006583977,0.0313807717253205
6,2019-06-30 00:00:00+00:00,2,2019,7952000000.0,224000000.0,42997000000.0,0.0,1796000000.0,2144000000.0,57501000000.0,2235000000.0,79000000.0,44081000000.0,35045000000.0,53018000000.0,1870919863.0,32094000000.0,163000000.0,0.0,17527000000.0,1917000000.0,29240000000.0,27096000000.0,5378000000.0,-2646000000.0,4483000000.0,32094000000.0,14464000000.0,0.0,-1499000000.0,-41000000.0,-1619000000.0,-195000000.0,103000000.0,0.0,0.0,-1696000000.0,62000000.0,-26000000.0,0.0,0.0,53000000.0,-1000000.0,0.0,569000000.0,0.0,6619000000.0,2600000000.0,312000000.0,1996000000.0,1996000000.0,1000000.0,1.07,2912000000.0,604000000.0,2717000000.0,602000000.0,1.07,2965000000.0,1997000000.0,3319000000.0,3300000000.0,1870919863.0,0.0,5.0,0.0498017446471055,0.501435262124188,0.56375754527163,14504000000.0,0.501435262124188,3.53783191407595,0.0808080808080809,1.8733407079646,0.429008567931457,7.75233631692968,0.116754415996595
7,2019-03-31 00:00:00+00:00,1,2019,10119000000.0,205000000.0,45114000000.0,0.0,3352000000.0,2144000000.0,59233000000.0,2356000000.0,3000000.0,43582000000.0,34995000000.0,52971000000.0,1874430847.0,32015000000.0,158000000.0,0.0,17523000000.0,1922000000.0,29168000000.0,27024000000.0,5353000000.0,-2717000000.0,6262000000.0,32015000000.0,14079000000.0,0.0,-1502000000.0,-38000000.0,2022000000.0,-151000000.0,2289000000.0,0.0,0.0,1683000000.0,2251000000.0,-1950000000.0,0.0,3465000000.0,53000000.0,-1831000000.0,0.0,533000000.0,0.0,5628000000.0,1515000000.0,384000000.0,1120000000.0,1120000000.0,1000000.0,0.6,1899000000.0,395000000.0,2238000000.0,573000000.0,0.6,1952000000.0,1121000000.0,2811000000.0,2817000000.0,1874430847.0,0.0,6.0,-0.0785854616895875,0.499466950959488,0.618835853345192,14119000000.0,0.499466950959488,3.00251140713328,-0.4,1.91945450671212,0.411530021942948,7.53241978630327,0.122662544222136
8,2018-12-31 00:00:00+00:00,4,2018,21193000000.0,399000000.0,40631000000.0,0.0,1333000000.0,13848000000.0,55459000000.0,2331000000.0,167000000.0,43962000000.0,19438000000.0,51160000000.0,1879045481.0,30496000000.0,142000000.0,0.0,17475000000.0,1938000000.0,25746000000.0,11898000000.0,4993000000.0,-2547000000.0,4299000000.0,30496000000.0,14787000000.0,0.0,-1506000000.0,-106000000.0,-1059000000.0,-356000000.0,1825000000.0,0.0,0.0,9967000000.0,1719000000.0,-12851000000.0,0.0,11936000000.0,59000000.0,-12800000000.0,0.0,797000000.0,0.0,6114000000.0,1709000000.0,162000000.0,1250000000.0,1250000000.0,1000000.0,0.67,1871000000.0,459000000.0,1744000000.0,1178000000.0,0.66,1930000000.0,1251000000.0,2922000000.0,3192000000.0,1879045481.0,0.0,6.0,0.00213079822979845,0.477919528949951,0.20284999764073,14828000000.0,0.477919528949951,3.25377967793851,-0.741312741312741,0.804625684723068,0.453091701778074,7.89124060589995,0.149350092231136
10,2018-09-30 00:00:00+00:00,3,2018,8646000000.0,289000000.0,28419000000.0,0.0,2393000000.0,2007000000.0,43953000000.0,2077000000.0,84000000.0,43805000000.0,19773000000.0,38788000000.0,1885174950.0,18673000000.0,187000000.0,0.0,17692000000.0,1891000000.0,13903000000.0,11896000000.0,5427000000.0,-2034000000.0,5165000000.0,18673000000.0,15494000000.0,0.0,-1324000000.0,-60000000.0,969000000.0,-367000000.0,2716000000.0,0.0,0.0,-1691000000.0,2656000000.0,-56000000.0,0.0,0.0,64000000.0,-15000000.0,0.0,700000000.0,0.0,6837000000.0,2607000000.0,159000000.0,1943000000.0,1943000000.0,1000000.0,1.03,2766000000.0,664000000.0,2557000000.0,698000000.0,1.03,2830000000.0,1944000000.0,3255000000.0,3582000000.0,1885174950.0,0.0,8.0,0.0160499331252786,0.476086002632734,0.597386074485311,15534000000.0,0.476086002632734,3.62671910105744,0.0618556701030928,0.76778107654576,0.68829055284317,8.24008403039728,0.245168770195889
11,2018-06-30 00:00:00+00:00,2,2018,6388000000.0,209000000.0,27342000000.0,0.0,1430000000.0,864000000.0,43177000000.0,2123000000.0,182000000.0,43369000000.0,20954000000.0,39046000000.0,1892648384.0,19034000000.0,144000000.0,0.0,17712000000.0,1878000000.0,13900000000.0,13036000000.0,5376000000.0,-1652000000.0,4131000000.0,19034000000.0,15796000000.0,0.0,-1328000000.0,-38000000.0,-766000000.0,-437000000.0,1041000000.0,0.0,0.0,-1767000000.0,1003000000.0,-40000000.0,0.0,0.0,51000000.0,0.0,0.0,641000000.0,0.0,6305000000.0,2556000000.0,178000000.0,1876000000.0,1876000000.0,1000000.0,0.99,2734000000.0,680000000.0,2498000000.0,643000000.0,0.99,2785000000.0,1877000000.0,3141000000.0,3164000000.0,1892648384.0,0.0,8.0,-0.0537295512531892,0.49817605075337,0.646681277395116,15835000000.0,0.49817605075337,3.33131079882612,-0.0388349514563107,0.825272220815396,0.722047230688029,8.36658310855061,0.243112165927149
