,date,year,quarter,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,2020,3,246725000.0,0.0,270310000.0,6571000.0,88447000.0,279653000.0,0.0,148096000.0,0.0,93535000.0,2484000.0,819143000.0,374992000.0,2916000.0,13486000.0,1161294000.0,342151000.0,158278000.0,0.0,35624000.0,0.0,48142000.0,372076000.0,179466000.0,44913000.0,914569000.0,22975000.0,57812000.0,-37316000.0,77406000.0,2209000.0,4274000.0,4956000.0,0.0,-19312000.0,-17381000.0,-23210000.0,22987000.0,-19594000.0,-376000.0,46955000.0,67429000.0,62473000.0,1.24,83061000.0,143040000.0,1.18,62473000.0,0.0,59979000.0,6907000.0,55566000.0,0.0,44970000.0,55566000.0,116382000.0,43503000.0,259422000.0,55566000.0,0.0,37717000.0,0.0,5.0,0.536741838602477,0.551379605430534,5.17534338316127,914569000.0,0.551379605430534,5.77610046089106,0.823529411764706,0.0,0.183781541074475,20.363124262463,0.146724469583884
1,2020-06-30 00:00:00+00:00,2020,2,222210000.0,0.0,251980000.0,6571000.0,85425000.0,247864000.0,0.0,152119000.0,0.0,55136000.0,-4084000.0,748864000.0,358872000.0,3032000.0,13432000.0,1071155000.0,322291000.0,136785000.0,0.0,35624000.0,0.0,45169000.0,355840000.0,156483000.0,44740000.0,848945000.0,21044000.0,44746000.0,-31663000.0,59330000.0,208000.0,2352000.0,4501000.0,0.0,-26270000.0,-16742000.0,-24840000.0,1605000.0,-14584000.0,-3782000.0,46831000.0,37656000.0,33155000.0,0.67,74638000.0,102593000.0,0.64,33155000.0,0.0,27955000.0,2988000.0,30167000.0,0.0,44785000.0,30167000.0,83616000.0,40883000.0,186209000.0,30167000.0,0.0,31673000.0,0.0,5.0,0.23311502115796,0.550956183643111,5.47475234857623,848945000.0,0.550956183643111,4.16202503352705,0.395833333333333,0.0,0.161370121770796,18.975078229772,0.129468519316688
2,2020-03-31 00:00:00+00:00,2020,1,194314000.0,0.0,236807000.0,6571000.0,81819000.0,241465000.0,0.0,131499000.0,0.0,54341000.0,-10011000.0,704785000.0,337443000.0,3057000.0,13821000.0,1007504000.0,302719000.0,112495000.0,0.0,37596000.0,0.0,37752000.0,334386000.0,154880000.0,44602000.0,813190000.0,18562000.0,41468000.0,-64458000.0,51419000.0,-985000.0,13650000.0,4328000.0,0.0,-4056000.0,-54069000.0,-17427000.0,-18080000.0,-9951000.0,-279000.0,46670000.0,33600000.0,29272000.0,0.8,60461000.0,91447000.0,0.77,29272000.0,0.0,30986000.0,-6484000.0,35756000.0,0.0,44455000.0,35756000.0,74331000.0,32164000.0,165778000.0,35756000.0,0.0,25956000.0,0.0,5.0,0.172711388411395,0.551623255196709,6.26503400151118,813190000.0,0.551623255196709,3.71682884175598,0.311475409836066,0.0,0.156566883606483,18.23214205641,0.126371384961075
3,2019-12-31 00:00:00+00:00,2019,4,182884000.0,0.0,228315000.0,6571000.0,84659000.0,229450000.0,0.0,127500000.0,0.0,52704000.0,-5476000.0,655206000.0,285575000.0,3138000.0,17193000.0,956375000.0,301169000.0,98225000.0,0.0,37596000.0,0.0,27271000.0,282437000.0,172960000.0,43439000.0,773491000.0,18680000.0,52309000.0,-79003000.0,60986000.0,1633000.0,2089000.0,4050000.0,0.0,-17043000.0,-69041000.0,-18653000.0,-33427000.0,-8677000.0,-479000.0,46504000.0,37475000.0,33425000.0,0.75,61242000.0,91936000.0,0.7,33425000.0,0.0,30694000.0,988000.0,32437000.0,0.0,43495000.0,32437000.0,74802000.0,33240000.0,166738000.0,32437000.0,0.0,27011000.0,0.0,4.0,0.0862622722268187,0.551380009355996,6.67046067701705,773491000.0,0.551380009355996,3.83844011142061,0.153846153846154,0.0,0.150521172593389,17.8063721540551,0.121308548296493
5,2019-09-30 00:00:00+00:00,2019,3,181707000.0,0.0,217043000.0,6571000.0,76681000.0,215692000.0,0.0,135634000.0,0.0,58261000.0,-10039000.0,629295000.0,216775000.0,3264000.0,16619000.0,916135000.0,286840000.0,105026000.0,0.0,32402000.0,0.0,30318000.0,213511000.0,205229000.0,43244000.0,734428000.0,21300000.0,70745000.0,-46039000.0,72424000.0,-2691000.0,3740000.0,3823000.0,0.0,-14318000.0,-43998000.0,-17857000.0,9376000.0,-1679000.0,-201000.0,45833000.0,36112000.0,32289000.0,0.68,63126000.0,93158000.0,0.64,32289000.0,0.0,30032000.0,2761000.0,29528000.0,0.0,43308000.0,29528000.0,75655000.0,34692000.0,168813000.0,29528000.0,0.0,27742000.0,0.0,4.0,0.0552461322081574,0.551841386623068,5.99180202997353,734428000.0,0.551841386623068,3.90373230968458,-0.0933333333333333,0.0,0.150841305638498,16.9833502913699,0.121475039033664
6,2019-06-30 00:00:00+00:00,2019,2,163959000.0,0.0,213830000.0,6571000.0,75839000.0,204533000.0,0.0,143622000.0,0.0,55398000.0,-4138000.0,585136000.0,172674000.0,3215000.0,16686000.0,868113000.0,282977000.0,88120000.0,0.0,32402000.0,0.0,26544000.0,169459000.0,197012000.0,43057000.0,704154000.0,22709000.0,24795000.0,-11289000.0,44057000.0,-1595000.0,2088000.0,3739000.0,0.0,-15928000.0,8452000.0,-18023000.0,15245000.0,-19262000.0,7000.0,45483000.0,26087000.0,22348000.0,0.48,63106000.0,83225000.0,0.45,22348000.0,0.0,20119000.0,1655000.0,20693000.0,0.0,43109000.0,20693000.0,67782000.0,35058000.0,151007000.0,20693000.0,0.0,27545000.0,0.0,4.0,0.0804659382803501,0.551133391167297,6.64021788470268,704154000.0,0.551133391167297,3.50714169589149,-0.157894736842105,0.0,0.161052916844741,16.3539958659451,0.129646055147848
7,2019-03-31 00:00:00+00:00,2019,1,167958000.0,0.0,205497000.0,6571000.0,76382000.0,202378000.0,0.0,142543000.0,0.0,58889000.0,-1040000.0,574085000.0,180545000.0,3290000.0,16779000.0,848209000.0,274124000.0,91576000.0,0.0,34375000.0,0.0,27259000.0,177255000.0,181769000.0,42916000.0,680251000.0,16010000.0,-19065000.0,-30781000.0,38836000.0,1770000.0,12010000.0,3255000.0,0.0,-761000.0,28076000.0,-12761000.0,9064000.0,-57901000.0,-10000.0,45232000.0,28313000.0,25058000.0,0.61,56289000.0,78006000.0,0.58,25058000.0,0.0,21717000.0,-1123000.0,26181000.0,0.0,42749000.0,26181000.0,63357000.0,30553000.0,141363000.0,26181000.0,0.0,25458000.0,0.0,4.0,0.0945644599303135,0.551813416523418,6.26894601205556,680251000.0,0.551813416523418,3.29394631372915,0.173076923076923,0.0,0.174683047967586,15.8507549631839,0.140290263221058
8,2018-12-31 00:00:00+00:00,2018,4,153339000.0,0.0,150001000.0,6571000.0,72900000.0,194728000.0,0.0,136384000.0,0.0,55214000.0,-5543000.0,580810000.0,207818000.0,3241000.0,16830000.0,793432000.0,212622000.0,80439000.0,0.0,34375000.0,0.0,22678000.0,204577000.0,172704000.0,42412000.0,640093000.0,14842000.0,43121000.0,7055000.0,47590000.0,-146000.0,953000.0,3253000.0,0.0,-12890000.0,14274000.0,-13094000.0,41609000.0,-4469000.0,-749000.0,45058000.0,35937000.0,32684000.0,0.65,51516000.0,84593000.0,0.61,32684000.0,0.0,33077000.0,5046000.0,27638000.0,0.0,42469000.0,27638000.0,68904000.0,28372000.0,153497000.0,27638000.0,0.0,22735000.0,0.0,6.0,0.185946071235417,0.551105233327036,7.22050249257201,640093000.0,0.551105233327036,3.61918796567009,1.24137931034483,0.0,0.176359104584008,15.0922616240687,0.141569736557209
10,2018-09-30 00:00:00+00:00,2018,3,152993000.0,0.0,147497000.0,6879000.0,67486000.0,180819000.0,0.0,136790000.0,0.0,59887000.0,-5740000.0,557401000.0,222011000.0,5257000.0,12852000.0,763157000.0,205756000.0,85507000.0,0.0,31173000.0,0.0,27603000.0,216754000.0,131094000.0,42299700.0,610164000.0,14844000.0,47092000.0,8057000.0,52151000.0,-1655000.0,11091000.0,3228000.0,0.0,-10532000.0,13601000.0,-12914000.0,48021000.0,-5059000.0,0.0,44669000.0,39435000.0,36207000.0,0.75,55525000.0,89018000.0,0.71,36207000.0,0.0,33493000.0,4639000.0,31568000.0,0.0,42362000.0,31568000.0,70957000.0,29552000.0,159975000.0,31568000.0,0.0,25630000.0,0.0,6.0,0.240702968070173,0.556449445225817,6.51877624054171,610164000.0,0.556449445225817,3.78194171589869,0.315789473684211,0.0,0.15809846851527,14.4247831544905,0.126631715102993
11,2018-06-30 00:00:00+00:00,2018,2,140932000.0,0.0,150658000.0,7075000.0,65606000.0,162859000.0,0.0,128909000.0,0.0,53460000.0,-1705000.0,509846000.0,235675000.0,5247000.0,15791000.0,719952000.0,210106000.0,75326000.0,0.0,30735000.0,0.0,26689000.0,230428000.0,83075000.0,42187416.0,579020000.0,15891000.0,19820000.0,-4650000.0,25418000.0,-1544000.0,42000.0,3075000.0,0.0,-12170000.0,559000.0,-13128000.0,7054000.0,-5598000.0,0.0,44400000.0,30189000.0,27114000.0,0.57,52682000.0,77564000.0,0.55,27114000.0,0.0,24882000.0,2908000.0,24206000.0,0.0,42237000.0,24206000.0,62197000.0,28561000.0,139761000.0,24206000.0,0.0,23481000.0,0.0,5.0,0.245663915577818,0.554975994733867,6.76852613971272,579020000.0,0.554975994733867,3.31285992960555,0.583333333333333,0.0,0.151095500116405,13.7249458464107,0.122266615980781
