,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,20405000000.0,3744000000.0,60530000000.0,0.0,7356000000.0,2420000000.0,89800000000.0,6128000000.0,0.0,51107000000.0,40125000000.0,63223000000.0,2529241070.0,1372000000.0,8422000000.0,0.0,36925000000.0,16919000000.0,28741000000.0,26321000000.0,2761000000.0,-6383000000.0,26577000000.0,1372000000.0,29186000000.0,0.0,-1545000000.0,-1516000000.0,-3746000000.0,28000000.0,2173000000.0,87000000.0,125000000.0,-3851000000.0,657000000.0,-2155000000.0,1000000.0,-2306000000.0,852000000.0,-586000000.0,3390000000.0,2450000000.0,0.0,12551000000.0,3424000000.0,0.0,2941000000.0,2941000000.0,4000000.0,1.16,3424000000.0,483000000.0,3116000000.0,5954000000.0,1.16,4276000000.0,2945000000.0,9070000000.0,3481000000.0,2529241070.0,0.0,7.0,0.0124223602484472,0.722651581547287,1.30247488360696,29270000000.0,0.722651581547287,4.96235813535955,0.567567567567568,0.901836496950593,0.42291169451074,11.5726414327125,0.131737793980985
1,2020,2,2020-06-30 00:00:00+00:00,22178000000.0,3448000000.0,62871000000.0,0.0,11103000000.0,4718000000.0,90615000000.0,6056000000.0,0.0,49724000000.0,40693000000.0,61272000000.0,2524101191.0,1251000000.0,7577000000.0,0.0,36633000000.0,15789000000.0,30874000000.0,26156000000.0,3357000000.0,-6393000000.0,29343000000.0,1251000000.0,27642000000.0,0.0,-1577000000.0,-668000000.0,3687000000.0,14000000.0,3367000000.0,65000000.0,121000000.0,1137000000.0,2699000000.0,-882000000.0,48000000.0,2828000000.0,1048000000.0,-321000000.0,2123000000.0,2378000000.0,0.0,10872000000.0,3511000000.0,0.0,3002000000.0,3002000000.0,8000000.0,1.19,3511000000.0,509000000.0,3129000000.0,4584000000.0,1.18,4559000000.0,3010000000.0,7713000000.0,3159000000.0,2524101191.0,0.0,7.0,-0.0755102040816327,0.709437086092715,1.32306790513121,27744000000.0,0.709437086092715,4.30727580921299,0.144230769230769,0.946241227118154,0.393200240168118,10.9916353983449,0.12210128883399
2,2020,1,2020-03-31 00:00:00+00:00,23483000000.0,3572000000.0,58613000000.0,7000000.0,7425000000.0,6361000000.0,84913000000.0,5846000000.0,0.0,48272000000.0,35130000000.0,58739000000.0,2536268760.0,562000000.0,8182000000.0,0.0,35863000000.0,15269000000.0,27998000000.0,21637000000.0,2976000000.0,-6391000000.0,26174000000.0,555000000.0,26205000000.0,0.0,-1551000000.0,-986000000.0,-2474000000.0,-1255000000.0,707000000.0,-63000000.0,108000000.0,-1490000000.0,-279000000.0,-1628000000.0,1767000000.0,1632000000.0,821000000.0,-2545000000.0,2209000000.0,2555000000.0,0.0,12057000000.0,3838000000.0,0.0,3219000000.0,3219000000.0,0.0,1.27,3838000000.0,619000000.0,3909000000.0,4836000000.0,1.26,4659000000.0,3219000000.0,8745000000.0,3312000000.0,2536268760.0,0.0,7.0,0.114737426035503,0.725304802189599,1.11459353574927,26300000000.0,0.725304802189599,4.75383373803019,0.123893805309735,0.825682121732494,0.380766524370221,10.369563515816,0.120568260815315
3,2019,4,2019-12-31 00:00:00+00:00,22220000000.0,3738000000.0,58396000000.0,774000000.0,9676000000.0,3610000000.0,84397000000.0,5978000000.0,0.0,46602000000.0,36176000000.0,56914000000.0,2545984142.0,2243000000.0,6778000000.0,0.0,33621000000.0,15053000000.0,26346000000.0,22736000000.0,2206000000.0,-6193000000.0,27483000000.0,1469000000.0,25907000000.0,0.0,-1405000000.0,-1137000000.0,2063000000.0,-1033000000.0,4794000000.0,43000000.0,111000000.0,-2011000000.0,3657000000.0,-763000000.0,341000000.0,182000000.0,936000000.0,-25000000.0,2548000000.0,2889000000.0,0.0,11868000000.0,2784000000.0,0.0,2356000000.0,2356000000.0,7000000.0,0.93,2784000000.0,428000000.0,2568000000.0,5631000000.0,0.92,3720000000.0,2363000000.0,8199000000.0,3669000000.0,2545984142.0,0.0,7.0,0.0791052918712494,0.690849342770475,1.23685868586859,26001000000.0,0.690849342770475,4.66145872797035,0.328571428571429,0.877600648473386,0.364792112602971,10.2125537905255,0.117851679554075
5,2019,3,2019-09-30 00:00:00+00:00,20684000000.0,3198000000.0,56406000000.0,149000000.0,7869000000.0,3411000000.0,83331000000.0,5855000000.0,0.0,45804000000.0,35722000000.0,57189000000.0,2560374643.0,2260000000.0,8442000000.0,0.0,31787000000.0,14287000000.0,26088000000.0,22677000000.0,2833000000.0,-5390000000.0,26142000000.0,2111000000.0,26838000000.0,0.0,-1394000000.0,-959000000.0,1211000000.0,-1365000000.0,4226000000.0,-54000000.0,102000000.0,-3152000000.0,3267000000.0,191000000.0,1954000000.0,-360000000.0,845000000.0,-1039000000.0,3204000000.0,2589000000.0,0.0,12397000000.0,2341000000.0,0.0,1901000000.0,1901000000.0,6000000.0,0.74,2341000000.0,440000000.0,2382000000.0,6025000000.0,0.74,3186000000.0,1907000000.0,8407000000.0,3990000000.0,2560374643.0,0.0,7.0,0.148508430609598,0.678147939017504,1.26387545929221,26925000000.0,0.678147939017504,4.84186954198015,0.0136986301369864,0.844958640733289,0.342663710871745,10.5160391560713,0.112107906719192
6,2019,2,2019-06-30 00:00:00+00:00,20085000000.0,3142000000.0,56228000000.0,446000000.0,6659000000.0,3816000000.0,83965000000.0,5847000000.0,0.0,45295000000.0,36143000000.0,59667000000.0,2574644410.0,4225000000.0,7964000000.0,0.0,32871000000.0,13862000000.0,26587000000.0,22771000000.0,2723000000.0,-5362000000.0,24298000000.0,3779000000.0,27635000000.0,0.0,-1468000000.0,-782000000.0,-1417000000.0,-1104000000.0,3084000000.0,8000000.0,111000000.0,-2084000000.0,2302000000.0,-2425000000.0,2200000000.0,603000000.0,973000000.0,-3890000000.0,2189000000.0,2712000000.0,0.0,11760000000.0,3285000000.0,0.0,2670000000.0,2670000000.0,-26000000.0,1.04,3285000000.0,615000000.0,3399000000.0,4960000000.0,1.03,4258000000.0,2644000000.0,8359000000.0,3401000000.0,2574644410.0,0.0,8.0,0.123745819397993,0.710799319727891,1.20975852626338,27737000000.0,0.710799319727891,4.56762104868687,0.625,0.823991315360955,0.327637645782479,10.7731381826044,0.112090898750621
7,2019,1,2019-03-31 00:00:00+00:00,18543000000.0,3018000000.0,54684000000.0,722000000.0,8076000000.0,3175000000.0,82354000000.0,5712000000.0,0.0,44065000000.0,36141000000.0,57003000000.0,2581220308.0,6343000000.0,7608000000.0,0.0,29169000000.0,13506000000.0,25896000000.0,22721000000.0,2642000000.0,-5346000000.0,25351000000.0,5621000000.0,27539000000.0,0.0,-1428000000.0,-595000000.0,110000000.0,-917000000.0,1336000000.0,20000000.0,93000000.0,-1614000000.0,741000000.0,368000000.0,925000000.0,823000000.0,898000000.0,0.0,1931000000.0,2425000000.0,0.0,10816000000.0,3120000000.0,0.0,2915000000.0,2915000000.0,-53000000.0,1.13,3120000000.0,205000000.0,3255000000.0,4509000000.0,1.12,4018000000.0,2862000000.0,7764000000.0,3052000000.0,2581220308.0,0.0,6.0,0.0776128325196772,0.717825443786982,1.36714663215229,27670000000.0,0.717825443786982,4.19026611811393,3.18518518518518,0.825048113584371,0.281866919482176,10.7197358994279,0.100238392891774
8,2018,4,2018-12-31 00:00:00+00:00,22206000000.0,3318000000.0,55755000000.0,899000000.0,7965000000.0,5308000000.0,82637000000.0,5440000000.0,0.0,42579000000.0,33549000000.0,56762000000.0,2600376500.0,7132000000.0,7071000000.0,0.0,31357000000.0,13291000000.0,25114000000.0,19806000000.0,3673000000.0,-5545000000.0,25875000000.0,6233000000.0,26701000000.0,0.0,-1277000000.0,-929000000.0,139000000.0,-5803000000.0,3592000000.0,-65000000.0,87000000.0,-5566000000.0,2663000000.0,2178000000.0,2914000000.0,1550000000.0,998000000.0,-59000000.0,2214000000.0,2643000000.0,0.0,10998000000.0,2653000000.0,0.0,1827000000.0,1827000000.0,-49000000.0,0.7,2653000000.0,826000000.0,2714000000.0,4995000000.0,0.69,3651000000.0,1778000000.0,7709000000.0,3289000000.0,2600376500.0,0.0,7.0,0.0541550848269914,0.700945626477541,1.16522561469873,26882000000.0,0.700945626477541,4.2293875521487,-2.84210526315789,0.741769971162129,0.198531758697734,10.3377337858575,0.0734252526206441
10,2018,3,2018-09-30 00:00:00+00:00,18586000000.0,3091000000.0,52474000000.0,2459000000.0,7826000000.0,3656000000.0,85130000000.0,5416000000.0,0.0,42189000000.0,33888000000.0,58294000000.0,2659525311.0,10065000000.0,7374000000.0,0.0,30433000000.0,12755000000.0,23592000000.0,19936000000.0,2824000000.0,-5151000000.0,26836000000.0,7606000000.0,32422000000.0,0.0,-1285000000.0,-653000000.0,2516000000.0,-834000000.0,2793000000.0,-32000000.0,91000000.0,-1905000000.0,2140000000.0,1660000000.0,2189000000.0,226000000.0,1094000000.0,0.0,2068000000.0,2443000000.0,0.0,10794000000.0,2657000000.0,0.0,1950000000.0,1950000000.0,8000000.0,0.73,2657000000.0,707000000.0,2493000000.0,4682000000.0,0.73,3751000000.0,1958000000.0,7175000000.0,3619000000.0,2659525311.0,0.0,8.0,0.0454237288135593,0.664721141374838,1.44388249219843,32656000000.0,0.664721141374838,4.05861901571502,-37.5,0.614891123311332,0.100695724117183,12.2788829513794,0.0389092166715589
11,2018,2,2018-06-30 00:00:00+00:00,18128000000.0,3024000000.0,52274000000.0,2284000000.0,5310000000.0,3379000000.0,85040000000.0,5178000000.0,0.0,41523000000.0,34146000000.0,60976000000.0,2690303898.0,12317000000.0,7287000000.0,0.0,31172000000.0,12626000000.0,23338000000.0,19959000000.0,2820000000.0,-5122000000.0,24064000000.0,10033000000.0,32529000000.0,0.0,-1311000000.0,-583000000.0,826000000.0,-1527000000.0,3382000000.0,-262000000.0,90000000.0,-2967000000.0,2799000000.0,673000000.0,1633000000.0,65000000.0,1290000000.0,-372000000.0,2274000000.0,2508000000.0,0.0,10465000000.0,2077000000.0,0.0,1707000000.0,1707000000.0,9000000.0,0.64,2077000000.0,370000000.0,2038000000.0,5010000000.0,0.63,3367000000.0,1716000000.0,7048000000.0,3417000000.0,2690303898.0,0.0,7.0,0.053877139979859,0.67348303870043,1.32744924977935,32766000000.0,0.67348303870043,3.88989511845847,-0.0985915492957746,0.613575578714378,0.0386508239600522,12.1792932108371,0.0152982211967635
