,date,quarter,year,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,76061000000.0,239253000000.0,-537000000.0,0.0,0.0,0.0,94772000000.0,88394000000.0,0.0,9228000000.0,955940000000.0,0.0,192300000000.0,759996000000.0,72537000000.0,866122000000.0,1576760960.0,217301000000.0,-11504000000.0,-30000000.0,-680000000.0,-2674000000.0,1857000000.0,-123000000.0,-3820000000.0,-3581000000.0,853000000.0,-6867000000.0,-4367000000.0,254000000.0,0.0,-6990000000.0,2597000000.0,6695000000.0,3453000000.0,4306000000.0,120000000.0,0.0,1566000000.0,3487000000.0,11657000000.0,3453000000.0,1.68,736000000.0,11657000000.0,34000000.0,0.0,2717000000.0,0.0,0.0,1.66,1542000000.0,2751000000.0,8170000000.0,0.00987567448848558,5.0,89818000000.0,0.3125,7.39300394652085,1.0,2.45832296309704,0.161981658692185,56.96361229035,1.0,0.108851562865019
1,2020-06-30 00:00:00+00:00,2,2020,74015000000.0,236849000000.0,1000000.0,0.0,0.0,0.0,106276000000.0,86645000000.0,0.0,9287000000.0,975363000000.0,0.0,198971000000.0,778430000000.0,62290000000.0,887354000000.0,1575656380.0,219126000000.0,-25233000000.0,-28000000.0,-640000000.0,3645000000.0,442000000.0,-428000000.0,-12510000000.0,-12037000000.0,686000000.0,-16810000000.0,2721000000.0,394000000.0,0.0,-17238000000.0,3047000000.0,7587000000.0,4315000000.0,5001000000.0,149000000.0,0.0,1557000000.0,4355000000.0,13414000000.0,4315000000.0,1.98,1119000000.0,13414000000.0,40000000.0,0.0,3196000000.0,0.0,0.0,1.96,1541000000.0,3236000000.0,9059000000.0,0.00945822527420453,4.0,88009000000.0,0.596774193548387,8.51327749518585,1.0,2.52900917537077,0.309449433814916,55.8554524432542,1.0,0.104671293164841
2,2020-03-31 00:00:00+00:00,1,2020,71518000000.0,235239000000.0,2095000000.0,0.0,0.0,0.0,131509000000.0,85860000000.0,0.0,9146000000.0,947795000000.0,0.0,198074000000.0,712870000000.0,74424000000.0,860567000000.0,1599276515.0,207914000000.0,49338000000.0,-1782000000.0,-688000000.0,47954000000.0,-1344000000.0,-354000000.0,-21108000000.0,-20661000000.0,824000000.0,23836000000.0,5893000000.0,154000000.0,0.0,23482000000.0,1590000000.0,5792000000.0,2064000000.0,2888000000.0,108000000.0,0.0,1573000000.0,2146000000.0,9487000000.0,2064000000.0,1.02,366000000.0,9487000000.0,82000000.0,0.0,1698000000.0,0.0,0.0,1.01,1555000000.0,1780000000.0,7341000000.0,0.00854796341964766,5.0,87228000000.0,-0.276595744680851,5.93205734656836,1.0,2.42154670393664,-0.0776783978222827,54.5421627728961,1.0,0.0939889321557486
3,2019-12-31 00:00:00+00:00,4,2019,70589000000.0,190356000000.0,-2788000000.0,0.0,0.0,0.0,82171000000.0,81549000000.0,0.0,9250000000.0,895429000000.0,0.0,197834000000.0,728245000000.0,55646000000.0,812732000000.0,1618597895.0,207325000000.0,2515000000.0,-1507000000.0,-545000000.0,9214000000.0,1277000000.0,-366000000.0,-7840000000.0,-7369000000.0,656000000.0,-136000000.0,1033000000.0,328000000.0,0.0,-502000000.0,2085000000.0,6925000000.0,2667000000.0,3323000000.0,154000000.0,0.0,1601000000.0,2733000000.0,10857000000.0,2667000000.0,1.32,428000000.0,10857000000.0,66000000.0,0.0,2239000000.0,0.0,0.0,1.3,1572000000.0,2305000000.0,8124000000.0,0.00950605799008073,3.0,82697000000.0,0.609756097560976,6.70765730854976,1.0,2.54233650933794,0.270121665886757,51.0917506166657,1.0,0.10437896234166
5,2019-09-30 00:00:00+00:00,3,2019,70589000000.0,190356000000.0,-2788000000.0,0.0,0.0,0.0,82171000000.0,81549000000.0,0.0,9250000000.0,895429000000.0,0.0,197834000000.0,728245000000.0,55646000000.0,812732000000.0,1652767929.0,207325000000.0,76000000.0,-1538000000.0,-670000000.0,-3919000000.0,-1443000000.0,-452000000.0,-7899000000.0,-7375000000.0,654000000.0,13337000000.0,-5674000000.0,233000000.0,0.0,12885000000.0,2060000000.0,6025000000.0,2665000000.0,3319000000.0,113000000.0,0.0,1627000000.0,2710000000.0,10032000000.0,2665000000.0,1.28,492000000.0,10032000000.0,45000000.0,0.0,2173000000.0,0.0,0.0,1.27,1604000000.0,2218000000.0,7322000000.0,0.00880045245264022,5.0,82697000000.0,0.0756302521008405,6.06981768218955,1.0,2.54233650933794,0.0162074554294975,50.0354578213745,1.0,0.0958838756144331
6,2019-06-30 00:00:00+00:00,2,2019,70589000000.0,190356000000.0,-2788000000.0,0.0,0.0,0.0,82171000000.0,81549000000.0,0.0,9250000000.0,895429000000.0,0.0,197834000000.0,728245000000.0,55646000000.0,812732000000.0,1682234555.0,207325000000.0,-1102000000.0,-1264000000.0,-749000000.0,-1397000000.0,359000000.0,-479000000.0,-10595000000.0,-9352000000.0,675000000.0,10531000000.0,3804000000.0,299000000.0,0.0,10052000000.0,2031000000.0,6121000000.0,2858000000.0,3533000000.0,170000000.0,0.0,1655000000.0,2903000000.0,10244000000.0,2858000000.0,1.24,657000000.0,10244000000.0,45000000.0,0.0,2201000000.0,0.0,0.0,1.23,1634000000.0,2246000000.0,7341000000.0,0.0088589790504071,5.0,82697000000.0,-0.0606060606060607,6.0895194249532,1.0,2.54233650933794,-0.0344957587181904,49.1590187314872,1.0,0.095763157081492
7,2019-03-31 00:00:00+00:00,1,2019,70589000000.0,190356000000.0,-2788000000.0,0.0,0.0,0.0,82171000000.0,81549000000.0,0.0,9250000000.0,895429000000.0,0.0,197834000000.0,728245000000.0,55646000000.0,812732000000.0,1708787567.0,207325000000.0,-6514000000.0,-1645000000.0,-663000000.0,-15864000000.0,-464000000.0,-529000000.0,-7227000000.0,-6686000000.0,658000000.0,17041000000.0,-5411000000.0,293000000.0,0.0,16512000000.0,2336000000.0,6185000000.0,2916000000.0,3574000000.0,93000000.0,0.0,1677000000.0,2955000000.0,10286000000.0,2916000000.0,1.41,487000000.0,10286000000.0,39000000.0,0.0,2429000000.0,0.0,0.0,1.39,1658000000.0,2468000000.0,7331000000.0,0.00923952451691569,5.0,82697000000.0,-0.0472972972972974,6.01947263582823,1.0,2.54233650933794,-0.0714092263248172,48.395132079048,1.0,0.0990793919705108
8,2018-12-31 00:00:00+00:00,4,2018,64175000000.0,187820000000.0,-2292000000.0,0.0,0.0,0.0,87196000000.0,80246000000.0,0.0,8851000000.0,853531000000.0,0.0,179559000000.0,688545000000.0,53298000000.0,772125000000.0,1720154771.0,199128000000.0,-5285000000.0,-1186000000.0,-587000000.0,10843000000.0,-134000000.0,-504000000.0,-8815000000.0,-8258000000.0,469000000.0,-7179000000.0,-72000000.0,177000000.0,0.0,-7683000000.0,1361000000.0,5499000000.0,1831000000.0,2300000000.0,170000000.0,0.0,1705000000.0,1857000000.0,8548000000.0,1831000000.0,0.82,300000000.0,8548000000.0,27000000.0,0.0,1531000000.0,0.0,-1000000.0,0.81,1675000000.0,1558000000.0,6691000000.0,0.00961893931949105,4.0,81406000000.0,1.92857142857143,4.9693202868197,1.0,2.48146948134486,-0.10021052631579,47.3248113323403,1.0,0.103170918399358
10,2018-09-30 00:00:00+00:00,3,2018,64175000000.0,187820000000.0,-2292000000.0,0.0,0.0,0.0,87196000000.0,80246000000.0,0.0,8851000000.0,853531000000.0,0.0,179559000000.0,688545000000.0,53298000000.0,772125000000.0,1744789709.0,199128000000.0,10892000000.0,-1207000000.0,-673000000.0,1536000000.0,-446000000.0,-453000000.0,-4763000000.0,-4212000000.0,468000000.0,14565000000.0,1146000000.0,217000000.0,0.0,14112000000.0,2019000000.0,5896000000.0,2808000000.0,3276000000.0,93000000.0,0.0,1727000000.0,2851000000.0,9872000000.0,2808000000.0,1.19,696000000.0,9872000000.0,42000000.0,0.0,2112000000.0,0.0,1000000.0,1.17,1697000000.0,2154000000.0,7021000000.0,0.00858458017903075,7.0,81406000000.0,0.252631578947368,5.65798843784905,1.0,2.48146948134486,0.0733934978797435,46.6566254833407,1.0,0.0928598334372636
11,2018-06-30 00:00:00+00:00,2,2018,64175000000.0,187820000000.0,-2292000000.0,0.0,0.0,0.0,87196000000.0,80246000000.0,0.0,8851000000.0,853531000000.0,0.0,179559000000.0,688545000000.0,53298000000.0,772125000000.0,1770260439.0,199128000000.0,-5755000000.0,-1305000000.0,-516000000.0,11463000000.0,-2108000000.0,-498000000.0,-2381000000.0,-1900000000.0,517000000.0,-12729000000.0,1086000000.0,205000000.0,0.0,-13227000000.0,2267000000.0,6222000000.0,3077000000.0,3594000000.0,170000000.0,0.0,1748000000.0,3109000000.0,10610000000.0,3077000000.0,1.32,640000000.0,10610000000.0,30000000.0,0.0,2437000000.0,0.0,2000000.0,1.3,1720000000.0,2467000000.0,7501000000.0,0.0081967500933444,5.0,81406000000.0,0.48314606741573,5.99346839948221,1.0,2.48146948134486,0.116489529622225,45.9853240837181,1.0,0.0890261847328293
