,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,4498305000.0,3518595000.0,232692000.0,1803235000.0,3663451000.0,2463108000.0,0.0,0.0,0.0,429804000.0,-65296000.0,1843092000.0,190206000.0,190206000.0,87233000.0,4111719000.0,2268627000.0,834854000.0,531487000.0,85884000.0,3518595000.0,4718000.0,0.0,1302858000.0,83637180.0,-386586000.0,11116000.0,188070000.0,-11725000.0,199795000.0,4244000.0,-208999000.0,27871000.0,0.0,-274433000.0,0.0,-65434000.0,-82119000.0,-11725000.0,0.0,84479000.0,254450000.0,226579000.0,2.18,127009000.0,354629000.0,2.16,189043000.0,0.0,227620000.0,6685000.0,182358000.0,37536000.0,83602000.0,182358000.0,70704000.0,80281000.0,425333000.0,182358000.0,0.0,24901000.0,0.0,5.0,0.0788381006008863,0.833767894802425,2.20768182221083,-386586000.0,0.833767894802425,5.08545362242008,0.345679012345679,-9.10171346091167,-2.01455833657492,-4.62217879655914,0.138501618147621
1,2020,2,2020-06-30 00:00:00+00:00,4498350000.0,3521451000.0,241672000.0,1806433000.0,3653347000.0,2346580000.0,0.0,0.0,0.0,466096000.0,-71068000.0,1909871000.0,190856000.0,190856000.0,39493000.0,4187418000.0,2277547000.0,845003000.0,587113000.0,85481000.0,3521451000.0,6996000.0,0.0,1384977000.0,83595699.0,-310932000.0,14102000.0,251074000.0,-11536000.0,262616000.0,2011000.0,-31673000.0,27553000.0,0.0,65030000.0,6000.0,-57031000.0,318121000.0,-11542000.0,165493000.0,84349000.0,207947000.0,180394000.0,1.38,123985000.0,339160000.0,1.36,139167000.0,0.0,215175000.0,24044000.0,115123000.0,41227000.0,83666000.0,115123000.0,70456000.0,79926000.0,409616000.0,115123000.0,0.0,22534000.0,0.0,5.0,0.0623978752872461,0.827995000195305,2.26019434250529,-310932000.0,0.827995000195305,4.89996500896535,-0.0675675675675677,-11.3254698776581,-2.35106587415841,-3.71947365378212,0.132547883541934
2,2020,1,2020-03-31 00:00:00+00:00,4266130000.0,3331611000.0,249982000.0,1812823000.0,3467851000.0,2288817000.0,0.0,0.0,0.0,481990000.0,-72204000.0,1619773000.0,190822000.0,190822000.0,47774000.0,3911799000.0,2292026000.0,798279000.0,574472000.0,74879000.0,3331611000.0,5864000.0,0.0,1066856000.0,84808104.0,-354331000.0,15163000.0,101954000.0,-201638000.0,112770000.0,-10762000.0,-372894000.0,27332000.0,0.0,-340081000.0,-190822000.0,-59378000.0,-439711000.0,-10816000.0,97125000.0,85548000.0,230412000.0,203080000.0,1.75,134287000.0,342171000.0,1.73,162849000.0,0.0,207884000.0,14724000.0,148125000.0,40231000.0,84870000.0,148125000.0,74609000.0,86382000.0,416780000.0,148125000.0,0.0,26562000.0,0.0,2.0,0.122243733524332,0.820987091511109,2.02908131117066,-354331000.0,0.820987091511109,4.91438884189652,-0.170616113744076,-9.4025388690236,-2.63268299241522,-4.17803232577868,0.142088679434954
3,2019,4,2019-12-31 00:00:00+00:00,4281153000.0,3236070000.0,257114000.0,1824355000.0,3380367000.0,2199294000.0,0.0,0.0,0.0,499268000.0,-62579000.0,2081777000.0,0.0,0.0,52501000.0,4204439000.0,2122662000.0,900786000.0,574656000.0,80849000.0,3236070000.0,6498000.0,0.0,1506567000.0,84707270.0,-76714000.0,10714000.0,225175000.0,-36645000.0,243643000.0,4771000.0,-3601000.0,26489000.0,-18177000.0,413648000.0,0.0,-57845000.0,625417000.0,-18468000.0,486875000.0,85545000.0,213311000.0,186822000.0,1.45,137023000.0,336452000.0,1.44,146533000.0,0.0,199429000.0,23750000.0,122783000.0,40289000.0,84803000.0,122783000.0,70154000.0,89145000.0,406606000.0,122783000.0,0.0,27100000.0,0.0,8.0,0.12418990953529,0.827464425020782,2.31106722351369,-76714000.0,0.827464425020782,4.80013108674143,-0.216216216216216,-42.1835649294783,-2.9171307318083,-0.905636552801194,0.156516325489579
5,2019,3,2019-09-30 00:00:00+00:00,3627598000.0,2741726000.0,251357000.0,1806020000.0,2883077000.0,2134688000.0,0.0,0.0,0.0,409519000.0,-62098000.0,1386088000.0,0.0,0.0,71604000.0,3479742000.0,2093654000.0,744521000.0,479371000.0,84614000.0,2741726000.0,2396000.0,0.0,881150000.0,84698630.0,-147856000.0,10517000.0,173770000.0,-14765000.0,188535000.0,-4971000.0,-920000.0,25145000.0,0.0,-58766000.0,0.0,-57846000.0,110033000.0,-14765000.0,0.0,85550000.0,229815000.0,204670000.0,1.62,122546000.0,323765000.0,1.6,168748000.0,0.0,201219000.0,31765000.0,136983000.0,35922000.0,84765000.0,136983000.0,70486000.0,78666000.0,394251000.0,136983000.0,0.0,24310000.0,0.0,8.0,0.1014628395179,0.821215418603884,1.86171780245285,-147856000.0,0.821215418603884,4.65475061403,0.165467625899281,-18.5432177253544,-2.74962093988362,-1.74567168323738,0.174560426730282
6,2019,2,2019-06-30 00:00:00+00:00,3656892000.0,2743664000.0,253809000.0,1813815000.0,2889935000.0,2055881000.0,0.0,0.0,0.0,438313000.0,-57759000.0,1323082000.0,0.0,0.0,96705000.0,3425090000.0,2102008000.0,766957000.0,528919000.0,88547000.0,2743664000.0,3489000.0,0.0,771117000.0,84678661.0,-231802000.0,10427000.0,177079000.0,-12391000.0,189470000.0,1171000.0,-578000.0,25038000.0,0.0,-49914000.0,0.0,-49336000.0,128336000.0,-12391000.0,0.0,85393000.0,220698000.0,195660000.0,1.48,121205000.0,313583000.0,1.47,159745000.0,0.0,192378000.0,34055000.0,125690000.0,35915000.0,84750000.0,125690000.0,71975000.0,78035000.0,385558000.0,125690000.0,0.0,23752000.0,0.0,6.0,0.0620086710774943,0.813322509194466,1.7251058403535,-231802000.0,0.813322509194466,4.55318961644894,0.129770992366412,-11.8362395492705,-6.89547899144674,-2.73743109849127,0.166682141560496
7,2019,1,2019-03-31 00:00:00+00:00,3612073000.0,2744875000.0,256660000.0,1821537000.0,2891274000.0,1979804000.0,0.0,0.0,0.0,427099000.0,-57202000.0,1177926000.0,0.0,0.0,92716000.0,3295565000.0,2117639000.0,720799000.0,524988000.0,90020000.0,2744875000.0,2099000.0,0.0,642781000.0,84323295.0,-316508000.0,9541000.0,79739000.0,-8136000.0,87875000.0,501000.0,-283740000.0,25226000.0,0.0,-341635000.0,0.0,-57895000.0,-261395000.0,-8136000.0,0.0,85649000.0,189433000.0,164207000.0,2.11,126360000.0,289035000.0,2.08,128292000.0,0.0,162675000.0,-49900000.0,178192000.0,35915000.0,84253000.0,178192000.0,82346000.0,83545000.0,371381000.0,178192000.0,0.0,23172000.0,0.0,4.0,0.0571138234523905,0.778270832379686,1.63419483101392,-316508000.0,0.778270832379686,4.40425151792278,0.6484375,-8.67237163041692,9.44319257755488,-3.75350607444835,0.159987671379212
8,2018,4,2018-12-31 00:00:00+00:00,3554446000.0,2575502000.0,90877000.0,1826564000.0,2745438000.0,1856951000.0,0.0,0.0,0.0,473433000.0,-58399000.0,1435089000.0,0.0,0.0,34176000.0,3387952000.0,1952863000.0,809008000.0,537977000.0,98261000.0,2575502000.0,3892000.0,0.0,904176000.0,88032852.0,-166494000.0,10955000.0,150398000.0,40038000.0,173175000.0,-352000.0,-656678000.0,19944000.0,62815000.0,-707083000.0,0.0,-50405000.0,-494222000.0,-22777000.0,6262000.0,83275000.0,243124000.0,223180000.0,1.85,118113000.0,287931000.0,1.79,187289000.0,0.0,169818000.0,35157000.0,152132000.0,35891000.0,80747000.0,152132000.0,73757000.0,77857000.0,361688000.0,152132000.0,0.0,20312000.0,0.0,7.0,0.0803783988840399,0.796075623189047,1.7738872792358,-166494000.0,0.796075623189047,4.1085571100207,1.6056338028169,-15.4690379232885,2.07354377627602,-1.89127122679156,0.14182122653713
10,2018,3,2018-09-30 00:00:00+00:00,3427964000.0,2574616000.0,82745000.0,1834447000.0,2752914000.0,1755727000.0,0.0,0.0,0.0,378705000.0,-58209000.0,1857346000.0,0.0,0.0,33136000.0,3806405000.0,1949059000.0,675050000.0,441884000.0,80210000.0,2574616000.0,2200000.0,0.0,1398398000.0,88832899.0,378441000.0,9870000.0,130718000.0,-13097000.0,143825000.0,-2168000.0,-46024000.0,19134000.0,10000.0,-97758000.0,0.0,-51734000.0,30802000.0,-13107000.0,0.0,91372000.0,201882000.0,182748000.0,1.39,110625000.0,287028000.0,1.36,146846000.0,0.0,176403000.0,23014000.0,123832000.0,35902000.0,88796000.0,123832000.0,70906000.0,70900000.0,357934000.0,123832000.0,0.0,20591000.0,0.0,7.0,0.111261514388523,0.801902026630608,2.75141989482261,378441000.0,0.801902026630608,4.02929549783127,0.478723404255319,6.8032163534078,1.0867158421172,4.26014465654217,0.118306798936419
11,2018,2,2018-06-30 00:00:00+00:00,3439381000.0,2573730000.0,81000000.0,1855319000.0,2753699000.0,1684158000.0,0.0,0.0,0.0,394886000.0,-54883000.0,1819491000.0,0.0,0.0,35302000.0,3785803000.0,1966312000.0,685682000.0,483229000.0,95242000.0,2573730000.0,1237000.0,0.0,1367596000.0,89024288.0,346422000.0,9019000.0,199970000.0,13805000.0,207165000.0,-7618000.0,-155406000.0,26914000.0,21000000.0,304416000.0,0.0,-33916000.0,517768000.0,-7195000.0,493738000.0,91586000.0,214998000.0,188084000.0,1.31,118167000.0,291678000.0,1.28,156323000.0,0.0,173511000.0,39494000.0,116829000.0,31761000.0,89112000.0,116829000.0,71368000.0,71452000.0,363046000.0,116829000.0,0.0,19801000.0,0.0,8.0,0.148556261053058,0.803418850503793,2.65354931294682,346422000.0,0.803418850503793,4.07805564252308,0.455555555555555,7.42946464139114,0.998418700404546,3.89132008559282,0.112585162262839
