,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,52.97,53.0,52.35,52.63,2715017,48.5303055374,48.5577910796,47.9622710003,48.2188027267,2715017,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,53.68,53.76,52.92,53.0,2404255,49.180796701,49.2540914799,48.4844963006,48.5577910796,2404255,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,54.39,54.59,53.67,53.88,1921907,49.8312878645,50.0145248119,49.1716348536,49.3640336484,1921907,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,53.26,54.59,53.14,54.47,2612415,48.7959991113,50.0145248119,48.6860569428,49.9045826435,2612415,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,54.03,54.17,52.94,53.22,1813284,49.501461359,49.6297272223,48.5028199953,48.7593517218,1813284,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,53.82,54.37,53.79,54.07,1699710,49.3090625642,49.8129641697,49.2815770221,49.5381087485,1699710,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,53.6,53.84,53.03,53.37,1647505,49.107501922,49.3273862589,48.5852766217,48.8967794324,1647505,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,54.59,54.7,53.63,53.78,1822611,50.0145248119,50.115305133,49.1349874641,49.2724151747,1822611,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,55.05,55.35,54.35,54.6,1795346,50.4359697911,50.7108252123,49.794640475,50.0236866593,1795346,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,54.33,55.38,54.07,55.34,2141687,49.7763167802,50.7383107544,49.5381087485,50.701663365,2141687,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,55.73,55.9,54.63,54.84,1918372,51.0589754125,51.2147268179,50.0511722014,50.2435709963,1918372,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,55.81,56.5,55.37,55.68,1584590,51.1322701915,51.7644376603,50.7291489071,51.0131661757,1584590,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,56.58,56.63,55.53,55.81,2588593,51.8377324393,51.8835416761,50.875738465,51.1322701915,2588593,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,57.39,57.43,56.23,56.53,2228984,52.5798420765,52.616489466,51.5170677812,51.7919232024,2228984,0.0,1.0,14800520816.9173,13466367816.9173,42.1985294118,8.1354343923,-0.2659085415
