,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,1,2021,1942508000.0,3653527000.0,1711019000.0,0.0,0.0,645219000.0,0.0,994381000.0,0.0,1296560000.0,2356967000.0,0.0,542421000.0,265664000.0,413819000.0,1713153000.0,-14595000.0,449376000.0,446320000.0,0.0,266695209.0,994381000.0,86831000.0,1496188000.0,1612111000.0,0.0,149787000.0,0.0,5642000.0,-128147000.0,-23587000.0,162511000.0,35730000.0,16419000.0,0.0,-12724000.0,18366000.0,-151734000.0,24199000.0,0.0,269529000.0,169514000.0,417014000.0,0.63,619357000.0,169514000.0,0.0,0.0,0.64,215580000.0,115466000.0,194397000.0,266831000.0,24883000.0,82954000.0,194397000.0,169514000.0,202343000.0,0.0,218596000.0,0.0,201434000.0,5.0,0.161933438391115,0.673301504624958,5.28089039254347,1711019000.0,0.673301504624958,2.32234018122163,0.230769230769231,0.581163037932367,0.407481360931941,6.41563456057435,0.189244403708964
1,2020-06-27 00:00:00+00:00,4,2020,1971846000.0,3629303000.0,1657457000.0,0.0,0.0,650499000.0,0.0,994022000.0,0.0,1311474000.0,2317829000.0,0.0,550406000.0,259626000.0,428529000.0,1671786000.0,-14595000.0,404778000.0,453334000.0,0.0,266625382.0,994022000.0,91982000.0,1518512000.0,1614206000.0,0.0,196773000.0,0.0,-74435000.0,-128058000.0,-63075000.0,212329000.0,23290000.0,-53239000.0,0.0,-15556000.0,10389000.0,-191133000.0,36384000.0,-69270000.0,268551000.0,207298000.0,362368000.0,0.77,545369000.0,207298000.0,0.0,0.0,0.77,184381000.0,110172000.0,169499000.0,266641000.0,-37799000.0,72893000.0,169499000.0,207298000.0,183001000.0,0.0,205883000.0,0.0,177987000.0,6.0,-0.020081035675462,0.664445540542275,5.1128505693374,1657457000.0,0.664445540542275,2.04545042152063,-0.425373134328358,0.599727172409299,0.385954419880342,6.21642616155727,0.180781609423925
3,2020-03-28 00:00:00+00:00,3,2020,1928992000.0,3548935000.0,1619943000.0,0.0,0.0,576893000.0,0.0,993663000.0,0.0,1238912000.0,2310023000.0,0.0,564636000.0,220686000.0,474224000.0,1632325000.0,-12649000.0,378273000.0,387926000.0,0.0,269394184.0,993663000.0,83519000.0,1541066000.0,1685776000.0,0.0,192820000.0,0.0,-1483000.0,-129072000.0,-160763000.0,209791000.0,23403000.0,-81527000.0,0.0,-16971000.0,15538000.0,-289835000.0,24141000.0,0.0,271579000.0,161190000.0,366437000.0,0.59,561916000.0,161190000.0,0.0,0.0,0.6,183090000.0,109091000.0,181725000.0,269003000.0,20535000.0,71643000.0,181725000.0,161190000.0,195479000.0,0.0,205866000.0,0.0,183347000.0,6.0,0.0360132968769302,0.652120601655763,5.95480323566866,1619943000.0,0.652120601655763,2.08585052452357,0.25,0.613393804596828,0.467490241665942,6.01328126668095,0.223266917721428
4,2019-12-28 00:00:00+00:00,2,2020,1900320000.0,3626829000.0,1726509000.0,0.0,0.0,580760000.0,0.0,993303000.0,0.0,1247532000.0,2379297000.0,0.0,571359000.0,223958000.0,472050000.0,1737528000.0,-11289000.0,348342000.0,360471000.0,0.0,270609296.0,993303000.0,89449000.0,1539849000.0,1783200000.0,0.0,223923000.0,0.0,21055000.0,-129810000.0,-95707000.0,237465000.0,24067000.0,25003000.0,0.0,-13542000.0,34630000.0,-233517000.0,24087000.0,0.0,273269000.0,146050000.0,360524000.0,0.53,551070000.0,146050000.0,0.0,0.0,0.54,191468000.0,111914000.0,169039000.0,270330000.0,22989000.0,76071000.0,169039000.0,146050000.0,190546000.0,0.0,193126000.0,0.0,169056000.0,8.0,-0.0447837255982777,0.654225416008856,6.60052264953353,1726509000.0,0.654225416008856,2.03640454391486,0.125,0.575324542183099,0.447204873330523,6.3800801580741,0.211202459541453
5,2019-09-28 00:00:00+00:00,1,2020,1899501000.0,3680787000.0,1781286000.0,0.0,0.0,584627000.0,0.0,992944000.0,0.0,1256163000.0,2424624000.0,0.0,574097000.0,235959000.0,477842000.0,1793012000.0,-11997000.0,370316000.0,342516000.0,0.0,271272841.0,992944000.0,81794000.0,1556985000.0,1793367000.0,0.0,120682000.0,0.0,22814000.0,-130222000.0,-96013000.0,141270000.0,24671000.0,-62151000.0,0.0,-20588000.0,43437000.0,-226235000.0,23921000.0,0.0,274436000.0,140156000.0,343323000.0,0.51,533040000.0,140156000.0,0.0,0.0,0.52,187319000.0,108989000.0,157833000.0,271388000.0,17677000.0,76115000.0,157833000.0,140156000.0,189717000.0,0.0,181754000.0,0.0,156004000.0,8.0,-0.165161825856115,0.644084871679424,7.07886346915181,1781286000.0,0.644084871679424,1.9649589617414,-0.267605633802817,0.557430979640552,0.437331034875324,6.5664000621426,0.203794662494915
6,2019-06-29 00:00:00+00:00,4,2019,1898706000.0,3743982000.0,1845276000.0,0.0,0.0,588493000.0,0.0,992584000.0,0.0,1204482000.0,2539500000.0,0.0,577722000.0,246512000.0,503183000.0,1856358000.0,-11354000.0,360016000.0,371167000.0,0.0,272425069.0,992584000.0,84335000.0,1527539000.0,1898332000.0,0.0,207120000.0,0.0,71524000.0,-125345000.0,-80867000.0,237467000.0,22004000.0,102779000.0,0.0,-30347000.0,101931000.0,-206212000.0,25569000.0,0.0,276068000.0,367558000.0,356391000.0,1.33,556545000.0,367558000.0,0.0,0.0,1.34,182820000.0,105136000.0,177650000.0,272371000.0,-189908000.0,75130000.0,177650000.0,367558000.0,200154000.0,0.0,203219000.0,0.0,173571000.0,7.0,-0.120994451578055,0.640363312939654,6.84193368483728,1845276000.0,0.640363312939654,2.04292872914717,0.942028985507247,0.537905440703721,0.46126737795021,6.77351760164187,0.207061543673052
8,2019-03-30 00:00:00+00:00,3,2019,2141107000.0,3803854000.0,1662747000.0,0.0,0.0,593287000.0,0.0,992225000.0,0.0,1227085000.0,2576769000.0,0.0,571955000.0,272832000.0,732959000.0,1672938000.0,-10470000.0,381152000.0,398997000.0,0.0,273398340.0,992225000.0,86798000.0,1742110000.0,1898427000.0,0.0,185713000.0,0.0,288933000.0,-125566000.0,-121430000.0,206938000.0,22820000.0,247823000.0,0.0,-21225000.0,310698000.0,-248048000.0,27182000.0,0.0,276610000.0,130613000.0,340831000.0,0.47,542383000.0,130613000.0,0.0,0.0,0.48,183691000.0,107075000.0,160458000.0,273221000.0,29845000.0,74116000.0,160458000.0,130613000.0,201552000.0,0.0,187640000.0,0.0,157140000.0,4.0,-0.163762201298491,0.628395432747708,6.45811622643779,1662747000.0,0.628395432747708,1.98385622970498,-0.304347826086957,0.596738409391206,0.360315001575449,6.08177430777378,0.15673735183366
9,2018-12-29 00:00:00+00:00,2,2019,2133513000.0,3888927000.0,1755414000.0,0.0,0.0,599412000.0,0.0,991866000.0,0.0,1231009000.0,2657918000.0,0.0,571983000.0,278925000.0,712558000.0,1766471000.0,-11336000.0,391419000.0,406480000.0,0.0,277062875.0,991866000.0,99577000.0,1727033000.0,1960641000.0,0.0,211654000.0,0.0,399076000.0,-126808000.0,-188550000.0,224250000.0,21656000.0,-192032000.0,-500000000.0,-12596000.0,411672000.0,-815358000.0,26803000.0,0.0,280008000.0,131892000.0,373048000.0,0.47,576906000.0,131892000.0,0.0,0.0,0.48,190844000.0,110303000.0,182676000.0,276252000.0,50784000.0,77853000.0,182676000.0,131892000.0,203858000.0,0.0,209479000.0,0.0,182204000.0,6.0,-0.0734472895121877,0.646635673749276,6.53886538083055,1755414000.0,0.646635673749276,2.08222050680734,-2.77777777777778,0.565032522242616,0.379944654519907,6.3357965227207,0.163797253748593
10,2018-09-29 00:00:00+00:00,1,2019,2636229000.0,4548552000.0,1912323000.0,499762000.0,0.0,607036000.0,0.0,1491268000.0,0.0,1237027000.0,3311525000.0,0.0,573014000.0,275374000.0,713040000.0,1924764000.0,-12720000.0,439407000.0,928277000.0,0.0,278019068.0,991506000.0,84087000.0,1707952000.0,2563415000.0,0.0,188870000.0,0.0,97378000.0,-127857000.0,-113418000.0,207185000.0,20497000.0,55288000.0,0.0,-18315000.0,118642000.0,-249275000.0,31191000.0,-2949000.0,282454000.0,197423000.0,430236000.0,0.7,638495000.0,197423000.0,0.0,0.0,0.71,196053000.0,112708000.0,233637000.0,278045000.0,36214000.0,81518000.0,233637000.0,197423000.0,208259000.0,0.0,264828000.0,0.0,234183000.0,6.0,0.109122145095505,0.673828299360214,3.567388828981,1912323000.0,0.673828299360214,2.29658708157384,0.290909090909091,0.518482494850504,0.262318842069977,6.87838792409735,0.112208499974159
11,2018-06-30 00:00:00+00:00,4,2018,2520621000.0,4451561000.0,1930940000.0,499406000.0,0.0,610497000.0,0.0,1490553000.0,0.0,1241152000.0,3210409000.0,0.0,579364000.0,282390000.0,679297000.0,1945646000.0,-14985000.0,280072000.0,797395000.0,0.0,279677763.0,991147000.0,92572000.0,1723226000.0,2626399000.0,0.0,134603000.0,0.0,-1247000.0,-117321000.0,-114200000.0,146659000.0,19753000.0,-86109000.0,0.0,-12056000.0,10809000.0,-231521000.0,35206000.0,0.0,284033000.0,194172000.0,418668000.0,0.69,633153000.0,194172000.0,0.0,0.0,0.69,196272000.0,112057000.0,223701000.0,279341000.0,29529000.0,82610000.0,223701000.0,194172000.0,214485000.0,0.0,258907000.0,0.0,222396000.0,5.0,0.0517404340495511,0.661243017090656,4.02612130750757,1930940000.0,0.661243017090656,2.26386607647459,0.189655172413793,0.513297668493066,0.231764606547025,6.90415991349302,0.102846757633475
