,date,quarter,year,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.inventory,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.payDiv,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayEquity,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.incomeStatement.opex,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.sga,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.nonControllingInterests,statementData.overview.currentRatio,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.piotroskiFScore,statementData.overview.grossMargin,statementData.overview.roa,statementData.overview.epsQoQ,statementData.overview.bvps
0,2020-06-30 00:00:00+00:00,2,2020,4003000000.0,0.0,0.0,7936000000.0,-29000000.0,324000000.0,0.0,12986000000.0,11124000000.0,7936000000.0,15899000000.0,1003000000.0,0.0,676000000.0,0.0,14896000000.0,9742000000.0,0.0,0.0,479698676.0,518000000.0,0.0,465000000.0,-4198000000.0,1382000000.0,0.0,-1073000000.0,-690000000.0,-10000000.0,-82000000.0,0.0,-327000000.0,320000000.0,-269000000.0,-722000000.0,0.0,-2000000.0,1000000.0,-245000000.0,0.0,522000000.0,87000000.0,0.0,277000000.0,-0.85,63000000.0,-387000000.0,-90000000.0,0.0,294000000.0,-89000000.0,-228000000.0,-497000000.0,15000000.0,-408000000.0,571000000.0,-0.85,479000000.0,-408000000.0,479000000.0,-410000000.0,21000000.0,0.72575976845152,-0.477584629460201,4775000000.0,-0.861547997210816,1.19033057327013,1.98251311516363,0.514886164623468,2.0,0.514886164623468,-0.292600778865383,41.5,9.95416547699623
1,2020-03-31 00:00:00+00:00,1,2020,4397000000.0,0.0,0.0,8632000000.0,-30000000.0,1397000000.0,0.0,13221000000.0,12303000000.0,8632000000.0,17458000000.0,2312000000.0,0.0,1099000000.0,0.0,15146000000.0,10553000000.0,0.0,0.0,478509368.0,615000000.0,0.0,562000000.0,-3780000000.0,1750000000.0,0.0,913000000.0,1155000000.0,-58000000.0,482000000.0,0.0,3000000.0,492000000.0,-696000000.0,1127000000.0,0.0,-226000000.0,17000000.0,-479000000.0,0.0,4938000000.0,81000000.0,0.0,415000000.0,-8.27,85000000.0,-4007000000.0,-3401000000.0,0.0,605000000.0,-11000000.0,-4333000000.0,-3974000000.0,1504000000.0,-3963000000.0,1020000000.0,-8.27,479000000.0,-3963000000.0,479000000.0,-3893000000.0,-44000000.0,1.32114285714286,-0.0304182509505704,5155000000.0,-0.669520103761349,2.1316197094808,1.96315669774846,0.593137254901961,3.0,0.593137254901961,-0.252550209153844,11.7230769230769,10.7730388258564
2,2019-12-31 00:00:00+00:00,4,2019,8410000000.0,0.0,0.0,7477000000.0,-31000000.0,484000000.0,0.0,17451000000.0,11486000000.0,7477000000.0,20647000000.0,1362000000.0,0.0,1250000000.0,0.0,19285000000.0,9517000000.0,0.0,0.0,478298006.0,662000000.0,0.0,730000000.0,241000000.0,1969000000.0,0.0,11000000.0,-10000000.0,-59000000.0,469000000.0,0.0,-57000000.0,578000000.0,-610000000.0,152000000.0,68000000.0,-113000000.0,42000000.0,-526000000.0,0.0,2015000000.0,64000000.0,0.0,410000000.0,-2.52,118000000.0,-1188000000.0,-858000000.0,0.0,764000000.0,-294000000.0,-1251000000.0,-1500000000.0,202000000.0,-1206000000.0,1174000000.0,-2.52,478000000.0,-1206000000.0,478000000.0,-1436000000.0,18000000.0,0.691721686135094,-0.0192147034252298,9161000000.0,-0.170299036999493,2.4545366806317,0.889060642092747,0.65076660988075,4.0,0.65076660988075,-0.0706377014716188,0.473684210526316,19.1533309465647
4,2019-09-30 00:00:00+00:00,3,2019,9004000000.0,0.0,0.0,6941000000.0,-30000000.0,473000000.0,0.0,18797000000.0,11818000000.0,6941000000.0,22004000000.0,1427000000.0,0.0,1395000000.0,0.0,20577000000.0,9233000000.0,0.0,0.0,478253121.0,954000000.0,0.0,677000000.0,1506000000.0,2585000000.0,0.0,-129000000.0,351000000.0,-57000000.0,437000000.0,0.0,-156000000.0,583000000.0,-831000000.0,265000000.0,0.0,-271000000.0,8000000.0,-593000000.0,0.0,735000000.0,67000000.0,0.0,393000000.0,0.04,91000000.0,36000000.0,682000000.0,0.0,726000000.0,15000000.0,-9000000.0,32000000.0,0.0,17000000.0,1119000000.0,0.04,478000000.0,17000000.0,480000000.0,99000000.0,19000000.0,0.552030947775629,-0.120974076983503,10186000000.0,-0.123733917328223,2.3397651805392,0.770879609062639,0.648793565683646,3.0,0.648793565683646,-0.0525685309886838,-0.914893617021277,21.2983450661057
5,2019-06-30 00:00:00+00:00,2,2019,9029000000.0,0.0,0.0,6866000000.0,-31000000.0,470000000.0,0.0,18775000000.0,11445000000.0,6866000000.0,21649000000.0,1358000000.0,0.0,1313000000.0,0.0,20291000000.0,9134000000.0,0.0,0.0,478231487.0,961000000.0,0.0,575000000.0,1546000000.0,2311000000.0,0.0,72000000.0,380000000.0,-58000000.0,564000000.0,0.0,-78000000.0,528000000.0,-786000000.0,294000000.0,0.0,-144000000.0,0.0,-642000000.0,0.0,688000000.0,63000000.0,0.0,373000000.0,-0.02,105000000.0,8000000.0,601000000.0,0.0,720000000.0,20000000.0,32000000.0,10000000.0,33000000.0,-10000000.0,1093000000.0,-0.02,478000000.0,-10000000.0,478000000.0,73000000.0,18000000.0,0.587624405019472,-0.111382113821138,10204000000.0,-0.0971694127587664,2.28550404921372,0.760438586775944,0.658737419945105,3.0,0.658737419945105,-0.0427280960453289,-0.6,21.3369472261453
6,2019-03-31 00:00:00+00:00,1,2019,9071000000.0,0.0,0.0,6738000000.0,-32000000.0,528000000.0,0.0,18701000000.0,11080000000.0,6738000000.0,21320000000.0,1243000000.0,0.0,1284000000.0,0.0,20077000000.0,9137000000.0,0.0,0.0,477643425.0,961000000.0,0.0,573000000.0,1614000000.0,1943000000.0,0.0,-189000000.0,170000000.0,-53000000.0,528000000.0,0.0,-235000000.0,508000000.0,-911000000.0,194000000.0,0.0,-271000000.0,123000000.0,-763000000.0,0.0,751000000.0,66000000.0,0.0,392000000.0,-0.65,102000000.0,-289000000.0,177000000.0,0.0,660000000.0,-84000000.0,-91000000.0,-397000000.0,24000000.0,-313000000.0,1052000000.0,-0.65,478000000.0,-313000000.0,478000000.0,-331000000.0,24000000.0,0.63973237261966,-0.181959564541213,10240000000.0,-0.095459777465149,2.20247981012195,0.742806746775438,0.627376425855513,3.0,0.627376425855513,-0.0432289675782743,-1.57017543859649,21.4385867449133
7,2018-12-31 00:00:00+00:00,4,2018,9426000000.0,0.0,0.0,6574000000.0,-32000000.0,716000000.0,0.0,18419000000.0,10526000000.0,6574000000.0,21010000000.0,1750000000.0,0.0,1207000000.0,0.0,19260000000.0,8800000000.0,0.0,0.0,479799000.0,1061000000.0,0.0,616000000.0,1980000000.0,1726000000.0,0.0,-2000000.0,10000000.0,-52000000.0,560000000.0,-72000000.0,-130000000.0,516000000.0,-429000000.0,-133000000.0,62000000.0,0.0,259000000.0,-690000000.0,0.0,1976000000.0,66000000.0,0.0,403000000.0,-1.71,69000000.0,-802000000.0,-160000000.0,0.0,794000000.0,82000000.0,-1182000000.0,-742000000.0,129000000.0,-824000000.0,1197000000.0,-1.7,480000000.0,-824000000.0,474000000.0,-676000000.0,22000000.0,1.01390498261877,-0.00333055786844294,10484000000.0,-0.00653691873421483,2.49479469527865,0.697432633142372,0.663324979114453,4.0,0.663324979114453,-0.0030185572668336,-2.56880733944954,21.8508166961582
9,2018-09-30 00:00:00+00:00,3,2018,10346000000.0,0.0,0.0,6571000000.0,-27000000.0,720000000.0,1401000000.0,18245000000.0,10753000000.0,6571000000.0,22147000000.0,1727000000.0,0.0,1239000000.0,0.0,20420000000.0,8629000000.0,0.0,0.0,483118790.0,983000000.0,0.0,698000000.0,2850000000.0,2124000000.0,0.0,100000000.0,20000000.0,-54000000.0,697000000.0,-93000000.0,-110000000.0,485000000.0,-452000000.0,-145000000.0,0.0,0.0,355000000.0,-807000000.0,0.0,619000000.0,70000000.0,0.0,349000000.0,0.47,107000000.0,248000000.0,841000000.0,0.0,924000000.0,59000000.0,305000000.0,286000000.0,0.0,227000000.0,1273000000.0,0.47,482000000.0,227000000.0,484000000.0,356000000.0,21000000.0,0.813088512241055,0.326041666666667,11394000000.0,0.12245696400626,2.63496271796839,0.635124685868935,0.725844461901021,7.0,0.725844461901021,0.0569576343474552,-2.67857142857143,23.5842617506142
10,2018-06-30 00:00:00+00:00,2,2018,10252000000.0,0.0,0.0,6555000000.0,-28000000.0,621000000.0,1402000000.0,17917000000.0,10573000000.0,6555000000.0,21854000000.0,1551000000.0,0.0,1308000000.0,0.0,20303000000.0,8520000000.0,0.0,0.0,484440673.0,970000000.0,0.0,743000000.0,2677000000.0,2053000000.0,0.0,-401000000.0,-289000000.0,-54000000.0,496000000.0,-63000000.0,-499000000.0,465000000.0,-478000000.0,-419000000.0,0.0,0.0,517000000.0,-995000000.0,0.0,604000000.0,73000000.0,0.0,361000000.0,-0.05,105000000.0,-6000000.0,531000000.0,0.0,869000000.0,16000000.0,265000000.0,-7000000.0,0.0,-23000000.0,1230000000.0,-0.05,484000000.0,-23000000.0,484000000.0,66000000.0,17000000.0,0.755479785679493,0.161473087818697,11281000000.0,0.0888644542183127,2.53901059211847,0.639387436597737,0.70650406504065,7.0,0.70650406504065,0.0406739336818145,-0.984375,23.2866491786085
11,2018-03-31 00:00:00+00:00,1,2018,10362000000.0,0.0,0.0,6858000000.0,-29000000.0,992000000.0,1402000000.0,17431000000.0,11061000000.0,6858000000.0,22448000000.0,2594000000.0,0.0,1423000000.0,0.0,19854000000.0,8847000000.0,0.0,0.0,486902907.0,976000000.0,0.0,707000000.0,2754000000.0,2214000000.0,0.0,309000000.0,120000000.0,-48000000.0,583000000.0,-67000000.0,-204000000.0,468000000.0,-572000000.0,298000000.0,0.0,0.0,215000000.0,-787000000.0,0.0,790000000.0,73000000.0,0.0,376000000.0,1.14,104000000.0,574000000.0,1064000000.0,0.0,910000000.0,-31000000.0,120000000.0,523000000.0,0.0,554000000.0,1286000000.0,1.14,487000000.0,554000000.0,488000000.0,596000000.0,20000000.0,1.17163504968383,0.241312741312741,11387000000.0,-0.0609152516561334,2.64118365594396,0.661841343370006,0.707620528771384,5.0,0.707620528771384,-0.0275396743433509,13.25,23.3865927606795
