,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,13314271000.0,10465095000.0,13453433000.0,598659000.0,10980005000.0,557410000.0,472359000.0,81259000.0,0.0,78496000.0,-372004000.0,2652499000.0,0.0,0.0,0.0,17402037000.0,14749538000.0,2334266000.0,0.0,0.0,10937454000.0,116464000.0,0.0,2356211000.0,275618888.0,4087766000.0,25862000.0,-737911000.0,-150051000.0,-590246000.0,666000.0,277159000.0,185833000.0,0.0,835893000.0,0.0,0.0,96262000.0,-147665000.0,580122000.0,271435350.0,-355630000.0,-541463000.0,-2.5,334144000.0,-183639000.0,-2.5,-681127000.0,0.0,-517783000.0,-3761000.0,-677366000.0,139664000.0,271435350.0,-677366000.0,190157000.0,156656000.0,6518000.0,-677366000.0,0.0,0.0,0.0,2.0,-0.996594301228257,-28.174133169684,1.13633107794913,4087766000.0,-28.174133169684,0.0236485969713367,-2.19047619047619,2.56010128759816,-0.652814927902756,14.8312259354301,-0.185218182579884
1,2020,2,2020-06-30 00:00:00+00:00,13191034000.0,10011872000.0,13488514000.0,598659000.0,10607179000.0,1234776000.0,337338000.0,82263000.0,0.0,74213000.0,-495887000.0,2750668000.0,0.0,0.0,0.0,17528059000.0,14777391000.0,2583855000.0,0.0,0.0,10349210000.0,484927000.0,0.0,2259949000.0,256346957.0,4337025000.0,22389000.0,-1391001000.0,-113671000.0,-1275679000.0,560000.0,441935000.0,184180000.0,0.0,2288478000.0,0.0,0.0,899688000.0,-115322000.0,1928452000.0,239342745.0,-425649000.0,-609829000.0,-2.99,310688000.0,-284723000.0,-2.99,-724366000.0,0.0,-595411000.0,-9123000.0,-715243000.0,114537000.0,239342745.0,-715243000.0,301652000.0,131436000.0,16929000.0,-715243000.0,0.0,0.0,0.0,1.0,-0.989828015408493,-16.8186543800579,1.06455973729176,4337025000.0,-16.8186543800579,0.0660394029955269,-3.69369369369369,2.30846536508321,-0.376608332703121,16.9185741494876,-0.121555954333547
2,2020,1,2020-03-31 00:00:00+00:00,12087855000.0,8432425000.0,13567576000.0,598659000.0,9128062000.0,1950019000.0,173797000.0,85516000.0,0.0,96277000.0,-579249000.0,1696335000.0,0.0,0.0,0.0,16462509000.0,14766174000.0,2959793000.0,0.0,0.0,8606222000.0,364216000.0,0.0,1360261000.0,213202541.0,4374654000.0,32758000.0,-662856000.0,-637893000.0,-52701000.0,-4493000.0,0.0,195195000.0,0.0,1802472000.0,0.0,0.0,1107385000.0,-610155000.0,1826340000.0,213630798.0,-1623043000.0,-1818238000.0,-8.8,2076683000.0,252622000.0,-8.8,-1887145000.0,0.0,-1824061000.0,-6173000.0,-1880972000.0,68907000.0,213630798.0,-1880972000.0,994260000.0,270689000.0,1246882000.0,-1880972000.0,0.0,0.0,0.0,2.0,-0.111673304218348,0.202602972855491,0.573126228759917,4374654000.0,0.202602972855491,5.84834493131111,-17.2962962962963,1.92756387133702,-0.183392124903491,20.5187704587442,-0.0657259615199113
3,2019,4,2019-12-31 00:00:00+00:00,10169020000.0,6055335000.0,13135337000.0,2206456000.0,6584630000.0,3829068000.0,746358000.0,95427000.0,0.0,75109000.0,-295490000.0,730145000.0,0.0,0.0,0.0,16684599000.0,15954454000.0,3584390000.0,0.0,0.0,6801693000.0,100777000.0,0.0,252876000.0,212757530.0,6515579000.0,12985000.0,-679334000.0,-1035267000.0,341851000.0,0.0,0.0,164605000.0,0.0,539034000.0,36392000.0,0.0,-154382000.0,-1021185000.0,539207000.0,214750139.0,356703000.0,192098000.0,0.58,393820000.0,593196000.0,0.57,118891000.0,0.0,199376000.0,-2406000.0,121297000.0,73207000.0,212877614.0,121297000.0,887422000.0,229859000.0,1480618000.0,121297000.0,0.0,0.0,0.0,7.0,0.0719848710498823,0.400640813498147,0.203701327143531,6515579000.0,0.400640813498147,6.95918024617037,-0.183098591549296,0.929362532477927,0.149767145020529,30.6244343032183,0.0578225226149918
5,2019,3,2019-09-30 00:00:00+00:00,9665472000.0,5672626000.0,12288897000.0,2206456000.0,6265881000.0,3707771000.0,605106000.0,94254000.0,0.0,67698000.0,-389633000.0,842716000.0,0.0,0.0,0.0,15938896000.0,15096180000.0,3399591000.0,0.0,0.0,6277732000.0,72151000.0,0.0,407258000.0,215597324.0,6273424000.0,25420000.0,203724000.0,-201661000.0,405821000.0,0.0,-149789000.0,156026000.0,0.0,-216827000.0,0.0,0.0,-12667000.0,-202097000.0,-73739000.0,215499462.0,678001000.0,521975000.0,2.1,411363000.0,923087000.0,2.09,461787000.0,0.0,511724000.0,11203000.0,450584000.0,60188000.0,214207716.0,450584000.0,990764000.0,255148000.0,1913851000.0,450584000.0,0.0,0.0,0.0,7.0,0.0298624160279302,0.482319156506959,0.247887466462877,6273424000.0,0.482319156506959,8.87697010562153,-0.00943396226415094,0.904231245967115,0.158663300410381,29.0978750738112,0.0613033452636165
6,2019,2,2019-06-30 00:00:00+00:00,9815634000.0,5743927000.0,12252055000.0,2206456000.0,6233083000.0,3257187000.0,605141000.0,90956000.0,0.0,75134000.0,-179769000.0,903564000.0,0.0,0.0,0.0,15965977000.0,15062413000.0,3582551000.0,0.0,0.0,6349068000.0,75776000.0,0.0,419925000.0,215395406.0,6150343000.0,29651000.0,314422000.0,-195541000.0,513751000.0,0.0,-75000.0,156757000.0,0.0,-202993000.0,0.0,0.0,115217000.0,-199329000.0,-203143000.0,216810766.0,469054000.0,312297000.0,1.11,397172000.0,705853000.0,1.11,246328000.0,0.0,308681000.0,6138000.0,240190000.0,65969000.0,215426441.0,240190000.0,958424000.0,240901000.0,1664277000.0,240190000.0,0.0,0.0,0.0,8.0,0.0933552931530823,0.424119903117089,0.252212459780754,6150343000.0,0.424119903117089,7.72661325933757,0.0882352941176472,0.933919783010476,0.162426348455878,28.5537334069233,0.0631885775426182
7,2019,1,2019-03-31 00:00:00+00:00,9855791000.0,5934185000.0,12181007000.0,2206456000.0,6426371000.0,3016997000.0,608307000.0,90101000.0,0.0,57054000.0,-153400000.0,768395000.0,0.0,0.0,0.0,15761093000.0,14992698000.0,3429420000.0,0.0,0.0,6542492000.0,66665000.0,0.0,304708000.0,217727855.0,5905302000.0,26999000.0,312911000.0,-214011000.0,527470000.0,0.0,-199996000.0,169714000.0,0.0,-172602000.0,0.0,0.0,140857000.0,-214559000.0,46411000.0,218873272.0,327576000.0,157862000.0,0.54,418683000.0,576979000.0,0.54,84359000.0,0.0,158296000.0,-33798000.0,118157000.0,73503000.0,217241473.0,118157000.0,826651000.0,248942000.0,1403630000.0,118157000.0,0.0,0.0,0.0,6.0,0.0852224712637901,0.411062032016985,0.224059753544331,5905302000.0,0.411062032016985,6.44671762370506,0.2,1.00489102843512,0.163320406786694,27.1224001173391,0.0629638329717393
8,2018,4,2018-12-31 00:00:00+00:00,9242969000.0,5810873000.0,12119253000.0,2206456000.0,6092469000.0,2898840000.0,681218000.0,90202000.0,0.0,55249000.0,-161647000.0,550313000.0,0.0,0.0,0.0,15205970000.0,14655657000.0,3150500000.0,0.0,0.0,6492091000.0,159564000.0,0.0,163851000.0,221659283.0,5963001000.0,27186000.0,149952000.0,-206581000.0,355070000.0,0.0,-201306000.0,146818000.0,0.0,-271099000.0,0.0,0.0,-122610000.0,-205118000.0,-69232000.0,221409665.0,365697000.0,218879000.0,0.71,354355000.0,563935000.0,0.7,150701000.0,0.0,209580000.0,-3933000.0,154634000.0,68178000.0,219907488.0,154634000.0,817258000.0,208943000.0,1381193000.0,154634000.0,0.0,0.0,0.0,8.0,0.10534967304308,0.40829558215253,0.174674813521663,5963001000.0,0.40829558215253,6.23115342297665,0.651162790697674,0.974488013669627,0.162616723826761,26.9016524789535,0.0633009518929293
10,2018,3,2018-09-30 00:00:00+00:00,9118032000.0,5875252000.0,12029140000.0,2206456000.0,6065853000.0,2744206000.0,679908000.0,95950000.0,0.0,46562000.0,56118000.0,727408000.0,0.0,0.0,0.0,15316122000.0,14588714000.0,3052179000.0,0.0,0.0,6555160000.0,59423000.0,0.0,286461000.0,221468328.0,6198090000.0,28962000.0,356056000.0,-109990000.0,466300000.0,0.0,0.0,145312000.0,0.0,-274856000.0,0.0,0.0,81454000.0,-110244000.0,-280602000.0,222752738.0,695686000.0,550374000.0,2.12,379136000.0,929412000.0,2.11,480834000.0,0.0,550276000.0,10456000.0,470378000.0,69540000.0,221511630.0,470378000.0,928944000.0,235436000.0,1858356000.0,470378000.0,0.0,0.0,0.0,8.0,0.125091267501262,0.500125917746653,0.238324161197623,6198090000.0,0.500125917746653,8.39106890263785,0.204545454545455,0.947913308777381,0.15451005215238,27.9863493618826,0.0607173699247937
11,2018,2,2018-06-30 00:00:00+00:00,9642853000.0,6149221000.0,12085701000.0,2206456000.0,6336688000.0,2273828000.0,679767000.0,93136000.0,0.0,44212000.0,51352000.0,671490000.0,0.0,0.0,0.0,15329646000.0,14658156000.0,3306165000.0,0.0,0.0,6828988000.0,54676000.0,0.0,205007000.0,224689497.0,5686793000.0,31733000.0,-464520000.0,-1042512000.0,643040000.0,0.0,-200000000.0,140296000.0,0.0,302731000.0,-249000.0,0.0,-96741000.0,-1107560000.0,495249000.0,224390879.0,445370000.0,305074000.0,1.02,367239000.0,659391000.0,1.01,232086000.0,0.0,292152000.0,5410000.0,226676000.0,72988000.0,223308350.0,226676000.0,862783000.0,226535000.0,1522174000.0,226676000.0,0.0,0.0,0.0,7.0,0.132483150472843,0.43319029230561,0.203102385997069,5686793000.0,0.43319029230561,6.77456677024828,0.172413793103448,1.08131613019851,0.146696386134209,25.3095630900807,0.0570228077307325
