,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.acctPay,statementData.balanceSheet.ppeq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.cashFlow.freeCashFlow,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.ebitda,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.epsDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netinc,statementData.incomeStatement.ebit,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.taxExp,statementData.incomeStatement.shareswaDil,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,84320000000.0,48296000000.0,37287000000.0,4744000000.0,88855000000.0,117356000000.0,5502000000.0,26054000000.0,1961000000.0,-152000000.0,9026000000.0,9407000000.0,14319000000.0,4214000000.0,68608000000.0,0.0,3025000000.0,42794000000.0,494000000.0,0.0,15712000000.0,1958591044.0,14319000000.0,126382000000.0,3277000000.0,0.0,1532000000.0,0.0,2839000000.0,1001000000.0,1279000000.0,-8000000.0,1191000000.0,-49000000.0,-35000000.0,-686000000.0,-351000000.0,-3021000000.0,-1307000000.0,1719000000.0,1123000000.0,2033000000.0,2845000000.0,0.627,0.0,-106000000.0,0.625,1008000000.0,2752000000.0,1958591044.0,1229000000.0,208000000.0,0.0,1229000000.0,1566000000.0,1744000000.0,0.0,1358000000.0,0.0,4785000000.0,129000000.0,,5.0,-0.14124192390524,0.575130616509927,0.574465376782077,42062000000.0,0.575130616509927,2.44308275311403,0.378021978021978,1.14769222517231,0.105570894916355,21.4756419564226,0.0320545091036861
1,2020-06-30 00:00:00+00:00,2,2020,80387000000.0,46544000000.0,37073000000.0,4097000000.0,86326000000.0,114380000000.0,3877000000.0,25511000000.0,1009000000.0,-163000000.0,7581000000.0,8955000000.0,13757000000.0,4213000000.0,68022000000.0,0.0,3057000000.0,42667000000.0,497000000.0,0.0,12365000000.0,1957800200.0,13757000000.0,121961000000.0,2867000000.0,0.0,112000000.0,0.0,1898000000.0,-2398000000.0,981000000.0,-8000000.0,-1238000000.0,6000000.0,-105000000.0,-686000000.0,-168000000.0,-3050000000.0,-1786000000.0,-696000000.0,1129000000.0,1635000000.0,2761000000.0,0.65,0.0,-146000000.0,0.647,1186000000.0,2569000000.0,1957800200.0,1275000000.0,320000000.0,0.0,1275000000.0,1780000000.0,1383000000.0,0.0,1460000000.0,0.0,4204000000.0,185000000.0,,5.0,-0.154124748490946,0.611084681255947,0.613101496158512,41574000000.0,0.611084681255947,2.14730798372582,0.00775193798449614,1.15089148436868,0.0965506925132417,21.2350575916787,0.0299255444025534
2,2020-03-31 00:00:00+00:00,1,2020,79762000000.0,47206000000.0,36403000000.0,3350000000.0,83873000000.0,110912000000.0,6090000000.0,24922000000.0,3335000000.0,-192000000.0,9725000000.0,8793000000.0,12975000000.0,4201000000.0,66040000000.0,0.0,3210000000.0,41116000000.0,502000000.0,0.0,13722000000.0,1955863572.0,12975000000.0,120637000000.0,2621000000.0,0.0,442000000.0,0.0,1894000000.0,2726000000.0,848000000.0,6000000.0,3961000000.0,-57000000.0,-3000000.0,-685000000.0,-340000000.0,-3135000000.0,-1452000000.0,4727000000.0,308000000.0,1651000000.0,2345000000.0,0.215,0.0,-113000000.0,0.215,1981000000.0,2962000000.0,1955863572.0,421000000.0,1311000000.0,0.0,421000000.0,1497000000.0,981000000.0,0.0,186000000.0,0.0,4613000000.0,-235000000.0,,5.0,0.132024539877301,0.642098417515717,0.708715930622358,40875000000.0,0.642098417515717,2.35854896325049,-0.394366197183099,1.1294673515919,0.096860120074529,20.8986969158603,0.0303086577039184
3,2019-12-31 00:00:00+00:00,4,2019,76331000000.0,42583000000.0,37005000000.0,3631000000.0,82010000000.0,110283000000.0,5040000000.0,25199000000.0,600000000.0,-169000000.0,7408000000.0,8919000000.0,14407000000.0,4204000000.0,62478000000.0,0.0,3083000000.0,37543000000.0,499000000.0,0.0,13853000000.0,1955103612.0,14407000000.0,117691000000.0,2807000000.0,0.0,805000000.0,0.0,1912000000.0,-450000000.0,969000000.0,2000000.0,1350000000.0,6000000.0,-63000000.0,-611000000.0,-237000000.0,-3714000000.0,-1107000000.0,1225000000.0,844000000.0,2119000000.0,2324000000.0,0.5,0.0,-131000000.0,0.495,877000000.0,2469000000.0,1955103612.0,975000000.0,188000000.0,0.0,975000000.0,1355000000.0,1592000000.0,0.0,1167000000.0,0.0,4588000000.0,192000000.0,,4.0,0.0451025056947609,0.538142981691369,0.534757814191872,41360000000.0,0.538142981691369,2.34667869868372,1.35849056603774,1.01453857586813,0.105595762717802,21.1548890535219,0.0333825034219724
5,2019-09-30 00:00:00+00:00,3,2019,74048000000.0,41787000000.0,36592000000.0,2838000000.0,78995000000.0,106543000000.0,5643000000.0,24835000000.0,1131000000.0,-181000000.0,7679000000.0,9224000000.0,13813000000.0,4129000000.0,60734000000.0,0.0,3197000000.0,36144000000.0,492000000.0,0.0,13314000000.0,1916410196.0,13813000000.0,114222000000.0,3330000000.0,0.0,1541000000.0,0.0,2962000000.0,-145000000.0,1295000000.0,-6000000.0,471000000.0,1462000000.0,-43000000.0,-600000000.0,-224000000.0,-3572000000.0,-1421000000.0,-312000000.0,798000000.0,2129000000.0,2978000000.0,0.455,0.0,-81000000.0,0.453,1593000000.0,3443000000.0,1927600000.0,879000000.0,746000000.0,0.0,879000000.0,1683000000.0,1850000000.0,0.0,937000000.0,0.0,5572000000.0,58000000.0,1944000000.0,6.0,0.261775362318841,0.617910983488873,0.576761303890641,40174000000.0,0.617910983488873,2.90751949224132,-0.141509433962264,0.987756886751202,0.0919412033859529,20.9631529219854,0.029393949783431
6,2019-06-30 00:00:00+00:00,2,2019,72126000000.0,41717000000.0,34910000000.0,2598000000.0,76136000000.0,103081000000.0,7770000000.0,24554000000.0,1019000000.0,-191000000.0,7471000000.0,8939000000.0,13749000000.0,3496000000.0,57714000000.0,0.0,3095000000.0,33947000000.0,487000000.0,0.0,14412000000.0,1915741340.0,13749000000.0,110552000000.0,3121000000.0,0.0,364000000.0,0.0,1684000000.0,362000000.0,1180000000.0,-1000000.0,625000000.0,6000000.0,7000000.0,-599000000.0,-153000000.0,-1946000000.0,-1320000000.0,601000000.0,1139000000.0,1974000000.0,3139000000.0,0.645,0.0,-95000000.0,0.64,1747000000.0,2996000000.0,1915600000.0,1234000000.0,601000000.0,0.0,1234000000.0,1959000000.0,1249000000.0,0.0,1358000000.0,0.0,4970000000.0,124000000.0,1931200000.0,6.0,0.223234063499877,0.602816901408451,0.518387454898696,38426000000.0,0.602816901408451,2.5942959502038,0.55421686746988,0.972414780865082,0.0971701131373062,20.0580314250566,0.0316768036863039
7,2019-03-31 00:00:00+00:00,1,2019,71189000000.0,40213000000.0,34226000000.0,2398000000.0,74794000000.0,100807000000.0,10330000000.0,23919000000.0,972000000.0,-213000000.0,8222000000.0,8669000000.0,13095000000.0,3488000000.0,53263000000.0,0.0,3264000000.0,29883000000.0,484000000.0,0.0,17926000000.0,1912670020.0,13095000000.0,109029000000.0,2974000000.0,0.0,281000000.0,0.0,1597000000.0,-3912000000.0,772000000.0,9000000.0,1427000000.0,20000000.0,-53000000.0,-598000000.0,-4551000000.0,-6945000000.0,-1316000000.0,2104000000.0,606000000.0,1782000000.0,2240000000.0,0.355,0.0,-74000000.0,0.352,1135000000.0,2293000000.0,1913200000.0,680000000.0,714000000.0,0.0,680000000.0,1468000000.0,1158000000.0,0.0,754000000.0,0.0,4075000000.0,74000000.0,1927200000.0,4.0,0.0565206118745138,0.562699386503068,0.458663393952918,37840000000.0,0.562699386503068,2.13052955156373,-0.849128771780705,0.873108163384561,0.085164733897068,19.7838621426188,0.0283955715493678
8,2018-12-31 00:00:00+00:00,4,2018,66289000000.0,37712000000.0,34144000000.0,2386000000.0,70334000000.0,97309000000.0,10930000000.0,23837000000.0,638000000.0,-188000000.0,6393000000.0,7844000000.0,12634000000.0,891000000.0,48726000000.0,0.0,2963000000.0,26782000000.0,445000000.0,0.0,17563000000.0,1911781028.0,12634000000.0,103702000000.0,2969000000.0,0.0,-165000000.0,0.0,1362000000.0,4532000000.0,1092000000.0,-6000000.0,5565000000.0,4000000.0,-42000000.0,-531000000.0,0.0,-2389000000.0,-1527000000.0,5186000000.0,314000000.0,1818000000.0,2198000000.0,0.212,0.0,-108000000.0,0.22,1107000000.0,2572000000.0,1910800000.0,422000000.0,710000000.0,0.0,422000000.0,1106000000.0,1465000000.0,0.0,396000000.0,0.0,4390000000.0,-26000000.0,1924800000.0,7.0,0.100802407221665,0.585876993166287,0.364003871775892,37413000000.0,0.585876993166287,2.2962880872359,-0.815652173913043,0.784383786316776,0.197997360631659,19.5697098423136,0.0677312480392982
10,2018-09-30 00:00:00+00:00,3,2018,61265000000.0,32587000000.0,34252000000.0,3000000000.0,68572000000.0,90254000000.0,5539000000.0,23935000000.0,497000000.0,-158000000.0,8349000000.0,8351000000.0,12854000000.0,0.0,48458000000.0,0.0,2984000000.0,27048000000.0,448000000.0,0.0,12807000000.0,1886418736.0,12854000000.0,98603000000.0,3119000000.0,0.0,566000000.0,0.0,2295000000.0,-15000000.0,1131000000.0,14000000.0,882000000.0,703000000.0,-73000000.0,-523000000.0,0.0,-3206000000.0,-1729000000.0,67000000.0,941000000.0,1913000000.0,2429000000.0,0.53,0.0,-64000000.0,0.525,968000000.0,2503000000.0,1892400000.0,1005000000.0,168000000.0,0.0,1005000000.0,1298000000.0,1535000000.0,0.0,1130000000.0,0.0,4416000000.0,125000000.0,1909600000.0,8.0,-0.0815307820299501,0.566802536231884,0.651909112204263,37338000000.0,0.566802536231884,2.34094367052555,0.177777777777778,0.789676515239986,0.261248683851343,19.7930604098919,0.086700833462753
11,2018-06-30 00:00:00+00:00,2,2018,59318000000.0,32566000000.0,33021000000.0,2298000000.0,68659000000.0,89605000000.0,4210000000.0,23453000000.0,478000000.0,-173000000.0,5885000000.0,7899000000.0,12351000000.0,0.0,49134000000.0,0.0,3028000000.0,28356000000.0,445000000.0,0.0,10184000000.0,1885745904.0,12351000000.0,95490000000.0,2891000000.0,0.0,230000000.0,0.0,1645000000.0,-172000000.0,832000000.0,-6000000.0,-123000000.0,4000000.0,549000000.0,-524000000.0,0.0,-1688000000.0,-1415000000.0,427000000.0,687000000.0,1742000000.0,2233000000.0,0.415,0.0,-94000000.0,0.403,1146000000.0,2321000000.0,1884400000.0,781000000.0,394000000.0,0.0,781000000.0,1401000000.0,1175000000.0,0.0,1007000000.0,0.0,4063000000.0,226000000.0,1900800000.0,7.0,-0.0774296094459582,0.571252768889983,0.5778672427337,36172000000.0,0.571252768889983,2.15458508560547,-0.0165876777251185,0.858726265104025,0.273045255522968,19.1817995856562,0.0854680405078566
