,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,32.9,32.91,31.81,31.84,2408340,32.9,32.91,31.81,31.84,2408340,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,33.1,33.58,32.92,33.0,3965390,33.1,33.58,32.92,33.0,3965390,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,33.84,33.97,33.02,33.72,3432846,33.84,33.97,33.02,33.72,3432846,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,33.92,34.015,33.06,33.55,3128386,33.92,34.015,33.06,33.55,3128386,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,34.8,34.935,33.66,33.89,3020032,34.8,34.935,33.66,33.89,3020032,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,34.52,35.2,34.4,34.89,2123400,34.52,35.2,34.4,34.89,2123400,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,34.03,35.04,33.945,34.71,2135826,34.03,35.04,33.945,34.71,2135826,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,34.6,35.15,33.98,34.25,2212207,34.6,35.15,33.98,34.25,2212207,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,34.75,34.82,34.06,34.63,2040613,34.75,34.82,34.06,34.63,2040613,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,34.1,35.12,34.08,34.95,1918641,34.1,35.12,34.08,34.95,1918641,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,34.33,34.7,33.76,34.33,2140666,34.33,34.7,33.76,34.33,2140666,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,33.74,34.4,33.7,34.33,2173146,33.74,34.4,33.7,34.33,2173146,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,33.32,33.48,33.0,33.46,3670057,33.32,33.48,33.0,33.46,3670057,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,34.14,34.15,33.47,33.76,1628821,34.14,34.15,33.47,33.76,1628821,0.0,1.0,,,,,
14,2018-01-23 00:00:00+00:00,33.86,34.34,33.675,34.05,1886522,33.86,34.34,33.675,34.05,1886522,0.0,1.0,,,,,
15,2018-01-24 00:00:00+00:00,34.13,34.4,33.63,34.02,2284751,34.13,34.4,33.63,34.02,2284751,0.0,1.0,,,,,
16,2018-01-25 00:00:00+00:00,33.81,34.58,33.68,34.32,3408019,33.81,34.58,33.68,34.32,3408019,0.0,1.0,,,,,
17,2018-01-26 00:00:00+00:00,33.96,34.02,33.51,33.81,1959289,33.96,34.02,33.51,33.81,1959289,0.0,1.0,,,,,
18,2018-01-29 00:00:00+00:00,33.33,34.36,33.235,33.75,3288549,33.33,34.36,33.235,33.75,3288549,0.0,1.0,6653293104.15,8721293104.15,15.5747663551,4.725350216,0.0660747664
19,2018-01-30 00:00:00+00:00,31.67,32.79,31.46,32.68,3533179,31.67,32.79,31.46,32.68,3533179,0.0,1.0,6321925970.85,8389925970.85,14.7990654206,4.4900042407,0.0627839139
20,2018-01-31 00:00:00+00:00,31.66,32.32,31.44,31.91,2487196,31.66,32.32,31.44,31.91,2487196,0.0,1.0,6319929783.3,8387929783.3,14.7943925234,4.4885864938,0.0627640895
21,2018-02-01 00:00:00+00:00,32.06,32.28,31.5975,31.75,2251803,32.06,32.28,31.5975,31.75,2251803,0.0,1.0,6399777285.3,8467777285.3,14.9813084112,4.5452963674,0.063557066
22,2018-02-02 00:00:00+00:00,30.36,31.87,30.31,31.66,3596387,30.36,31.87,30.31,31.66,3596387,0.0,1.0,6060425401.8,8128425401.8,14.1869158879,4.3042794047,0.0601869159
