,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,13555000000.0,8488000000.0,759000000.0,10644000000.0,10134000000.0,-1251000000.0,1885000000.0,0.0,0.0,1094000000.0,-1105000000.0,3778000000.0,0.0,0.0,288000000.0,15775000000.0,11997000000.0,3421000000.0,324000000.0,1055000000.0,10373000000.0,1161000000.0,0.0,2250000000.0,356753964.0,2032000000.0,17000000.0,304000000.0,-103000000.0,417000000.0,3000000.0,0.0,217000000.0,12000000.0,1495000000.0,0.0,-21000000.0,1812000000.0,-113000000.0,1534000000.0,358443308.0,385000000.0,168000000.0,0.02,726000000.0,900000000.0,0.02,76000000.0,3000000.0,174000000.0,69000000.0,7000000.0,92000000.0,356913312.0,10000000.0,663000000.0,451000000.0,1563000000.0,7000000.0,0.0,0.0,0.0,5.0,-0.0327970297029703,0.575815738963532,1.10435545162233,2220000000.0,0.575815738963532,4.38117066023687,-1.01503759398496,4.17716535433071,-0.0723589001447178,6.2227759857491,-0.0102723895290109
1,2020,2,2020-06-30 00:00:00+00:00,11915000000.0,8502000000.0,779000000.0,10682000000.0,10163000000.0,-1258000000.0,291000000.0,0.0,0.0,1131000000.0,-1112000000.0,2073000000.0,0.0,0.0,276000000.0,14122000000.0,12049000000.0,1752000000.0,361000000.0,1016000000.0,8793000000.0,1100000000.0,0.0,438000000.0,356475591.0,2021000000.0,11000000.0,130000000.0,-120000000.0,250000000.0,10000000.0,0.0,224000000.0,-1000000.0,-61000000.0,0.0,-22000000.0,79000000.0,-120000000.0,-32000000.0,356672845.0,247000000.0,23000000.0,-0.08,804000000.0,832000000.0,-0.08,-68000000.0,4000000.0,28000000.0,-38000000.0,-30000000.0,91000000.0,356672845.0,-26000000.0,664000000.0,451000000.0,1496000000.0,-30000000.0,0.0,0.0,0.0,3.0,-0.081081081081081,0.556149732620321,1.18321917808219,2207000000.0,0.556149732620321,4.19664077364556,-1.22857142857143,4.20682830282039,-0.298989898989899,6.19116723759075,-0.0441581690857714
2,2020,1,2020-03-31 00:00:00+00:00,11962000000.0,7722000000.0,804000000.0,10785000000.0,9394000000.0,-1228000000.0,1054000000.0,0.0,0.0,1182000000.0,-1130000000.0,2014000000.0,0.0,0.0,267000000.0,14193000000.0,12179000000.0,2568000000.0,402000000.0,1066000000.0,8776000000.0,1077000000.0,0.0,359000000.0,356368888.0,2044000000.0,16000000.0,-117000000.0,-142000000.0,-5000000.0,-30000000.0,-3000000.0,214000000.0,-27000000.0,82000000.0,0.0,-21000000.0,-95000000.0,-112000000.0,110000000.0,356389022.0,301000000.0,87000000.0,-0.05,740000000.0,838000000.0,-0.05,-7000000.0,5000000.0,98000000.0,11000000.0,-18000000.0,94000000.0,356389022.0,-13000000.0,721000000.0,515000000.0,1559000000.0,-18000000.0,0.0,0.0,0.0,1.0,-0.0025591810620601,0.537524053880693,0.784267912772586,2231000000.0,0.537524053880693,4.37468042945432,-1.41666666666667,3.77788649706458,-0.207339649352064,6.26036692630699,-0.0325787519463409
3,2019,4,2019-12-31 00:00:00+00:00,11931000000.0,7765000000.0,859000000.0,10874000000.0,9430000000.0,-1210000000.0,914000000.0,0.0,0.0,1103000000.0,-1005000000.0,1977000000.0,0.0,0.0,276000000.0,14319000000.0,12342000000.0,2501000000.0,345000000.0,1112000000.0,8679000000.0,1182000000.0,0.0,454000000.0,355810261.0,2195000000.0,11000000.0,293000000.0,-160000000.0,470000000.0,9000000.0,-2000000.0,206000000.0,18000000.0,-254000000.0,0.0,-22000000.0,65000000.0,-177000000.0,-219000000.0,356064985.0,260000000.0,54000000.0,-0.31,733000000.0,957000000.0,-0.31,-44000000.0,1000000.0,224000000.0,65000000.0,-109000000.0,98000000.0,356064985.0,-108000000.0,734000000.0,499000000.0,1691000000.0,-109000000.0,0.0,0.0,0.0,4.0,0.019903498190591,0.565937315198108,0.790483806477409,2388000000.0,0.565937315198108,4.75253297993,-0.883895131086142,3.5375854214123,-0.167187027898076,6.71144219755933,-0.027670356047473
5,2019,3,2019-09-30 00:00:00+00:00,11990000000.0,8582000000.0,848000000.0,10884000000.0,10215000000.0,-1101000000.0,298000000.0,0.0,0.0,1146000000.0,-1166000000.0,1947000000.0,0.0,0.0,322000000.0,14343000000.0,12396000000.0,1775000000.0,316000000.0,1142000000.0,8880000000.0,1087000000.0,0.0,389000000.0,355673567.0,2155000000.0,13000000.0,301000000.0,-132000000.0,413000000.0,-17000000.0,0.0,186000000.0,-2000000.0,-268000000.0,0.0,-124000000.0,-4000000.0,-112000000.0,-135000000.0,355779274.0,-566000000.0,-752000000.0,-1.33,1662000000.0,922000000.0,-1.33,-852000000.0,4000000.0,-740000000.0,-380000000.0,-472000000.0,100000000.0,355779274.0,-468000000.0,694000000.0,467000000.0,1616000000.0,-472000000.0,0.0,0.0,0.0,3.0,0.01,0.570544554455445,1.0969014084507,2353000000.0,0.570544554455445,4.54349198235471,-5.92592592592593,3.98236658932715,-0.475569416879312,6.61561672925781,-0.0826924341024124
6,2019,2,2019-06-30 00:00:00+00:00,12600000000.0,8651000000.0,903000000.0,11998000000.0,10711000000.0,-629000000.0,412000000.0,0.0,0.0,1227000000.0,-1115000000.0,2026000000.0,0.0,0.0,329000000.0,15588000000.0,13562000000.0,1889000000.0,363000000.0,1168000000.0,9063000000.0,1024000000.0,0.0,393000000.0,355494014.0,2789000000.0,11000000.0,118000000.0,-110000000.0,226000000.0,1000000.0,0.0,185000000.0,-1000000.0,-126000000.0,0.0,-125000000.0,-9000000.0,-108000000.0,4000000.0,356627708.0,431000000.0,246000000.0,0.35,680000000.0,929000000.0,0.34,146000000.0,3000000.0,249000000.0,23000000.0,123000000.0,100000000.0,355630327.0,126000000.0,699000000.0,483000000.0,1628000000.0,123000000.0,0.0,0.0,0.0,3.0,-0.0115361262902246,0.570638820638821,1.07252514557967,2988000000.0,0.570638820638821,4.57954265300231,0.75,3.10182861240588,-0.22181146025878,8.40520482012955,-0.0437096161155454
7,2019,1,2019-03-31 00:00:00+00:00,12753000000.0,8710000000.0,979000000.0,12029000000.0,10836000000.0,-752000000.0,385000000.0,0.0,0.0,1221000000.0,-1104000000.0,2047000000.0,0.0,0.0,334000000.0,15742000000.0,13695000000.0,1917000000.0,376000000.0,1185000000.0,9095000000.0,1071000000.0,0.0,402000000.0,355447173.0,2790000000.0,15000000.0,-165000000.0,-180000000.0,-43000000.0,-3000000.0,-2000000.0,179000000.0,-59000000.0,104000000.0,0.0,-124000000.0,-122000000.0,-122000000.0,233000000.0,356357083.0,353000000.0,174000000.0,0.12,694000000.0,868000000.0,0.12,75000000.0,4000000.0,174000000.0,32000000.0,43000000.0,99000000.0,355444756.0,47000000.0,695000000.0,480000000.0,1563000000.0,43000000.0,0.0,0.0,0.0,0.0,-0.029192546583851,0.555342290467051,1.06781429316641,2989000000.0,0.555342290467051,4.39727790435964,-0.4,3.12186379928315,-0.21630299934321,8.40912581966153,-0.0461294238490989
8,2018,4,2018-12-31 00:00:00+00:00,12136000000.0,8280000000.0,468000000.0,12011000000.0,10479000000.0,-795000000.0,107000000.0,0.0,0.0,1118000000.0,-1110000000.0,2003000000.0,0.0,0.0,333000000.0,15179000000.0,13176000000.0,1657000000.0,355000000.0,1184000000.0,8387000000.0,1119000000.0,0.0,524000000.0,354983320.0,2847000000.0,14000000.0,397000000.0,-103000000.0,546000000.0,-2000000.0,-1000000.0,171000000.0,47000000.0,-363000000.0,0.0,-124000000.0,78000000.0,-149000000.0,-235000000.0,353210699.0,-1006000000.0,-1177000000.0,-2.67,2122000000.0,951000000.0,-2.67,-1276000000.0,3000000.0,-1171000000.0,-324000000.0,-952000000.0,99000000.0,355195013.0,-949000000.0,707000000.0,507000000.0,1658000000.0,-952000000.0,0.0,0.0,0.0,3.0,-0.0584894946053379,0.573582629674306,1.20881110440555,3043000000.0,0.573582629674306,4.67064198960109,-13.1363636363636,2.90832455216017,-0.187726583613473,8.57223376016653,-0.0435241078933293
10,2018,3,2018-09-30 00:00:00+00:00,12420000000.0,8304000000.0,461000000.0,13507000000.0,10626000000.0,281000000.0,307000000.0,0.0,0.0,1249000000.0,-1010000000.0,2047000000.0,0.0,0.0,166000000.0,16635000000.0,14588000000.0,1794000000.0,345000000.0,1552000000.0,8611000000.0,996000000.0,0.0,446000000.0,355207609.0,4017000000.0,1000000.0,266000000.0,-127000000.0,387000000.0,-3000000.0,-10000000.0,175000000.0,-9000000.0,-205000000.0,0.0,-124000000.0,52000000.0,-121000000.0,-67000000.0,355561704.0,429000000.0,254000000.0,0.27,658000000.0,919000000.0,0.27,155000000.0,2000000.0,261000000.0,59000000.0,96000000.0,99000000.0,354993315.0,98000000.0,681000000.0,464000000.0,1600000000.0,96000000.0,0.0,0.0,0.0,4.0,-0.0249847653869592,0.574375,1.14102564102564,4215000000.0,0.574375,4.50440801227318,-0.341463414634146,2.067214339059,0.0774941155169292,11.8662998573322,0.0191293465629749
11,2018,2,2018-06-30 00:00:00+00:00,12453000000.0,8321000000.0,471000000.0,13509000000.0,10664000000.0,309000000.0,343000000.0,0.0,0.0,1320000000.0,-1015000000.0,2120000000.0,0.0,0.0,169000000.0,16698000000.0,14578000000.0,1789000000.0,361000000.0,1524000000.0,8664000000.0,977000000.0,0.0,394000000.0,356225426.0,4049000000.0,7000000.0,124000000.0,-144000000.0,242000000.0,-18000000.0,-34000000.0,162000000.0,-28000000.0,-148000000.0,0.0,-125000000.0,-68000000.0,-118000000.0,20000000.0,356376160.0,378000000.0,216000000.0,0.2,721000000.0,949000000.0,0.2,116000000.0,4000000.0,228000000.0,44000000.0,72000000.0,100000000.0,355773490.0,76000000.0,698000000.0,494000000.0,1647000000.0,72000000.0,0.0,0.0,0.0,4.0,0.00182481751824826,0.576199149969642,1.18501956400224,4245000000.0,0.576199149969642,4.62347682054565,-0.459459459459459,2.05507532724129,0.0882755338766284,11.9166114773627,0.0221254770992366
