,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,34305000000.0,15552000000.0,8666000000.0,19555000000.0,24196000000.0,10394000000.0,0.0,853000000.0,0.0,7681000000.0,-121000000.0,14552000000.0,0.0,0.0,188000000.0,44772000000.0,30220000000.0,10109000000.0,2235000000.0,39000000.0,15552000000.0,2197000000.0,0.0,4995000000.0,166714063.0,10467000000.0,25000000.0,1072000000.0,-289000000.0,1359000000.0,0.0,0.0,317000000.0,0.0,-253000000.0,0.0,-242000000.0,817000000.0,-287000000.0,-27000000.0,167300000.0,1638000000.0,1321000000.0,5.91,855000000.0,1840000000.0,5.89,1167000000.0,0.0,985000000.0,181000000.0,986000000.0,154000000.0,166800000.0,986000000.0,7243000000.0,855000000.0,9083000000.0,986000000.0,0.0,0.0,0.0,7.0,0.0717404129793511,0.202576241329957,1.43950934810565,10467000000.0,0.202576241329957,54.4825063738024,0.0706521739130437,1.48581255374033,0.257488176563321,62.784145570251,0.056798752745756
1,2020,2,2020-06-30 00:00:00+00:00,33763000000.0,15592000000.0,8591000000.0,19616000000.0,24036000000.0,9652000000.0,0.0,832000000.0,0.0,7449000000.0,-117000000.0,13179000000.0,0.0,0.0,346000000.0,43475000000.0,30296000000.0,9727000000.0,2179000000.0,0.0,15592000000.0,2006000000.0,0.0,4178000000.0,166702730.0,9712000000.0,18000000.0,2068000000.0,-269000000.0,2337000000.0,0.0,-146000000.0,308000000.0,0.0,-1168000000.0,0.0,-242000000.0,900000000.0,-269000000.0,-750000000.0,167300000.0,1665000000.0,1357000000.0,6.02,832000000.0,1826000000.0,6.01,1203000000.0,0.0,994000000.0,198000000.0,1005000000.0,154000000.0,166900000.0,1005000000.0,7058000000.0,832000000.0,8884000000.0,1005000000.0,0.0,0.0,0.0,6.0,0.0506149479659412,0.205538045925259,1.35488845481649,9712000000.0,0.205538045925259,53.2924685756496,0.187376725838264,1.60543657331137,0.256885649983925,58.2593938323626,0.056962927756654
2,2020,1,2020-03-31 00:00:00+00:00,34141000000.0,15579000000.0,8425000000.0,19672000000.0,23964000000.0,9011000000.0,0.0,785000000.0,0.0,8054000000.0,-116000000.0,13128000000.0,0.0,0.0,355000000.0,43203000000.0,30075000000.0,10177000000.0,2027000000.0,0.0,15579000000.0,2071000000.0,0.0,3278000000.0,167637130.0,9062000000.0,18000000.0,-1265000000.0,-270000000.0,-993000000.0,0.0,-344000000.0,297000000.0,0.0,2296000000.0,0.0,-227000000.0,1033000000.0,-272000000.0,2976000000.0,168400000.0,1475000000.0,1178000000.0,5.18,788000000.0,1722000000.0,5.15,1053000000.0,0.0,934000000.0,185000000.0,868000000.0,125000000.0,167700000.0,868000000.0,6898000000.0,788000000.0,8620000000.0,868000000.0,0.0,0.0,0.0,3.0,0.0526315789473684,0.199767981438515,1.28996757394124,9062000000.0,0.199767981438515,51.4205892214929,0.0196850393700787,1.71915691900243,0.244718405474393,54.0572366038478,0.0548078501967414
3,2019,4,2019-12-31 00:00:00+00:00,32270000000.0,14078000000.0,8423000000.0,19748000000.0,22836000000.0,8748000000.0,0.0,783000000.0,0.0,6660000000.0,-97000000.0,10685000000.0,0.0,0.0,508000000.0,41089000000.0,30404000000.0,9434000000.0,2237000000.0,0.0,14078000000.0,2226000000.0,0.0,2245000000.0,168532761.0,8819000000.0,34000000.0,1993000000.0,-422000000.0,2464000000.0,0.0,-300000000.0,341000000.0,0.0,-924000000.0,0.0,-222000000.0,1118000000.0,-471000000.0,-399000000.0,169100000.0,-98000000.0,-439000000.0,-2.39,970000000.0,2106000000.0,-2.38,-569000000.0,0.0,1136000000.0,-160000000.0,-409000000.0,130000000.0,168400000.0,-409000000.0,6615000000.0,970000000.0,8721000000.0,-409000000.0,0.0,0.0,0.0,6.0,0.0692741539970574,0.241486068111455,1.13260546957812,8819000000.0,0.241486068111455,51.746615603123,-2.13270142180095,1.59632611407189,0.246335917595814,52.3281049196126,0.0558589115215217
5,2019,3,2019-09-30 00:00:00+00:00,30822000000.0,15130000000.0,8122000000.0,19830000000.0,22406000000.0,9649000000.0,0.0,810000000.0,0.0,7888000000.0,-87000000.0,10836000000.0,0.0,0.0,83000000.0,40553000000.0,29717000000.0,8416000000.0,2127000000.0,111000000.0,15130000000.0,2021000000.0,0.0,1127000000.0,169198172.0,9731000000.0,38000000.0,882000000.0,-250000000.0,1139000000.0,0.0,-213000000.0,318000000.0,0.0,-850000000.0,0.0,-223000000.0,39000000.0,-257000000.0,-411000000.0,169900000.0,1496000000.0,1178000000.0,5.52,776000000.0,1727000000.0,5.49,1055000000.0,0.0,951000000.0,122000000.0,933000000.0,123000000.0,169100000.0,933000000.0,6748000000.0,776000000.0,8475000000.0,933000000.0,0.0,0.0,0.0,6.0,0.0482374768089053,0.20377581120944,1.28754752851711,9731000000.0,0.20377581120944,50.0891936350234,-0.227972027972028,1.55482478676395,0.335981712246662,57.5124416828806,0.0765007204473756
6,2019,2,2019-06-30 00:00:00+00:00,30370000000.0,14919000000.0,7800000000.0,19914000000.0,22215000000.0,9120000000.0,0.0,810000000.0,0.0,7489000000.0,-75000000.0,10159000000.0,0.0,0.0,85000000.0,39584000000.0,29425000000.0,8155000000.0,1942000000.0,140000000.0,14919000000.0,1962000000.0,0.0,1088000000.0,169799679.0,9214000000.0,29000000.0,1355000000.0,-255000000.0,1607000000.0,0.0,-171000000.0,304000000.0,0.0,-1112000000.0,0.0,-224000000.0,240000000.0,-252000000.0,-713000000.0,170300000.0,1469000000.0,1165000000.0,5.07,784000000.0,1730000000.0,5.06,1028000000.0,0.0,946000000.0,167000000.0,861000000.0,137000000.0,169700000.0,861000000.0,6726000000.0,784000000.0,8456000000.0,861000000.0,0.0,0.0,0.0,6.0,0.187807276302852,0.204588457899716,1.24573881054568,9214000000.0,0.204588457899716,49.7998585733487,0.121681415929204,1.6191664857825,0.377266407513549,54.263942395321,0.0858188483905739
7,2019,1,2019-03-31 00:00:00+00:00,31012000000.0,14961000000.0,7703000000.0,19987000000.0,22191000000.0,8628000000.0,0.0,778000000.0,0.0,7951000000.0,-59000000.0,10443000000.0,0.0,0.0,84000000.0,39751000000.0,29308000000.0,8821000000.0,1969000000.0,133000000.0,14961000000.0,1932000000.0,0.0,755000000.0,169737507.0,8739000000.0,26000000.0,-1197000000.0,-280000000.0,-913000000.0,0.0,-60000000.0,302000000.0,0.0,462000000.0,0.0,-211000000.0,-731000000.0,-284000000.0,794000000.0,170700000.0,1474000000.0,1172000000.0,5.08,760000000.0,1696000000.0,5.06,1034000000.0,0.0,936000000.0,171000000.0,863000000.0,138000000.0,170000000.0,863000000.0,6493000000.0,760000000.0,8189000000.0,863000000.0,0.0,0.0,0.0,4.0,0.215887156644395,0.20710709488338,1.18387937875524,8739000000.0,0.20710709488338,48.2450823317442,0.053941908713693,1.71198077583248,0.379729098552078,51.4853797163405,0.0851726960222622
8,2018,4,2018-12-31 00:00:00+00:00,29466000000.0,13883000000.0,6372000000.0,20044000000.0,21192000000.0,8068000000.0,0.0,654000000.0,0.0,6474000000.0,-52000000.0,9680000000.0,0.0,0.0,94000000.0,37653000000.0,27973000000.0,8274000000.0,1917000000.0,108000000.0,13883000000.0,2182000000.0,0.0,1579000000.0,173619710.0,8187000000.0,4000000.0,1914000000.0,-458000000.0,2377000000.0,0.0,-1054000000.0,266000000.0,0.0,-1568000000.0,0.0,-205000000.0,351000000.0,-463000000.0,-307000000.0,172800000.0,811000000.0,545000000.0,2.11,744000000.0,1687000000.0,2.09,403000000.0,0.0,943000000.0,47000000.0,356000000.0,142000000.0,171900000.0,356000000.0,6469000000.0,744000000.0,8156000000.0,356000000.0,0.0,0.0,0.0,6.0,0.244810744810745,0.206841589014223,1.16992990089437,8187000000.0,0.206841589014223,46.9762332859558,-0.639931740614335,1.69573714425308,0.389071301623641,47.1547844423885,0.0874066955856777
10,2018,3,2018-09-30 00:00:00+00:00,28840000000.0,13889000000.0,6025000000.0,20102000000.0,20801000000.0,14464000000.0,0.0,719000000.0,0.0,7302000000.0,-5535000000.0,10132000000.0,0.0,0.0,69000000.0,37943000000.0,27811000000.0,8039000000.0,0.0,0.0,13889000000.0,1939000000.0,0.0,1228000000.0,174123419.0,9103000000.0,29000000.0,530000000.0,-261000000.0,812000000.0,0.0,-168000000.0,253000000.0,0.0,-862000000.0,0.0,-209000000.0,-311000000.0,-282000000.0,-476000000.0,174900000.0,1750000000.0,1497000000.0,7.15,817000000.0,1989000000.0,7.11,1364000000.0,0.0,1172000000.0,120000000.0,1244000000.0,133000000.0,174100000.0,1244000000.0,6096000000.0,817000000.0,8085000000.0,1244000000.0,0.0,0.0,0.0,6.0,0.230780940782463,0.246011131725417,1.26035576564249,9103000000.0,0.246011131725417,46.4325823972018,0.937669376693767,1.52576073821817,0.484599589322382,52.2790102117166,0.107240230233263
11,2018,2,2018-06-30 00:00:00+00:00,29151000000.0,14387000000.0,5864000000.0,20076000000.0,21318000000.0,13669000000.0,0.0,690000000.0,0.0,7087000000.0,-5616000000.0,9722000000.0,0.0,0.0,179000000.0,37378000000.0,27656000000.0,7833000000.0,0.0,0.0,14387000000.0,1824000000.0,0.0,1539000000.0,174384166.0,8227000000.0,34000000.0,676000000.0,-7852000000.0,875000000.0,0.0,-41000000.0,159000000.0,-7657000000.0,-1853000000.0,0.0,-209000000.0,-8830000000.0,-199000000.0,-1601000000.0,175400000.0,1279000000.0,1120000000.0,4.52,739000000.0,1556000000.0,4.5,976000000.0,0.0,817000000.0,187000000.0,789000000.0,144000000.0,174500000.0,789000000.0,5563000000.0,739000000.0,7119000000.0,789000000.0,0.0,0.0,0.0,5.0,0.0997991657654873,0.218570023879758,1.24115919826376,8227000000.0,0.218570023879758,40.8236605610168,0.421383647798742,1.74875410234593,0.446024651225789,47.1774484387533,0.0984351413155574
