,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,5031743000.0,2135194000.0,1021733000.0,387775000.0,2195796000.0,-250389000.0,67934000.0,0.0,0.0,631055000.0,51575000.0,3966881000.0,2863268000.0,1259951000.0,620890000.0,7705459000.0,3738578000.0,2835947000.0,2312018000.0,0.0,2203128000.0,51456000.0,1603317000.0,1348294000.0,191800000.0,2673716000.0,219929000.0,149796000.0,-702244000.0,241452000.0,7821000.0,51444000.0,84720000.0,-24699000.0,963378000.0,-587762000.0,0.0,510407000.0,-91656000.0,1034047000.0,201861000.0,118133000.0,33413000.0,0.07,830936000.0,900268000.0,0.06,25433000.0,0.0,69332000.0,12575000.0,12858000.0,7980000.0,193237000.0,12858000.0,251704000.0,562644000.0,1151972000.0,12858000.0,0.0,268292000.0,0.0,5.0,0.300439247578268,0.781501633720264,1.39878530875224,2673716000.0,0.781501633720264,6.00611053180396,-0.681818181818182,0.798586686095307,0.293542028446274,13.9401251303441,0.105961239499317
1,2020,2,2020-06-30 00:00:00+00:00,4042503000.0,1132622000.0,1010473000.0,375273000.0,1193632000.0,-263247000.0,65742000.0,0.0,0.0,631992000.0,29772000.0,3337122000.0,2282169000.0,776807000.0,594155000.0,6521309000.0,3184187000.0,2848871000.0,2282118000.0,0.0,1198364000.0,85757000.0,1505362000.0,837309000.0,190700000.0,2478806000.0,216840000.0,251090000.0,-243075000.0,368054000.0,5787000.0,24148000.0,82390000.0,0.0,-102211000.0,-127095000.0,0.0,28555000.0,-116964000.0,-13502000.0,201453000.0,152908000.0,70518000.0,0.21,775637000.0,837903000.0,0.2,62030000.0,0.0,62266000.0,21264000.0,40766000.0,8488000.0,191319000.0,40766000.0,232939000.0,530556000.0,1070842000.0,40766000.0,0.0,245081000.0,0.0,6.0,0.284131027072661,0.782471176886973,1.17138403248164,2478806000.0,0.782471176886973,5.61532249606712,-4.5,0.456922405383882,0.350899237140484,12.998458311484,0.123979938175918
2,2020,1,2020-03-31 00:00:00+00:00,3931321000.0,1142226000.0,935545000.0,378654000.0,1210260000.0,-304013000.0,60895000.0,0.0,0.0,615234000.0,-14380000.0,2805861000.0,2127918000.0,1077938000.0,586021000.0,6197416000.0,3391555000.0,2721061000.0,2255742000.0,0.0,1203121000.0,73904000.0,1049980000.0,808725000.0,189800000.0,2266095000.0,188285000.0,408361000.0,-385034000.0,491568000.0,-10649000.0,66908000.0,76238000.0,-82948000.0,-61028000.0,-215259000.0,0.0,34857000.0,-83207000.0,-2236000.0,199938000.0,133170000.0,56932000.0,0.25,773639000.0,822974000.0,0.24,48362000.0,0.0,49335000.0,131000.0,48231000.0,8570000.0,190163000.0,48231000.0,223366000.0,546982000.0,1046340000.0,48231000.0,0.0,226657000.0,0.0,7.0,0.326284087480955,0.786526368102146,1.0311643142142,2266095000.0,0.786526368102146,5.51285563751317,-26.0,0.504050359759851,0.381948364411941,11.9393835616438,0.125392800165454
3,2019,4,2019-12-31 00:00:00+00:00,3894489000.0,1078202000.0,870513000.0,300606000.0,1141704000.0,-352244000.0,52668000.0,0.0,0.0,835279000.0,25255000.0,2826901000.0,1928649000.0,1013332000.0,599633000.0,6022430000.0,3195529000.0,2752785000.0,2225792000.0,0.0,1130870000.0,52960000.0,915317000.0,775778000.0,188600000.0,2127941000.0,170051000.0,342208000.0,-198732000.0,421211000.0,6253000.0,2641000.0,72331000.0,-7414000.0,-76281000.0,-78679000.0,0.0,152451000.0,-79003000.0,-9000.0,198675678.0,114992000.0,42661000.0,3.21,711809000.0,740321000.0,3.04,34186000.0,0.0,28512000.0,-564538000.0,598724000.0,8475000.0,188835853.0,598724000.0,211453000.0,509481000.0,951774000.0,598724000.0,0.0,202328000.0,0.0,5.0,0.330331921150731,0.777832762819745,1.02692400605205,2127941000.0,0.777832762819745,5.04652173913043,79.25,0.50668792038877,0.416873832070219,11.2828260869565,0.126728314212807
5,2019,3,2019-09-30 00:00:00+00:00,3327335000.0,1074999000.0,806282000.0,266849000.0,1134774000.0,-950968000.0,49331000.0,0.0,0.0,539416000.0,19631000.0,2297213000.0,1849661000.0,1001513000.0,0.0,4756808000.0,2459595000.0,2192561000.0,1802818000.0,0.0,1124330000.0,61906000.0,848148000.0,622925000.0,187500000.0,1429473000.0,162934000.0,120109000.0,-122355000.0,210178000.0,-7725000.0,41927000.0,64006000.0,0.0,-41256000.0,-31915000.0,0.0,38842000.0,-90069000.0,0.0,197878000.0,133147000.0,69141000.0,0.22,628716000.0,685040000.0,0.21,60770000.0,0.0,56324000.0,20172000.0,40598000.0,8371000.0,188074000.0,40598000.0,200793000.0,438617000.0,885833000.0,40598000.0,0.0,190099000.0,0.0,6.0,0.316055486802051,0.773328607085083,1.04773048503554,1429473000.0,0.773328607085083,4.72444266666667,3.4,0.752024697213589,0.0280104207507191,7.623856,0.00793511750444195
6,2019,2,2019-06-30 00:00:00+00:00,3341757000.0,1060957000.0,761957000.0,274071000.0,1116778000.0,-991566000.0,46132000.0,0.0,0.0,503376000.0,13542000.0,2442287000.0,1816519000.0,746716000.0,0.0,4602703000.0,2160416000.0,2224979000.0,1789379000.0,0.0,1107089000.0,65711000.0,1069803000.0,583581000.0,184700000.0,1260946000.0,171760000.0,157679000.0,-202517000.0,243735000.0,207000.0,10207000.0,60328000.0,0.0,-97919000.0,-116426000.0,0.0,-56494000.0,-86056000.0,0.0,186678000.0,52282000.0,-8046000.0,-0.06,662757000.0,635757000.0,-0.06,-16315000.0,0.0,-27000000.0,-5236000.0,-11079000.0,8269000.0,186678000.0,-11079000.0,198147000.0,479337000.0,833904000.0,-11079000.0,0.0,183420000.0,0.0,5.0,0.321442154103598,0.762386317849537,1.09766743865897,1260946000.0,0.762386317849537,4.51491066594478,-0.8,0.841397649066653,0.00243804607523413,6.82699512723335,0.000679375392566477
7,2019,1,2019-03-31 00:00:00+00:00,3203944000.0,1050819000.0,744212000.0,244436000.0,1106103000.0,-980487000.0,41952000.0,0.0,0.0,422559000.0,10323000.0,2374486000.0,1697024000.0,674633000.0,0.0,4398895000.0,2024409000.0,2097841000.0,1747782000.0,0.0,1092771000.0,38668000.0,1022391000.0,639722000.0,180500000.0,1194951000.0,157450000.0,313724000.0,-200873000.0,360848000.0,1079000.0,53093000.0,55449000.0,0.0,-86400000.0,-175897000.0,0.0,74654000.0,-47124000.0,0.0,182062000.0,52161000.0,-3288000.0,-0.01,618387000.0,602674000.0,-0.01,-11456000.0,0.0,-15713000.0,-9911000.0,-1545000.0,8168000.0,182062000.0,-1545000.0,186252000.0,445865000.0,788926000.0,-1545000.0,0.0,172522000.0,0.0,3.0,0.338928281700276,0.763917021368291,1.13187129053155,1194951000.0,0.763917021368291,4.3707811634349,-1.16666666666667,0.879382501876646,-0.0368616353930874,6.6202271468144,-0.0101409039351474
8,2018,4,2018-12-31 00:00:00+00:00,2767941000.0,661707000.0,347216000.0,249427000.0,755368000.0,-978780000.0,0.0,0.0,0.0,574810000.0,-4035000.0,2344693000.0,1513574000.0,581856000.0,20642000.0,3879140000.0,1534447000.0,2012573000.0,1690191000.0,0.0,661707000.0,30733000.0,931718000.0,566204000.0,179300000.0,1111199000.0,142644000.0,201499000.0,-247139000.0,289612000.0,-5937000.0,3723000.0,43112000.0,-12500000.0,-174321000.0,-135726000.0,0.0,-137785000.0,-88113000.0,-118302000.0,179789463.0,54005000.0,10893000.0,0.04,547001000.0,547279000.0,0.04,1955000.0,0.0,278000.0,-5060000.0,7015000.0,8938000.0,179789463.0,7015000.0,168162000.0,398339000.0,715441000.0,7015000.0,0.0,148662000.0,0.0,6.0,0.302950502009678,0.764953364428374,1.16502258551615,1111199000.0,0.764953364428374,3.9901896263246,-1.4,0.595489196804533,-0.0274714422095664,6.19742889012828,-0.00729719617178661
10,2018,3,2018-09-30 00:00:00+00:00,2561258000.0,653638000.0,297371000.0,227139000.0,742301000.0,-985795000.0,160972000.0,0.0,0.0,424698000.0,-1418000.0,2292185000.0,1379972000.0,457561000.0,0.0,3581442000.0,1289257000.0,1818957000.0,1404461000.0,0.0,814610000.0,43223000.0,922411000.0,703629000.0,177900000.0,1020184000.0,144408000.0,97514000.0,-89349000.0,145501000.0,-2088000.0,39018000.0,37874000.0,0.0,-68234000.0,-38612000.0,0.0,-14170000.0,-47987000.0,-40515000.0,192190899.0,56337000.0,18463000.0,0.05,505671000.0,515239000.0,0.04,7230000.0,0.0,9568000.0,-1175000.0,8405000.0,11233000.0,178719694.0,8405000.0,157858000.0,370016000.0,673097000.0,8405000.0,0.0,135655000.0,0.0,7.0,0.367049710381581,0.765475109828153,1.26016447887443,1020184000.0,0.765475109828153,3.78356942102305,-1.38461538461538,0.640705990291947,-0.0574441595578605,5.73459246767847,-0.0142748759946149
11,2018,2,2018-06-30 00:00:00+00:00,2581174000.0,645668000.0,286953000.0,230733000.0,744133000.0,-994200000.0,211463000.0,0.0,0.0,367598000.0,-3995000.0,2351629000.0,1349441000.0,304629000.0,0.0,3472884000.0,1121255000.0,1837041000.0,1365317000.0,0.0,857131000.0,30656000.0,1044812000.0,704846000.0,176600000.0,891710000.0,135560000.0,72905000.0,226312000.0,125896000.0,-13996000.0,8762000.0,35207000.0,-24940000.0,-303081000.0,307243000.0,0.0,35131000.0,-52991000.0,-242867000.0,177343176.0,9856000.0,-25351000.0,-0.3,509880000.0,477891000.0,-0.3,-40849000.0,0.0,-31989000.0,11897000.0,-52746000.0,15498000.0,177343176.0,-52746000.0,153165000.0,381964000.0,631056000.0,-52746000.0,0.0,127916000.0,0.0,6.0,0.407796402964364,0.757287784285388,1.28011786345542,891710000.0,0.757287784285388,3.57336353340883,-0.0909090909090909,0.724078456000269,-0.105800827208741,5.04932049830125,-0.0236721712176497
