,year,quarter,date,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.inventory,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.freeCashFlow,statementData.cashFlow.depamor,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.sga,statementData.incomeStatement.rnd,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,2,2020-10-30 00:00:00+00:00,737000000.0,2164000000.0,4821000000.0,8420000000.0,0.0,8050000000.0,0.0,3599000000.0,30000000.0,0.0,116000000.0,5130000000.0,2631000000.0,117000000.0,367000000.0,0.0,2631000000.0,2920000000.0,370000000.0,117000000.0,796000000.0,3529000000.0,-32000000.0,3651000000.0,0.0,222005088.0,-257000000.0,1000000.0,22000000.0,-105000000.0,-10000000.0,-107000000.0,49000000.0,0.0,0.0,-40000000.0,161000000.0,-150000000.0,121000000.0,69000000.0,137000000.0,933000000.0,222000000.0,137000000.0,182000000.0,0.62,751000000.0,224000000.0,0.0,483000000.0,0.0,0.61,0.0,1416000000.0,499000000.0,212000000.0,0.0,38000000.0,175000000.0,175000000.0,244000000.0,137000000.0,0.0863038221161396,0.0328227571115973,370000000.0,1.65102739726027,-0.398058252427185,0.658898305084746,6.37823219619183,7.11081081081081,0.658898305084746,1.66662846934391,6.0,2.33276740237691
1,2021,1,2020-07-31 00:00:00+00:00,737000000.0,2178000000.0,4817000000.0,8416000000.0,150000000.0,8132000000.0,0.0,3599000000.0,0.0,0.0,136000000.0,5156000000.0,2780000000.0,140000000.0,396000000.0,0.0,2630000000.0,2976000000.0,284000000.0,140000000.0,604000000.0,3633000000.0,-39000000.0,3620000000.0,0.0,221816300.0,1003000000.0,43000000.0,85000000.0,975000000.0,-311000000.0,-107000000.0,54000000.0,0.0,-350000000.0,-46000000.0,240000000.0,1098000000.0,194000000.0,62000000.0,77000000.0,872000000.0,221000000.0,77000000.0,136000000.0,0.35,736000000.0,222000000.0,0.0,431000000.0,0.0,0.35,0.0,1303000000.0,490000000.0,233000000.0,0.0,27000000.0,104000000.0,104000000.0,166000000.0,77000000.0,0.102676981840546,0.0542071197411003,284000000.0,1.61861559139785,-0.186046511627907,0.669224865694551,5.87423016252638,9.26056338028169,0.669224865694551,1.28033873074251,5.0,2.36011904761905
2,2020,4,2020-04-24 00:00:00+00:00,727000000.0,1822000000.0,4274000000.0,7522000000.0,522000000.0,7280000000.0,0.0,3248000000.0,0.0,0.0,145000000.0,3664000000.0,1668000000.0,224000000.0,426000000.0,0.0,1146000000.0,3616000000.0,242000000.0,224000000.0,973000000.0,2658000000.0,-42000000.0,3698000000.0,0.0,221177029.0,-440000000.0,-30000000.0,82000000.0,-45000000.0,42000000.0,-105000000.0,35000000.0,-161000000.0,-17000000.0,-24000000.0,383000000.0,-170000000.0,359000000.0,59000000.0,196000000.0,941000000.0,221000000.0,196000000.0,277000000.0,0.89,664000000.0,224000000.0,0.0,460000000.0,0.0,0.88,0.0,1401000000.0,452000000.0,212000000.0,0.0,54000000.0,250000000.0,250000000.0,309000000.0,196000000.0,0.108161648177496,-0.119974874371859,242000000.0,1.18196902654867,-0.440251572327044,0.671663097787295,6.33429251823434,4.73553719008264,0.671663097787295,1.09414617374212,5.0,1.70358814352574
4,2020,3,2020-01-24 00:00:00+00:00,740000000.0,1813000000.0,4218000000.0,7483000000.0,693000000.0,7201000000.0,0.0,3265000000.0,0.0,0.0,113000000.0,3672000000.0,1839000000.0,303000000.0,381000000.0,0.0,1146000000.0,3529000000.0,282000000.0,303000000.0,821000000.0,2705000000.0,-39000000.0,3573000000.0,0.0,228226206.0,-372000000.0,1000000.0,142000000.0,160000000.0,111000000.0,-108000000.0,36000000.0,-500000000.0,0.0,-32000000.0,420000000.0,194000000.0,388000000.0,86000000.0,277000000.0,941000000.0,226000000.0,277000000.0,268000000.0,1.23,673000000.0,229000000.0,0.0,463000000.0,0.0,1.21,0.0,1404000000.0,462000000.0,211000000.0,0.0,-1000000.0,276000000.0,276000000.0,362000000.0,277000000.0,0.129368076935284,-0.101727447216891,282000000.0,1.19523944460187,0.23,0.67022792022792,6.1517913503763,4.06382978723404,0.67022792022792,1.23561621140037,6.0,1.47094911584266
5,2020,2,2019-10-25 00:00:00+00:00,746000000.0,1821000000.0,4191000000.0,7472000000.0,498000000.0,6936000000.0,0.0,3281000000.0,0.0,0.0,111000000.0,3732000000.0,1643000000.0,442000000.0,382000000.0,0.0,1145000000.0,3204000000.0,536000000.0,442000000.0,780000000.0,2545000000.0,-36000000.0,3468000000.0,0.0,237912557.0,-545000000.0,-2000000.0,119000000.0,-422000000.0,178000000.0,-111000000.0,40000000.0,-500000000.0,0.0,60000000.0,-53000000.0,68000000.0,7000000.0,63000000.0,243000000.0,925000000.0,235000000.0,243000000.0,296000000.0,1.03,629000000.0,236000000.0,0.0,446000000.0,0.0,1.03,0.0,1371000000.0,458000000.0,209000000.0,0.0,56000000.0,299000000.0,299000000.0,362000000.0,243000000.0,0.122187288083349,-0.0962425840474621,536000000.0,1.30805243445693,0.10752688172043,0.674690007293946,5.76262143237778,2.13619402985075,0.674690007293946,2.25292858333661,5.0,1.06587792417316
6,2020,1,2019-07-26 00:00:00+00:00,754000000.0,1832000000.0,4516000000.0,7811000000.0,430000000.0,6948000000.0,0.0,3295000000.0,0.0,0.0,116000000.0,3773000000.0,1575000000.0,565000000.0,348000000.0,0.0,1145000000.0,3175000000.0,863000000.0,565000000.0,542000000.0,2967000000.0,-39000000.0,3510000000.0,0.0,240022187.0,-603000000.0,-3000000.0,1027000000.0,642000000.0,938000000.0,-115000000.0,42000000.0,-250000000.0,-56000000.0,-32000000.0,310000000.0,-219000000.0,278000000.0,62000000.0,103000000.0,816000000.0,239000000.0,103000000.0,104000000.0,0.43,712000000.0,243000000.0,0.0,420000000.0,0.0,0.42,0.0,1236000000.0,476000000.0,215000000.0,0.0,16000000.0,119000000.0,119000000.0,181000000.0,103000000.0,0.118015572327795,-0.16146540027137,863000000.0,1.42236220472441,-0.601851851851852,0.660194174757282,5.14952394796736,1.32676709154114,0.660194174757282,3.59550094425229,6.0,0.839380437088903
7,2019,4,2019-04-26 00:00:00+00:00,759000000.0,1782000000.0,5610000000.0,8741000000.0,649000000.0,7651000000.0,0.0,3131000000.0,0.0,0.0,131000000.0,3784000000.0,1793000000.0,1574000000.0,542000000.0,0.0,1144000000.0,3867000000.0,1090000000.0,1574000000.0,1216000000.0,2325000000.0,-43000000.0,3668000000.0,0.0,246974767.0,-514000000.0,-13000000.0,215000000.0,55000000.0,183000000.0,-97000000.0,37000000.0,-500000000.0,0.0,-35000000.0,399000000.0,85000000.0,364000000.0,48000000.0,396000000.0,1026000000.0,245000000.0,396000000.0,370000000.0,1.59,656000000.0,247000000.0,0.0,566000000.0,0.0,1.57,0.0,1592000000.0,508000000.0,205000000.0,0.0,-12000000.0,384000000.0,384000000.0,432000000.0,396000000.0,0.135085945399393,-0.0316301703163017,1090000000.0,1.45073700543057,0.472222222222222,0.644472361809045,6.44600263961379,1.04954128440367,0.644472361809045,4.41340632988632,7.0,0.81011781011781
9,2019,3,2019-01-25 00:00:00+00:00,763000000.0,1798000000.0,5361000000.0,8418000000.0,562000000.0,7188000000.0,0.0,3057000000.0,0.0,0.0,100000000.0,3758000000.0,1706000000.0,1778000000.0,497000000.0,0.0,1144000000.0,3430000000.0,1230000000.0,1778000000.0,872000000.0,2271000000.0,-68000000.0,3357000000.0,0.0,251885962.0,-688000000.0,8000000.0,172000000.0,-89000000.0,140000000.0,-99000000.0,43000000.0,-550000000.0,0.0,-31000000.0,451000000.0,-86000000.0,420000000.0,51000000.0,249000000.0,982000000.0,250000000.0,249000000.0,311000000.0,1.0,671000000.0,255000000.0,0.0,581000000.0,0.0,0.98,0.0,1563000000.0,468000000.0,203000000.0,0.0,70000000.0,319000000.0,319000000.0,370000000.0,249000000.0,0.118555694967238,0.0155945419103314,1230000000.0,1.56297376093294,-1.5586592178771,0.628278950735765,6.2051889973924,0.930081300813008,0.628278950735765,4.8831621668539,6.0,0.611095142282265
10,2019,2,2018-10-26 00:00:00+00:00,770000000.0,1811000000.0,5471000000.0,8551000000.0,648000000.0,7021000000.0,0.0,3080000000.0,0.0,0.0,86000000.0,3711000000.0,1792000000.0,1940000000.0,472000000.0,0.0,1144000000.0,3310000000.0,1530000000.0,1940000000.0,765000000.0,2359000000.0,-75000000.0,3206000000.0,0.0,259268252.0,-617000000.0,-11000000.0,241000000.0,-268000000.0,195000000.0,-102000000.0,38000000.0,-561000000.0,-3000000.0,-43000000.0,165000000.0,50000000.0,122000000.0,49000000.0,241000000.0,974000000.0,258000000.0,241000000.0,286000000.0,0.93,688000000.0,264000000.0,0.0,543000000.0,0.0,0.91,0.0,1517000000.0,477000000.0,211000000.0,0.0,52000000.0,293000000.0,293000000.0,342000000.0,241000000.0,0.0359886125584144,0.0720848056537102,1530000000.0,1.65287009063444,0.430769230769231,0.642056690837179,5.8510827619573,0.747712418300654,0.642056690837179,5.90122387989101,5.0,0.169534412955466
11,2019,1,2018-07-27 00:00:00+00:00,768000000.0,1820000000.0,5853000000.0,8905000000.0,200000000.0,6983000000.0,0.0,3052000000.0,0.0,0.0,97000000.0,4143000000.0,1742000000.0,2184000000.0,425000000.0,0.0,1542000000.0,2840000000.0,1922000000.0,2184000000.0,616000000.0,2627000000.0,-70000000.0,3260000000.0,0.0,263480598.0,-812000000.0,-14000000.0,248000000.0,-314000000.0,186000000.0,-105000000.0,40000000.0,-500000000.0,0.0,-64000000.0,326000000.0,-185000000.0,262000000.0,49000000.0,283000000.0,963000000.0,262000000.0,283000000.0,254000000.0,1.08,709000000.0,269000000.0,0.0,511000000.0,0.0,1.05,0.0,1474000000.0,482000000.0,208000000.0,0.0,-11000000.0,272000000.0,272000000.0,321000000.0,283000000.0,0.0274935241465979,0.115821347464042,1922000000.0,2.06091549295775,1.20408163265306,0.653324287652646,5.59433981548805,0.802289281997919,0.653324287652646,7.29465476619269,7.0,0.117145667140203
