,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,99.46,104.84,99.2,104.84,873979,91.5897319741,96.54401267,91.3503057694,96.54401267,873979,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,100.05,100.2,98.82,99.58,1098422,92.1330452846,92.2711757873,91.0003751627,91.7002363762,1098422,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,101.55,101.96,100.36,100.5,1018748,93.5143503114,93.8919070187,92.4185149901,92.5474367926,1018748,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,102.0,102.15,101.13,101.58,1008344,93.9287418194,94.0668723221,93.1275849039,93.5419764119,1008344,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,102.5,102.52,101.63,101.63,676746,94.3891768283,94.4075942287,93.5880199128,93.5880199128,676746,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,104.26,104.67,102.68,102.74,1120922,96.0099080597,96.387464767,94.5549334315,94.6101856326,1120922,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,105.76,106.31,104.54,104.63,927421,97.3912130865,97.8976915963,96.2677516647,96.3506299663,927421,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,105.95,106.14,104.92,105.97,618411,97.5661783898,97.7411436932,96.6176822715,97.5845957902,618411,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,107.26,107.56,106.01,106.82,1108242,98.7725181132,99.0487791186,97.6214305909,98.3673353054,1108242,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,106.61,108.04,106.07,107.68,741529,98.1739526016,99.4907967271,97.676682792,99.1592835207,741529,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,106.89,107.5,106.15,107.25,1188922,98.4317962066,98.9935269175,97.7503523934,98.763309413,1188922,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,105.38,107.29,105.05,107.22,1016920,97.0412824797,98.8001442137,96.7373953738,98.7356833125,1016920,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,106.49,106.67,105.24,105.76,1072593,98.0634481995,98.2292048027,96.9123606772,97.3912130865,1072593,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,107.43,107.47,105.5,106.4,983884,98.9290660162,98.965900817,97.1517868818,97.9805698979,983884,0.0,1.0,22498559785.4004,-17039340214.5996,21.703030303,2.3914813513,0.6076848485
14,2018-01-23 00:00:00+00:00,106.89,107.27,106.14,106.51,1416797,98.4317962066,98.7817268134,97.7411436932,98.0818655998,1416797,0.0,1.0,22385470124.3736,-17152429875.6264,21.5939393939,2.3794605012,0.604630303
15,2018-01-24 00:00:00+00:00,106.17,108.91,105.51,108.0,2136733,97.7687697938,100.2919536426,97.160995582,99.4539619264,2136733,0.0,1.0,22234683909.6711,-17303216090.3289,21.4484848485,2.363432701,0.6005575758
16,2018-01-25 00:00:00+00:00,105.01,107.54,104.62,107.44,1534271,96.7005605731,99.0303617182,96.3414212661,98.9382747164,1534271,0.0,1.0,21991750563.7615,-17546149436.2385,21.2141414141,2.337610134,0.5939959596
17,2018-01-26 00:00:00+00:00,106.18,106.32,104.68,104.98,1520395,97.7779784939,97.9069002964,96.3966734672,96.6729344725,1520395,0.0,1.0,22236778162.6531,-17301121837.3469,21.4505050505,2.3636553093,0.6006141414
18,2018-01-29 00:00:00+00:00,106.94,107.59,106.29,106.46,1247307,98.4778397075,99.0764052191,97.8792741959,98.0358220989,1247307,0.0,1.0,22395941389.2835,-17141958610.7165,21.604040404,2.3805735428,0.6049131313
19,2018-01-30 00:00:00+00:00,105.69,107.16,105.34,106.46,914458,97.3267521852,98.6804311114,97.004447679,98.0358220989,914458,0.0,1.0,22134159766.5361,-17403740233.4639,21.3515151515,2.3527475009,0.5978424242
20,2018-01-31 00:00:00+00:00,105.39,107.73,105.01,105.74,826790,97.0504911799,99.2053270216,96.7005605731,97.3727956861,826790,0.0,1.0,22071332177.0767,-17466567822.9233,21.2909090909,2.3460692508,0.5961454545
21,2018-02-01 00:00:00+00:00,106.78,106.83,104.82,104.82,1012619,98.3305005046,98.3765440055,96.5255952697,96.5255952697,1012619,0.0,1.0,22362433341.5718,-17175466658.4282,21.5717171717,2.3770118095,0.6040080808
22,2018-02-02 00:00:00+00:00,104.63,107.49,104.43,106.85,1265567,96.3506299663,98.9843182173,96.1664559627,98.3949614059,1265567,0.0,1.0,21912168950.4463,-17625731049.5537,21.1373737374,2.3291510173,0.5918464646
23,2018-02-05 00:00:00+00:00,99.74,105.24,99.71,103.58,1690473,91.8475755791,96.9123606772,91.8199494785,95.3837164476,1690473,0.0,1.0,20888079242.2586,-18649820757.7414,20.1494949495,2.2202955411,0.5641858586
24,2018-02-06 00:00:00+00:00,101.36,101.37,95.84,97.32,2720238,93.339385008,93.3485937081,88.2561825095,89.6190701359,2720238,0.0,1.0,21227348225.3392,-18310551774.6608,20.4767676768,2.2563580915,0.5733494949
25,2018-02-07 00:00:00+00:00,100.73,103.21,100.65,100.66,1452988,92.7592368967,95.042994541,92.6855672953,92.6947759955,1452988,0.0,1.0,21095410287.4745,-18442489712.5255,20.3494949495,2.2423337663,0.5697858586
26,2018-02-08 00:00:00+00:00,96.2,100.77,96.18,100.76,1584075,88.5876957159,92.7960716974,88.5692783156,92.7868629973,1584075,0.0,1.0,20146713686.638,-19391186313.362,19.4343434343,2.1414921902,0.5441616162
27,2018-02-09 00:00:00+00:00,97.38,98.14,94.39,97.49,1442907,89.674322337,90.3741835505,86.9209209836,89.7756180389,1442907,0.0,1.0,20393835538.5115,-19144064461.4885,19.6727272727,2.1677599738,0.5508363636
28,2018-02-12 00:00:00+00:00,99.36,100.15,97.61,98.11,1338049,91.4976449723,92.2251322864,89.8861224411,90.34655745,1338049,0.0,1.0,20808497628.9434,-18729402371.0566,20.0727272727,2.2118364243,0.5620363636
29,2018-02-13 00:00:00+00:00,99.35,99.6,97.82,98.37,971206,91.4884362721,91.7186537766,90.0795051448,90.5859836546,971206,0.0,1.0,20806403375.9614,-18731496624.0386,20.0707070707,2.211613816,0.561979798
30,2018-02-14 00:00:00+00:00,102.69,102.91,98.33,98.94,1133947,94.5641421317,94.7667335356,90.5491488539,91.1108795648,1133947,0.0,1.0,21505883871.9424,-18032016128.0576,20.7454545455,2.2859650001,0.5808727273
31,2018-02-15 00:00:00+00:00,103.87,104.82,103.21,103.72,1236248,95.6507687527,96.5255952697,95.042994541,95.5126382501,1236248,0.0,1.0,21753005723.8159,-17784894276.1841,20.9838383838,2.3122327838,0.5875474747
32,2018-02-16 00:00:00+00:00,104.86,105.6,103.64,103.64,1454242,96.5624300704,97.2438738836,95.4389686486,95.4389686486,1454242,0.0,1.0,21960336769.0318,-17577563230.9682,21.1838383838,2.334271009,0.5931474747
33,2018-02-20 00:00:00+00:00,104.72,105.82,104.47,104.47,1159692,96.4335082679,97.4464652875,96.2032907634,96.2032907634,1159692,0.0,1.0,21931017227.2841,-17606882772.7159,21.1555555556,2.3311544923,0.5923555556
34,2018-02-21 00:00:00+00:00,105.38,106.91,104.7,105.2,821768,97.0412824797,98.450213607,96.4150908675,96.8755258765,821768,0.0,1.0,22069237924.0947,-17468662075.9053,21.2888888889,2.3458466425,0.5960888889
35,2018-02-22 00:00:00+00:00,104.12,106.83,103.87,105.75,1238940,95.8809862572,98.3765440055,95.6507687527,97.3820043863,1238940,0.0,1.0,21805362048.3654,-17732537951.6346,21.0343434343,2.3177979921,0.5889616162
36,2018-02-23 00:00:00+00:00,106.56,106.58,104.39,104.8,846091,98.1279091007,98.1463265011,96.129621162,96.5071778693,846091,0.0,1.0,22316359775.9683,-17221540224.0317,21.5272727273,2.3721144261,0.6027636364
37,2018-02-26 00:00:00+00:00,108.84,108.87,106.45,107.15,951854,100.2274927414,100.2551188419,98.0266133988,98.6712224112,951854,0.0,1.0,22793849455.8594,-16744050544.1406,21.9878787879,2.4228691266,0.6156606061
38,2018-02-27 00:00:00+00:00,107.59,109.89,107.58,108.53,1387986,99.0764052191,101.1944062601,99.0671965189,99.9420230359,1387986,0.0,1.0,22423551725.2329,-17114348274.7671,21.7353535354,2.3950430847,0.608589899
39,2018-02-28 00:00:00+00:00,105.87,108.59,105.85,108.15,1275352,97.4925087884,99.9972752369,97.4740913881,99.5920924291,1275352,0.0,1.0,22065075017.6635,-17472824982.3365,21.3878787879,2.3567544509,0.5988606061
40,2018-03-01 00:00:00+00:00,103.67,106.64,103.31,106.05,1161251,95.4665947492,98.2015787022,95.1350815428,97.6582653916,1161251,0.0,1.0,21606558298.6792,-17931341701.3208,20.9434343434,2.307780617,0.5864161616
41,2018-03-02 00:00:00+00:00,104.71,105.0,101.18,102.95,1327959,96.4242995677,96.6913518729,93.1736284048,94.8035683363,1327959,0.0,1.0,21823311656.7445,-17714588343.2555,21.1535353535,2.330931884,0.5922989899
