,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,134.44,134.49,131.55,131.74,528652,88.5997789397,88.63273036,86.6951868455,86.8204022427,792978,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,134.58,135.0,134.0,134.64,625523,88.6920429165,88.9688348472,88.3098064409,88.7315846209,938284,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,135.37,136.15,134.2,135.0,692135,89.2126753575,89.7267175144,88.4416121221,88.9688348472,1038202,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,136.6,136.89,135.2,135.74,352156,90.0232802972,90.214398535,89.1006405284,89.4565158678,528234,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,137.96,138.25,136.51,136.78,544476,90.9195589297,91.1106771676,89.9639677406,90.1419054103,816714,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,139.47,140.08,137.77,138.04,608970,91.9146918232,92.316699151,90.7943435326,90.9722812022,913455,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,137.89,139.26,137.04,139.23,908397,90.8734269413,91.7762958579,90.313252796,91.7565250057,1362595,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,140.8,141.0,137.91,138.43,438065,92.7911996036,92.9230052848,90.8866075094,91.2293022807,657097,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,142.58,142.74,140.4,141.9,361482,93.9642701667,94.0697147117,92.5275882411,93.5161308505,542223,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,142.18,144.43,141.41,143.14,708701,93.7006588042,95.1834727183,93.1932069314,94.3333260743,1063051,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,144.6,144.73,142.65,143.21,458110,95.2955075474,95.3811812402,94.0104021552,94.3794580627,687165,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,145.88,146.37,144.13,144.88,461299,96.1390639074,96.4619878265,94.9857641965,95.4800355012,691948,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,147.97,148.04,145.85,146.46,427348,97.5164332766,97.562565265,96.1192930553,96.5213003831,641022,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,149.1,149.1,146.36,148.34,613925,98.2611353757,98.2611353757,96.4553975425,97.7602737869,920887,0.0,1.0,12141530874.144,12109068874.144,26.485478284,5.3943965881,0.1408314374
14,2018-01-23 00:00:00+00:00,149.23,150.0,148.24,149.4,455947,98.3468090685,98.8542609413,97.6943709463,98.4588438975,683920,0.0,1.0,12152117051.2978,12119655051.2978,26.508570921,5.399099952,0.1409542281
15,2018-01-24 00:00:00+00:00,148.3,149.74,147.33,149.7,679182,97.7339126506,98.6829135557,97.0946550965,98.6565524194,1018773,0.0,1.0,12076385168.5819,12043923168.5819,26.3433697486,5.3654528103,0.1400758026
16,2018-01-25 00:00:00+00:00,148.66,149.98,147.45,149.05,408662,97.9711628769,98.8410803732,97.1737385053,98.2281839553,612993,0.0,1.0,12105700736.0848,12073238736.0848,26.4073185896,5.3784775103,0.1404158383
17,2018-01-26 00:00:00+00:00,149.92,150.17,147.76,149.16,376588,98.8015386688,98.9662957704,97.3780373112,98.30067708,564882,0.0,1.0,12208305222.3452,12175843222.3452,26.6311395328,5.4240639603,0.1416059631
18,2018-01-29 00:00:00+00:00,147.97,150.31,147.45,149.0,531537,97.5164332766,99.0585597472,97.1737385053,98.195232535,797305,0.0,1.0,12049512565.0375,12017050565.0375,26.2847499778,5.353513502,0.1397641032
