,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,1102855000.0,99927000.0,2935475000.0,19463000.0,653567000.0,2973109000.0,45000000.0,0.0,0.0,462924000.0,0.0,1138496000.0,205294000.0,0.0,0.0,4273688000.0,3135192000.0,449288000.0,0.0,250080000.0,144927000.0,59229000.0,205294000.0,420396000.0,117331447.0,3170833000.0,4095000.0,124752000.0,-250891000.0,170242000.0,0.0,0.0,64987000.0,0.0,-17579000.0,-205301000.0,-17579000.0,-98228000.0,-45490000.0,0.0,117933440.0,334393000.0,269406000.0,1.72,642325000.0,912569000.0,1.71,268335000.0,0.0,270244000.0,66467000.0,201868000.0,1071000.0,117188398.0,201868000.0,145597000.0,559663000.0,1058166000.0,201868000.0,0.0,0.0,0.0,5.0,0.00926027486105774,0.862406276519941,2.53400046295472,3170833000.0,0.862406276519941,9.01860521672421,0.255474452554744,0.0315144316966551,0.20469243147813,27.0245793525414,0.153982708466514
1,2020,2,2020-06-30 00:00:00+00:00,1097560000.0,99923000.0,2955083000.0,19463000.0,603386000.0,2788839000.0,45000000.0,0.0,0.0,395785000.0,0.0,968570000.0,0.0,0.0,0.0,4080028000.0,3111458000.0,494174000.0,0.0,351870000.0,144923000.0,51257000.0,0.0,518624000.0,117948168.0,2982468000.0,2209000.0,245308000.0,-66890000.0,312198000.0,0.0,-165997000.0,65735000.0,0.0,-83656000.0,0.0,-17582000.0,161652000.0,-66890000.0,99923000.0,118359884.0,265505000.0,199770000.0,1.26,575606000.0,774772000.0,1.25,199005000.0,0.0,199166000.0,51200000.0,147805000.0,765000.0,117610178.0,147805000.0,121438000.0,494049000.0,896210000.0,147805000.0,0.0,0.0,0.0,5.0,-0.155049751759743,0.864498276073688,1.95997765969072,2982468000.0,0.864498276073688,7.59833760198802,-0.125,0.0335034608921202,0.196552404660298,25.2862596390645,0.148174558259448
2,2020,1,2020-03-31 00:00:00+00:00,918937000.0,0.0,2953990000.0,19463000.0,490642000.0,2787049000.0,45000000.0,0.0,0.0,427613000.0,0.0,831006000.0,0.0,0.0,0.0,3934986000.0,3103980000.0,428295000.0,0.0,315647000.0,45000000.0,55097000.0,0.0,356972000.0,119545928.0,3016049000.0,2073000.0,153350000.0,-50668000.0,204018000.0,0.0,-178294000.0,65435000.0,0.0,-199949000.0,0.0,-18310000.0,-46599000.0,-50668000.0,0.0,119805572.0,246236000.0,180801000.0,1.12,646387000.0,829557000.0,1.11,180701000.0,0.0,183170000.0,47524000.0,133177000.0,100000.0,119050174.0,133177000.0,157807000.0,566282000.0,987364000.0,133177000.0,0.0,0.0,0.0,6.0,-0.0034498002587855,0.840173431480184,1.94026547122894,3016049000.0,0.840173431480184,8.25928592063797,0.0181818181818183,0.0,0.2085162288934,25.2292073051622,0.157973260256038
3,2019,4,2019-12-31 00:00:00+00:00,914851000.0,45000000.0,2968835000.0,19463000.0,548766000.0,2850302000.0,0.0,0.0,0.0,408165000.0,0.0,866834000.0,0.0,0.0,0.0,3995568000.0,3128734000.0,366085000.0,0.0,264811000.0,45000000.0,70254000.0,0.0,403571000.0,119735282.0,3080717000.0,11354000.0,130446000.0,-105927000.0,236373000.0,0.0,-35614000.0,75610000.0,0.0,-49161000.0,0.0,-13547000.0,81285000.0,-105927000.0,0.0,119789888.0,265296000.0,189686000.0,1.207,658253000.0,846517000.0,1.207,189594000.0,0.0,188264000.0,45570000.0,144024000.0,92000.0,119522331.0,144024000.0,162689000.0,568007000.0,1009206000.0,144024000.0,0.0,0.0,0.0,7.0,-0.0172726068802194,0.838795052744435,2.36784899681768,3080717000.0,0.838795052744435,8.42864344696662,-0.0715384615384616,0.0146069892171206,0.212998571428695,25.7294002948939,0.160387932014443
5,2019,3,2019-09-30 00:00:00+00:00,982890000.0,45000000.0,2927894000.0,19463000.0,586028000.0,2755455000.0,0.0,0.0,0.0,438075000.0,0.0,806978000.0,0.0,0.0,0.0,3892418000.0,3085440000.0,396862000.0,0.0,256799000.0,45000000.0,81269000.0,0.0,322286000.0,120009426.0,2909528000.0,1147000.0,147510000.0,-138122000.0,285632000.0,0.0,-40614000.0,63493000.0,0.0,-54184000.0,0.0,-13570000.0,93326000.0,-138122000.0,0.0,119984153.0,281890000.0,218397000.0,1.37,661407000.0,878934000.0,1.37,218394000.0,0.0,217527000.0,54295000.0,164099000.0,3000.0,119820422.0,164099000.0,169523000.0,575182000.0,1048457000.0,164099000.0,0.0,0.0,0.0,7.0,-0.00923804114972793,0.838311919325256,2.03339699946077,2909528000.0,0.838311919325256,8.73645541809358,-0.0304317055909412,0.015466426169468,0.226170990298567,24.244162287719,0.169378285723796
6,2019,2,2019-06-30 00:00:00+00:00,960218000.0,45000000.0,2858171000.0,19463000.0,574113000.0,2645533000.0,0.0,0.0,0.0,458145000.0,0.0,741420000.0,0.0,0.0,0.0,3758703000.0,3017283000.0,386105000.0,0.0,260817000.0,45000000.0,85125000.0,0.0,228960000.0,121419930.0,2798485000.0,2283000.0,96582000.0,-159126000.0,255708000.0,0.0,-134136000.0,62571000.0,0.0,-148249000.0,0.0,-13645000.0,-51667000.0,-159126000.0,0.0,120968046.0,298305000.0,235734000.0,1.44,649915000.0,884404000.0,1.44,235574000.0,0.0,234489000.0,61502000.0,174072000.0,160000.0,120783414.0,174072000.0,176262000.0,571108000.0,1060666000.0,174072000.0,0.0,0.0,0.0,6.0,0.0262874238750341,0.83381950585764,1.92025485295451,2798485000.0,0.83381950585764,8.73551813116677,0.0851544837980407,0.016080129069836,0.235700361237079,23.0479872620582,0.17666578834462
7,2019,1,2019-03-31 00:00:00+00:00,933671000.0,45000000.0,2761857000.0,19463000.0,575516000.0,2619141000.0,0.0,0.0,0.0,455333000.0,0.0,783878000.0,0.0,0.0,0.0,3704042000.0,2920164000.0,358155000.0,0.0,247669000.0,45000000.0,79397000.0,0.0,280627000.0,121720484.0,2770371000.0,1933000.0,135711000.0,-70464000.0,206175000.0,0.0,-30596000.0,63073000.0,0.0,-45366000.0,0.0,-13790000.0,90345000.0,-70464000.0,0.0,121715331.0,243582000.0,180509000.0,1.1,641241000.0,819667000.0,1.1,180387000.0,0.0,178426000.0,47064000.0,133323000.0,122000.0,121549706.0,133323000.0,171115000.0,561743000.0,990782000.0,133323000.0,0.0,0.0,0.0,7.0,0.071092516918553,0.827292986751879,2.18865574960562,2770371000.0,0.827292986751879,8.13981318049968,0.240135287485908,0.0162433118163596,0.238736579531987,22.7601050288298,0.179138146359824
8,2018,4,2018-12-31 00:00:00+00:00,864800000.0,45000000.0,2754943000.0,19463000.0,508068000.0,2530184000.0,0.0,0.0,0.0,468260000.0,0.0,706229000.0,0.0,0.0,0.0,3545283000.0,2839054000.0,356732000.0,0.0,247669000.0,45000000.0,78518000.0,0.0,190282000.0,122625218.0,2680483000.0,1335000.0,109926000.0,-114653000.0,224698000.0,0.0,-86676000.0,62555000.0,0.0,-97231000.0,0.0,-10555000.0,12814000.0,-114772000.0,0.0,122372897.0,280044000.0,217489000.0,1.3,628517000.0,847362000.0,1.3,217351000.0,0.0,218845000.0,57892000.0,159459000.0,138000.0,122237549.0,159459000.0,179582000.0,552003000.0,1026944000.0,159459000.0,0.0,0.0,0.0,8.0,0.152423306928271,0.825129705222485,1.97971866835608,2680483000.0,0.825129705222485,8.37465585586156,-0.183929692404269,0.0167880191741563,0.238964307037421,21.8591497223679,0.179461425792209
10,2018,3,2018-09-30 00:00:00+00:00,872380000.0,45000000.0,2703275000.0,19463000.0,509923000.0,2467902000.0,0.0,0.0,0.0,482207000.0,0.0,696315000.0,0.0,0.0,0.0,3489312000.0,2792997000.0,362457000.0,0.0,227531000.0,45000000.0,88150000.0,0.0,177468000.0,122994542.0,2616932000.0,1284000.0,75931000.0,-173997000.0,250727000.0,0.0,-29195000.0,58086000.0,0.0,-39833000.0,0.0,-10638000.0,36897000.0,-174796000.0,0.0,122963661.0,287319000.0,229233000.0,1.413,648966000.0,877351000.0,1.413,229204000.0,0.0,228385000.0,55762000.0,173442000.0,29000.0,122827893.0,173442000.0,180882000.0,575937000.0,1058233000.0,173442000.0,0.0,0.0,0.0,9.0,0.212197890690239,0.829071669471657,1.92109684735017,2616932000.0,0.829071669471657,8.60390211461579,0.708585247883918,0.0171957085625458,0.264401123088106,21.2768140557001,0.197640419257823
11,2018,2,2018-06-30 00:00:00+00:00,839031000.0,45000000.0,2585708000.0,19463000.0,472669000.0,2334286000.0,0.0,0.0,0.0,464279000.0,0.0,647585000.0,0.0,0.0,0.0,3321082000.0,2673497000.0,366362000.0,0.0,224840000.0,45000000.0,81668000.0,0.0,140571000.0,123299081.0,2482051000.0,1143000.0,21914000.0,-191530000.0,213444000.0,0.0,-30095000.0,56235000.0,0.0,-41280000.0,0.0,-10678000.0,-19366000.0,-191530000.0,0.0,123254328.0,277718000.0,221483000.0,1.327,632242000.0,852723000.0,1.327,221472000.0,0.0,220481000.0,58038000.0,163434000.0,11000.0,123101808.0,163434000.0,180775000.0,559579000.0,1033498000.0,163434000.0,0.0,0.0,0.0,9.0,0.23048366971778,0.825084325272037,1.76760963200332,2482051000.0,0.825084325272037,8.38204138764019,0.65875,0.0181301673495025,0.248713262134707,20.130328465303,0.183297250209773
