,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,80.44,80.51,79.18,80.47,544061,80.44,80.51,79.18,80.47,544061,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,81.03,82.25,80.51,80.51,316889,81.03,82.25,80.51,80.51,316889,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,83.11,83.49,81.6,81.61,460803,83.11,83.49,81.6,81.61,460803,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,83.88,84.55,83.23,84.0,360289,83.88,84.55,83.23,84.0,360289,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,84.64,84.96,83.251,83.9,376451,84.64,84.96,83.251,83.9,376451,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,84.72,85.26,84.33,85.0,374081,84.72,85.26,84.33,85.0,374081,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,84.38,85.04,83.75,84.25,345280,84.38,85.04,83.75,84.25,345280,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,84.5,85.39,83.75,84.52,873279,84.5,85.39,83.75,84.52,873279,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,88.75,89.37,85.07,85.16,1245044,88.75,89.37,85.07,85.16,1245044,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,86.95,90.915,86.63,90.0,910571,86.95,90.915,86.63,90.0,910571,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,88.35,88.71,87.08,87.94,462611,88.35,88.71,87.08,87.94,462611,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,89.12,89.9,87.55,88.53,603859,89.12,89.9,87.55,88.53,603859,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,91.19,91.786,89.04,89.37,769888,91.19,91.786,89.04,89.37,769888,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,92.31,92.81,90.57,91.33,1120591,92.31,92.81,90.57,91.33,1120591,0.0,1.0,5464393744.89,5453618744.89,43.5424528302,19.4291627818,1.0885613208
14,2018-01-23 00:00:00+00:00,91.98,93.6076,91.96,93.21,908958,91.98,93.6076,91.96,93.21,908958,0.0,1.0,5444859025.62,5434084025.62,43.3867924528,19.3597052613,1.0846698113
15,2018-01-24 00:00:00+00:00,90.57,92.765,90.25,92.44,1442272,90.57,92.765,90.25,92.44,1442272,0.0,1.0,5361392497.83,5350617497.83,42.7216981132,19.0629322191,1.0680424528
16,2018-01-25 00:00:00+00:00,89.89,91.27,89.55,91.04,488875,89.89,91.27,89.55,91.04,488875,0.0,1.0,5321139136.91,5310364136.91,42.4009433962,18.9198076314,1.0600235849
17,2018-01-26 00:00:00+00:00,92.94,93.0899,90.25,90.76,800498,92.94,93.0899,90.25,90.76,800498,0.0,1.0,5501687299.86,5490912299.86,43.8396226415,19.5617635028,1.095990566
18,2018-01-29 00:00:00+00:00,92.65,93.36,91.51,92.97,514564,92.65,93.36,91.51,92.97,514564,0.0,1.0,5484520425.35,5473745425.35,43.7028301887,19.5007250756,1.0925707547
19,2018-01-30 00:00:00+00:00,91.4,93.0,90.63,91.3,501949,91.4,93.0,90.63,91.3,501949,0.0,1.0,5410525276.6,5399750276.6,43.1132075472,19.2376284071,1.0778301887
20,2018-01-31 00:00:00+00:00,91.64,93.2,90.85,92.01,528331,91.64,93.2,90.85,92.01,528331,0.0,1.0,5424732345.16,5413957345.16,43.2264150943,19.2881429674,1.0806603774
21,2018-02-01 00:00:00+00:00,90.17,92.12,89.94,91.24,528576,90.17,92.12,89.94,91.24,528576,0.0,1.0,5337714050.23,5326939050.23,42.5330188679,18.9787412852,1.0633254717
22,2018-02-02 00:00:00+00:00,88.55,89.99,88.1,89.59,939097,88.55,89.99,88.1,89.59,939097,0.0,1.0,5241816337.45,5231041337.45,41.7688679245,18.6377680027,1.0442216981
23,2018-02-05 00:00:00+00:00,84.07,88.86,83.48,87.3,1179634,84.07,88.86,83.48,87.3,1179634,0.0,1.0,4976617724.33,4965842724.33,39.6556603774,17.6948295425,0.9913915094
24,2018-02-06 00:00:00+00:00,86.61,87.44,80.68,82.01,1438522,86.61,87.44,80.68,82.01,1438522,0.0,1.0,5126975866.59,5116200866.59,40.8537735849,18.229441973,1.0213443396
25,2018-02-07 00:00:00+00:00,84.5,88.0,81.6,86.88,2001777,84.5,88.0,81.6,86.88,2001777,0.0,1.0,5002072055.5,4991297055.5,39.858490566,17.7853347965,0.9964622642
26,2018-02-08 00:00:00+00:00,82.9,85.71,82.7,85.42,1148120,82.9,85.71,82.7,85.42,1148120,0.0,1.0,4907358265.1,4896583265.1,39.1037735849,17.4485710607,0.9775943396
27,2018-02-09 00:00:00+00:00,83.35,84.725,80.391,84.01,1325296,83.35,84.725,80.391,84.01,1325296,0.0,1.0,4933996518.65,4923221518.65,39.3160377358,17.5432858614,0.9829009434
28,2018-02-12 00:00:00+00:00,84.51,85.16,83.4,84.13,950973,84.51,85.16,83.4,84.13,950973,0.0,1.0,5002664016.69,4991889016.69,39.8632075472,17.7874395698,0.9965801887
29,2018-02-13 00:00:00+00:00,88.9,89.23,84.76,85.35,1008092,88.9,89.23,84.76,85.35,1008092,0.0,1.0,5262534979.1,5251759979.1,41.9339622642,18.7114350699,1.0483490566
30,2018-02-14 00:00:00+00:00,92.08,92.6,88.225,88.48,1317375,92.08,92.6,88.225,88.48,1317375,0.0,1.0,5449544397.2,5438769397.2,43.4339622642,19.3807529948,1.0858490566
31,2018-02-15 00:00:00+00:00,95.01,95.65,91.53,92.85,909941,95.01,95.65,91.53,92.85,909941,0.0,1.0,5622949752.15,5612174752.15,44.8160377358,19.9974515859,1.1204009434
32,2018-02-16 00:00:00+00:00,94.9,96.59,94.51,94.99,1066922,94.9,96.59,94.51,94.99,1066922,0.0,1.0,5616439653.5,5605664653.5,44.7641509434,19.9742990791,1.1191037736
33,2018-02-20 00:00:00+00:00,95.76,97.11,93.0,94.25,722023,95.76,97.11,93.0,94.25,722023,0.0,1.0,5667336788.4,5656561788.4,45.1698113208,20.1553095871,1.129245283
34,2018-02-21 00:00:00+00:00,95.62,97.56,95.59,96.01,598740,95.62,97.56,95.59,96.01,598740,0.0,1.0,5659051208.3,5648276208.3,45.1037735849,20.1258427602,1.1275943396
35,2018-02-22 00:00:00+00:00,96.11,96.97,95.28,95.84,362634,96.11,96.97,95.28,95.84,362634,0.0,1.0,5688050738.65,5677275738.65,45.3349056604,20.2289766543,1.1333726415
